gene,score,validation,label
A2M,0.2659336,False,-1
AACS,0.42547116,False,0
AADACL2-AS1,0.23287608,False,-1
AAK1,0.1881114,False,-1
ABCA1,0.124190465,False,-1
ABCA10,0.41031376,False,-1
ABCA6,0.2007795,False,-1
ABCB1,0.36546353,False,-1
ABCB4,0.24219142,False,-1
ABCC3,0.24714965,False,-1
ABCC4,0.23147482,False,-1
ABCC8,0.19269341,False,-1
ABCC9,0.31492993,False,-1
ABCF2,0.33772105,False,-1
ABCG2,0.25051892,False,-1
ABHD17C,0.35213998,False,-1
ABHD18,0.1619103,False,-1
ABHD2,0.5215876,False,-1
ABHD3,0.22741458,False,-1
ABHD8,0.32207772,False,-1
ABI1,0.47282344,False,-1
ABI2,0.46804667,False,-1
ABI3BP,0.15973115,False,0
ABL1,0.31030914,False,-1
ABLIM1,0.35265955,False,-1
ABLIM2,0.3095794,False,-1
ABLIM3,0.328506,False,-1
ABR,0.3583887,False,-1
ABRACL,0.22768462,False,-1
ABTB2,0.21785527,False,-1
ACAN,0.3300978,False,-1
ACAP2,0.57112277,False,-1
ACO1,0.20885694,False,-1
ACSBG1,0.30414903,False,-1
ACSBG2,0.2829564,False,-1
ACTA1,0.26060736,False,-1
ACTA2,0.28092116,False,-1
ACTB,0.19066644,False,1
ACTG1,0.24632704,False,-1
ACTN1,0.24448128,False,-1
ACTN2,0.33112583,False,-1
ACTR2,0.42539376,False,-1
ACVR1,0.6658637,False,-1
ACVR1C,0.4893189,False,-1
ACY3,0.059701316,False,-1
ADAM12,0.16678087,False,-1
ADAM19,0.29683512,False,-1
ADAM23,0.31725392,True,0
ADAM28,0.23253098,False,-1
ADAM33,0.37987497,True,0
ADAM7,0.058255106,False,-1
ADAMTS10,0.052585427,False,-1
ADAMTS12,0.46984476,False,-1
ADAMTS15,0.110935055,False,-1
ADAMTS16,0.14988746,False,-1
ADAMTS19-AS1,0.18940273,False,-1
ADAMTS20,0.29402202,False,0
ADAMTS3,0.38472068,False,-1
ADAMTS6,0.17768796,False,-1
ADAMTS9,0.15293452,False,-1
ADAMTS9-AS2,0.2035422,False,-1
ADAMTSL1,0.18662016,False,-1
ADAMTSL2,0.23580097,False,-1
ADARB1,0.36162025,False,-1
ADARB2,0.50080097,False,-1
ADCY1,0.24668713,False,0
ADCY2,0.26713282,False,1
ADCY4,0.25783476,False,-1
ADCY7,0.32705817,False,-1
ADCY8,0.10907002,False,-1
ADCYAP1,0.33524486,False,-1
ADCYAP1R1,0.35332868,False,-1
ADD2,0.50697416,False,-1
ADD3-AS1,0.47219607,False,-1
ADGRA1,0.4246772,False,-1
ADGRB1,0.2366239,False,-1
ADGRB2,0.57882094,False,-1
ADGRB3,0.478011,False,-1
ADGRF5,0.15102582,False,-1
ADGRL2,0.636756,True,1
ADGRL3,0.6150556,False,-1
ADGRV1,0.31253335,False,-1
ADK,0.5766233,False,-1
ADNP,0.5957491,False,1
ADNP2,0.7274758,False,-1
ADORA2B,0.20110415,False,-1
ADORA3,0.20397682,False,0
ADRA1A,0.4333922,False,0
ADRA1B,0.29983672,False,-1
ADRA2A,0.18896197,True,0
ADRA2C,0.2614991,False,0
ADRB1,0.14754954,False,-1
ADTRP,0.32477257,False,-1
AFAP1L2,0.34728837,False,-1
AFF3,0.7114484,False,-1
AFF4,0.41003737,False,1
AGAP2,0.14779605,False,0
AGBL1,0.47014236,False,-1
AGBL3,0.19507116,False,-1
AGMO,0.18495663,False,0
AGTR1,0.5043866,False,-1
AHCTF1,0.30122924,False,-1
AHCYL2,0.13906395,False,-1
AHDC1,0.33202606,False,1
AHI1,0.4294978,False,1
AHNAK,0.21107543,False,-1
AHR,0.6024556,False,1
AHRR,0.39067698,False,-1
AIG1,0.5088851,False,-1
AKAIN1,0.3063613,False,-1
AKAP13,0.33303535,False,-1
AKAP5,0.13499342,False,-1
AKR1C3,0.29012904,False,-1
AKR1E2,0.30240774,False,-1
AKT3,0.551407,False,-1
ALDH1A2,0.40310723,False,-1
ALK,0.14475809,False,-1
ALOX5,0.25239998,False,-1
ALPK1,0.2567869,False,-1
ALPK2,0.28833994,False,-1
ALX1,0.1348829,False,-1
ALX3,0.18607168,False,0
ALX4,0.4590529,False,-1
AMER3,0.3236262,False,-1
AMIGO2,0.40399176,False,-1
AMMECR1,0.20610245,False,-1
AMOTL1,0.37876964,False,-1
AMPH,0.40135127,True,0
AMZ1,0.22981283,False,-1
ANGPT2,0.51602006,False,-1
ANK1,0.30107316,False,-1
ANKDD1A,0.3263476,False,-1
ANKFN1,0.26833653,False,-1
ANKRD18A,0.28265515,False,-1
ANKRD22,0.16484708,False,-1
ANKRD24,0.27104604,False,-1
ANKRD29,0.22608691,False,-1
ANKRD30A,0.21487702,False,-1
ANKRD30B,0.28003207,False,-1
ANKRD30BL,0.3765998,False,-1
ANKRD31,0.38878167,False,-1
ANKRD34C-AS1,0.3743057,False,-1
ANKRD35,0.13882598,False,-1
