gene,score,validation,label
A2M,0.07542114,False,0
AACS,0.14672609,False,-1
ABCA10,0.17122006,False,-1
ABCA4,0.059979986,False,-1
ABCA8,0.18201573,False,-1
ABCB1,0.09993631,False,0
ABCB4,0.24833047,True,0
ABCC4,0.009136281,True,0
ABCC8,0.19702269,False,-1
ABCF2,0.121820346,False,-1
ABCG2,0.13386616,False,-1
ABHD12B,0.24963528,False,0
ABHD17A,0.13738802,False,-1
ABHD17B,0.06257282,False,-1
ABHD3,0.13301873,False,-1
ABI2,0.23615427,False,-1
ABI3BP,0.3144332,False,-1
ABL1,0.253594,False,0
ABLIM1,0.16544564,False,-1
ABLIM2,0.13067587,False,-1
ABR,0.19198586,False,-1
ABTB2,0.31436846,False,-1
ACAN,0.034422264,False,0
ACER2,0.10382032,False,-1
ACER3,0.23310754,True,0
ACKR3,0.16181341,False,-1
ACMSD,0.20437692,False,-1
ACO1,0.2871059,False,-1
ACOT12,0.12809585,False,-1
ACSBG1,0.08166131,False,-1
ACSBG2,0.19721659,False,0
ACSL5,0.03323537,False,-1
ACTA2,0.24199817,False,-1
ACTB,0.1550406,False,1
ACTG1,0.4490702,False,-1
ACTN2,0.23467904,False,-1
ACTR2,0.2979469,False,0
ACVR1,0.389254,False,-1
ACVR1C,0.23565295,False,-1
ADA,0.20234132,False,-1
ADAM12,0.18247426,False,-1
ADAM19,0.15504584,False,-1
ADAM23,0.12738392,False,-1
ADAM28,0.0013921009,False,-1
ADAMTS1,0.04405983,False,-1
ADAMTS18,0.087272264,False,-1
ADAMTS20,0.04141157,True,0
ADAMTS3,0.15491287,False,-1
ADAMTS9,0.1502088,False,0
ADAMTSL1,0.11197436,False,-1
ADAMTSL3,0.12680466,False,-1
ADAMTSL4-AS1,0.12052803,False,-1
ADAP2,0.19228202,True,0
ADARB1,0.29507524,False,-1
ADCY1,0.048633486,False,-1
ADCY2,0.2630851,False,-1
ADCY4,0.08779695,False,-1
ADCY7,0.05656498,False,0
ADD2,0.28502494,False,-1
ADD3-AS1,0.33648017,False,-1
ADGRB3,0.29805052,False,-1
ADGRD1,0.013916551,False,-1
ADGRF5,0.097869,False,0
ADGRL2,0.27731296,False,-1
ADGRL4,0.10191357,False,0
ADIPOR2,0.24824774,False,-1
ADK,0.18590885,False,-1
ADNP,0.3728085,False,1
ADNP2,0.41215783,False,-1
ADORA3,0.101536185,False,-1
ADRA1A,0.06880232,False,-1
ADRA2C,0.050367992,False,-1
ADRB2,0.08687916,False,0
ADSS,0.30537257,False,-1
AFF1,0.044280984,False,-1
AFF2,0.38401243,False,1
AFF3,0.35429823,False,-1
AFF4,0.4310516,False,-1
AGAP2,0.21362472,False,-1
AGBL3,0.25883305,False,-1
AGBL4,0.12609102,False,-1
AGGF1,0.09656721,True,0
AGT,0.043655682,False,-1
AGTPBP1,0.033192243,False,0
AHCTF1,0.17635112,False,-1
AHCYL2,0.08350173,False,-1
AHDC1,0.17285222,False,1
AHI1,0.22705148,False,1
AHR,0.2037685,False,-1
AIG1,0.23365724,False,-1
AIM2,0.41449142,False,-1
AIRE,0.08908918,False,0
AJAP1,0.2981178,False,-1
AK5,0.2454296,False,-1
AKAP12,0.085299365,False,-1
AKR1C8P,5.3984462e-05,False,0
ALDH1A2,0.1477404,False,-1
ALDH1L1-AS2,0.016516967,False,-1
ALK,0.23813103,False,0
ALOX5,0.18945348,False,-1
ALOX5AP,0.17027363,False,-1
ALPK1,0.0019401559,False,-1
ALX3,0.05151155,False,0
ALX4,0.02542978,False,-1
AMBRA1,0.047929067,False,-1
AMER2,0.21700661,False,-1
AMIGO2,0.0434126,False,-1
