gene,score,validation,label
A2M,0.092972845,False,0
AACS,0.077050276,False,0
ABCA10,0.10416546,False,1
ABCA4,0.090091646,False,0
ABCA8,0.080459826,False,0
ABCB1,0.07885846,False,0
ABCB4,0.08102915,False,0
ABCC4,0.11154635,False,0
ABCC8,0.12374113,False,0
ABCF2,0.0910959,False,0
ABCG2,0.14512064,False,0
ABHD12B,0.048069276,False,0
ABHD17B,0.11913318,False,0
ABHD3,0.08334554,False,0
ABI2,0.11336523,False,0
ABI3BP,0.11374359,False,0
ABL1,0.12167918,False,0
ABLIM1,0.14108732,True,0
ABLIM2,0.027720932,False,0
ABR,0.05977849,False,0
ACAN,0.15464526,False,0
ACER2,0.072497115,False,0
ACER3,0.097031906,False,0
ACKR3,0.071567245,False,0
ACMSD,0.101062834,False,0
ACO1,0.060183916,False,0
ACOT12,0.058595017,False,0
ACSBG1,0.05581271,False,0
ACSBG2,0.087247916,False,0
ACSL5,0.030413523,False,0
ACTA2,0.032983057,False,0
ACTB,0.0816394,True,1
ACTN2,0.06270321,False,0
ACTR2,0.117492944,False,0
ACVR1,0.12967706,False,0
ACVR1C,0.07392874,False,0
ADA,0.088964924,True,1
ADAM12,0.060807604,False,0
ADAM19,0.09222785,False,0
ADAM23,0.16971911,False,0
ADAM28,0.14012873,True,0
ADAMTS1,0.073607,False,0
ADAMTS18,0.050785635,True,0
ADAMTS20,0.106769495,False,0
ADAMTS3,0.11662414,True,0
ADAMTS9,0.088108905,False,0
ADAMTSL1,0.07225631,True,0
ADAMTSL3,0.11617846,False,0
ADAMTSL4-AS1,0.06302054,False,0
ADAP2,0.09348866,False,0
ADARB1,0.053495873,True,0
ADCY1,0.06969306,False,0
ADCY2,0.106708586,False,0
ADCY4,0.06302634,True,0
ADCY7,0.10868349,False,0
ADD2,0.11746756,False,0
ADD3-AS1,0.15662512,False,0
ADGRB3,0.16119197,False,0
ADGRD1,0.0830734,False,0
ADGRF5,0.08853825,True,0
ADGRL2,0.08948803,False,0
ADGRL4,0.074732095,False,0
ADIPOR2,0.14119656,False,0
ADK,0.060020197,True,1
ADNP,0.11839366,True,1
ADNP2,0.032313377,False,0
ADORA3,0.09251211,False,1
ADRA1A,0.034428257,False,0
ADRA2C,0.1072937,False,0
ADRB2,0.05105899,False,1
AFF1,0.09005309,False,0
AFF2,0.121031135,False,1
AFF3,0.09034665,True,0
AFF4,0.11276775,False,0
AGAP2,0.08819123,True,1
AGBL3,0.15210196,False,0
AGBL4,0.06870726,False,1
AGGF1,0.08142799,False,0
AGT,0.08024182,False,0
AGTPBP1,0.1269125,True,0
AHCTF1,0.09932969,True,0
AHCYL2,0.15551335,False,0
AHDC1,0.0615343,False,1
AHI1,0.12418151,False,0
AHR,0.10813226,False,0
AIG1,0.17939939,False,0
AIM2,0.07921339,True,0
AIRE,0.04681306,False,0
AJAP1,0.122307226,False,0
AK5,0.13403657,False,0
AKAP12,0.06045296,False,0
AKR1C8P,0.1090043,False,0
ALDH1A2,0.0898553,False,0
ALK,0.11094276,False,0
ALOX5AP,0.077540435,False,0
ALPK1,0.13525346,True,0
ALX3,0.06740808,False,0
ALX4,0.058079176,False,0
AMBRA1,0.14207068,False,0
AMIGO2,0.10886064,False,0
AMMECR1,0.07823198,False,0
AMN1,0.11251474,False,0
AMOTL2,0.13118282,False,0
AMPD3,0.047425564,False,0
ANGPTL2,0.15044454,False,0
ANK1,0.06375131,True,0
ANK3,0.12237299,True,1
ANKH,0.13153037,False,0
ANKIB1,0.08444905,False,0
ANKRD29,0.04733982,False,0
ANKRD30A,0.0587302,False,0
ANKRD30B,0.08373501,False,0
ANKRD30BL,0.097077236,False,0
ANKRD33B,0.04731243,False,0
ANKRD34B,0.07533319,False,0
ANKRD34C-AS1,0.034005374,False,0
ANKRD6,0.10387449,False,0
ANKRD62,0.10314502,False,0
ANKS1B,0.14085831,False,1
ANO10,0.057587117,False,0
ANO2,0.046425004,False,0
ANOS1,0.06923159,False,0
ANXA11,0.0868421,False,0
ANXA2,0.100500084,False,0
ANXA3,0.08075773,False,0
ANXA4,0.15503024,False,0
AOAH,0.108163424,False,0
AP1S1,0.06899586,True,0
AP1S2,0.0764428,False,0
APBA1,0.16740419,True,0
APBB1IP,0.06353348,False,0
APEX2,0.074619465,False,0
APLNR,0.043243013,False,0
APOD,0.06977623,True,0
APOE,0.09401865,False,0
APOL2,0.08744086,False,0
APOLD1,0.0791059,True,0
APOM,0.08713041,False,0
APP,0.11383626,False,0
AQP4,0.034852535,False,0
AQP4-AS1,0.08346903,False,0
AR,0.09155424,False,1
ARC,0.0869485,True,0
ARF3,0.090751864,False,1
ARFGAP1,0.073729865,False,0
ARG1,0.06285501,False,0
ARHGAP10,0.08559926,False,0
ARHGAP11A,0.075896226,False,0
ARHGAP11B,0.10097369,False,1
ARHGAP15,0.10832019,False,0
ARHGAP18,0.09609082,False,0
ARHGAP20,0.08859407,True,0
ARHGAP24,0.13288404,False,0
ARHGAP25,0.14662616,True,0
ARHGAP26,0.11509391,False,0
ARHGAP29,0.10805274,False,0
ARHGAP44,0.08820534,False,0
ARHGAP5,0.13916624,False,1
ARHGAP5-AS1,0.046269435,False,0
ARHGAP6,0.17773002,False,0
ARHGAP9,0.08253543,True,0
ARHGDIG,0.058522563,False,0
ARHGEF15,0.10067147,False,0
ARHGEF2,0.07393797,False,1
ARHGEF28,0.0767976,False,0
ARHGEF3,0.067545936,False,0
ARID3A,0.026854007,False,0
ARID3B,0.08136116,False,0
ARID5A,0.053828597,False,0
ARID5B,0.075236164,False,0
ARL13B,0.05051909,False,0
ARL4C,0.06589872,False,0
ARL5C,0.06594061,False,0
ARL6IP1,0.0327236,False,0
ARMC2,0.058885567,False,0
ARMC4,0.07001379,False,0
ARNT,0.06753028,False,0
ARNT2,0.084249005,False,1
ARNTL,0.1943346,False,0
ARNTL2,0.045111008,False,0
ARPP19,0.06667906,False,0
ARPP21,0.17090522,False,0
ARRDC3-AS1,0.07861661,False,0
ARSG,0.08377046,False,0
ARSJ,0.06459721,False,0
ASAP2,0.15747899,True,1
ASB11,0.09354861,False,0
ASB5,0.08990177,True,0
ASCC1,0.10032788,False,0
ASCL1,0.12141317,False,0
ASPA,0.0775945,True,0
ASPHD1,0.09098717,True,0
ASPM,0.0993203,False,1
ASPSCR1,0.0816821,True,0
ASXL3,0.06513882,True,1
ATAD2,0.05416119,False,0
ATF1,0.10508829,False,0
ATF2,0.07921721,False,0
ATF3,0.09731816,False,0
ATF5,0.052549757,True,0
ATF6,0.061388228,True,0
ATF6B,0.10388926,False,0
ATF7,0.057473775,False,0
ATF7IP2,0.09310837,False,0
ATG10,0.17949942,True,0
ATG7,0.104536295,False,0
ATOH7,0.08429876,False,0
ATOH8,0.08073837,False,0
ATP10A,0.07154388,False,1
ATP1A1,0.08579815,True,1
ATP1A2,0.07155642,False,0
ATP1A3,0.087558284,True,1
ATP1B2,0.08679952,False,0
ATP1B3,0.030666841,False,0
ATP2B2,0.058866277,False,1
ATP2C1,0.10445551,False,0
ATP6V0C,0.052014876,True,0
ATP6V1A,0.08302198,False,0
ATP6V1B2,0.064963154,False,0
ATP6V1H,0.08281479,False,0
ATP7B,0.08310943,False,0
ATP8A1,0.06312156,False,0
ATP8A2,0.08253668,True,0
ATP8B1,0.15255429,False,0
ATP8B4,0.11195341,False,0
ATP9A,0.036526643,False,0
ATRNL1,0.1298642,True,0
ATXN1,0.12982287,True,0
ATXN7L2,0.045363635,True,0
AURKB,0.089110464,False,0
AUTS2,0.10905502,False,1
AVEN,0.07078849,True,0
AZIN2,0.13684958,True,0
AZU1,0.07883388,False,0
B2M,0.044199154,False,0
B3GLCT,0.06758586,False,0
B3GNT5,0.11826637,False,0
B4GALT1,0.05281846,False,0
BAALC,0.08270979,False,0
BACE2,0.07894812,False,0
BACH1,0.13016453,True,0
BACH2,0.16663639,True,0
BAIAP2,0.054347552,True,0
BAIAP3,0.17451333,False,0
BANK1,0.05861928,False,0
BANP,0.053745374,False,0
BARHL1,0.06520714,False,0
BARHL2,0.029346408,False,0
BARX2,0.08646194,False,0
BASP1,0.058106717,False,0
BATF,0.05568609,True,0
BBX,0.10789228,False,0
BCAR3,0.050785437,False,0
BCAS1,0.074877106,False,1
BCAT1,0.062097553,False,0
BCL11A,0.075813815,True,1
BCL11B,0.0687978,False,1
BCL6,0.11657106,False,0
BCL6B,0.09218604,True,0
BCLAF1,0.14254928,False,0
BDKRB2,0.05517308,False,0
BDNF,0.1209289,False,0
BEST3,0.064007886,False,0
BEX1,0.036764704,False,0
BEX2,0.10249479,False,0
BEX3,0.07001095,False,0
BEX5,0.059228357,False,0
BHLHE22,0.08999656,False,0
BHLHE40,0.034402728,False,0
BHLHE41,0.089099996,True,0
BICC1,0.10248124,False,0
BICDL1,0.10098916,True,1
BIN1,0.1032947,True,0
BIN2,0.08397588,False,0
BIRC3,0.09455067,False,0
BIRC5,0.07248191,False,0
BLNK,0.14677018,False,0
BMP2K,0.084882945,False,0
BMP4,0.06721483,False,0
BMP5,0.08702846,False,0
BMP6,0.063266926,False,0
BMPER,0.11033,False,0
BMPR1B,0.06646175,True,0
BMX,0.10223825,False,0
BNC1,0.11536476,False,0
BNC2,0.055387266,False,0
BOC,0.08482144,False,0
BOK-AS1,0.02958046,False,0
BOLL,0.149986,True,0
BORCS5,0.07005511,False,0
BPTF,0.06771559,False,0
BRCA1,0.07350328,False,0
BRCA2,0.09134965,False,1
BRF1,0.14115277,False,0
BRINP1,0.09484465,True,0
BRINP2,0.073176466,False,0
BRIP1,0.08831313,False,0
BSG,0.046942204,False,0
BSN,0.11087651,False,0
BTBD3,0.076317936,False,0
BTBD7,0.14853188,True,0
BTBD9,0.08554495,False,0
BTNL8,0.067333415,False,0
BTNL9,0.08155527,False,0
BUB1,0.08027283,True,0
BUB1B,0.093423866,False,0
BVES,0.07196631,True,0
C11orf45,0.04850679,False,0
C11orf65,0.099407576,False,0
C11orf87,0.062792525,False,0
C12orf42,0.061681338,False,0
C12orf60,0.06953315,False,0
C12orf75,0.10265004,False,0
C14orf132,0.05698301,True,0
C14orf39,0.08133132,False,0
C16orf74,0.060393114,False,0
C17orf50,0.12921555,False,0
C18orf25,0.09439074,False,0
C19orf25,0.062763736,False,0
C1GALT1,0.097991794,False,0
C1QTNF4,0.045643423,False,0
C1orf115,0.061302394,False,0
C1orf167,0.043257795,False,0
C1orf185,0.05150249,False,0
C21orf58,0.083602324,False,0
C21orf91,0.096634164,True,0
C2CD2,0.11792004,True,0
C3,0.10902964,False,0
C3orf22,0.12855093,False,0
C3orf67,0.17868033,False,0
C4orf45,0.028433532,False,0
C5AR2,0.07040047,True,0
C5orf34,0.06620919,False,0
C7,0.06940624,False,0
C7orf31,0.04992955,False,0
C7orf57,0.092663884,False,0
C8orf87,0.03336445,False,0
C9orf129,0.1101994,False,0
C9orf16,0.06357033,False,0
CA2,0.15188324,False,0
CA3,0.113067895,False,0
CA8,0.10444238,False,0
CABLES1,0.12289913,False,0
CABP1,0.051300164,False,0
CACHD1,0.0737271,False,0
CACNA1C,0.07166521,False,1
CACNA1D,0.18490647,False,1
CACNA1G,0.09080479,False,1
CACNA1G-AS1,0.062474992,False,0
