_BACKGROUND,5p,10p,15p
PLD5,PLD5,PLD5,PLD5
CADM2,CADM2,CADM2,CADM2
ZNF607,ZNF607,ZNF607,ZNF607
ST6GAL2,ST6GAL2,ST6GAL2,ST6GAL2
CDKN2B-AS1,CDKN2B-AS1,CDKN2B-AS1,CDKN2B-AS1
PPFIA2,PPFIA2,PPFIA2,PPFIA2
CACNA1D,CACNA1D,CACNA1D,CACNA1D
EGLN3,EGLN3,EGLN3,EGLN3
SCN9A,SCN9A,SCN9A,SCN9A
ARPP21,ARPP21,ARPP21,ARPP21
SALL3,SALL3,SALL3,SALL3
LYPD6,LYPD6,LYPD6,LYPD6
LEPR,LEPR,LEPR,LEPR
ATG10,ATG10,ATG10,ATG10
ZNF521,ZNF521,ZNF521,ZNF521
FEZ1,FEZ1,FEZ1,FEZ1
SLIT2,SLIT2,SLIT2,SLIT2
KCNC2,KCNC2,KCNC2,KCNC2
KCNIP1,KCNIP1,KCNIP1,KCNIP1
NFIL3,NFIL3,NFIL3,NFIL3
RABGAP1L,RABGAP1L,RABGAP1L,RABGAP1L
OLIG2,OLIG2,OLIG2,OLIG2
HDAC2,HDAC2,HDAC2,HDAC2
INPP4A,INPP4A,INPP4A,INPP4A
NR4A2,NR4A2,NR4A2,NR4A2
NECTIN3,NECTIN3,NECTIN3,NECTIN3
SMARCA2,SMARCA2,SMARCA2,SMARCA2
HDAC9,HDAC9,HDAC9,HDAC9
CFAP46,CFAP46,CFAP46,CFAP46
SLC35F4,SLC35F4,SLC35F4,SLC35F4
HNRNPH3,HNRNPH3,HNRNPH3,HNRNPH3
GPR17,GPR17,GPR17,GPR17
KCNIP4,KCNIP4,KCNIP4,KCNIP4
ZNF816,ZNF816,ZNF816,ZNF816
PDLIM5,PDLIM5,PDLIM5,PDLIM5
SOX11,SOX11,SOX11,SOX11
MAST4,MAST4,MAST4,MAST4
EPHA6,EPHA6,EPHA6,EPHA6
DLG2,DLG2,DLG2,DLG2
PRDM1,PRDM1,PRDM1,PRDM1
RFX3,RFX3,RFX3,RFX3
PLXNA2,PLXNA2,PLXNA2,PLXNA2
SHANK2,SHANK2,SHANK2,SHANK2
ZHX1,ZHX1,ZHX1,ZHX1
HAS2,HAS2,HAS2,HAS2
SMAD7,SMAD7,SMAD7,SMAD7
MIR646HG,MIR646HG,MIR646HG,MIR646HG
KLF6,KLF6,KLF6,KLF6
CREB1,CREB1,CREB1,CREB1
SMOC1,SMOC1,SMOC1,SMOC1
CADPS2,CADPS2,CADPS2,CADPS2
HS6ST3,HS6ST3,HS6ST3,HS6ST3
SOX13,SOX13,SOX13,SOX13
RIMS2,RIMS2,RIMS2,RIMS2
RARA,RARA,RARA,RARA
PATJ,PATJ,PATJ,PATJ
PRRX1,PRRX1,PRRX1,PRRX1
CNOT3,CNOT3,CNOT3,CNOT3
JARID2,JARID2,JARID2,JARID2
IKZF2,IKZF2,IKZF2,IKZF2
RGS6,RGS6,RGS6,RGS6
CDKL5,CDKL5,CDKL5,CDKL5
SGCZ,SGCZ,SGCZ,SGCZ
ZNF644,ZNF644,ZNF644,ZNF644
KIAA1841,KIAA1841,KIAA1841,KIAA1841
ZNF701,ZNF701,ZNF701,ZNF701
GREB1L,GREB1L,GREB1L,GREB1L
SOX10,SOX10,SOX10,SOX10
RBPJ,RBPJ,RBPJ,RBPJ
BAIAP3,BAIAP3,BAIAP3,BAIAP3
MIR3681HG,MIR3681HG,MIR3681HG,MIR3681HG
KCNJ3,KCNJ3,KCNJ3,KCNJ3
KLHL14,KLHL14,KLHL14,KLHL14
DLGAP1,DLGAP1,DLGAP1,DLGAP1
ZSCAN12,ZSCAN12,ZSCAN12,ZSCAN12
ZNF821,ZNF821,ZNF821,ZNF821
SMARCA1,SMARCA1,SMARCA1,SMARCA1
ADD3-AS1,ADD3-AS1,ADD3-AS1,ADD3-AS1
SATB2,SATB2,SATB2,SATB2
C3orf22,C3orf22,C3orf22,C3orf22
ANKRD6,ANKRD6,ANKRD6,ANKRD6
RNF138,RNF138,RNF138,RNF138
GULP1,GULP1,GULP1,GULP1
CTNNB1,CTNNB1,CTNNB1,CTNNB1
ETV5,ETV5,ETV5,ETV5
POU3F2,POU3F2,POU3F2,POU3F2
KY,KY,KY,KY
TPTE2,TPTE2,TPTE2,TPTE2
ZBTB7C,ZBTB7C,ZBTB7C,ZBTB7C
ZFP30,ZFP30,ZFP30,ZFP30
ZNF316,ZNF316,ZNF316,ZNF316
PKNOX2,PKNOX2,PKNOX2,PKNOX2
