_BACKGROUND,5p,10p,15p
SALL3,SALL3,SALL3,SALL3
STAT5B,STAT5B,STAT5B,STAT5B
KLF12,KLF12,KLF12,KLF12
PDLIM5,PDLIM5,PDLIM5,PDLIM5
SOX5,SOX5,SOX5,SOX5
NFIB,NFIB,NFIB,NFIB
ZNF521,ZNF521,ZNF521,ZNF521
HBP1,HBP1,HBP1,HBP1
NR3C2,NR3C2,NR3C2,NR3C2
ZNF462,ZNF462,ZNF462,ZNF462
NCOA2,NCOA2,NCOA2,NCOA2
SOX11,SOX11,SOX11,SOX11
ZNF804A,ZNF804A,ZNF804A,ZNF804A
BBX,BBX,BBX,BBX
ZHX1,ZHX1,ZHX1,ZHX1
ATRNL1,ATRNL1,ATRNL1,ATRNL1
HP1BP3,HP1BP3,HP1BP3,HP1BP3
ZFHX4-AS1,ZFHX4-AS1,ZFHX4-AS1,ZFHX4-AS1
CACNA1D,CACNA1D,CACNA1D,CACNA1D
ZNF438,ZNF438,ZNF438,ZNF438
GABPB1,GABPB1,GABPB1,GABPB1
CALN1,CALN1,CALN1,CALN1
RAB14,RAB14,RAB14,RAB14
ST6GAL2,ST6GAL2,ST6GAL2,ST6GAL2
NFIA,NFIA,NFIA,NFIA
OLIG1,OLIG1,OLIG1,OLIG1
PLD5,PLD5,PLD5,PLD5
ADD3-AS1,ADD3-AS1,ADD3-AS1,ADD3-AS1
CDKN2B-AS1,CDKN2B-AS1,CDKN2B-AS1,CDKN2B-AS1
CTNNB1,CTNNB1,CTNNB1,CTNNB1
FOXO1,FOXO1,FOXO1,FOXO1
LEPR,LEPR,LEPR,LEPR
CADM2,CADM2,CADM2,CADM2
ARPP21,ARPP21,ARPP21,ARPP21
HMBOX1,HMBOX1,HMBOX1,HMBOX1
ATF2,ATF2,ATF2,ATF2
NRF1,NRF1,NRF1,NRF1
SMAD1,SMAD1,SMAD1,SMAD1
HNRNPH3,HNRNPH3,HNRNPH3,HNRNPH3
RORA,RORA,RORA,RORA
PHF21A,PHF21A,PHF21A,PHF21A
FOXJ3,FOXJ3,FOXJ3,FOXJ3
ATG10,ATG10,ATG10,ATG10
POU3F3,POU3F3,POU3F3,POU3F3
LCOR,LCOR,LCOR,LCOR
CLOCK,CLOCK,CLOCK,CLOCK
ZNF607,ZNF607,ZNF607,ZNF607
NR1D2,NR1D2,NR1D2,NR1D2
