gene,score,validation,label
A1BG,0.10764363,False,-1
A1CF,0.111286536,False,-1
A2M,0.06789791,False,0
A2ML1,0.13722707,False,0
A3GALT2,0.057655245,False,-1
A4GALT,0.0843474,False,-1
AACS,0.17061146,False,-1
AADACL4,0.040992346,False,0
AARD,0.16740862,False,-1
AASDHPPT,0.061483074,False,-1
AATF,0.16798794,False,-1
AATK,0.028676676,False,-1
ABCA1,0.20516224,False,-1
ABCA10,0.17344841,False,-1
ABCA13,0.31146604,False,-1
ABCA2,0.16199471,False,-1
ABCA3,0.34979677,False,-1
ABCA4,0.18681297,False,-1
ABCA6,0.039787754,False,-1
ABCA8,0.10098368,False,0
ABCB1,0.0719155,True,0
ABCC4,0.30086473,False,-1
ABCC6,0.55663365,False,-1
ABCC8,0.09570481,False,-1
ABCC9,0.047583967,False,-1
ABCF2,0.10681818,False,-1
ABCG1,0.1171618,False,0
ABCG2,0.06542623,False,-1
ABHD14A,0.042727064,False,-1
ABHD17C,0.10684352,False,-1
ABHD2,0.13011058,False,-1
ABHD3,0.11060758,False,-1
ABHD5,0.15870167,False,-1
ABHD8,0.35134295,False,-1
ABL1,0.23076962,True,0
ABLIM2,0.101946495,False,-1
ABLIM3,0.040652543,False,-1
ABR,0.24090445,False,-1
ABT1,0.501398,False,-1
ABTB2,0.12744537,False,-1
ACAT2,0.13663307,False,-1
ACER2,0.112777874,False,-1
ACER3,0.12606218,False,-1
ACKR3,0.09175821,False,-1
ACO1,0.08516291,False,-1
ACSBG1,0.1707827,False,-1
ACSM6,0.34165862,False,-1
ACTA2,0.33755067,False,-1
ACTG1,0.16027458,False,-1
ACTG2,0.0649518,False,-1
ACTN1,0.27410495,False,-1
ACTN2,0.3609438,False,-1
ACTR2,0.054302484,False,-1
ACVR1,0.3424129,False,-1
ACVR1B,0.25387827,False,-1
ACVR1C,0.14097959,False,-1
ACVRL1,0.10691134,False,-1
ADA,0.07712442,False,-1
ADAM11,0.44687262,False,-1
ADAM12,0.19204049,False,0
ADAM19,0.2459369,False,-1
ADAM23,0.057973232,False,-1
ADAM28,0.10172191,False,-1
ADAMTS1,0.30019864,False,-1
ADAMTS12,0.15067394,False,-1
ADAMTS14,0.021915924,False,-1
ADAMTS15,0.15132502,False,-1
ADAMTS16,0.40063265,False,-1
ADAMTS17,0.123041466,False,-1
ADAMTS18,0.22075194,False,-1
ADAMTS3,0.2173187,False,-1
ADAMTS5,0.113198765,False,-1
ADAMTS6,0.18346155,True,0
ADAMTS8,0.085896105,False,-1
ADAMTS9,0.04506921,False,0
ADAMTS9-AS1,0.23652096,False,-1
ADAMTSL1,0.17102921,False,0
ADAMTSL2,0.042932663,False,-1
ADAMTSL3,0.08342273,False,-1
ADAMTSL4-AS1,0.62359786,False,-1
ADAMTSL5,0.061307587,False,-1
ADAP1,0.08071163,False,0
ADARB1,0.20837206,False,-1
ADARB2,0.21305999,False,-1
ADCY1,0.3398383,False,-1
ADCY2,0.1948033,False,-1
ADCY8,0.46625,False,-1
ADCYAP1R1,0.24039838,False,-1
ADD2,0.44867215,False,-1
ADD3-AS1,0.34468675,False,-1
ADGRA1,0.17561245,False,-1
ADGRA3,0.31492534,False,-1
ADGRB1,0.106800966,False,-1
ADGRB2,0.2534972,False,-1
ADGRB3,0.3434241,False,-1
ADGRD1,0.1623438,False,-1
ADGRE2,0.0323783,False,0
ADGRF5,0.39941615,False,-1
ADGRG1,0.15299262,False,-1
ADGRL1,0.5596903,False,1
ADGRL2,0.5034867,False,-1
ADGRL3,0.47724336,False,-1
ADGRL4,0.1414293,False,0
ADGRV1,0.63951814,False,0
ADI1,0.21440084,False,-1
ADIRF,0.13422014,False,-1
ADM,0.52365744,False,-1
ADNP,0.2149997,False,1
ADNP2,0.12380553,False,-1
ADORA2B,0.10169495,False,-1
ADORA3,0.101905555,False,-1
ADPRHL1,0.13685554,False,-1
ADRA1A,0.37953994,False,-1
ADRA2C,0.044774804,False,0
ADTRP,0.042541496,False,-1
AFAP1,0.13633387,False,-1
AFAP1L1,0.06749349,False,-1
AFF2,0.13873208,False,1
AFF3,0.2357856,False,-1
AFF4,0.42447904,False,-1
AGAP1,0.112123,False,-1
AGAP2,0.45590013,False,-1
AGBL2,0.10153667,False,0
AGBL3,0.07745966,False,-1
AGGF1,0.050184783,False,0
AGPAT1,0.21110925,False,-1
AGR3,0.1576492,False,-1
AGRN,0.19566037,False,-1
AGTPBP1,0.08972475,False,-1
AGTR1,0.17155777,False,-1
AHCTF1,0.16367252,False,-1
AHCYL2,0.007118432,False,-1
AHDC1,0.24571694,False,1
AHNAK2,0.1737698,False,-1
AHR,0.12922731,False,-1
AHRR,0.27975255,True,0
AIF1L,0.13799769,False,-1
AIRE,0.17381707,False,-1
AIRN,0.41514748,False,-1
AJAP1,0.3346141,False,-1
AK5,0.11792988,False,0
AK7,0.39480197,False,-1
AKAP12,0.25154766,False,-1
AKAP5,0.107523605,False,-1
AKAP6,0.11384251,False,-1
AKR1B1,0.04031886,False,-1
AKR1C1,0.23639856,False,-1
AKR1C2,0.35306528,False,-1
AKTIP,0.18305136,False,-1
ALCAM,0.14198832,False,0
ALDH1A1,0.116704896,False,-1
ALDH1A3,0.11328875,False,1
ALDH1L1-AS2,0.030794133,False,-1
ALG1L9P,0.3124614,False,-1
ALK,0.24703813,False,-1
ALOX12-AS1,0.071269296,False,0
ALOX5,0.18020208,False,-1
ALPK2,0.19936033,False,-1
ALPK3,0.20678215,False,-1
ALPL,0.18409117,False,-1
ALS2CL,0.06280053,False,-1
ALX1,0.07014121,False,-1
ALX3,0.06608646,False,-1
ALX4,0.13350275,False,-1
AMDHD2,0.071406335,False,-1
AMER2,0.18122317,False,-1
AMER3,0.20662113,False,-1
AMMECR1,0.15153897,False,-1
AMOTL1,0.19005471,False,-1
AMOTL2,0.23244266,False,-1
AMPD3,0.08099458,False,-1
AMZ1,0.048056398,False,-1
AMZ2,0.39711863,False,-1
ANGPT1,0.09543876,True,0
ANGPT2,0.09441678,False,-1
ANGPTL1,0.017604934,False,-1
ANGPTL4,0.6236283,False,-1
ANK1,0.2421508,False,-1
ANK2,0.38139537,False,1
ANK3,0.18013078,True,1
ANKDD1A,0.08520841,False,-1
ANKFN1,0.07673666,False,-1
ANKH,0.14606787,False,-1
ANKRD13B,0.21325803,False,-1
ANKRD16,0.06161689,False,-1
ANKRD18B,0.18082139,False,-1
ANKRD24,0.12499523,False,-1
ANKRD29,0.11558073,False,-1
ANKRD30A,0.14615537,False,-1
ANKRD30B,0.21632911,False,-1
ANKRD30BL,0.08459696,False,-1
ANKRD31,0.05020892,False,0
ANKRD33B,0.101462506,False,-1
ANKRD34C,0.19735512,False,-1
ANKRD44,0.20184581,False,-1
ANKRD45,0.082941435,False,-1
ANKRD53,0.11086241,False,-1
ANKRD62,0.06269782,False,0
ANKRD7,0.24706092,False,0
ANKS1A,0.04051728,False,-1
ANKS1B,0.34018528,False,1
ANO2,0.096531555,False,-1
ANO3,0.18597993,False,0
ANO4,0.14798681,False,-1
ANO5,0.21022312,False,-1
ANO6,0.15427136,False,-1
ANO9,0.038777925,False,0
ANOS1,0.48780814,False,-1
ANPEP,0.13032272,False,-1
ANTXR2,0.08423053,False,0
ANXA1,0.11529309,False,-1
ANXA11,0.25489277,False,-1
ANXA2,0.07662579,False,-1
AOAH,0.09948264,False,-1
AOX1,0.11143505,False,-1
AP1S1,0.09442559,False,-1
AP1S2,0.05441427,False,1
AP1S3,0.20484847,False,-1
AP2M1,0.041394275,False,-1
APBA1,0.058964305,False,-1
APBB1,0.33172825,False,-1
APBB1IP,0.1398764,False,-1
APC2,0.36836696,False,-1
APCDD1,0.047032256,False,0
APLNR,0.112287864,False,-1
APOB,0.20520705,False,-1
APOBEC3C,0.16766615,False,-1
APOC2,0.13077922,False,-1
APOD,0.051538534,False,-1
APOLD1,0.19341129,False,-1
APP,0.20884939,False,-1
AQP1,0.07555932,False,-1
AQP4,0.32022306,False,-1
AR,0.3789058,False,-1
ARAP2,0.26356655,False,-1
ARC,0.11446284,False,-1
AREG,0.2996093,False,-1
ARF1,0.15882738,False,-1
ARF3,0.5225251,True,1
ARF4,0.2278276,False,-1
ARFGAP1,0.13195124,False,-1
ARFGEF3,0.4566783,False,0
ARGFX,0.1286234,False,-1
ARHGAP10,0.016547123,False,-1
ARHGAP15,0.12072014,False,-1
ARHGAP18,0.5768298,False,-1
ARHGAP20,0.16907279,False,-1
ARHGAP22,0.09381611,False,-1
ARHGAP24,0.17311922,False,0
ARHGAP25,0.11344395,False,-1
ARHGAP26,0.27218774,False,-1
ARHGAP30,0.15787178,False,-1
ARHGAP31,0.20385551,False,-1
ARHGAP39,0.21702988,False,-1
ARHGAP4,0.18550788,False,-1
ARHGAP42,0.3134732,False,-1
ARHGAP44,0.19994238,False,-1
ARHGAP5-AS1,0.33150002,False,-1
ARHGAP6,0.16221157,False,-1
ARHGAP8,0.09941746,False,-1
ARHGDIB,0.04781268,False,-1
ARHGEF26,0.37397504,False,-1
ARHGEF28,0.11222271,False,-1
ARHGEF3,0.28583208,False,0
ARHGEF4,0.07273828,False,-1
ARHGEF5,0.19895265,False,-1
ARHGEF6,0.24455611,False,-1
ARHGEF9,0.32575944,True,1
ARID3A,0.15704253,False,-1
ARID3B,0.059244256,False,-1
ARID5A,0.090073004,False,-1
ARID5B,0.06993493,False,-1
ARL1,0.45381942,False,-1
ARL15,0.32070708,False,-1
ARL4C,0.016672557,False,-1
ARL4D,0.12653019,False,-1
ARMC2,0.36508903,False,-1
ARMC7,0.12539437,False,-1
ARNT,0.116584934,False,-1
ARNT2,0.2051789,False,-1
ARNTL,0.16081445,False,-1
ARNTL2,0.22251315,False,-1
ARPP21,0.11982575,False,-1
ARRDC3,0.25631714,False,-1
ARRDC3-AS1,0.18341644,False,-1
ARSJ,0.18623321,True,0
ARX,0.06975536,False,1
ASAH2B,0.09601746,False,-1
ASAP1,0.49116182,False,-1
ASAP2,0.255336,False,0
ASAP3,0.06119021,False,-1
ASB6,0.11794026,False,-1
ASCC1,0.1321563,False,-1
ASCL1,0.1935578,False,-1
ASCL2,0.029939923,False,-1
ASF1A,0.43767625,False,-1
ASF1B,0.0026831375,False,0
ASH1L-AS1,0.0810975,False,0
ASH2L,0.04057035,False,-1
ASIC4,0.26681313,False,-1
ASL,0.061844453,False,-1
ASPHD1,0.46107548,False,-1
ASPHD2,0.1629263,False,-1
ASPM,0.011304445,False,0
ASPN,0.27441913,False,-1
ASPSCR1,0.2104402,False,-1
ASRGL1,0.3731165,False,-1
ASTN1,0.2588725,False,-1
ASTN2,0.40563384,False,-1
ASXL3,0.44937748,False,1
ATAD5,0.35459772,False,-1
ATCAY,0.5279415,False,-1
ATF1,0.22770894,False,-1
ATF2,0.18080737,False,-1
ATF3,0.0112312455,False,0
ATF4,0.12988578,True,0
ATF5,0.085855044,False,-1
ATF6,0.19084561,False,-1
ATF7,0.32522565,False,-1
ATF7IP2,0.11922853,False,-1
ATL1,0.2904931,False,-1
ATMIN,0.117780164,False,-1
ATOH7,0.09175803,False,-1
ATOH8,0.71882534,False,-1
ATP10A,0.06923918,False,0
ATP10B,0.23796009,False,-1
ATP11B,0.04550983,False,-1
ATP11C,0.12268506,False,-1
ATP13A4,0.3158398,False,-1
ATP13A5,0.068984926,False,-1
ATP1A3,0.21975434,False,1
ATP1B1,0.24445929,False,0
ATP1B2,0.5373943,False,-1
ATP1B3,0.08437969,False,-1
ATP2A2,0.18778698,False,-1
ATP2B3,0.1160282,False,-1
ATP2C2,0.108815275,False,-1
ATP6AP2,0.112667106,False,-1
ATP6V0C,0.18950036,False,-1
ATP6V1B2,0.047529753,False,-1
ATP6V1G1,0.4857765,False,-1
ATP6V1H,0.062017635,False,-1
ATP8A1,0.2250995,False,-1
ATP8A2,0.22319497,False,-1
ATP8B1,0.17779204,False,-1
ATP8B2,0.17002055,False,-1
ATP8B3,0.054277565,False,-1
ATP8B4,0.116697244,False,0
ATP9A,0.06722003,False,-1
ATRNL1,0.27186808,True,0
ATXN1L,0.056094512,False,-1
AVEN,0.17668672,False,-1
AVPI1,0.08344967,False,-1
AXIN1,0.07351897,False,0
AXL,0.035820045,False,-1
AZIN2,0.13366827,False,-1
B3GALNT1,0.26750487,False,-1
B3GALT2,0.20675346,False,-1
B3GAT1,0.3088046,False,-1
B3GAT2,0.08595873,False,0
B3GNT5,0.14262879,False,-1
B3GNT8,0.19170758,False,-1
B3GNT9,0.40339544,False,-1
B4GALNT1,0.4363507,False,-1
B4GALNT3,0.15443243,False,-1
B4GALNT4,0.5535286,False,-1
B4GALT1,0.12907262,False,-1
B4GALT2,0.28038052,False,-1
B4GALT4,0.024890855,False,-1
B4GALT5,0.0601683,False,-1
B4GAT1,0.094687976,False,-1
BAALC,0.5475371,False,-1
BAALC-AS1,0.36696416,False,-1
BACE2,0.08152612,False,-1
BACH1,0.24494936,False,-1
BACH2,0.22785465,False,-1
BAG3,0.21928816,False,-1
BAIAP2,0.12024526,False,-1
BAIAP2L1,0.09480415,True,0
BAIAP3,0.25394887,False,0
BAMBI,0.03463245,False,-1
BANK1,0.09481438,False,-1
BANP,0.01653396,False,-1
BARD1,0.13985114,False,-1
BARX2,0.087737314,False,-1
BASP1,0.03543998,False,-1
BATF,0.015263737,False,0
BATF3,0.59228045,False,-1
BBX,0.15860952,False,0
BCAN,0.17626354,False,-1
BCAR3,0.33901414,False,0
BCAS1,0.6607805,False,-1
BCAS2,0.06865076,False,-1
BCAT1,0.38850474,False,-1
BCHE,0.5859847,False,-1
BCL11A,0.4855061,False,1
BCL11B,0.42231926,False,-1
BCL3,0.10927225,False,-1
BCL6,0.25192648,False,-1
BCL6B,0.21479857,False,0
BCLAF1,0.20391719,False,0
BCOR,0.13435262,False,-1
BCORL1,0.15302034,False,1
BDKRB2,0.119366154,False,0
BDNF,0.25802964,False,-1
BDNF-AS,0.0628891,False,-1
BEND3,0.22224963,False,-1
BEND6,0.13931887,False,0
BEST3,0.36247846,False,-1
BEX1,0.14629138,False,-1
BEX2,0.16064368,False,-1
BEX3,0.10738878,False,-1
BHLHE22,0.1938259,False,-1
BHLHE40,0.11814431,False,-1
BHLHE41,0.4592032,False,-1
BHMT,0.076246314,False,-1
BICDL1,0.17817436,False,-1
BIRC3,0.11337663,False,-1
BLM,0.5543418,False,-1
BLNK,0.052195136,False,-1
BLOC1S3,0.12543277,False,-1
BLOC1S6,0.29383302,False,-1
BMP2,0.24648365,False,-1
BMP2K,0.4815334,False,-1
BMP4,0.1096929,False,0
BMP6,0.06362211,False,-1
BMPER,0.045328937,True,0
BMPR1B,0.71436536,False,-1
BMX,0.26867005,False,0
BNC1,0.22031263,False,-1
BNC2,0.1263502,False,-1
BNIPL,0.057798296,False,-1
BOC,0.1460945,False,-1
BOK-AS1,0.29574767,False,-1
BOLA3-AS1,0.42053685,False,-1
BORCS6,0.06568545,False,-1
BPNT1,0.40383735,False,-1
BPTF,0.3596969,False,-1
BRCA1,0.114266895,False,-1
BRCA2,0.21118811,False,-1
BRF1,0.29588822,False,-1
BRI3BP,0.20821379,False,0
BRINP1,0.6698645,False,-1
BRINP2,0.47456196,False,-1
BRINP3,0.09003301,True,0
BRIP1,0.036260437,False,-1
BRMS1L,0.20873605,False,-1
BRPF1,0.1682918,False,-1
BRPF3,0.07725595,False,-1
BRSK1,0.037441403,False,-1
BRSK2,0.6722407,False,1
BRWD1-AS1,0.16548732,False,-1
BSCL2,0.08647902,False,-1
BSG,0.15679947,False,0
BSN,0.15354055,False,-1
BTBD11,0.03660641,False,0
BTBD3,0.27374732,False,-1
BTBD6,0.12494642,False,-1
BTBD8,0.40173453,False,-1
BTBD9,0.3421046,False,-1
BTC,0.16846973,False,-1
BTG1,0.027918013,False,-1
BTG2,0.0597653,False,-1
BTK,0.1508495,False,-1
BTNL8,0.14202935,False,0
BTNL9,0.07094121,True,0
BVES,0.27958003,False,-1
BVES-AS1,0.26640683,False,-1
BZW1,0.31481102,False,-1
BZW2,0.08852813,False,-1
C10orf90,0.12209096,False,-1
C11orf74,0.070440695,False,-1
C11orf80,0.06193516,False,-1
C11orf87,0.43393436,False,-1
C11orf96,0.21174346,False,-1
C12orf42,0.3296907,False,-1
C12orf75,0.010278619,False,-1
C14orf132,0.49697152,False,-1
C14orf39,0.081694335,False,-1
C14orf93,0.12449699,False,-1
C15orf41,0.17500836,False,-1
C16orf95,0.14917685,False,-1
C18orf32,0.0641443,False,-1
C18orf54,0.0018307648,False,-1
C19orf25,0.05654256,False,-1
C19orf33,0.019037351,False,0
C19orf47,0.079112165,False,-1
C19orf54,0.10342792,False,-1
C1GALT1,0.10774823,False,-1
C1GALT1C1,0.05976965,False,-1
C1QA,0.15389368,False,-1
C1QB,0.27595073,False,0
C1QTNF1,0.09683829,False,-1
C1QTNF4,0.029666329,False,-1
C1S,0.11820064,False,-1
C1orf112,0.2583842,False,-1
C1orf115,0.31344405,False,-1
C1orf198,0.3053142,False,-1
C1orf21,0.47151542,False,-1
C1orf61,0.44183975,False,-1
C1orf87,0.13309929,False,-1
C20orf85,0.16695395,False,0
C21orf62,0.12987685,False,-1
C22orf34,0.05428392,False,-1
C2orf27A,0.046991017,False,0
C2orf72,0.18482527,False,-1
C2orf73,0.23230855,False,-1
C2orf81,0.32822284,False,0
C2orf88,0.18009178,False,-1
C3,0.060141932,False,-1
C3orf14,0.08146687,False,-1
C3orf67,0.49516565,False,-1
C3orf70,0.24283016,False,-1
C4orf19,0.23354913,False,-1
C4orf33,0.022573132,True,0
C4orf45,0.16948225,False,-1
C4orf47,0.181671,False,-1
C5AR2,0.46432954,False,-1
C5orf30,0.23811248,False,-1
C5orf64,0.121380806,False,-1
C5orf66,0.21682791,False,-1
C6,0.16117871,False,-1
C6orf141,0.091661096,False,-1
C7orf25,0.12510912,False,-1
C7orf31,0.1679003,False,-1
C8orf34,0.15592156,False,-1
C8orf34-AS1,0.08166284,False,-1
C9orf129,0.29985043,False,-1
C9orf153,0.09233446,False,-1
C9orf16,0.18667899,False,-1
C9orf170,0.14871861,False,-1
C9orf40,0.21587192,False,-1
C9orf92,0.33367124,False,-1
CA10,0.24549101,False,-1
CA14,0.016372057,False,0
CA2,0.45896125,False,-1
CA3,0.26237807,False,-1
CA4,0.30842212,False,-1
CA8,0.16471736,False,-1
CAB39L,0.090877764,False,-1
CABLES1,0.2677692,False,-1
CABLES2,0.35735115,False,-1
CABYR,0.08112869,False,-1
CACHD1,0.064193025,False,-1
CACNA1B,0.14166038,False,-1
CACNA1C,0.31468433,False,1
CACNA1D,0.23037721,False,0
CACNA1G,0.2814385,False,-1
CACNA1I,0.13052998,False,-1
CACNA2D1,0.2063886,False,-1
CACNA2D3,0.1723237,False,1
CACNB1,0.2941305,False,-1
CACNB2,0.057183906,False,0
CACNB3,0.5869086,False,-1
CACNB4,0.50698966,False,-1
CACNG2,0.22161922,False,0
CACNG4,0.3260789,False,-1
CACNG7,0.08947481,False,-1
CACNG8,0.5458254,False,-1
CACYBP,0.50389,False,-1
CADM1,0.5591497,False,-1
CADM2,0.41998032,False,-1
CADM3,0.2827549,False,-1
CADM4,0.22146448,False,-1
CADPS,0.28976235,False,0
CADPS2,0.037702017,False,0
CAHM,0.05513728,False,-1
CALB1,0.15759286,False,-1
CALCR,0.11339973,False,-1
CALCRL,0.28000474,False,-1
CALM1,0.23106775,False,-1
CALM2,0.18125649,False,-1
CALM3,0.3202529,False,-1
CALML3-AS1,0.06523606,False,-1
CALN1,0.09173042,False,-1
CAMK1D,0.09072212,False,-1
CAMK2A,0.2746406,False,1
CAMK2B,0.16107154,False,1
CAMK2N1,0.30797428,False,-1
CAMK2N2,0.19020866,False,-1
CAMKK2,0.25802457,False,-1
CAMKV,0.082334004,False,-1
CAND2,0.2024022,False,-1
CANX,0.3089529,False,-1
CAP2,0.10114623,False,-1
CAPG,0.16241229,False,-1
CARD11,0.031370588,False,-1
CARD18,0.1316371,False,-1
CARD19,0.1548386,False,-1
CARF,0.10725631,False,-1
CARMN,0.050791692,False,-1
CARNMT1,0.033013664,False,-1
CARNS1,0.20643984,False,-1
CASC15,0.13173848,False,-1
CASC2,0.30989286,False,-1
CASK,0.18998502,False,1
CASKIN1,0.13562524,False,-1
CASP5,0.19390616,False,-1
CASQ1,0.20515977,False,-1
CASS4,0.06172652,False,-1
CASZ1,0.18487494,False,1
CAV1,0.13061413,True,0
CAVIN1,0.17026988,False,-1
CAVIN2,0.4315684,False,-1
CBARP,0.5132884,False,-1
CBFA2T2,0.16059004,False,-1
CBFB,0.25230554,False,-1
CBL,0.16699861,False,-1
CBLB,0.09729089,False,-1
CBLN2,0.18830556,False,0
CBLN4,0.3670866,False,-1
CBR3-AS1,0.08066426,False,-1
CBX6,0.17745061,False,-1
CBX7,0.27667537,False,-1
CC2D2B,0.66729677,False,-1
CCBE1,0.07317895,False,-1
CCDC102B,0.05244421,False,-1
CCDC110,0.06863799,False,-1
CCDC138,0.18062624,False,0
CCDC141,0.07457473,False,0
CCDC148,0.27625266,False,-1
CCDC15,0.014534658,False,0
CCDC151,0.16752501,False,-1
CCDC160,0.20812613,False,0
CCDC168,0.045035552,False,-1
CCDC169,0.01859152,False,-1
CCDC170,0.04653514,False,0
CCDC175,0.17313969,False,-1
CCDC178,0.6017142,False,-1
CCDC18,0.106168814,False,-1
CCDC183,0.002064135,False,-1
CCDC192,0.12439249,False,-1
CCDC25,0.19524764,False,-1
CCDC26,0.063402735,False,0
CCDC3,0.18299991,False,-1
CCDC33,0.15941946,False,0
CCDC61,0.062315263,False,0
CCDC68,0.049730368,False,-1
CCDC80,0.05951365,False,-1
CCDC81,0.034838375,False,-1
CCDC85A,0.4349547,False,-1
CCDC86,0.05541444,False,-1
CCDC88A,0.28407612,False,-1
CCDC88C,0.15288879,False,-1
CCK,0.12509753,False,-1
CCL19,0.3481463,False,-1
CCL2,0.044752486,False,0
CCL21,0.24916387,False,-1
CCM2L,0.09295191,False,-1
CCNA2,0.008264653,False,0
CCNB3,0.12943935,False,-1
CCND1,0.06140087,True,0
CCND2,0.24074368,False,-1
CCND3,0.20187962,False,-1
CCNE2,0.0047948235,False,-1
CCNG2,0.07145858,False,-1
CCNJ,0.5003842,False,-1
CCNJL,0.29414016,False,-1
CCNT2,0.09877148,False,-1
CCNYL1,0.18207774,False,-1
CCPG1,0.39692876,False,-1
CCR9,0.13218154,False,-1
CCSAP,0.3787741,False,-1
CCSER1,0.51489264,False,-1
CCT7,0.07060004,False,-1
CD101,0.20103814,False,-1
CD109,0.23177123,True,0
CD163,0.03991043,False,-1
CD163L1,0.12143741,False,-1
CD177,0.107881464,False,-1
CD1D,0.17230861,False,-1
CD200,0.20878932,False,-1
CD226,0.12340177,False,-1
CD247,0.16426575,False,-1
CD248,0.13989978,False,-1
CD34,0.021487124,False,-1
CD37,0.2805579,False,-1
CD38,0.20185089,False,-1
CD44,0.22588678,False,0
CD47,0.089785874,False,-1
CD5,0.05501746,False,-1
CD53,0.14973937,False,-1
CD55,0.10556601,False,-1
CD59,0.27891108,False,-1
CD68,0.11115021,False,0
CD69,0.10764173,False,-1
CD81,0.041410882,False,-1
CD83,0.10187154,False,0
CD84,0.20518549,False,-1
CD86,0.13460965,False,-1
CD8A,0.08835565,False,-1
CD9,0.11308973,False,-1
CD96,0.11151366,True,0
CD99L2,0.13772716,False,-1
CDC14A,0.037347607,False,-1
CDC20B,0.48796868,False,-1
CDC34,0.058282085,False,-1
CDC42EP3,0.07348603,False,-1
CDC42EP4,0.14384107,False,-1
CDC5L,0.22076625,False,-1
CDCA2,0.20516732,False,0
CDCA7L,0.33602655,True,0
CDH10,0.32075605,False,-1
CDH11,0.10044841,False,-1
CDH18,0.32310164,False,-1
CDH19,0.094043575,False,-1
CDH2,0.14164245,False,0
CDH20,0.29403538,False,0
CDH22,0.19486539,True,0
CDH23,0.17273395,False,-1
CDH26,0.06768392,False,-1
CDH4,0.32307634,False,-1
CDH6,0.24184267,False,-1
CDH7,0.33777246,False,-1
CDH8,0.19044867,False,-1
CDHR3,0.3737618,False,-1
CDK1,0.0028002572,False,0
CDK11B,0.015968807,False,-1
CDK15,0.10105518,False,-1
CDK18,0.16822203,False,-1
CDK19,0.018291136,False,1
CDK2AP1,0.11955433,False,-1
CDK5R1,0.26270822,False,0
CDK5R2,0.20599791,False,-1
CDK6,0.38362628,False,-1
CDK8,0.19633408,False,1
CDKL5,0.39014137,True,1
CDKN1A,0.075756826,False,-1
CDKN1C,0.051523738,False,-1
CDKN2B-AS1,0.27105042,False,-1
CDKN2D,0.3222544,False,-1
CDON,0.10393443,False,0
CDS1,0.08940751,False,-1
CDYL2,0.0936723,False,-1
CEACAM1,0.6579277,False,-1
CEBPA,0.111750714,False,0
CEBPB,0.2304351,False,-1
CEBPD,0.11278778,False,-1
CEBPG,0.07292992,False,-1
CELF2,0.77354753,False,1
CELF3,0.08862603,False,-1
CELF4,0.3894832,False,1
CELF5,0.60177296,False,-1
CELSR1,0.20137022,False,-1
CELSR2,0.4792318,False,-1
CENPA,0.037761524,False,-1
CENPB,0.061433043,False,-1
CENPBD1,0.20726213,False,-1
CENPE,0.0026540363,False,0
CENPF,0.0071412474,False,0
CENPI,0.01656636,False,0
CENPL,0.084797844,False,0
CENPU,0.0019697638,True,0
CENPW,0.53623194,False,-1
CEP128,0.08773913,False,-1
CEP135,0.11325158,False,-1
