gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1BG,0,0.07194599300000001,0.025609083507320485,0.037108127,0.068829514,0.07436009,0.10924211,0.070190124,True,False,False,False,False
A1CF,0,0.121856289,0.03723988757073126,0.121611185,0.10587396,0.18244796,0.11751091,0.08183743,False,False,False,False,True
A2M,0,0.0948765726,0.025883347342247752,0.0841095,0.09529383,0.124085695,0.057764098,0.11312974,False,True,False,False,False
A2ML1,0,0.0971043174,0.04017164710800889,0.16362129,0.09737367,0.08090132,0.08744261,0.056182697,False,True,False,False,False
A3GALT2,0,0.0754025958,0.022257372309371855,0.07195157,0.05549498,0.06637919,0.069597945,0.113589294,True,False,False,False,False
A4GALT,0,0.102643089,0.0163784141893792,0.089239515,0.12214926,0.116417944,0.084780976,0.10062775,False,True,False,False,False
AACS,0,0.08016797099999999,0.023524293275355903,0.090990655,0.10399124,0.09468621,0.04818477,0.06298698,False,False,False,True,False
AADACL4,0,0.06814271499999999,0.013451656635605462,0.055826757,0.073071525,0.06947572,0.054926187,0.087413386,False,False,False,True,False
AARD,0,0.098115412,0.016503829092782377,0.09765174,0.12318173,0.09398807,0.0770538,0.09870172,True,False,False,False,False
AASDHPPT,0,0.0809815832,0.024907461905338952,0.08162078,0.10813077,0.062680766,0.10235401,0.05012159,False,False,True,False,False
AATF,0,0.0689845904,0.009888679160689374,0.079610854,0.059332423,0.05766084,0.075439475,0.07287936,False,True,False,False,False
AATK,0,0.08394816060000002,0.0250802842229873,0.11945926,0.07373254,0.099358976,0.07010236,0.057087667,True,False,False,False,False
ABCA1,0,0.066656808,0.018696542165482964,0.077393875,0.03361249,0.07024541,0.077232525,0.07479974,False,False,True,False,False
ABCA10,1,0.0699272232,0.018698361612176112,0.045884714,0.092612304,0.058147028,0.08285167,0.0701404,False,True,False,False,False
ABCA13,1,0.0855419518,0.02899511953009846,0.11241875,0.091961086,0.054350253,0.05599278,0.11298689,False,False,False,True,False
ABCA2,0,0.0901627098,0.018113849737272727,0.06873135,0.085613035,0.105282344,0.07908803,0.11209879,False,False,True,False,False
