gene,score,validation,label
A2M,0.58556175,False,-1
AADACL2-AS1,0.73270285,False,-1
AAK1,0.66986567,False,-1
AANAT,0.932682,False,1
AATK,0.52872443,False,-1
ABCA10,0.626176,False,-1
ABCA12,0.6309622,False,-1
ABCA13,0.91857725,False,1
ABCA2,0.5181021,False,-1
ABCA4,0.19206525,False,-1
ABCA5,0.62804705,True,0
ABCA6,0.33583722,False,-1
ABCA8,0.69159865,False,-1
ABCB1,0.8767969,False,1
ABCC1,0.60775214,False,-1
ABCC12,0.58600664,False,-1
ABCC3,0.7673502,False,-1
ABCC4,0.7039706,False,-1
ABCG1,0.61832064,False,-1
ABCG2,0.7752292,False,-1
ABCG8,0.6338934,False,-1
ABHD15-AS1,0.64020586,False,-1
ABHD3,0.82374126,False,-1
ABHD8,0.9110529,False,-1
ABI3BP,0.4704161,False,-1
ABLIM2,0.7187563,False,-1
ABLIM3,0.58390814,False,-1
ABO,0.6059138,False,-1
ABTB2,0.641463,False,-1
AC000082.1,0.7472235,False,-1
AC002066.1,0.45812598,False,-1
AC002069.2,0.8754338,False,-1
AC002070.1,0.71047425,False,-1
AC002072.1,0.5242279,False,-1
AC002074.1,0.13794,False,-1
AC002351.1,0.046355966,False,-1
AC002377.1,0.66185856,False,-1
AC002383.1,0.2872748,False,-1
AC002429.2,0.66657907,False,-1
AC002454.1,0.24436805,False,-1
AC002472.1,0.41191435,False,-1
AC002480.2,0.6346096,False,-1
AC003044.1,0.8610256,False,-1
AC003666.1,0.12334526,False,-1
AC003973.1,0.7864621,False,-1
AC003984.1,0.69220555,False,-1
AC003991.1,0.7251666,False,-1
AC003991.2,0.42791712,False,-1
AC004014.1,0.4518584,False,-1
AC004052.1,0.19632407,False,-1
AC004066.2,0.6700939,False,-1
AC004067.1,0.29997873,False,-1
AC004083.1,0.61570555,False,-1
AC004147.5,0.38799086,False,-1
AC004158.1,0.62575513,False,-1
AC004160.1,0.37831828,False,-1
AC004231.3,0.7243251,False,-1
AC004264.1,0.7208178,False,-1
AC004690.2,0.71330816,False,-1
AC004704.1,0.37669253,False,-1
AC004835.1,0.64280957,False,-1
AC004852.2,0.75236386,False,-1
AC004870.4,0.53817844,False,-1
AC004875.1,0.73046976,False,-1
AC004879.1,0.61173177,False,-1
AC004917.1,0.6466205,False,-1
AC004936.1,0.74875534,False,-1
AC004941.1,0.6424535,False,-1
AC004946.1,0.39181116,False,-1
AC004949.1,0.28447694,False,-1
AC005009.2,0.6911456,False,-1
AC005021.1,0.7276506,False,-1
AC005062.1,0.6277971,False,-1
AC005064.1,0.5863634,False,-1
AC005100.2,0.36132845,False,-1
AC005165.1,0.7380075,False,-1
AC005244.2,0.46458045,False,-1
AC005252.4,0.21796618,False,-1
AC005280.2,0.66031,False,-1
AC005339.1,0.2976507,False,-1
AC005355.1,0.41103578,False,-1
AC005381.1,0.8534756,False,-1
AC005482.1,0.6753175,False,-1
AC005487.1,0.00080251566,False,-1
AC005537.1,0.4069886,False,-1
AC005597.1,0.62559116,False,-1
AC005599.1,0.5177466,False,-1
AC005616.1,0.6682875,False,-1
AC005692.1,0.06603975,False,-1
AC005699.1,0.8278374,False,-1
AC005772.1,0.7971367,False,-1
AC005808.1,0.30370843,False,-1
AC005821.1,0.57593083,False,-1
AC005906.2,0.6801423,False,-1
AC005909.2,0.46643594,False,-1
AC005972.3,0.62707657,False,-1
AC005993.1,0.73584473,False,-1
AC005998.1,0.4931346,False,-1
AC005999.2,0.70565206,False,-1
AC006007.1,0.42868075,False,-1
AC006041.2,0.82060033,False,-1
AC006058.1,0.621535,False,-1
AC006059.1,0.5397134,False,-1
AC006065.4,0.7175294,False,-1
AC006112.1,0.4265391,False,-1
AC006148.1,0.50797546,False,-1
AC006206.2,0.5406079,False,-1
AC006230.1,0.8088363,False,-1
AC006288.1,0.18287611,False,-1
AC006296.3,0.56874645,False,-1
AC006299.1,0.6692456,False,-1
AC006305.1,0.009574924,False,-1
AC006333.1,0.5067518,False,-1
AC006369.1,0.78466934,False,-1
AC006387.1,0.6675257,False,-1
AC006460.2,0.34659645,False,-1
AC006478.1,0.86950547,False,-1
AC006504.5,0.602038,False,-1
AC006974.2,0.19642146,False,-1
AC006994.2,0.74748963,False,-1
AC007032.1,0.5875966,False,-1
AC007091.1,0.69607455,False,-1
AC007100.1,0.16060992,False,-1
AC007221.1,0.6538417,False,-1
AC007262.2,0.70826876,False,-1
AC007271.1,0.34578258,False,-1
AC007317.2,0.54970634,False,-1
AC007319.1,0.7518601,False,-1
AC007327.2,0.52970034,False,-1
AC007364.1,0.6121822,False,-1
AC007368.1,0.13748927,False,-1
AC007389.1,0.6048645,False,-1
AC007391.3,0.4880928,False,-1
AC007402.1,0.76140517,False,-1
AC007422.1,0.22648108,False,-1
AC007423.1,0.34696946,False,-1
AC007527.1,0.41008535,False,-1
AC007529.2,0.57952607,False,-1
AC007563.2,0.44696313,False,-1
AC007608.3,0.12989002,False,-1
AC007611.1,0.63819146,False,-1
AC007614.1,0.17262448,False,-1
AC007652.3,0.6288726,False,-1
AC007656.2,0.6197999,False,-1
AC007743.1,0.5428853,False,-1
AC007881.4,0.33187103,False,-1
AC007923.4,0.5645338,False,-1
AC007938.1,0.92528564,False,-1
AC007991.3,0.84269166,False,-1
AC008014.1,0.67546296,False,-1
AC008050.1,0.6790018,False,-1
AC008056.1,0.69953924,False,-1
AC008121.2,0.17848668,False,-1
AC008269.1,0.6035666,False,-1
AC008415.1,0.4767737,False,-1
AC008443.9,0.49633357,False,-1
AC008456.1,0.58064044,False,-1
AC008459.1,0.6378673,False,-1
AC008505.1,0.8582511,False,-1
AC008543.5,0.57282627,False,-1
AC008568.1,0.5574725,False,-1
AC008571.2,0.7392229,False,-1
AC008574.1,0.5922705,False,-1
AC008591.1,0.53599477,False,-1
AC008601.1,0.43147263,False,-1
AC008691.1,0.87411124,False,-1
AC008696.2,0.14980063,False,-1
AC008747.1,0.25757363,False,-1
AC008759.3,0.76333964,False,-1
AC008780.1,0.2750009,False,-1
AC008825.1,0.6641903,False,-1
AC008840.1,0.219691,False,-1
AC008937.3,0.525488,False,-1
AC008945.2,0.6733826,False,-1
AC008957.2,0.69609135,False,-1
AC008964.1,0.6253744,False,-1
AC009021.2,0.4410693,False,-1
AC009041.2,0.54762155,False,-1
AC009063.2,0.79071885,False,-1
AC009063.3,0.56823486,False,-1
AC009158.1,0.2572393,False,-1
AC009226.1,0.65393955,False,-1
AC009236.1,0.5703608,False,-1
AC009236.2,0.5726837,False,-1
AC009262.1,0.4729266,False,-1
AC009264.1,0.7673892,False,-1
AC009268.3,0.69652957,False,-1
AC009271.1,0.47844276,False,-1
AC009313.1,0.6840879,False,-1
AC009315.1,0.5794323,False,-1
AC009365.1,0.1007737,False,-1
AC009413.2,0.3142966,False,-1
AC009432.2,0.73966205,False,-1
AC009435.1,0.47678837,False,-1
AC009509.1,0.7416949,False,-1
AC009518.1,0.1260915,False,-1
AC009522.1,0.5251477,False,-1
AC009560.3,0.5623752,False,-1
