gene,score,validation,label
A3GALT2,0.7690552,False,-1
AACS,0.5816332,False,-1
AADAC,0.59057194,False,-1
AASDHPPT,0.6769144,False,-1
AATK,0.6253624,False,-1
ABCA10,0.7629808,False,-1
ABCA2,0.7346119,False,-1
ABCA6,0.6866174,False,-1
ABCA8,0.6757553,False,-1
ABCB11,0.60597163,False,-1
ABCB9,0.67008114,False,-1
ABCC5,0.63989186,False,-1
ABCC8,0.69663525,False,-1
ABCC9,0.42737278,False,-1
ABHD3,0.6847472,False,-1
ABHD8,0.63123685,False,-1
ABI2,0.6540105,False,-1
ABI3BP,0.5040228,False,-1
ABLIM2,0.59410626,False,-1
ABTB2,0.6400533,False,-1
AC000065.1,0.73487204,False,-1
AC000067.1,0.8721664,False,-1
AC000372.1,0.48110026,False,-1
AC002066.1,0.40599298,False,-1
AC002069.2,0.6158624,False,-1
AC002070.1,0.54576,False,-1
AC002072.1,0.686747,False,-1
AC002074.1,0.7332521,False,-1
AC002377.1,0.8546094,False,-1
AC002383.1,0.5477533,False,-1
AC002429.2,0.88807845,False,-1
AC002460.2,0.5453749,False,-1
AC003044.1,0.89253616,False,-1
AC003084.1,0.1736734,False,-1
AC003659.1,0.6667955,False,-1
AC003991.1,0.7888679,False,-1
AC004052.1,0.7895051,False,-1
AC004083.1,0.63647664,False,-1
AC004158.1,0.63994706,False,-1
AC004160.1,0.63375497,False,-1
AC004231.1,0.90427256,False,-1
AC004470.1,0.6872177,False,-1
AC004540.1,0.49325624,False,-1
AC004593.2,0.57799083,False,-1
AC004690.2,0.61188483,False,-1
AC004704.1,0.8240395,False,-1
AC004784.1,0.62007886,False,-1
AC004832.6,0.68969285,False,-1
AC004852.2,0.63633275,False,-1
AC004870.4,0.76900315,False,-1
AC004917.1,0.60019004,False,-1
AC004936.1,0.59381086,False,-1
AC004947.3,0.6216524,False,-1
AC004949.1,0.61669666,False,-1
AC005009.1,0.78850824,False,-1
AC005040.2,0.51361626,False,-1
AC005041.3,0.7550052,False,-1
AC005050.3,0.69231385,False,-1
AC005062.1,0.33313718,False,-1
AC005064.1,0.55829436,False,-1
AC005162.3,0.64476067,False,-1
AC005165.1,0.6080606,False,-1
AC005208.1,0.2770535,False,-1
AC005225.2,0.63479245,False,-1
AC005229.5,0.65267754,False,-1
AC005332.1,0.48391244,False,-1
AC005355.1,0.7145567,False,-1
AC005482.1,0.78024507,False,-1
AC005523.1,0.70524263,False,-1
AC005537.1,0.8492452,False,-1
AC005597.1,0.9810501,False,-1
AC005699.1,0.6776379,False,-1
AC005703.4,0.80886924,False,-1
AC005740.5,0.6266007,False,-1
AC005821.1,0.60733014,False,-1
AC005888.1,0.6250223,False,-1
AC005906.2,0.65034163,False,-1
AC005909.2,0.63392204,False,-1
AC005972.3,0.61671793,False,-1
AC005993.1,0.45645443,False,-1
AC005999.2,0.73408985,False,-1
AC006008.1,0.62256205,False,-1
AC006058.1,0.6872236,False,-1
AC006059.1,0.5713104,False,-1
AC006112.1,0.82894117,False,-1
AC006115.2,0.59963995,False,-1
AC006148.1,0.3847647,False,-1
AC006206.2,0.413474,False,-1
AC006296.3,0.7294261,False,-1
AC006305.1,0.9590273,False,-1
AC006369.1,0.5491244,False,-1
AC006387.1,0.57788455,False,-1
AC006460.2,0.5820537,False,-1
AC006478.1,0.9125168,False,-1
AC006504.5,0.382247,False,-1
AC006511.4,0.8339324,False,-1
AC007032.1,0.52256596,False,-1
AC007091.1,0.7466542,False,-1
AC007221.1,0.8806788,False,-1
AC007262.2,0.63298345,False,-1
AC007271.1,0.6027565,False,-1
AC007317.2,0.7418242,False,-1
AC007319.1,0.6750509,False,-1
AC007344.1,0.2171931,False,-1
AC007349.1,0.6042382,False,-1
AC007364.1,0.59015673,False,-1
AC007368.1,0.63933784,False,-1
AC007389.1,0.6470116,False,-1
AC007389.3,0.67432433,False,-1
AC007402.1,0.78093415,False,-1
AC007405.1,0.3467727,False,-1
AC007405.2,0.30526635,False,-1
AC007422.1,0.7315748,False,-1
AC007432.1,0.95339197,False,-1
