gene,score,validation,label
A2M,0.44459164,True,0
AACS,0.42371053,False,0
AADACL2-AS1,0.43970025,False,0
ABCA1,0.49547878,False,0
ABCA12,0.28372422,False,0
ABCA4,0.57337755,False,0
ABCA8,0.25850183,True,0
ABCB1,0.4370879,False,0
ABCB11,0.5581929,False,0
ABCB4,0.3308611,False,0
ABCC12,0.3265739,False,0
ABCC3,0.66080296,False,0
ABCC4,0.120348275,False,0
ABCC9,0.33807802,False,0
ABCG2,0.49470338,False,0
ABHD3,0.70207256,False,0
ABHD6,0.06638939,False,0
ABI3BP,0.3578263,False,0
ABO,0.5034374,False,0
ABRA,0.55550045,False,0
ABTB2,0.36862805,False,0
AC000061.1,0.49575678,False,0
AC000082.1,0.058177773,False,0
AC000113.1,0.6081497,True,0
AC000372.1,0.46973774,False,0
AC002057.1,0.13079199,False,0
AC002066.1,0.5200806,False,0
AC002069.2,0.3183961,False,0
AC002070.1,0.5727388,True,0
AC002072.1,0.19489455,False,0
AC002074.1,0.46856484,False,0
AC002331.1,0.17263673,False,0
AC002377.1,0.64707524,False,0
AC002383.1,0.24577363,False,0
AC002386.1,0.5032118,False,0
AC002429.2,0.52969694,False,0
AC002451.1,0.40713573,False,0
AC002454.1,0.5058458,True,0
AC002460.2,0.49884763,False,0
AC003044.1,0.41583908,False,0
AC003092.1,0.35659298,False,0
AC003093.1,0.6570816,False,0
AC003666.1,0.2955572,False,0
AC003984.1,0.34744096,False,0
AC003985.1,0.37857524,False,0
AC003988.1,0.34882388,False,0
AC003991.1,0.17440525,False,0
AC004014.1,0.42334783,False,0
AC004047.1,0.34122223,False,0
AC004052.1,0.31620163,False,0
AC004053.1,0.33241197,True,0
AC004083.1,0.3982675,False,0
AC004158.1,0.4896395,True,0
AC004160.1,0.44837663,False,0
AC004485.1,0.2646113,False,0
AC004551.1,0.02784076,False,0
AC004594.1,0.45250407,False,0
AC004597.1,0.33597893,False,0
AC004690.2,0.16474165,False,0
AC004704.1,0.14236055,False,0
AC004784.1,0.22112687,False,0
