gene,score,validation,label
AACS,0.6057686,False,0
AADACL2-AS1,0.48336306,False,0
AATK,0.39182994,False,0
ABCA10,0.39264572,False,0
ABCA2,0.51192236,True,0
ABCA3,0.37442926,True,0
ABCA4,0.411153,False,0
ABCA5,0.585862,False,0
ABCA6,0.3967329,False,0
ABCA8,0.41975194,False,0
ABCB1,0.51870805,False,1
ABCB9,0.332771,False,0
ABCC12,0.40895748,False,0
ABCC5,0.6651455,True,0
ABCC8,0.8344497,False,0
ABCC9,0.5228231,True,0
ABCG2,0.49556756,False,0
ABHD12B,0.5003032,False,0
ABHD17B,0.58403265,True,0
ABHD17C,0.49216762,False,0
ABHD2,0.4844192,False,0
ABHD6,0.56726116,False,0
ABI2,0.476833,False,0
ABI3BP,0.49676356,False,0
ABLIM1,0.51920617,True,0
ABLIM2,0.516441,False,0
ABLIM3,0.46590018,True,0
ABO,0.3766376,False,0
ABTB2,0.6754212,False,0
AC000068.3,0.4701536,False,0
AC002066.1,0.40742192,True,0
AC002069.2,0.5473978,True,0
AC002072.1,0.41461414,False,0
AC002377.1,0.5249593,False,0
AC002383.1,0.5366113,False,0
AC002401.4,0.53309673,False,0
AC002429.2,0.35183588,False,0
AC002454.1,0.40195644,False,0
AC002460.2,0.47521368,True,0
AC002550.1,0.6541853,True,0
AC003044.1,0.4263549,False,0
AC003659.1,0.38794217,True,0
AC003991.1,0.4048183,False,0
AC004047.1,0.27343383,True,0
AC004052.1,0.51971495,False,0
AC004054.1,0.5318515,False,0
AC004083.1,0.19781366,False,0
AC004147.5,0.4134162,False,0
AC004158.1,0.66626173,False,0
AC004160.1,0.36345464,True,0
AC004485.1,0.41247597,False,0
AC004540.1,0.5557662,False,0
AC004585.1,0.73946154,False,0
AC004594.1,0.4904973,True,0
AC004690.2,0.44806877,False,0
AC004704.1,0.3993382,False,0
AC004765.1,0.29065114,False,0
AC004784.1,0.43546754,False,0
AC004852.2,0.33731955,True,0
AC004870.4,0.3523386,True,0
AC004879.1,0.33530235,False,0
AC004930.1,0.18341884,False,0
AC004943.1,0.40628174,True,0
AC004946.1,0.5675799,True,0
AC004949.1,0.4394838,False,0
AC005009.2,0.3244303,False,0
AC005040.2,0.07017362,False,0
AC005042.2,0.35810196,False,0
AC005050.3,0.97386926,False,0
AC005062.1,0.2329557,False,0
AC005162.3,0.5081777,False,0
AC005208.1,0.51221627,True,0
AC005225.2,0.64737916,False,0
AC005229.5,0.4594316,False,0
AC005323.2,0.31500572,False,0
AC005381.1,0.35507777,True,0
AC005394.1,0.3643939,False,0
AC005400.1,0.48527566,False,0
AC005482.1,0.40751386,True,0
AC005537.1,0.3448217,True,0
AC005548.1,0.42011675,False,0
AC005580.1,0.24509253,False,0
AC005599.1,0.30018163,False,0
AC005609.1,0.48743317,False,0
AC005670.1,0.054486778,False,0
AC005740.5,0.38775134,False,0
AC005757.1,0.42499313,False,0
AC005772.2,0.34410623,False,0
AC005821.1,0.60409427,True,0
AC005906.2,0.495312,False,0
AC005908.3,0.5954218,False,0
AC005909.2,0.47612676,False,0
AC005972.3,0.29374537,False,0
AC005993.1,0.36504886,True,0
AC005999.2,0.30064413,False,0
AC006007.1,0.6619637,False,0
AC006041.2,0.3789472,False,0
AC006058.1,0.14187609,False,0
AC006059.1,0.5622921,False,0
AC006111.2,0.4323398,False,0
AC006112.1,0.40129867,False,0
AC006115.2,0.41141912,False,0
AC006144.2,0.42555937,True,0
AC006145.1,0.5542402,False,0
AC006148.1,0.5562854,False,0
AC006148.2,0.3566783,True,0
AC006206.2,0.3672029,False,0
AC006296.3,0.37615758,False,0
AC006299.1,0.3845191,False,0
AC006305.1,0.5780421,True,0
AC006305.3,0.4967476,False,0
AC006364.1,0.24468137,False,0
AC006387.1,0.20920002,False,0
AC006504.5,0.2110234,False,0
AC007091.1,0.40458426,False,0
AC007106.2,0.25617442,True,0
AC007221.1,0.35282323,False,0
AC007250.1,0.37973267,False,0
AC007271.1,0.36414802,True,0
AC007277.1,0.22426432,True,0
AC007317.1,0.35327893,False,0
AC007317.2,0.50001925,True,0
