gene,score,validation,label
A2M,0.07641511,False,0
AACS,0.12655674,False,0
AADACL2-AS1,0.07946987,False,0
AAK1,0.1416112,True,0
ABCA1,0.06791785,False,0
ABCA10,0.07516057,False,1
ABCA6,0.049664564,False,0
ABCB1,0.10173904,True,0
ABCB4,0.100219525,False,0
ABCC3,0.093925364,False,0
ABCC4,0.08173098,False,0
ABCC8,0.07108969,False,0
ABCC9,0.12902796,True,0
ABCF2,0.08781901,True,0
ABCG2,0.09280739,True,0
ABHD17C,0.13253893,False,0
ABHD18,0.05979468,False,0
ABHD2,0.063148975,False,0
ABHD3,0.15456927,True,0
ABHD8,0.08614658,True,0
ABI1,0.13601151,False,0
ABI2,0.1308745,False,0
ABI3BP,0.13864724,False,0
ABL1,0.11733609,False,0
ABLIM1,0.14795303,True,0
ABLIM2,0.094799936,True,0
ABLIM3,0.05196352,False,0
ABR,0.08282985,False,0
ABRACL,0.11290869,True,0
ABTB2,0.0998268,False,0
ACAN,0.061206482,False,0
ACAP2,0.17798422,False,0
ACO1,0.0889754,False,0
ACSBG1,0.084441386,False,0
ACSBG2,0.08601312,False,0
ACTA1,0.04730962,False,0
ACTA2,0.09683751,False,0
ACTB,0.054095384,False,1
ACTG1,0.04295616,False,0
ACTN1,0.11298991,True,0
ACTN2,0.07244336,False,0
ACTR2,0.15639229,False,0
ACVR1,0.14110065,True,0
ACVR1C,0.13988903,True,0
ACY3,0.031494215,False,0
ADAM12,0.14723296,True,0
ADAM19,0.091498256,True,0
ADAM23,0.16872163,False,0
ADAM28,0.056216244,True,0
ADAM33,0.080968,False,0
ADAM7,0.116757326,False,0
ADAMTS10,0.029336158,False,0
ADAMTS12,0.04432256,False,0
ADAMTS15,0.06890998,False,0
ADAMTS16,0.11591136,False,0
ADAMTS19-AS1,0.09213282,False,0
ADAMTS20,0.09457658,False,0
ADAMTS3,0.10676763,False,0
ADAMTS6,0.124125674,False,0
ADAMTS9,0.077104956,False,0
ADAMTS9-AS2,0.16900176,True,0
ADAMTSL1,0.11075429,False,0
ADAMTSL2,0.08637238,False,0
ADARB1,0.08653779,False,0
