gene,score,validation,label
A2M,0.11404687,False,0
AACS,0.06750229,False,0
ABCA10,0.058257144,False,1
ABCA4,0.063308075,False,0
ABCA8,0.059237577,False,0
ABCB1,0.060915526,False,0
ABCB4,0.10886207,False,0
ABCC4,0.12033687,False,0
ABCC8,0.08604702,False,0
ABCF2,0.077197246,False,0
ABCG2,0.053284615,False,0
ABHD12B,0.070324086,False,0
ABHD17A,0.083572716,False,0
ABHD17B,0.11501948,False,0
ABHD3,0.086882494,False,0
ABI2,0.09783447,False,0
ABI3BP,0.06515265,False,0
ABL1,0.12314898,False,0
ABLIM1,0.11701921,False,0
ABLIM2,0.07236,False,0
ABR,0.083846785,False,0
ABTB2,0.11496717,False,0
ACAN,0.11555469,False,0
ACER2,0.0703752,False,0
ACER3,0.0919302,False,0
ACKR3,0.04668026,False,0
ACMSD,0.050843325,True,0
ACO1,0.052993614,False,0
ACOT12,0.121116504,False,0
ACSBG1,0.054221462,False,0
ACSBG2,0.058754638,True,0
ACSL5,0.039019603,True,0
ACTA2,0.06163812,False,0
ACTB,0.058173776,False,1
ACTG1,0.079841785,False,0
ACTN2,0.08727537,False,0
ACTR2,0.11562466,False,0
ACVR1,0.12067881,False,0
ACVR1C,0.11465953,False,0
ADA,0.079693295,False,1
ADAM12,0.06268091,False,0
ADAM19,0.12412004,True,0
ADAM23,0.11830723,False,0
ADAM28,0.08667645,False,0
ADAMTS1,0.063650735,False,0
ADAMTS18,0.06567907,False,0
ADAMTS20,0.10792029,True,0
ADAMTS3,0.11055681,False,0
ADAMTS9,0.10044929,False,0
ADAMTSL1,0.100783564,False,0
ADAMTSL3,0.08857048,False,0
ADAMTSL4-AS1,0.051733784,False,0
ADAP2,0.1353559,True,0
ADARB1,0.09215805,False,0
ADCY1,0.065777645,False,0
ADCY2,0.10604865,True,0
ADCY4,0.041975018,False,0
ADCY7,0.12009106,False,0
ADD2,0.11296604,False,0
ADD3-AS1,0.1220792,False,0
ADGRB3,0.11519967,True,0
ADGRD1,0.05611809,True,0
ADGRF5,0.13348477,False,0
ADGRL2,0.0889259,False,0
ADGRL4,0.068007104,False,0
ADIPOR2,0.11290664,False,0
ADK,0.086384796,False,1
ADNP,0.0999516,False,1
ADNP2,0.045730017,False,0
ADORA3,0.07300809,False,1
ADRA1A,0.06662575,False,0
ADRA2C,0.064421475,False,0
ADRB2,0.07386184,False,1
ADSS,0.088635094,False,0
AFF1,0.038735803,False,0
AFF2,0.09280124,False,1
AFF3,0.12621647,True,0
AFF4,0.10056517,False,0
AGAP2,0.13243721,False,1
AGBL3,0.12979864,False,0
AGBL4,0.071491465,True,1
AGGF1,0.06690773,False,0
AGT,0.06706663,False,0
AGTPBP1,0.12971108,False,0
AHCTF1,0.09108812,False,0
AHCYL2,0.13270731,False,0
AHDC1,0.06894011,False,1
AHI1,0.11921669,False,0
AHR,0.10359679,False,0
AIG1,0.080049895,False,0
AIM2,0.06509234,False,0
AIRE,0.03880294,False,0
AJAP1,0.10954711,False,0
AK5,0.113436155,False,0
AKAP12,0.066126294,False,0
AKR1C8P,0.05868614,False,0
ALDH1A2,0.06645335,True,0
ALDH1L1-AS2,0.06975748,False,0
ALK,0.10106795,False,0
ALOX5,0.047603805,False,0
ALOX5AP,0.054240666,True,0
ALPK1,0.08891776,False,0
ALX3,0.042984277,False,0
ALX4,0.049591135,True,0
AMBRA1,0.13412516,True,0
AMER2,0.10141801,False,0
AMIGO2,0.069142915,False,0
AMMECR1,0.08089083,False,0
AMN1,0.12702732,False,0
AMOTL2,0.09466221,False,0
AMPD3,0.0713946,False,0
ANGPT2,0.06190317,True,0
ANGPTL2,0.10254202,False,0
ANK1,0.053613856,True,0
ANK3,0.13148363,False,1
ANKH,0.12212792,True,0
ANKIB1,0.076821,True,0
ANKRD29,0.04327578,True,0
ANKRD30A,0.062548496,False,0
ANKRD30B,0.039338052,True,0
ANKRD30BL,0.12850818,False,0
ANKRD33B,0.038298953,False,0
ANKRD34B,0.045062616,True,0
ANKRD34C-AS1,0.06332808,False,0
ANKRD6,0.10918287,False,0
ANKRD62,0.06532364,False,0
ANKS1B,0.11594504,False,1
ANO10,0.051501997,False,0
ANO2,0.057363547,False,0
ANOS1,0.0730187,False,0
ANXA11,0.07057583,False,0
ANXA2,0.07474954,False,0
ANXA3,0.04934372,True,0
ANXA4,0.12299932,False,0
AOAH,0.06886179,False,0
AP1S1,0.061784428,False,0
AP1S2,0.045838267,False,0
APBA1,0.12903087,False,0
APBB1IP,0.051181503,False,0
APEX2,0.060804795,False,0
APLNR,0.05359604,True,0
APOD,0.06454069,False,0
APOE,0.05991251,True,0
APOL2,0.06642873,False,0
APOLD1,0.05562896,False,0
APOM,0.06312898,False,0
APP,0.12032368,False,0
AQP4,0.070981905,False,0
AQP4-AS1,0.062420446,True,0
AR,0.09607629,True,1
ARC,0.0757382,False,0
ARF3,0.09470125,False,1
ARFGAP1,0.073514566,False,0
ARG1,0.05392224,False,0
ARHGAP10,0.12523815,False,0
ARHGAP11A,0.07050901,False,0
ARHGAP11B,0.055080153,False,1
ARHGAP15,0.11142638,False,0
ARHGAP18,0.1312233,False,0
ARHGAP20,0.086680114,False,0
ARHGAP24,0.052669115,False,0
ARHGAP25,0.09365153,False,0
ARHGAP26,0.11236712,True,0
ARHGAP29,0.12702017,False,0
ARHGAP44,0.094539754,False,0
ARHGAP5,0.11812123,False,1
ARHGAP5-AS1,0.1088322,False,0
ARHGAP6,0.10299714,True,0
ARHGAP9,0.090519056,False,0
ARHGDIG,0.046174716,True,0
ARHGEF15,0.078559466,False,0
ARHGEF2,0.08589978,False,1
ARHGEF26-AS1,0.064270586,True,0
ARHGEF28,0.04748493,False,0
ARHGEF3,0.08661445,False,0
ARID3A,0.07303132,False,0
ARID3B,0.05579484,False,0
ARID5A,0.04394566,False,0
ARID5B,0.049170036,False,0
ARL13B,0.058145683,False,0
ARL4C,0.042395387,True,0
ARL5C,0.057390455,False,0
ARL6IP1,0.058954157,False,0
ARMC2,0.051376708,False,0
ARMC4,0.06131273,False,0
ARNT,0.11951854,False,0
ARNT2,0.09729496,False,1
ARNTL,0.124301456,False,0
ARNTL2,0.06747327,False,0
ARPP19,0.07538804,False,0
ARPP21,0.12152381,False,0
ARRDC3-AS1,0.08955671,False,0
ARSG,0.09870084,False,0
ARSI,0.06502783,False,0
ARSJ,0.13448706,False,0
ASAP2,0.12561448,False,1
ASB11,0.08287748,True,0
ASB5,0.12990102,True,0
ASCC1,0.115523405,False,0
ASCL1,0.1071073,False,0
ASCL2,0.054682292,True,0
ASPA,0.06194051,False,0
ASPHD1,0.040878925,True,0
ASPM,0.054650214,False,1
ASPSCR1,0.06784098,False,0
ASXL3,0.09058748,False,1
ATAD2,0.06690016,False,0
ATF1,0.047783297,True,0
ATF2,0.08171655,False,0
ATF3,0.11830696,True,0
ATF5,0.062360693,False,0
ATF6,0.08754013,False,0
ATF6B,0.055516638,False,0
ATF7,0.062403787,False,0
ATF7IP2,0.09464321,False,0
ATG10,0.11523003,False,0
ATG7,0.09012357,False,0
ATOH7,0.073433205,False,0
ATOH8,0.13244624,False,0
ATP10A,0.05405679,False,1
ATP13A5,0.07024875,False,0
ATP1A1,0.056189127,False,1
ATP1A2,0.04523726,True,0
ATP1A3,0.05785908,False,1
ATP1B2,0.056370422,False,0
ATP1B3,0.07832427,False,0
ATP2B2,0.060794655,False,1
ATP2C1,0.11047956,False,0
ATP6V0C,0.05056128,False,0
ATP6V1A,0.118986,True,0
ATP6V1B2,0.08616347,False,0
ATP6V1H,0.07527821,False,0
ATP7B,0.06990769,False,0
ATP8A1,0.13095161,False,0
ATP8A2,0.065654516,False,0
ATP8B1,0.122727364,False,0
ATP8B4,0.10083318,False,0
ATP9A,0.08319531,False,0
ATRNL1,0.10816857,False,0
ATXN1,0.11391776,False,0
ATXN7L2,0.051996656,False,0
AURKB,0.051332746,True,0
AUTS2,0.12289406,False,1
AVEN,0.0656102,True,0
AZIN2,0.13117903,False,0
AZU1,0.054396488,True,0
B2M,0.04725735,False,0
B3GLCT,0.09011786,False,0
B3GNT5,0.10032888,False,0
B4GALT1,0.058151808,False,0
BAALC,0.060689583,False,0
BACE2,0.08658495,False,0
BACH1,0.096948095,True,0
BACH2,0.11195851,False,0
BAIAP2,0.042632237,True,0
BAIAP3,0.118416056,False,0
BANK1,0.057965122,False,0
BANP,0.084917404,False,0
BARHL1,0.068073295,False,0
BARHL2,0.05255659,False,0
BARX2,0.135574,False,0
BASP1,0.08027645,False,0
BATF,0.10656092,False,0
BBOX1,0.0486463,True,0
BBX,0.09586428,False,0
BCAR3,0.05487845,False,0
BCAS1,0.13124113,False,1
BCAT1,0.06701193,False,0
BCL11A,0.13365567,False,1
BCL11B,0.08909305,False,1
BCL6,0.11572199,False,0
BCL6B,0.12399324,False,0
BCLAF1,0.11130119,False,0
BDKRB2,0.07192769,False,0
BDNF,0.09325632,False,0
BEST3,0.1272861,False,0
BEX1,0.066948324,False,0
BEX2,0.09904343,False,0
BEX3,0.060524292,False,0
BEX5,0.050677165,True,0
BHLHE22,0.055946052,False,0
BHLHE40,0.051934823,False,0
BHLHE41,0.12275379,False,0
BICC1,0.080114365,False,0
BICDL1,0.116874754,True,1
BIN1,0.06376489,False,0
BIN2,0.09107395,True,0
BIRC3,0.04503827,False,0
BIRC5,0.06770836,True,0
BLNK,0.07532031,False,0
BMP2K,0.10068303,False,0
BMP4,0.07099356,False,0
BMP5,0.112570964,False,0
BMP6,0.07494153,False,0
BMPER,0.118897416,False,0
BMPR1B,0.09628471,True,0
BMX,0.11101503,False,0
BNC1,0.08456907,False,0
BNC2,0.047507647,False,0
BOC,0.091946155,False,0
BOK-AS1,0.05975517,False,0
BOLL,0.1335394,False,0
BORCS5,0.05165205,True,0
BPTF,0.101433836,False,0
BRCA1,0.06246017,False,0
BRCA2,0.072107226,True,1
BRF1,0.1226137,False,0
BRINP1,0.1137229,False,0
BRINP2,0.071514316,False,0
BRIP1,0.077967994,False,0
BSG,0.06306499,False,0
BSN,0.06597065,False,0
BTBD3,0.12544087,False,0
BTBD7,0.1340356,True,0
BTBD9,0.0534106,False,0
BTNL8,0.08883606,False,0
BTNL9,0.06756933,False,0
BUB1,0.0744296,False,0
BUB1B,0.06652263,False,0
BVES,0.06561726,False,0
C10orf90,0.11586323,False,0
C11orf45,0.08694884,False,0
C11orf49,0.07148406,False,0
C11orf65,0.0580202,False,0
C11orf87,0.09313215,False,0
C12orf42,0.08616092,False,0
C12orf60,0.067550994,False,0
C12orf75,0.11402082,False,0
C14orf132,0.037311453,True,0
C14orf39,0.04391058,False,0
C16orf74,0.08308493,False,0
C17orf50,0.0979077,False,0
C18orf25,0.1045548,True,0
C19orf25,0.05753811,False,0
C1GALT1,0.12145142,True,0
C1QTNF4,0.08392453,False,0
C1orf115,0.059237856,True,0
C1orf167,0.096368775,False,0
C1orf185,0.0708319,False,0
C21orf58,0.073894605,False,0
C21orf62-AS1,0.11620656,False,0
C21orf91,0.13179867,False,0
C2CD2,0.115871295,False,0
C3,0.05926079,True,0
C3orf22,0.12508604,False,0
C3orf67,0.12003646,False,0
C4orf19,0.072340734,False,0
C4orf45,0.06980386,False,0
C5AR2,0.06476338,False,0
C5orf34,0.062404484,False,0
C5orf64,0.12727222,False,0
C7,0.06667387,False,0
C7orf31,0.06992734,False,0
C7orf57,0.06363602,False,0
C8orf87,0.075898305,False,0
C9orf129,0.11272097,False,0
C9orf16,0.061092168,False,0
CA12,0.09877913,False,0
CA2,0.11535619,False,0
CA3,0.06497738,False,0
CA8,0.062174432,False,0
CABLES1,0.12060906,False,0
CABP1,0.0853562,False,0
CACHD1,0.08083772,False,0
CACNA1A,0.0685105,True,1
CACNA1C,0.11014532,False,1
CACNA1D,0.118161,False,1
CACNA1G,0.09452411,False,1
CACNA1G-AS1,0.09979886,False,0
CACNA2D1,0.11653279,False,1
CACNA2D3,0.069457866,False,1
CACNB2,0.067295834,False,1
CACNB4,0.0643375,True,0
CACNG2,0.06723932,False,1
CACNG3,0.064291626,False,0
CACNG5,0.10477996,True,0
CADM1,0.11613198,False,1
CADM2,0.118257575,True,1
CADM3,0.065892056,False,0
CADPS,0.1192686,False,1
CADPS2,0.12672065,False,1
CALB2,0.053629763,False,0
CALCB,0.083618015,False,0
CALCRL,0.061527167,False,0
CALM1,0.119360134,False,0
CALM2,0.066968575,False,0
CALM3,0.0808663,False,0
CALN1,0.08641259,False,0
CAMK1D,0.08809565,False,0
CAMK2A,0.06505275,False,1
CAMK2B,0.07388741,False,0
CAMK2D,0.071058564,False,0
CAMK2N1,0.0761139,False,0
CAMKK2,0.11631829,False,0
CAMKMT,0.056297064,False,0
CAMKV,0.068733215,False,0
CANX,0.04877632,True,0
CAP2,0.05730845,False,0
CAPN13,0.08758849,False,0
CAPN14,0.07970265,False,0
CARD11,0.045068305,False,1
CARD18,0.065385915,False,0
CARD6,0.055897515,False,0
CARF,0.118802,False,0
CARMN,0.07453181,False,0
CARNS1,0.0714687,False,0
CARTPT,0.053717982,True,0
CASC15,0.13177769,True,0
CASC6,0.062351324,False,0
CASP5,0.077892795,False,0
CASR,0.06876698,True,0
CASS4,0.066116065,False,0
CBFA2T2,0.11381844,False,0
CBLN2,0.11595217,False,0
CBX6,0.053326994,True,0
