gene,score,validation,label
A1BG,0.091555186,False,0
A1CF,0.10239754,False,0
A2M,0.042395726,False,0
A2ML1,0.05689162,False,0
A3GALT2,0.10360044,False,0
A4GALT,0.08261163,False,0
AACS,0.04528242,False,0
AADACL4,0.03158764,False,0
AARD,0.10043109,False,0
AASDHPPT,0.12436328,False,0
AATF,0.05831827,False,0
AATK,0.07259252,False,0
ABCA1,0.11317084,False,0
ABCA10,0.07253417,False,1
ABCA13,0.06132787,False,1
ABCA2,0.09561277,False,0
ABCA3,0.11541367,False,0
ABCA4,0.1564082,False,0
ABCA6,0.047589906,False,0
ABCA8,0.08597272,False,0
ABCB1,0.1304158,False,0
ABCC4,0.06369764,False,0
ABCC6,0.07455094,False,0
ABCC8,0.064898394,False,0
ABCC9,0.15621318,False,0
ABCF2,0.07807477,False,0
ABCG1,0.057755545,False,0
ABCG2,0.047882922,True,0
ABHD14A,0.05679019,False,0
ABHD17C,0.069016635,False,0
ABHD2,0.13506812,False,0
ABHD3,0.08375789,False,0
ABHD5,0.0734687,False,0
ABHD8,0.060243238,False,0
ABL1,0.14591366,False,0
ABLIM2,0.13824712,False,0
ABLIM3,0.14486095,False,0
ABR,0.1614773,False,0
ABT1,0.08376206,False,0
ABTB2,0.15168335,False,0
ACAT2,0.111089446,False,0
ACER2,0.06847226,False,0
ACER3,0.15173076,False,0
ACKR3,0.08870027,False,0
ACO1,0.12917367,False,0
ACSBG1,0.06502097,False,0
ACSM6,0.123726554,False,0
ACTA2,0.114908874,False,0
ACTG1,0.07975807,False,0
ACTG2,0.073899455,False,0
ACTN1,0.050050415,True,0
ACTN2,0.09732363,False,0
ACTR2,0.06693217,False,0
ACVR1,0.07096611,False,0
ACVR1B,0.08525484,False,0
ACVR1C,0.059537366,False,0
ACVRL1,0.07105015,False,0
ADA,0.1557946,False,1
ADAM11,0.022469323,False,0
ADAM12,0.07554938,False,0
ADAM19,0.07019226,False,0
ADAM23,0.042677075,True,0
ADAM28,0.0794568,False,0
ADAMTS1,0.14964128,False,0
ADAMTS12,0.15567143,False,0
ADAMTS14,0.0874949,False,0
ADAMTS15,0.11637975,True,0
ADAMTS16,0.15603293,False,0
ADAMTS17,0.1416612,False,0
ADAMTS18,0.1569139,False,0
ADAMTS3,0.097701214,True,0
ADAMTS5,0.06041563,False,0
ADAMTS6,0.09083703,False,0
ADAMTS8,0.14653447,False,0
ADAMTS9,0.090385914,False,0
ADAMTS9-AS1,0.1513407,False,0
ADAMTSL1,0.13134113,True,0
ADAMTSL2,0.15922034,False,0
ADAMTSL3,0.046388373,True,0
ADAMTSL4-AS1,0.051854715,False,0
ADAMTSL5,0.15880519,True,0
ADAP1,0.101457916,False,0
ADARB1,0.06130903,False,0
ADARB2,0.079174384,False,0
ADCY1,0.15249622,False,0
ADCY2,0.15365452,False,0
ADCY8,0.15233275,False,0
ADCYAP1R1,0.12981209,False,0
ADD2,0.15546101,False,0
ADD3-AS1,0.13794364,False,0
ADGRA1,0.113273285,False,0
ADGRA3,0.052852035,True,0
ADGRB1,0.11136855,False,0
ADGRB2,0.110094115,False,0
ADGRB3,0.15418503,False,0
ADGRD1,0.1267405,False,0
ADGRE2,0.093386434,False,0
ADGRF5,0.13463254,False,0
ADGRG1,0.070555784,False,0
ADGRL1,0.13951015,True,1
ADGRL2,0.15062734,True,0
ADGRL3,0.12321901,False,0
ADGRL4,0.102131076,False,0
ADGRV1,0.13765451,False,0
ADI1,0.058482446,False,0
ADIRF,0.038878642,True,0
ADM,0.1556798,True,0
ADNP,0.12338399,False,1
ADNP2,0.07100348,False,0
ADORA2B,0.15369552,False,0
ADORA3,0.11754626,False,1
ADPRHL1,0.13521247,False,0
ADRA1A,0.11535842,False,0
ADRA2C,0.12836578,False,0
ADTRP,0.057557676,False,0
AFAP1,0.15635577,False,0
AFAP1L1,0.13656156,False,0
AFF2,0.12733778,False,1
AFF3,0.15330161,True,0
AFF4,0.15628688,False,0
AGAP1,0.12318043,False,1
AGAP2,0.09053804,False,1
AGBL2,0.12521037,False,0
AGBL3,0.115687355,False,0
AGGF1,0.06466291,False,0
AGPAT1,0.113784984,False,0
AGR3,0.071654014,False,0
AGRN,0.11025977,False,0
AGTPBP1,0.059948646,False,0
AGTR1,0.09219284,False,0
AHCTF1,0.112323605,False,0
AHCYL2,0.06787117,False,0
AHDC1,0.11524187,True,1
AHNAK2,0.068485335,False,0
AHR,0.15552944,False,0
AHRR,0.061399803,False,0
AIF1L,0.15327609,True,0
AIRE,0.1145414,False,0
AIRN,0.06839267,False,0
AJAP1,0.103757605,False,0
AK5,0.08183068,False,0
AK7,0.11700204,False,0
AKAP12,0.13094218,True,0
