gene,score,validation,label
A1BG,0.018352095,True,0
A2M,0.017804123,False,0
A3GALT2,0.016630523,False,0
ABCA1,0.07917576,False,0
ABCA4,0.0152376285,False,0
ABCA5,0.048628088,True,0
ABCB1,0.02773372,True,0
ABCC3,0.028395656,True,0
ABCC4,0.052091964,False,0
ABCC9,0.011662543,False,0
ABCG2,0.036235355,False,0
ABHD13,0.0636699,False,0
ABHD17B,0.028801383,True,0
ABHD17C,0.028889978,False,0
ABL1,0.03431562,False,0
ABLIM3,0.047348298,True,0
ABRACL,0.014720624,False,0
ACAN,0.026274081,False,0
ACAT2,0.045098357,False,0
ACBD6,0.035524648,False,0
ACBD7,0.0029792585,False,0
ACER1,0.027275907,False,0
ACER3,0.021361101,False,0
ACKR3,0.06541049,False,0
ACO1,0.021590307,False,0
ACSL3,0.06145511,False,0
ACSL4,0.034236528,False,0
ACTA2,0.02384608,False,0
ACTB,0.013228459,False,0
ACTN1,0.010987958,False,0
ACTN2,0.011424676,False,0
ACTR2,0.040546544,False,0
ACVR1,0.03693297,False,0
ACVR1C,0.038294923,False,0
ACVR2A,0.04284896,False,0
ADAM12,0.0052274107,True,0
ADAM19,0.036763173,False,0
ADAM22,0.084494136,True,0
ADAM23,0.023509277,False,0
ADAM28,0.032740418,False,0
ADAM32,0.016998164,False,0
ADAMTS1,0.029696295,False,0
ADAMTS15,0.010444791,False,0
ADAMTS3,0.035100956,False,0
ADAMTS5,0.040714584,False,0
ADAMTS6,0.030789703,False,0
ADAMTS9,0.037166417,False,0
ADAMTSL1,0.04166739,False,0
ADARB1,0.08052522,False,0
ADARB2,0.020207403,False,0
ADCY1,0.026741182,False,0
ADCY4,0.023451706,True,0
ADCY8,0.051107775,False,0
ADCYAP1,0.13718297,True,0
ADD2,0.05846346,False,0
ADD3-AS1,0.01336689,False,0
ADGB,0.026067609,False,0
ADGRA1,0.061546482,False,0
ADGRA3,0.09134553,False,0
ADGRB3,0.04742933,False,1
ADGRE2,0.0694444,True,0
ADGRE5,0.018012393,False,0
ADGRF5,0.031034466,True,0
ADGRG6,0.0363986,False,0
ADGRL2,0.035428442,False,0
ADGRL3,0.04583192,False,0
ADGRL4,0.053890523,False,0
ADNP,0.018589282,False,0
ADNP-AS1,0.066688396,False,0
ADNP2,0.07658652,False,0
ADORA3,0.018079614,False,0
ADPGK-AS1,0.008052974,False,0
ADRA1A,0.07369653,False,0
ADRA1B,0.022192068,True,0
ADTRP,0.043049846,True,1
AEBP1,0.035220962,False,0
AFAP1L2,0.006417602,False,0
AFF2,0.021278901,False,0
AFF3,0.053131003,False,0
AFF4,0.08801846,False,0
AGAP2,0.020889586,False,0
AGT,0.028539512,False,0
AGTPBP1,0.037207868,True,0
AHCTF1,0.039805267,False,0
AHCYL2,0.09935746,False,0
AHDC1,0.038688287,False,0
AHR,0.035176083,False,0
AHRR,0.025956037,False,0
AHSG,0.06952974,False,0
AIM2,0.012742999,False,0
AK5,0.023231741,False,0
AKAP12,0.05536385,False,1
AKAP13,0.015669318,False,0
AKAP5,0.033695083,False,0
AKAP6,0.10948219,False,0
AKAP7,0.037834268,False,0
AKNA,0.021487053,False,0
AKR1A1,0.05344858,False,0
ALCAM,0.04210886,False,0
ALDH1A1,0.0788051,False,0
ALDH1A2,0.03858578,False,0
ALDH1L1-AS2,0.017063526,False,0
ALG13,0.046273272,False,0
ALK,0.0077696326,False,0
ALOX5,0.014409804,False,0
ALX4,0.030359581,False,0
AMD1,0.038349625,False,0
AMIGO2,0.027542766,True,0
AMMECR1,0.09946976,False,0
AMOT,0.029273553,True,0
AMOTL1,0.024694003,False,0
AMPD3,0.069242254,False,0
AMPH,0.1291239,False,0
AMZ2,0.025238436,False,0
ANGPT2,0.04440602,False,0
ANGPTL4,0.055602256,False,0
ANK2,0.022977883,False,0
ANK3,0.036316827,False,1
ANKFN1,0.06130509,False,1
ANKMY1,0.10047675,False,0
