_BACKGROUND,5p,10p,15p
NCAN,NCAN,NCAN,NCAN
SOX6,SOX6,SOX6,SOX6
SHANK2,SHANK2,SHANK2,SHANK2
ZNF681,ZNF681,ZNF681,ZNF681
NEK10,NEK10,NEK10,NEK10
MTSS1,MTSS1,MTSS1,MTSS1
MOB4,MOB4,MOB4,MOB4
OXSR1,OXSR1,OXSR1,OXSR1
GRIN2A,GRIN2A,GRIN2A,GRIN2A
SLC9A3R2,SLC9A3R2,SLC9A3R2,SLC9A3R2
MREG,MREG,MREG,MREG
FLT3,FLT3,FLT3,FLT3
ZNF680,ZNF680,ZNF680,ZNF680
SP3,SP3,SP3,SP3
DIDO1,DIDO1,DIDO1,DIDO1
ZNF730,ZNF730,ZNF730,ZNF730
SCN2A,SCN2A,SCN2A,SCN2A
PRR16,PRR16,PRR16,PRR16
ARRDC3-AS1,ARRDC3-AS1,ARRDC3-AS1,ARRDC3-AS1
HORMAD2,HORMAD2,HORMAD2,HORMAD2
ZFP36L1,ZFP36L1,ZFP36L1,ZFP36L1
RABGEF1,RABGEF1,RABGEF1,RABGEF1
CA8,CA8,CA8,CA8
ZNF430,ZNF430,ZNF430,ZNF430
SDK1,SDK1,SDK1,SDK1
THSD7A,THSD7A,THSD7A,THSD7A
RBFOX1,RBFOX1,RBFOX1,RBFOX1
FSTL5,FSTL5,FSTL5,FSTL5
CBFA2T2,CBFA2T2,CBFA2T2,CBFA2T2
RRAS2,RRAS2,RRAS2,RRAS2
SLC12A5,SLC12A5,SLC12A5,SLC12A5
VKORC1L1,VKORC1L1,VKORC1L1,VKORC1L1
LINC01118,LINC01118,LINC01118,LINC01118
AVEN,AVEN,AVEN,AVEN
PCDH19,PCDH19,PCDH19,PCDH19
NTRK1,NTRK1,NTRK1,NTRK1
EP300,EP300,EP300,EP300
EXT1,EXT1,EXT1,EXT1
ACER3,ACER3,ACER3,ACER3
AMPH,AMPH,AMPH,AMPH
STARD9,STARD9,STARD9,STARD9
SPIN3,SPIN3,SPIN3,SPIN3
ZC3HAV1,ZC3HAV1,ZC3HAV1,ZC3HAV1
MBNL2,MBNL2,MBNL2,MBNL2
RASL12,RASL12,RASL12,RASL12
ZNF331,ZNF331,ZNF331,ZNF331
MYLIP,MYLIP,MYLIP,MYLIP
NT5DC1,NT5DC1,NT5DC1,NT5DC1
ARHGAP44,ARHGAP44,ARHGAP44,ARHGAP44
C12orf42,C12orf42,C12orf42,C12orf42
APLF,APLF,APLF,APLF
ZNF510,ZNF510,ZNF510,ZNF510
ASCC1,ASCC1,ASCC1,ASCC1
TTC39C,TTC39C,TTC39C,TTC39C
MCMDC2,MCMDC2,MCMDC2,MCMDC2
ERI1,ERI1,ERI1,ERI1
IQCH-AS1,IQCH-AS1,IQCH-AS1,IQCH-AS1
MAL,MAL,MAL,MAL
DHRS4-AS1,DHRS4-AS1,DHRS4-AS1,DHRS4-AS1
MAT2A,MAT2A,MAT2A,MAT2A
HRH1,HRH1,HRH1,HRH1
RRP12,RRP12,RRP12,RRP12
UNC79,UNC79,UNC79,UNC79
ZNF518A,ZNF518A,ZNF518A,ZNF518A
RUBCN,RUBCN,RUBCN,RUBCN
BMPER,BMPER,BMPER,BMPER
USP3-AS1,USP3-AS1,USP3-AS1,USP3-AS1
IQUB,IQUB,IQUB,IQUB
CENPI,CENPI,CENPI,CENPI
PIWIL2,PIWIL2,PIWIL2,PIWIL2
TWSG1,TWSG1,TWSG1,TWSG1
CD180,CD180,CD180,CD180
ARMCX4,ARMCX4,ARMCX4,ARMCX4
UCHL3,UCHL3,UCHL3,UCHL3
SYNPR,SYNPR,SYNPR,SYNPR
PPP1R42,PPP1R42,PPP1R42,PPP1R42
ZBTB16,ZBTB16,ZBTB16,ZBTB16
DTWD2,DTWD2,DTWD2,DTWD2
AKAP7,AKAP7,AKAP7,AKAP7
TEF,TEF,TEF,TEF
FIP1L1,FIP1L1,FIP1L1,FIP1L1
B3GALT5,B3GALT5,B3GALT5,B3GALT5
ZNF611,ZNF611,ZNF611,ZNF611
ZNF107,ZNF107,ZNF107,ZNF107
CLVS2,CLVS2,CLVS2,CLVS2
ARHGDIG,ARHGDIG,ARHGDIG,ARHGDIG
NOS1AP,NOS1AP,NOS1AP,NOS1AP
CREB3L2,CREB3L2,CREB3L2,CREB3L2
UBTF,UBTF,UBTF,UBTF
CCDC171,CCDC171,CCDC171,CCDC171
CDH4,CDH4,CDH4,CDH4
ST8SIA3,ST8SIA3,ST8SIA3,ST8SIA3
IGFBP7,IGFBP7,IGFBP7,IGFBP7
HSF2,HSF2,HSF2,HSF2
MT1H,MT1H,MT1H,MT1H
SLC35G2,SLC35G2,SLC35G2,SLC35G2
DHRS12,DHRS12,DHRS12,DHRS12
ZNF202,ZNF202,ZNF202,ZNF202
ZNF398,ZNF398,ZNF398,ZNF398
SHROOM4,SHROOM4,SHROOM4,SHROOM4
SOBP,SOBP,SOBP,SOBP
PRKX,PRKX,PRKX,PRKX
RTN3,RTN3,RTN3,RTN3
ATP9A,ATP9A,ATP9A,ATP9A
FADS2,FADS2,FADS2,FADS2
PAX6,PAX6,PAX6,PAX6
GMDS,GMDS,GMDS,GMDS
ROR1,ROR1,ROR1,ROR1
GTF2IRD1,GTF2IRD1,GTF2IRD1,GTF2IRD1
PLCG1-AS1,PLCG1-AS1,PLCG1-AS1,PLCG1-AS1
PLEKHO1,PLEKHO1,PLEKHO1,PLEKHO1
ZFP36L2,ZFP36L2,ZFP36L2,ZFP36L2
RRP15,RRP15,RRP15,RRP15
ELAVL2,ELAVL2,ELAVL2,ELAVL2
SLC24A2,SLC24A2,SLC24A2,SLC24A2
P4HB,P4HB,P4HB,P4HB
ASTN1,ASTN1,ASTN1,ASTN1
THBS4,THBS4,THBS4,THBS4
TTC39A,TTC39A,TTC39A,TTC39A
ZFHX2,ZFHX2,ZFHX2,ZFHX2
RPL13,RPL13,RPL13,RPL13
CAPS2,CAPS2,CAPS2,CAPS2
FAM135B,FAM135B,FAM135B,FAM135B
NUFIP2,NUFIP2,NUFIP2,NUFIP2
MERTK,MERTK,MERTK,MERTK
FAT1,FAT1,FAT1,FAT1
KY,KY,KY,KY
LINC01237,LINC01237,LINC01237,LINC01237
HMGXB4,HMGXB4,HMGXB4,HMGXB4
ANP32A,ANP32A,ANP32A,ANP32A
SLC27A6,SLC27A6,SLC27A6,SLC27A6
SV2B,SV2B,SV2B,SV2B
ZSCAN5A,ZSCAN5A,ZSCAN5A,ZSCAN5A
PBX1,PBX1,PBX1,PBX1
ZCCHC2,ZCCHC2,ZCCHC2,ZCCHC2
PPM1D,PPM1D,PPM1D,PPM1D
ZNF717,ZNF717,ZNF717,ZNF717
ODC1,ODC1,ODC1,ODC1
GADD45B,GADD45B,GADD45B,GADD45B
ZNF273,ZNF273,ZNF273,ZNF273
FAM13C,FAM13C,FAM13C,FAM13C
PTPRJ,PTPRJ,PTPRJ,PTPRJ
FRS2,FRS2,FRS2,FRS2
ZNF74,ZNF74,ZNF74,ZNF74
CPQ,CPQ,CPQ,CPQ
IQSEC1,IQSEC1,IQSEC1,IQSEC1
LYPD6B,LYPD6B,LYPD6B,LYPD6B
UHMK1,UHMK1,UHMK1,UHMK1
MEG3,MEG3,MEG3,MEG3
PON2,PON2,PON2,PON2
MKX,MKX,MKX,MKX
USF2,USF2,USF2,USF2
SPNS2,SPNS2,SPNS2,SPNS2
APLP2,APLP2,APLP2,APLP2
ABHD13,ABHD13,ABHD13,ABHD13
POU3F2,POU3F2,POU3F2,POU3F2
CDC14C,CDC14C,CDC14C,CDC14C
DMC1,DMC1,DMC1,DMC1
GXYLT2,GXYLT2,GXYLT2,GXYLT2
SERPINI2,SERPINI2,SERPINI2,SERPINI2
COMMD10,COMMD10,COMMD10,COMMD10
MNS1,MNS1,MNS1,MNS1
GAL3ST1,GAL3ST1,GAL3ST1,GAL3ST1
BNC2,BNC2,BNC2,BNC2
NDEL1,NDEL1,NDEL1,NDEL1
BATF3,BATF3,BATF3,BATF3
FAM184A,FAM184A,FAM184A,FAM184A
UGGT2,UGGT2,UGGT2,UGGT2
STON1-GTF2A1L,STON1-GTF2A1L,STON1-GTF2A1L,STON1-GTF2A1L
NKX3-1,NKX3-1,NKX3-1,NKX3-1
PHLPP1,PHLPP1,PHLPP1,PHLPP1
MND1,MND1,MND1,MND1
POTEI,POTEI,POTEI,POTEI
EPCAM,EPCAM,EPCAM,EPCAM
MAST2,MAST2,MAST2,MAST2
BCL6,BCL6,BCL6,BCL6
CTTNBP2,CTTNBP2,CTTNBP2,CTTNBP2
ZFAND6,ZFAND6,ZFAND6,ZFAND6
PURG,PURG,PURG,PURG
KCND2,KCND2,KCND2,KCND2
ZNF235,ZNF235,ZNF235,ZNF235
PHKA1,PHKA1,PHKA1,PHKA1
TTC29,TTC29,TTC29,TTC29
IL1RAP,IL1RAP,IL1RAP,IL1RAP
GLCE,,GLCE,GLCE
BIN1,,BIN1,BIN1
PMP2,,PMP2,PMP2
SNRPN,,SNRPN,SNRPN
BTG3,,BTG3,BTG3
PFKP,,PFKP,PFKP
LHFPL6,,LHFPL6,LHFPL6
NCAPG2,,NCAPG2,NCAPG2
ARHGAP39,,ARHGAP39,ARHGAP39
KIF5A,,KIF5A,KIF5A
NFATC1,,NFATC1,NFATC1
SFTPD,,SFTPD,SFTPD
PRRX1,,PRRX1,PRRX1
LINC00200,,LINC00200,LINC00200
CACHD1,,CACHD1,CACHD1
PLEKHA2,,PLEKHA2,PLEKHA2
KDM2B,,KDM2B,KDM2B
CLSTN2,,CLSTN2,CLSTN2
MAST3,,MAST3,MAST3
CLIC5,,CLIC5,CLIC5
BTBD10,,BTBD10,BTBD10
ANKRD37,,ANKRD37,ANKRD37
RSPH3,,RSPH3,RSPH3
NLGN1,,NLGN1,NLGN1
TRHDE,,TRHDE,TRHDE
PCDH11X,,PCDH11X,PCDH11X
MIRLET7BHG,,MIRLET7BHG,MIRLET7BHG
USF3,,USF3,USF3
CD8A,,CD8A,CD8A
PRDM9,,PRDM9,PRDM9
RUNX3,,RUNX3,RUNX3
E2F3,,E2F3,E2F3
BCL9,,BCL9,BCL9
PMVK,,PMVK,PMVK
ZNF669,,ZNF669,ZNF669
SH3GLB1,,SH3GLB1,SH3GLB1
FBN1,,FBN1,FBN1
APBB1IP,,APBB1IP,APBB1IP
RHOU,,RHOU,RHOU
TMSB4X,,TMSB4X,TMSB4X
PNPLA3,,PNPLA3,PNPLA3
EML6,,EML6,EML6
BICC1,,BICC1,BICC1
IFT88,,IFT88,IFT88
KCNK1,,KCNK1,KCNK1
RPS6KA5,,RPS6KA5,RPS6KA5
ZNF697,,ZNF697,ZNF697
FOSL2,,FOSL2,FOSL2
SDAD1,,SDAD1,SDAD1
CRYBG3,,CRYBG3,CRYBG3
OTX2,,OTX2,OTX2
RIMS2,,RIMS2,RIMS2
PURA,,PURA,PURA
ZNF668,,ZNF668,ZNF668
TXNDC11,,TXNDC11,TXNDC11
TTPA,,TTPA,TTPA
OSMR-AS1,,OSMR-AS1,OSMR-AS1
PAUPAR,,PAUPAR,PAUPAR
NAPA,,NAPA,NAPA
TFEB,,TFEB,TFEB
POLA1,,POLA1,POLA1
NOL4,,NOL4,NOL4
NTSR2,,NTSR2,NTSR2
SLITRK4,,SLITRK4,SLITRK4
DOK5,,DOK5,DOK5
MLF1,,MLF1,MLF1
CCDC47,,CCDC47,CCDC47
RAP1GDS1,,RAP1GDS1,RAP1GDS1
ZFP30,,ZFP30,ZFP30
FABP5,,FABP5,FABP5
RNF11,,RNF11,RNF11
TIPARP,,TIPARP,TIPARP
SMS,,SMS,SMS
EGR1,,EGR1,EGR1
HIST1H2BD,,HIST1H2BD,HIST1H2BD
NFAM1,,NFAM1,NFAM1
NCKAP5,,NCKAP5,NCKAP5
FGF1,,FGF1,FGF1
TPTE2,,TPTE2,TPTE2
RPS23,,RPS23,RPS23
ING4,,ING4,ING4
ZNF75A,,ZNF75A,ZNF75A
UNC5D,,UNC5D,UNC5D
ZNF385A,,ZNF385A,ZNF385A
NXPE2,,NXPE2,NXPE2
ATF7IP,,ATF7IP,ATF7IP
PCGF1,,PCGF1,PCGF1
SNX7,,SNX7,SNX7
BTNL8,,BTNL8,BTNL8
H2AFZ,,H2AFZ,H2AFZ
NFE2,,NFE2,NFE2
TUBB6,,TUBB6,TUBB6
DNAJA1,,DNAJA1,DNAJA1
AK5,,AK5,AK5
ZHX2,,ZHX2,ZHX2
ELAVL4,,ELAVL4,ELAVL4
AMD1,,AMD1,AMD1
CFL2,,CFL2,CFL2
SP7,,SP7,SP7
DPH6,,DPH6,DPH6
HTATSF1,,HTATSF1,HTATSF1
HACD2,,HACD2,HACD2
MXI1,,MXI1,MXI1
PXDN,,PXDN,PXDN
ST3GAL5,,ST3GAL5,ST3GAL5
STK39,,STK39,STK39
LIPC,,LIPC,LIPC
EHBP1,,EHBP1,EHBP1
ZBTB21,,ZBTB21,ZBTB21
LINC01136,,LINC01136,LINC01136
OPRM1,,OPRM1,OPRM1
BPTF,,BPTF,BPTF
GLI4,,GLI4,GLI4
ZNF207,,ZNF207,ZNF207
SQSTM1,,SQSTM1,SQSTM1
ZNF354C,,ZNF354C,ZNF354C
B3GNT2,,B3GNT2,B3GNT2
CPNE8,,CPNE8,CPNE8
AHSG,,AHSG,AHSG
B3GAT2,,B3GAT2,B3GAT2
ZNF569,,ZNF569,ZNF569
TMPRSS7,,TMPRSS7,TMPRSS7
SERTAD4,,SERTAD4,SERTAD4
C1orf198,,C1orf198,C1orf198
DNAJB1,,DNAJB1,DNAJB1
THAP12,,THAP12,THAP12
QKI,,QKI,QKI
NINJ2,,NINJ2,NINJ2
NSA2,,NSA2,NSA2
ASPSCR1,,ASPSCR1,ASPSCR1
SP9,,SP9,SP9
PRUNE2,,PRUNE2,PRUNE2
CASZ1,,CASZ1,CASZ1
DNAJC1,,DNAJC1,DNAJC1
NHP2,,NHP2,NHP2
CRADD,,CRADD,CRADD
TSHR,,TSHR,TSHR
UST,,UST,UST
TM7SF3,,TM7SF3,TM7SF3
SMARCC2,,SMARCC2,SMARCC2
STUM,,STUM,STUM
HLX,,HLX,HLX
TMCO4,,TMCO4,TMCO4
DPRX,,DPRX,DPRX
TRIM28,,TRIM28,TRIM28
ATP2A2,,ATP2A2,ATP2A2
HPCAL4,,HPCAL4,HPCAL4
RPH3A,,RPH3A,RPH3A
SNAI2,,SNAI2,SNAI2
ETV4,,ETV4,ETV4
PAX7,,PAX7,PAX7
ZXDC,,ZXDC,ZXDC
MLXIP,,MLXIP,MLXIP
COL25A1,,COL25A1,COL25A1
ZNF461,,ZNF461,ZNF461
TOP1,,TOP1,TOP1
ZNF821,,ZNF821,ZNF821
CELF2,,CELF2,CELF2
MIER3,,MIER3,MIER3
POLI,,POLI,POLI
