gene,score,validation,label
A4GALT,0.016767029,False,0
AAGAB,0.033683386,False,0
ABCA1,0.020203952,False,0
ABCA10,0.037985176,True,0
ABCA4,0.04319188,False,0
ABCA5,0.014432407,False,0
ABCB4,0.03246864,False,0
ABCC3,0.022563117,False,0
ABCC4,0.017653119,False,0
ABCG1,0.03841214,False,0
ABCG2,0.005251946,False,0
ABHD12,0.01882597,False,0
ABHD17B,0.030436315,False,0
ABHD17C,0.012389502,True,0
ABI2,0.019230112,True,0
ABL1,0.007998861,False,0
ABL2,0.008223383,True,0
ABLIM1,0.004838409,False,1
ABLIM2,0.01679119,False,0
ABLIM3,0.016823685,False,0
ABRACL,0.050881837,False,0
ABTB2,0.046402,False,0
ACBD6,0.038281877,False,0
ACE,0.07460736,False,0
ACER1,0.020034613,False,0
ACER2,0.015089542,False,0
ACKR1,0.02802387,False,0
ACP7,0.026563946,True,0
ACSBG1,0.035401303,False,0
ACSL3,0.019531336,False,0
ACSL4,0.011079807,False,0
ACSL5,0.011662109,True,0
ACTA2,0.015193721,False,0
ACTB,0.090352096,False,0
ACTL6A,0.026955314,False,0
ACTN1,0.009066679,True,0
ACTN2,0.042309556,True,0
ACTR2,0.009986103,True,0
ACTR3,0.022508627,False,0
ACTR6,0.021552345,False,0
ACVR1,0.010919356,False,0
ACVR1C,0.040903017,False,0
ACVR2A,0.016209692,False,0
ACYP2,0.043795597,False,0
ADAM15,0.047336467,False,0
ADAM17,0.017951863,False,0
ADAM19,0.010141779,False,0
ADAM20,0.017037617,False,0
ADAM23,0.022886226,False,0
ADAM28,0.010345191,True,0
ADAM32,0.04528675,False,0
ADAMTS1,0.029396944,True,0
ADAMTS10,0.02334631,True,0
ADAMTS16,0.040796965,False,0
ADAMTS17,0.014506271,False,0
ADAMTS18,0.019694915,False,0
ADAMTS3,0.03143796,False,0
ADAMTS5,0.0153084975,False,0
ADAMTS6,0.022225982,False,0
ADAMTS7,0.06789546,True,0
ADAMTS9,0.018085795,False,0
ADAMTSL1,0.015677992,True,0
ADAMTSL4-AS1,0.012995879,True,0
ADARB1,0.037589997,False,0
ADARB2,0.023583204,True,0
ADCY1,0.05846434,False,0
ADCY2,0.02908908,True,1
ADCY3,0.030748852,False,0
ADCY5,0.025752896,False,0
ADCY7,0.02656419,False,0
ADCY9,0.028594824,False,0
ADCYAP1,0.013484256,False,0
ADD3,0.019930545,False,1
ADD3-AS1,0.06663609,False,0
ADGRA1,0.008456463,True,0
ADGRA3,0.010458155,False,0
ADGRB3,0.036892526,False,1
ADGRD1,0.020122508,False,0
ADGRE5,0.023603942,False,0
ADGRF3,0.022743275,False,0
ADGRG5,0.031465515,True,0
ADGRG7,0.017669367,False,0
ADGRL2,0.015991157,True,0
ADGRL3,0.02999662,False,0
ADGRL4,0.021426212,False,0
ADGRV1,0.033381697,False,0
ADH1B,0.012372253,False,0
ADH5,0.059269994,True,0
ADH6,0.015801223,False,0
ADK,0.039445665,False,0
ADM,0.021409558,False,0
ADM5,0.015244275,False,0
ADNP,0.025194317,False,0
ADNP2,0.026244143,False,0
ADORA2A,0.03460831,False,0
ADORA2A-AS1,0.035099328,False,0
ADORA3,0.021504395,False,0
ADPRHL1,0.012585465,True,0
ADRA1A,0.014519263,False,0
ADRA2C,0.010318215,True,0
ADRB1,0.0141341835,False,0
AFAP1,0.036051564,False,0
AFAP1-AS1,0.019502,False,0
AFF3,0.06865835,False,0
AFF4,0.041222107,False,0
AGAP1,0.037443593,False,0
AGAP2,0.012134714,False,0
AGAP3,0.011460771,False,0
AGBL3,0.021015214,False,0
AGGF1,0.021901805,False,0
AGMO,0.029243631,False,0
AGRN,0.020927917,True,0
AGTR1,0.015392058,False,0
AHCTF1,0.020466816,False,0
AHCYL2,0.026627742,False,0
AHDC1,0.01780007,True,0
AHI1,0.020877883,False,0
AHNAK,0.041709177,False,0
AHR,0.021558214,True,0
AHRR,0.05961058,False,0
AIG1,0.04748019,False,0
AIRE,0.042851917,False,0
AK5,0.038556207,True,0
AKAP12,0.012141416,False,1
AKNA,0.017357389,False,0
AKR1A1,0.009576091,False,0
AKR1C1,0.041291352,False,0
AKR1C2,0.011021256,False,0
AKR1C3,0.08278264,False,0
AKR1C8P,0.021145174,False,0
ALCAM,0.04768159,False,0
ALDH1A1,0.041290164,True,0
ALDH1A2,0.05675912,False,0
ALDH8A1,0.0068969955,True,0
ALDOC,0.08644209,False,0
ALG8,0.07095398,False,0
ALK,0.076378465,True,0
ALOX5,0.025722077,False,0
ALPK2,0.022101345,False,0
ALX1,0.024979884,False,0
ALX4,0.05841178,False,0
AMER2,0.019426182,False,0
AMMECR1,0.086509295,False,0
AMOTL1,0.03242318,False,0
AMPH,0.040985726,False,0
ANAPC10,0.012856116,False,0
ANGPT1,0.05726758,False,0
ANGPT2,0.06405383,False,0
ANGPT4,0.020153407,False,0
ANK3,0.061578244,False,1
ANKDD1A,0.014738859,False,0
ANKEF1,0.021604097,True,0
ANKH,0.0125172,False,0
ANKIB1,0.006525358,False,0
ANKMY1,0.037247654,False,0
ANKRD17,0.017512264,False,0
ANKRD24,0.013147904,False,0
ANKRD30B,0.01896352,True,0
ANKRD30BL,0.02868147,False,0
ANKRD34A,0.036241468,False,0
ANKRD37,0.04056354,False,0
ANKRD44,0.013214009,False,0
ANKRD45,0.03942725,False,0
ANKRD46,0.008595683,True,0
ANKRD49,0.017433694,False,0
ANKRD50,0.022642666,False,0
ANKRD55,0.028644456,False,0
ANKRD6,0.031651765,False,0
ANKRD65,0.0472659,False,0
ANKRD7,0.03900741,False,0
ANKS1B,0.02494422,False,1
ANO1,0.04714777,True,0
ANO10,0.0043277387,True,0
ANO3,0.0074403468,False,1
ANO4,0.028272334,False,0
ANO5,0.0030470511,True,0
ANO6,0.016194116,False,0
ANOS1,0.042776484,False,0
ANP32E,0.0030217208,False,0
ANPEP,0.019340051,False,0
ANTXR1,0.017114738,False,0
ANTXR2,0.01555486,True,0
ANXA1,0.019530006,False,0
ANXA11,0.023372136,True,0
ANXA2,0.021968422,False,0
ANXA4,0.05459566,False,0
AOAH,0.011953887,False,0
AP1S2,0.05115323,True,0
AP3B2,0.016012985,True,0
AP4B1-AS1,0.011982181,True,0
APBA1,0.015237155,False,0
APBB1IP,0.025605764,False,0
APBB2,0.00787406,False,0
APCDD1,0.06173163,False,0
APELA,0.01873422,False,0
APEX2,0.022115387,False,0
APLF,0.030626217,False,0
APLN,0.0124250725,False,0
APMAP,0.0091601955,False,0
APOBEC3A,0.080646545,False,0
APOBEC3G,0.00996143,True,0
APOLD1,0.012781528,False,0
APRT,0.07868959,False,0
AQP1,0.07971393,False,0
AQP4,0.015896827,False,0
AQP4-AS1,0.023516897,False,0
AR,0.0633557,False,0
ARFGAP1,0.03668929,False,0
ARHGAP10,0.039420098,False,0
ARHGAP12,0.01286737,False,0
ARHGAP15,0.04578725,True,0
ARHGAP20,0.036653567,False,0
ARHGAP22,0.0036673378,True,0
ARHGAP24,0.06387501,False,0
ARHGAP29,0.020431157,False,0
ARHGAP30,0.031387996,False,0
ARHGAP31-AS1,0.018067483,True,0
ARHGAP42,0.032916527,False,0
ARHGAP44,0.020036003,False,0
ARHGAP5,0.012182628,False,0
ARHGAP6,0.022846444,False,0
ARHGDIB,0.036970355,False,0
ARHGEF10L,0.012111739,True,0
ARHGEF11,0.012408477,False,0
ARHGEF12,0.010372722,False,0
ARHGEF16,0.024078455,False,0
ARHGEF26,0.018110402,False,0
ARHGEF28,0.02356439,True,0
ARHGEF4,0.037715476,False,0
ARHGEF40,0.015307015,False,0
ARHGEF6,0.0067745713,False,0
ARHGEF7,0.021559516,False,0
ARHGEF9,0.02050152,False,0
ARID1A,0.003542231,False,0
ARID3A,0.030572567,False,0
ARID3B,0.0077033853,False,0
ARID5A,0.026948718,False,0
ARID5B,0.024503043,False,0
ARL17B,0.012588683,True,0
ARL5B,0.01269961,False,0
ARMC2,0.039785255,True,0
ARMC4,0.023970418,False,0
ARMC9,0.03005243,False,0
ARNT,0.0117161805,True,0
ARNT2,0.029966246,True,0
ARNTL,0.015650038,False,0
ARNTL2,0.035185777,False,0
ARPC1A,0.050260663,False,0
ARPIN,0.04676416,False,0
ARPP21,0.027300436,False,0
ARRB1,0.019994717,False,0
ARRDC2,0.034883104,False,0
ARRDC3,0.014548871,False,0
ARRDC3-AS1,0.019494116,False,0
ARRDC4,0.008881704,True,0
ARSE,0.020451115,False,0
ARSJ,0.026218474,False,0
ART3,0.026027968,False,0
ASAP2,0.0242972,True,1
ASAP3,0.01849346,False,0
ASB1,0.02516397,False,0
ASB6,0.006968819,True,0
ASCC1,0.037602216,False,0
ASCL1,0.043231945,False,0
ASH2L,0.029007921,False,0
ASPH,0.014126909,False,0
ASPN,0.08893134,True,0
ASPSCR1,0.025936244,False,0
ASRGL1,0.017520832,False,0
ASTE1,0.08287523,False,0
ASTN1,0.019766517,False,0
ASTN2,0.014829009,False,0
ASXL3,0.023741094,True,0
ATAD2,0.021732992,False,0
ATCAY,0.024476033,False,0
ATF1,0.018941969,False,0
ATF2,0.007816125,False,0
ATF3,0.03512137,False,0
ATF4,0.031045109,False,0
ATF5,0.044731945,True,0
ATF6B,0.01370504,True,0
ATF7,0.010731558,False,0
ATF7IP,0.031585313,False,0
ATG10,0.024744974,False,0
ATG7,0.032878567,False,0
