gene,score,validation,label
A2M,0.10321327,False,0
ABCB1,0.03669221,True,0
ABCC3,0.052934237,False,0
ABCF2,0.040689472,False,0
ABCG2,0.04407919,False,0
ABL1,0.018166395,False,0
ACKR3,0.026100358,False,0
ACOT12,0.05207154,True,0
ACTC1,0.013396498,False,0
ACVR1,0.10807242,False,0
ACVR1C,0.06645222,True,0
ADAM28,0.035747685,False,0
ADAM29,0.06440131,True,0
ADAM32,0.056244154,False,0
ADAMTS16,0.030912858,False,0
ADAMTS17,0.066527896,False,0
ADAMTS18,0.016744312,True,0
ADAMTS19-AS1,0.13924013,False,0
ADAMTS2,0.034192204,False,1
ADAMTS3,0.05623726,False,0
ADAMTS9-AS1,0.06626943,False,0
ADAMTSL1,0.03720686,False,0
ADARB1,0.10057373,False,0
ADARB2,0.057404846,False,0
ADCY1,0.026253996,False,0
ADCYAP1,0.0777394,False,0
ADCYAP1R1,0.05277561,False,0
ADD3,0.07106208,False,1
ADGB,0.022273198,False,0
ADGRD1,0.053824045,False,0
ADGRF5,0.024666198,False,0
ADGRG5,0.030034108,False,0
ADGRL2,0.04897386,False,0
ADGRV1,0.022514436,False,0
ADNP,0.026359238,False,0
ADNP2,0.034071773,False,0
ADRA1A,0.010784486,False,0
ADRA1B,0.039548893,False,0
ADTRP,0.08110201,True,1
AEBP2,0.075709164,False,0
AFAP1,0.04860055,False,0
AFAP1L1,0.03099868,True,0
AFF1,0.09694602,False,0
AFF3,0.020230774,False,0
AFF4,0.04633968,False,0
AGAP2,0.066752866,False,0
AGBL1,0.053073116,False,1
AGBL3,0.020235073,False,0
AHCTF1,0.08324056,False,0
AHDC1,0.07177076,False,0
AHNAK2,0.0742931,False,0
AHR,0.06447279,False,0
AHRR,0.024341727,False,0
AIF1L,0.00476779,False,0
AK5,0.073364995,True,0
AKAP13,0.14553194,False,0
AKR1C2,0.0029623539,False,0
ALDH1A2,0.029071692,False,0
ALK,0.052785605,False,0
ALLC,0.040623732,True,0
ALOX5,0.026863186,False,0
AMZ1,0.020717273,False,0
ANGPTL4,0.033618674,False,0
ANKRD18A,0.023262836,False,0
ANKRD24,0.09586583,False,0
ANKRD30A,0.044907834,False,0
ANKRD30B,0.06786706,False,0
ANKRD30BL,0.052215245,False,0
ANKRD33B,0.13329764,False,0
ANKRD34C-AS1,0.04677566,False,0
ANKRD44,0.05433781,False,0
ANKRD55,0.01684853,False,0
ANKRD6,0.026553046,False,0
ANKRD62,0.030282075,False,0
ANKRD62P1-PARP4P3,0.013831102,False,0
ANKRD7,0.0735925,False,0
ANO10,0.06960218,False,0
ANO2,0.047851015,False,0
ANO3,0.04932176,False,1
ANTXR1,0.041287564,False,0
ANXA11,0.039170373,False,0
AP1S2,0.04532765,True,0
APBA2,0.07928005,False,0
APBB1IP,0.03868002,False,0
APCDD1,0.050427184,False,0
APOE,0.014895908,False,0
AQP4-AS1,0.13930121,False,0
AQP9,0.03211526,False,0
