gene,score,validation,label
A2M,3.1541982e-05,False,0
ABCB1,0.0011795986,False,-1
ABCF2,0.99885917,False,-1
ABCG2,0.0034975887,False,0
ABL1,0.8613704,False,-1
ACKR3,5.407437e-05,False,-1
ACTC1,0.10120827,False,-1
ACVR1,0.27252248,False,-1
ACVR1C,0.048131987,False,-1
ADAM28,1.2057427e-07,True,0
ADAMTS16,0.99340534,False,-1
ADAMTS17,0.996427,False,-1
ADAMTS18,4.437051e-08,False,0
ADAMTS19-AS1,0.032955945,False,0
ADAMTS3,0.03508482,False,-1
ADARB1,0.0005020758,False,-1
ADARB2,0.9968317,False,-1
ADD3,0.5633726,False,1
ADGRD1,0.016113887,False,-1
ADGRF5,0.0045337547,False,-1
ADGRG5,0.0014185442,False,-1
ADGRL2,0.001951121,False,-1
ADGRV1,0.6265212,False,-1
ADNP,0.9714723,False,-1
ADNP2,0.9712246,False,-1
ADRA1A,0.9935627,False,-1
AFAP1L1,0.001256821,False,-1
AFF1,0.023889922,False,0
AFF3,0.0058957813,False,-1
AFF4,0.89726627,False,-1
AGBL3,2.6512534e-08,False,-1
AHCTF1,0.40668833,False,0
AHDC1,0.07563225,False,-1
AHR,3.7301783e-05,False,-1
AHRR,0.008187531,False,-1
AIF1L,0.07372926,False,-1
AK5,0.96754587,False,-1
AKAP13,0.011356204,False,-1
AKR1C2,0.00041864562,False,-1
ALK,0.99817896,False,-1
ALOX5,0.09073136,False,-1
AMZ1,0.6657918,False,-1
ANGPTL4,0.9834055,False,-1
ANKRD18A,0.97570235,False,-1
ANKRD30A,0.00027185172,False,0
ANKRD30B,0.47334966,False,-1
ANKRD30BL,0.0084864115,False,-1
ANKRD44,0.004199346,False,-1
ANKRD55,0.00050620944,False,-1
ANKRD6,0.025378294,False,-1
ANO10,0.7718316,False,-1
ANO2,0.00045760965,False,0
ANTXR1,0.2277905,True,0
AP1S2,0.010069261,False,-1
APBB1IP,0.00103299,False,0
APCDD1,0.8763535,False,-1
APOE,0.993583,False,-1
ARHGAP12,0.8553354,False,-1
ARHGAP20,0.003989134,False,-1
ARHGAP24,2.40673e-08,True,0
ARHGAP26,0.0015790535,False,-1
ARHGAP42,0.9994142,False,-1
ARHGEF26,0.00018241044,False,-1
ARHGEF28,0.4055872,False,-1
ARHGEF6,0.9405109,False,-1
ARID3A,0.0108371815,False,-1
ARID5B,7.716393e-06,False,-1
ARL6,0.000107815715,False,-1
ARMC3,0.99362636,False,-1
ARNT2,2.9574555e-06,False,-1
ARNTL,0.6093259,False,-1
ARSB,0.9953459,False,-1
ASAP1,0.0027915211,False,-1
ASAP2,0.49590468,False,-1
ASCC1,0.13366078,False,-1
ASCL1,0.0013582426,False,-1
ASIC2,0.9978198,False,-1
ASPA,0.9865606,False,-1
ATF1,0.42143297,False,-1
ATF2,6.7367336e-07,False,-1
ATF3,0.0030174686,False,-1
ATF5,0.7383513,False,-1
ATF6B,6.738199e-08,False,0
ATF7IP2,0.97809416,False,-1
ATP10A,0.00014064564,False,-1
