gene,score,validation,label
A2M,0.04400621,False,0
ABCA8,0.01883555,False,0
ABCB1,0.062458627,False,0
ABCC4,0.0290923,False,0
ABCG2,0.04332971,False,0
ABI3BP,0.005564864,False,0
ABL1,0.049391363,False,0
ACKR3,0.001158066,False,0
ACSBG1,0.01916125,False,0
ACSL5,0.0059057726,False,0
ACTA2,0.06582775,True,0
ACTC1,0.07524974,False,0
ACVR1,0.012199936,False,0
ADAM12,0.013949092,False,0
ADAM28,0.04644033,False,0
ADAM33,0.017664772,True,0
ADAMTS16,0.110442616,False,0
ADAMTS17,0.03977275,False,0
ADAMTS20,0.06517285,False,0
ADAMTS3,0.03222313,False,0
ADAMTS6,0.035467118,True,0
ADAMTS9-AS2,0.024649289,False,0
ADARB1,0.037578918,False,0
ADARB2,0.03279403,True,0
ADARB2-AS1,0.04070405,False,0
ADCY8,0.086613454,False,0
ADCYAP1R1,0.017827978,False,0
ADD3,0.017752431,True,1
ADGRF5,0.096913554,True,0
ADGRL2,0.062369894,True,0
ADNP,0.07265871,False,0
ADNP2,0.09578338,False,0
ADRA1A,0.052351967,False,0
AFAP1,0.013738134,True,0
AFAP1L1,0.059813775,False,0
AFF1,0.037913904,False,0
AFF2,0.017852208,False,0
AFF4,0.019769616,False,0
AGBL3,0.05173733,False,0
AHCTF1,0.06780441,False,0
AHDC1,0.01650189,False,0
AHR,0.044234637,False,0
AHRR,0.11210247,False,0
AIM2,0.043102484,False,0
AK5,0.057756674,False,0
AKAIN1,0.01869943,True,0
AKAP13,0.05913573,False,0
AKR1C2,0.009422701,False,0
ALCAM,0.08734776,False,0
ALK,0.049341507,False,0
ALOX5,0.00844076,False,0
AMZ1,0.020699281,True,0
ANK1,0.04646904,False,0
ANKFN1,0.018171113,True,1
ANKRD18A,0.004692551,False,0
ANKRD22,0.039257888,True,0
ANKRD30B,0.04819199,False,0
ANKRD30BL,0.00050505006,False,0
ANKRD34C-AS1,0.036289234,False,0
ANKRD37,0.0447669,False,0
ANKRD44,0.044842202,False,0
ANKRD50,0.008967079,True,0
ANKRD55,0.036139764,False,0
ANKRD6,0.012168342,False,0
ANKRD62P1-PARP4P3,0.031991433,False,0
ANO1,0.046573553,True,0
ANO3,0.1024491,False,1
ANO6,0.06693814,False,0
ANOS1,0.0014800972,False,0
ANTXR1,0.0069531957,False,0
ANXA2,0.11236645,False,0
ANXA4,0.041624647,False,0
AP1S2,0.041618578,True,0
APBB1IP,0.057718433,False,0
APCDD1,0.015228043,True,0
APLN,0.037329234,False,0
APOC2,0.00061886344,False,0
APOE,0.024372417,True,0
APOL6,0.058094297,False,0
AREG,0.016995251,False,0
ARFGAP1,0.008839188,False,0
ARHGAP12,0.051914494,False,0
ARHGAP18,0.031568393,True,0
ARHGAP20,0.084356815,False,0
ARHGAP24,0.035770275,False,0
ARHGAP26,0.021229938,True,0
ARHGAP29,0.019742701,True,0
ARHGAP31,0.0054675858,False,0
ARHGAP42,0.11036596,False,0
ARHGEF26,0.06032211,False,0
ARHGEF28,0.059260853,False,0
ARHGEF40,0.07133266,True,0
ARHGEF6,0.020375665,False,0
ARID3A,0.008610638,False,0
ARID3B,0.08974731,False,0
ARID5B,0.044078954,False,0
ARMC4,0.034483463,False,0
ARNT2,0.051868297,False,0
ARNTL,0.05028855,False,0
ARSI,0.01787215,False,0
ARSJ,0.0016959057,False,0
ARX,0.01818557,False,0
ASAP1,0.055093467,False,0
ASB5,0.028215548,False,0
ASCL1,0.006931771,False,0
ASCL2,0.010833851,False,0
ASPA,0.021011231,False,0
ASS1,0.018623143,True,0
ATF2,0.00371969,False,0
ATF3,0.03226421,False,0
ATF6,0.0018750973,False,0
ATF7,0.034639847,True,0
ATF7IP2,0.03384911,False,0
ATP10A,0.045793135,True,0
ATP10B,0.04137982,False,0
ATP1A2,0.0012202988,False,0
ATP1B3,0.06584574,False,0
ATP2B4,0.037216563,False,0
ATP8B1,0.041207016,True,0
ATXN1,0.0740776,False,1
AURKA,0.023753522,False,0
AUTS2,0.05175305,False,1
AVPR1A,0.013669379,False,0
BACH1,0.08255153,False,0
BACH2,0.011222507,False,0
BAZ1A,0.07233164,False,0
BBX,0.013830804,False,0
BCAR3,0.094864495,False,0
BCAS2,0.05033975,False,0
BCL11A,0.009082642,False,0
BCL11B,0.012364053,True,0
BCL3,0.025201863,True,0
BCL6,0.048800707,False,0
BCL6B,0.037865758,False,0
BCLAF1,0.028991938,False,0
BDNF,0.0041522887,False,0
BEND4,0.052447334,False,0
BEND6,0.010489874,False,0
BEST3,0.039710127,False,0
BHLHE40-AS1,0.024350367,True,0
BHLHE41,0.020785872,False,0
BICC1,0.0154892,False,0
BLNK,0.03198048,False,0
BMP2K,0.071622215,True,0
BMP7,0.0018354459,False,0
BMPER,0.03539853,False,0
BMPR1B,0.028628634,False,0
BNC2,0.12574156,False,1
BOC,0.06753324,False,0
BOK-AS1,0.023882864,False,0
BOLL,0.03255686,True,0
BPTF,0.011056382,True,0
BRCA1,0.0058571137,True,0
BRCA2,0.019476622,False,0
BRF1,0.0903441,False,0
BRINP3,0.057336833,False,0
BST1,0.04314819,True,0
BTBD11,0.054260727,True,0
BTG2,0.025638847,False,0
BTG4,0.020545736,False,0
BTNL9,0.122946344,False,0
BVES,0.064976044,True,0
BVES-AS1,0.03049802,False,0
C10orf90,0.040941175,True,0
C11orf53,0.034276407,True,0
C16orf95,0.024306053,False,0
C17orf100,0.043437824,False,0
C1QL1,0.03993748,False,0
C1QTNF1,8.215879e-05,True,0
C21orf91,0.07175359,True,0
C3,0.027728327,False,0
C3orf67,0.10711594,False,0
C3orf67-AS1,0.03463424,True,0
C3orf70,0.009334247,False,0
C5orf30,0.030354999,False,0
C5orf47,0.022601185,False,0
C6orf141,0.021501373,False,0
C7,0.012664896,False,0
C8A,0.007781299,False,0
C8orf34,0.035592474,False,0
C8orf34-AS1,0.058848083,True,0
CA13,0.0011901457,False,0
CA2,0.0119721275,False,0
CA3,0.082673386,False,0
CA3-AS1,0.035613548,False,0
CA8,0.011719473,True,0
CACHD1,0.033826344,False,0
CACNA1E,0.02154871,False,0
CACNA2D2,0.12169854,True,0
CACNA2D3,0.012060108,False,1
CACNB2,0.01838383,False,0
CACNG3,0.048545513,False,0
CACNG4,0.04323956,False,0
CADM1,0.01058711,False,0
CADPS,0.058108,False,0
CADPS2,0.031777035,False,0
CALB1,0.015504733,True,0
CALB2,0.0050058314,False,0
CAMK2A,0.011406349,False,0
CAMK2D,0.015884314,False,0
CAPN6,0.010414165,False,0
CARF,0.012500025,False,0
CARMN,0.017564222,False,0
CASC15,0.0017791077,False,0
CASC2,0.016005361,True,0
CASP4,0.016115565,False,0
CAST,0.057148248,False,0
CBFA2T2,0.077260464,False,0
CBLB,0.020561257,True,0
CBLN2,0.037331942,True,0
CCDC13-AS1,0.010614194,True,0
CCDC169,0.08517866,True,0
CCDC170,0.071019664,True,0
CCDC178,0.11026375,False,0
CCDC3,0.06553785,False,0
CCDC68,0.042653237,False,0
CCDC85A,0.021815812,False,0
CCDC88C,0.0098818615,False,0
CCND1,0.021710014,True,0
CCNG2,0.031244233,False,0
CCNH,0.012487211,False,0
CCNJL,0.08450954,False,0
CD2,0.04968348,False,0
CD22,0.019895587,False,0
CD34,0.0009140805,False,0
CD36,0.041491542,True,0
CD44,0.053822394,False,0
CD55,0.113002196,False,0
CD74,0.011513402,True,0
CD86,0.054197095,False,0
CD9,0.009208709,False,0
CDC14B,0.020143343,False,0
CDC42EP1,0.027956875,False,0
CDH11,0.0007144776,True,0
CDH18,0.0097501,False,1
CDH2,0.035506494,True,0
CDH20,0.08562628,True,0
CDH5,0.014073707,False,0
CDH7,0.005010836,True,0
CDH8,0.078487374,False,0
CDHR1,0.018214243,False,0
CDK2AP1,0.101956934,False,0
CDK6,0.010068059,False,0
CDK8,0.012357091,False,0
CDKN2A,0.010919762,False,0
CDKN2B-AS1,0.058251128,False,0
CDYL2,0.072561,False,0
CEACAM21,0.03064772,True,0
CEBPG,0.05072226,False,0
CEBPZ,0.03708026,False,0
CELF4,0.00018920618,True,0
CELF5,0.026097113,True,0
CELF6,0.038216285,False,0
CEMIP,0.008985662,False,0
CENPBD1,0.062724,False,0
CENPF,0.020579273,False,0
CEP112,0.049326226,False,0
CEP152,0.05701456,False,1
CEP85L,0.074751996,False,0
CFAP206,0.032249372,True,0
CFAP47,0.020566616,False,0
CFB,0.0050146095,True,0
CFL2,0.10909064,True,0
CGNL1,0.07723185,False,1
CHAMP1,0.058416024,False,0
CHD1,0.0558405,False,0
CHD2,0.0168339,False,0
CHD7,0.019817218,False,0
CHGB,0.004047489,False,0
CHODL,0.02538018,True,0
CHRDL1,0.05594136,False,0
CHRM2,0.045877334,True,0
CHRNA2,0.011723665,False,0
CHRNA7,0.06617665,False,0
CHST3,0.029569028,False,0
CHST9,0.04449896,False,0
CHSY3,0.12550943,False,0
CKS2,0.032826014,True,0
CLDN1,0.08640494,False,0
CLDN11,0.025692016,False,0
CLEC19A,0.025850026,False,0
CLEC2B,0.027377797,True,0
CLEC2D,0.096828535,False,0
CLEC7A,0.016815681,False,0
CLIC4,0.017079288,False,0
CLK1,0.023285707,False,0
CLMP,0.011303524,False,0
CLOCK,0.0021524173,False,0
CMKLR1,0.05674944,False,0
CMTM7,0.02342112,True,0
CMTM8,0.015579018,False,0
CNDP1,0.012736439,False,0
CNGB1,0.016877702,False,0
CNKSR3,0.071717665,False,0
CNOT4,0.010529821,False,0
CNR1,0.097951934,False,0
CNTN4,0.00781478,False,0
CNTN5,0.03410575,True,0
CNTNAP3,0.06756879,False,0
CNTNAP3B,0.016073868,False,0
CNTNAP5,0.0069722584,False,0
COBLL1,0.06089022,False,0
COL11A1,0.033136692,False,0
COL12A1,0.014548837,False,0
COL18A1,0.034203928,False,0
COL19A1,0.06344314,False,0
COL1A2,0.04057744,False,1
COL23A1,0.10738193,False,0
COL24A1,0.039917618,True,0
COL25A1,0.1166715,False,0
COL4A2,0.055461258,False,0
COL4A5,0.03824287,False,0
COL8A1,0.02786259,False,0
CPA3,0.01998883,False,0
CPEB1,0.011397942,True,0
CPEB2,0.108366445,False,0
CPED1,0.034946866,False,0
CPLX1,0.019004893,False,0
CPQ,0.008461698,False,0
CRACR2A,0.025558326,False,0
CREB1,0.12026178,False,0
CREB5,0.0016067842,False,0
CREM,0.06808052,True,0
CRH,0.0693586,True,0
CRHBP,0.029724233,False,0
CRHR2,0.018571138,False,0
CRIM1,0.028407933,False,0
CRISPLD1,0.01630709,True,0
CRISPLD2,0.031231457,True,0
CRTAC1,0.003536271,False,0
CRYAB,0.011948662,True,0
CRYBG3,0.0039086626,False,0
CRYGD,0.009829401,True,0
CRYM,0.0022557518,False,0
CSF1,0.04273123,False,0
CSF1R,0.046937235,False,0
CSMD2,0.00065652234,False,0
CSPG4,0.00013190859,False,0
CSRP2,0.030246364,False,0
CTBP1,0.07939952,True,0
CTBP2,0.03365543,False,0
CTCF,0.027801324,False,0
CTNNA2,0.13074389,True,0
CTNNA3,0.012621924,False,1
CTNNB1,0.01961258,False,0
CUEDC1,0.010418992,True,0
CUX1,0.0117941825,False,0
CUX2,0.078505814,False,0
CX3CR1,0.027870664,False,0
CXCL14,0.007910696,False,0
CXXC1,0.008685416,False,0
CXXC5,0.084354565,False,0
CYBRD1,0.015722672,True,0
CYP2J2,0.018709095,False,0
CYP7B1,0.011739084,False,0
CYSLTR2,0.009071246,False,0
CYTIP,0.029895985,False,0
DAAM2,0.018750824,False,0
DAB1,0.01059315,False,0
DACH1,0.0068395366,False,0
DAP,0.0062011657,False,0
DAPK1,0.028599434,False,0
DBX2,0.0095141595,False,0
DCAF8L2,0.013243038,False,0
DCC,0.06904426,True,1
DCN,0.08247966,False,0
DCX,0.043606192,False,0
DENND1B,0.02472495,False,0
DENND2C,0.011867908,True,0
DEPDC1B,0.030012175,False,0
DGCR8,0.10337792,False,0
DGKD,0.006053324,False,0
DGKH,0.04041806,False,1
DHRS9,0.023752814,False,0
DIAPH2,0.061968476,False,0
DLC1,0.006114042,True,0
DLEU1,0.011901781,False,0
DLEU2,0.0050637517,True,0
DLX1,0.04668249,False,0
DLX2,0.017125644,False,0
DLX5,0.046668373,False,0
DLX6,0.025445772,False,0
DLX6-AS1,0.044932768,False,0
DMC1,0.095762566,False,0
DMRT1,0.014266958,True,0
DMRT2,0.012540491,False,0
DNAH8,0.045632333,False,0
DNAH9,0.035236854,False,0
DNAJC21,0.082435876,False,0
DNER,0.011917752,False,0
DNMT1,0.049269196,False,0
DOCK1,0.020016631,True,0
DOCK10,0.03334327,True,0
DOCK5,0.047807563,False,0
DOCK8,0.027908757,False,0
DOK5,0.0111031905,False,0
DOK6,0.048975307,False,0
DPH6,0.0070844465,False,0
DPP10,0.045376357,False,1
DPP6,0.059291333,False,0
DPY19L3,0.10049953,False,0
DPYD,0.022854544,False,0
DPYSL5,0.009301076,False,0
DRAM1,0.03060367,False,0
DRD3,0.0061813327,False,0
DSCAS,0.026034702,False,0
DSE,0.028042145,False,0
