gene,score,validation,label
A2M,0.14679983,False,-1
AAR2,0.21560721,False,-1
ABCA1,0.012754624,False,-1
ABCA10,0.09550363,False,0
ABCA3,0.110980846,False,-1
ABCA4,0.10672225,False,-1
ABCA5,0.34607533,False,0
ABCA6,0.008418803,False,-1
ABCB1,0.21975371,False,0
ABCC4,0.145814,False,-1
ABCC9,0.3396656,False,-1
ABCG1,0.12223697,False,-1
ABCG2,0.15640275,False,-1
ABHD17B,0.3114795,False,-1
ABHD17C,0.40520355,False,-1
ABI2,0.28458416,False,-1
ABI3BP,0.0648527,False,-1
ABL1,0.28739065,False,-1
ABL2,0.13853006,False,-1
ABLIM1,0.289585,False,-1
ABLIM2,0.03681438,False,-1
ABLIM3,0.44662836,False,-1
ACAP3,0.6450769,False,-1
ACER2,0.106462754,False,-1
ACER3,0.2031561,False,-1
ACO1,0.15782808,False,-1
ACOXL,0.09353222,False,-1
ACPP,0.10734124,False,-1
ACSL4,0.16818151,False,0
ACTA2,0.15507607,False,-1
ACVR1C,0.26617905,False,-1
ACVRL1,0.033531092,False,-1
ADAM19,0.0697753,False,-1
ADAM23,0.30724904,False,-1
ADAM9,0.22376557,False,-1
ADAMTS1,0.01986596,False,0
ADAMTS12,0.4989574,False,-1
ADAMTS17,0.21514781,False,-1
ADAMTS3,0.6431314,False,-1
ADAMTS6,0.07060093,False,-1
ADAMTS7,0.4025864,False,-1
ADAMTS9,0.10699059,False,-1
ADARB1,0.48051906,False,1
ADARB2,0.3605596,False,-1
ADCY1,0.031562902,False,-1
ADCY2,0.55649245,False,1
ADCY3,0.32890227,False,-1
ADD2,0.30930695,False,-1
ADD3,0.123546824,False,1
ADGRA1,0.022203047,False,0
ADGRA3,0.21331123,False,0
ADGRB3,0.45842552,False,1
ADGRD1,0.1997398,False,-1
ADGRE2,0.1719193,False,0
ADGRF3,0.062891915,False,-1
ADGRF5,0.0078080758,False,-1
ADGRL1,0.33814687,False,-1
ADGRL2,0.21877845,False,1
ADGRL3,0.6859417,False,-1
ADGRV1,0.04825545,False,0
ADIPOR2,0.40817353,False,-1
ADM,0.0777786,False,0
ADNP,0.08771676,False,-1
ADNP2,0.5873396,False,0
ADRA1A,0.14243595,False,-1
AEBP2,0.1485606,False,-1
AFAP1,0.27159634,False,-1
AFAP1L2,0.31420285,False,-1
AFF3,0.70845056,True,0
AFF4,0.33486927,False,-1
AGAP1,0.29288498,False,-1
AGAP2,0.1151845,False,-1
AGL,0.21148396,False,-1
AHCTF1,0.10825209,False,0
AHI1,0.36763322,False,-1
AHNAK,0.020462388,False,-1
AHR,0.25726986,False,-1
AHRR,0.16577993,False,-1
AIDA,0.281034,False,-1
AIG1,0.31518522,False,-1
AK5,0.4296693,False,-1
AKAP12,0.16161601,False,-1
AKAP9,0.29816207,False,-1
AKR1A1,0.011163231,False,-1
AKT3,0.49033573,False,-1
ALCAM,0.26561913,False,1
ALDH1A1,0.27476594,False,0
ALDH1A2,0.117488965,False,-1
ALG10B,0.15480234,False,-1
ALG13,0.15798777,False,-1
ALG6,0.24956091,False,-1
ALK,0.05123395,False,0
ALOX5,0.20643704,False,-1
ALPK1,0.12892161,False,-1
AMER2,0.08196565,False,-1
AMIGO2,0.19924816,False,-1
AMMECR1,0.8113996,False,1
AMN1,0.18309394,False,-1
AMOT,0.012005445,False,-1
AMPH,0.30813685,False,-1
AMZ1,0.30843967,False,-1
ANAPC10,0.07162968,False,0
ANGPT1,0.24434677,False,0
ANK2,0.61446047,False,-1
ANK3,0.3804838,False,1
ANKEF1,0.14907715,False,0
ANKFY1,0.118130155,False,-1
ANKH,0.10797833,False,-1
ANKRD12,0.36952373,False,-1
ANKRD18B,0.27828294,False,0
ANKRD22,0.13238367,False,-1
ANKRD28,0.14983527,False,-1
ANKRD29,0.035647478,False,-1
ANKRD30BL,0.6765693,False,-1
ANKRD31,0.1464545,False,-1
ANKRD36B,0.41775313,False,1
ANKRD37,0.09404312,False,0
ANKRD42,0.30234122,False,-1
ANKRD46,0.23082453,False,-1
ANKRD6,0.64040047,False,-1
ANKRD7,0.056987237,False,-1
ANKRD9,0.19096878,False,-1
ANKS1B,0.4198396,False,1
ANKS6,0.16056202,False,-1
ANO10,0.1691382,False,-1
ANO2,0.19768502,False,-1
ANO3,0.09763536,False,0
ANO4,0.025165625,False,0
ANOS1,0.17794728,False,0
ANTXR1,0.15021746,True,0
ANXA1,0.24954613,False,-1
ANXA11,0.29307434,False,-1
ANXA2,0.11955529,True,0
ANXA3,0.0075127217,False,0
ANXA7,0.0846821,False,-1
ANXA9,0.010687751,False,0
AOX1,0.17717768,False,-1
AP3S1,0.030163836,False,-1
AP3S2,0.16851231,False,-1
AP4E1,0.079153515,False,-1
APAF1,0.057739444,False,-1
APBA1,0.19311823,False,-1
APBA2,0.24337219,False,0
APBB1IP,0.10716959,False,-1
APBB2,0.36003038,False,0
APC,0.7622896,False,1
APC2,0.043409538,False,-1
APCDD1,0.23363067,False,-1
APEX2,0.16235456,False,-1
APMAP,0.2327535,False,-1
APOC2,0.17593168,False,-1
APOM,0.07106631,False,-1
APP,0.608648,False,-1
APPL1,0.028174099,False,-1
AQP4,0.096654855,False,-1
AQP4-AS1,0.18971464,False,-1
AR,0.037697393,False,0
ARAP2,0.41867673,False,1
ARF3,0.08899005,False,-1
ARFGAP1,0.12057828,False,-1
ARFGAP3,0.06520659,False,-1
ARFGEF3,0.28947467,False,-1
ARFIP1,0.18415315,False,-1
ARHGAP10,0.12698218,False,-1
ARHGAP15,0.22922775,False,-1
ARHGAP20,0.11553425,False,-1
ARHGAP21,0.11754774,False,-1
ARHGAP24,0.0666324,False,-1
ARHGAP25,0.18923378,False,-1
ARHGAP26,0.18356262,False,-1
ARHGAP28,0.10242527,False,-1
ARHGAP29,0.3382858,False,-1
ARHGAP39,0.3767203,False,-1
ARHGAP42,0.7838907,False,-1
ARHGAP5,0.3700793,False,-1
ARHGAP6,0.27054524,False,-1
ARHGDIA,0.31476215,False,-1
ARHGEF11,0.050552003,False,-1
ARHGEF12,0.10802936,False,-1
ARHGEF16,0.2273085,False,-1
ARHGEF26,0.32250366,False,-1
ARHGEF3,0.16624545,False,-1
ARHGEF4,0.3059213,False,-1
ARHGEF7,0.0073057692,False,-1
ARID3A,0.17141254,False,-1
ARID3B,0.2001673,False,-1
ARID5A,0.11642507,False,0
ARID5B,0.2641531,False,-1
ARIH1,0.24828877,False,-1
ARL15,0.18745044,False,0
ARL3,0.2218642,False,-1
ARL6,0.119134694,False,-1
ARMC2,0.19965075,False,-1
ARMCX4,0.18524052,False,-1
ARNT,0.1621724,False,0
ARNT2,0.26630777,False,-1
ARNTL,0.19466545,False,0
ARPP21,0.36206523,False,-1
ARRDC3-AS1,0.012559767,False,0
ARRDC4,0.20603076,False,-1
ARSB,0.108259104,False,-1
ARSJ,0.13807988,False,-1
ARVCF,0.19194175,False,0
ARX,0.08354717,False,0
AS3MT,0.19210982,False,-1
ASAP1,0.2788135,False,-1
ASAP2,0.25145724,False,-1
ASB18,0.16798867,False,-1
ASB7,0.07689234,False,-1
ASCC1,0.31779206,False,-1
ASCC3,0.22477463,False,-1
ASCL1,0.40183273,False,-1
ASCL2,0.07657327,False,-1
ASH2L,0.15264508,False,-1
ASIC1,0.11896122,False,-1
ASIC2,0.60675216,False,-1
ASNS,0.08105054,False,0
ASPH,0.098963864,False,0
ASTE1,0.40540507,False,-1
ASTN1,0.37771988,False,-1
ASTN2,0.3180806,False,-1
ASXL3,0.8159729,True,0
ATAD2,0.16184321,False,-1
ATF1,0.23759629,False,-1
ATF2,0.0831456,True,0
ATF3,0.30912733,False,0
ATF4,0.30384403,False,0
ATF5,0.23277555,False,-1
ATF6,0.1720879,False,-1
ATF6B,0.13642983,False,-1
ATF7,0.15320702,False,-1
ATF7IP2,0.27575323,False,-1
ATG10,0.2770515,False,-1
ATG3,0.065599106,False,-1
ATG7,0.20173046,False,-1
ATIC,0.14210305,False,-1
ATL1,0.27912116,False,-1
ATOH8,0.033233088,False,-1
ATOX1,0.041452117,False,-1
ATP10A,0.21139804,False,0
ATP10B,0.110596225,False,-1
ATP11C,0.17910706,False,-1
ATP13A4,0.353125,False,-1
ATP1A1-AS1,0.08805805,False,-1
ATP1A2,0.025911221,False,-1
ATP1A3,0.79576343,False,1
ATP1B3,0.31225282,False,-1
ATP2A2,0.2652999,False,-1
ATP6V0A1,0.26406428,False,-1
ATP6V0A4,0.29883385,False,-1
ATP6V1C2,0.021917995,False,-1
ATP6V1H,0.22088474,False,-1
ATP8A1,0.24694297,False,-1
ATP8A2,0.22326846,False,-1
ATP8B2,0.11985102,False,-1
ATP9A,0.14571624,False,-1
ATRNL1,0.25671005,False,0
ATXN1,0.26171473,False,0
AURKC,0.2433797,False,-1
AUTS2,0.4025177,False,-1
AVEN,0.039504156,False,-1
AXDND1,0.011009453,False,-1
AZIN1,0.56082505,False,-1
B3GALNT2,0.29788348,False,-1
B3GAT2,0.30918214,False,-1
B3GLCT,0.121780775,False,-1
B3GNT5,0.29176003,False,-1
B4GALNT4,0.18794854,False,-1
B4GALT1,0.06792998,False,-1
B4GALT1-AS1,0.19545959,False,-1
B4GALT5,0.18040574,False,-1
B4GALT6,0.0075325724,False,-1
BAALC,0.023242574,False,-1
BACE2,0.14316629,False,0
BACH1,0.25556442,False,0
BACH2,0.34185818,False,0
BAG3,0.10303884,False,-1
BANK1,0.16144839,False,-1
BANP,0.16171351,False,-1
BARD1,0.05138304,False,-1
BARX2,0.17059362,False,-1
BASP1,0.2958594,False,0
BATF,0.10091951,False,-1
BATF3,0.21016493,False,-1
BAZ2B,0.16775191,False,0
BBS4,0.09565464,False,-1
BBS9,0.16427588,False,-1
BBX,0.09916674,False,-1
BCAN,0.1759309,False,-1
BCAS2,0.2267973,False,-1
BCAS3,0.051959828,False,-1
