gene,score,validation,label
AAGAB,0.058017775,False,0
AAMDC,0.074947976,False,-1
AATF,0.10591896,False,-1
ABCA1,0.06859643,False,-1
ABCC4,0.081012815,False,-1
ABCF2,0.04392351,False,-1
ABCG2,0.0741053,False,-1
ABHD12,0.08552039,False,-1
ABHD17C,0.025346102,False,0
ABHD18,0.06409041,False,0
ABHD2,0.10427189,False,0
ABHD3,0.13601948,False,-1
ABHD5,0.12470112,False,-1
ABL1,0.05733619,False,-1
ABLIM1,0.038706876,False,0
ABLIM2,0.03278988,False,-1
ABLIM3,0.15534729,False,0
ABR,0.052500144,True,0
ABTB2,0.13782242,False,-1
ACBD6,0.066269845,True,0
ACOX2,0.06348381,False,-1
ACP7,0.07791329,False,-1
ACSL3,0.05994274,False,-1
ACSM6,0.060921416,False,-1
ACTA2,0.044316027,False,0
ACTN1,0.059177514,False,0
ACTR2,0.1289269,False,-1
ACVR1,0.16686375,False,0
ACVR1C,0.17959468,False,-1
ACVR2A,0.060884725,False,-1
ACYP2,0.16135944,False,-1
ADAM10,0.07964919,False,-1
ADAM12,0.15269497,False,-1
ADAM22,0.04076106,False,0
ADAM23,0.1019753,False,1
ADAM28,0.028009616,False,0
ADAM9,0.02810131,False,0
ADAMTS1,0.047652785,False,-1
ADAMTS12,0.065130286,False,-1
ADAMTS14,0.041456174,False,-1
ADAMTS17,0.11930449,False,0
ADAMTS18,0.048987884,False,-1
ADAMTS19-AS1,0.06342805,False,-1
ADAMTS2,0.0544731,False,-1
ADAMTS3,0.11400976,False,-1
ADAMTS6,0.081948034,False,0
ADAMTS8,0.094011284,False,0
ADAMTS9,0.08030102,False,-1
ADAMTS9-AS2,0.14992148,False,-1
ADAMTSL1,0.058802884,False,-1
ADARB1,0.048011646,False,-1
ADARB2,0.17858839,False,0
ADARB2-AS1,0.11290551,False,-1
ADCY1,0.07515786,False,-1
ADCY2,0.05696779,False,1
ADCY7,0.049535226,False,-1
ADD2,0.13956992,False,0
ADD3,0.029029373,False,1
ADD3-AS1,0.1389511,False,0
ADGRA3,0.05976801,False,-1
ADGRB3,0.19669242,False,-1
ADGRE2,0.10207092,False,0
ADGRF5,0.072803356,True,0
ADGRL2,0.08626464,False,0
ADGRL3,0.17085415,False,0
ADGRL4,0.079802334,False,-1
ADGRV1,0.052409165,False,-1
ADK,0.08179222,False,1
ADNP,0.1612959,False,-1
ADNP2,0.17224357,False,0
ADRA1A,0.05928097,False,-1
AEBP1,0.1104885,False,-1
AFAP1,0.059099626,False,-1
AFAP1L2,0.0889349,False,-1
AFF1,0.17066081,True,0
AFF3,0.039425302,False,-1
AFF4,0.17129914,True,0
AGAP2,0.026863378,False,0
AGAP2-AS1,0.042596746,False,0
AGBL3,0.024446536,False,0
AGBL4,0.050010692,False,-1
AGGF1,0.10201622,False,-1
AGL,0.0524918,False,0
AGTR1,0.044564318,False,-1
AHCTF1,0.12861265,False,0
AHCYL2,0.054145124,False,0
AHI1,0.10441275,False,-1
AHNAK,0.06262512,False,0
AHR,0.17531349,False,0
AK5,0.19454671,False,0
AKAP12,0.062062275,False,-1
AKAP13,0.0780973,True,0
AKAP5,0.05315819,False,-1
AKR1A1,0.04893598,False,-1
AKR1C1,0.077236824,False,-1
ALCAM,0.21620029,False,-1
ALDH1A1,0.06759972,False,-1
ALDH1A2,0.0754742,False,-1
ALG14,0.04808748,False,-1
ALG6,0.110613704,False,-1
ALX3,0.061180577,False,-1
ALX4,0.06547433,False,-1
AMD1,0.051150084,False,-1
AMOTL1,0.069270246,True,0
AMPH,0.045624517,False,-1
ANGPT2,0.026958574,False,0
ANGPTL1,0.05833476,False,0
ANGPTL2,0.13890694,False,-1
ANK1,0.07981705,False,0
ANK2,0.059082594,False,-1
ANK3,0.059392065,False,1
ANKDD1A,0.059896063,False,-1
ANKH,0.10086599,False,0
ANKMY1,0.052534495,False,0
ANKMY2,0.0774328,False,0
ANKRD18A,0.095825754,False,-1
ANKRD26,0.04395106,False,-1
ANKRD29,0.064588584,False,0
ANKRD30BL,0.051587652,False,-1
ANKRD46,0.12941253,True,0
ANKRD50,0.13763247,False,-1
ANKRD6,0.11943632,False,-1
ANO10,0.17011507,False,-1
ANO2,0.043490514,False,0
ANO3,0.099071,False,0
ANO4,0.08498197,False,-1
ANO5,0.01732893,False,-1
ANTXR1,0.06192652,False,-1
ANTXR2,0.003919069,False,0
ANXA1,0.068704516,True,0
ANXA11,0.058478177,False,-1
ANXA2,0.080843985,False,-1
ANXA4,0.07095241,False,-1
AOAH,0.055215526,False,-1
AP1S3,0.07784813,False,-1
AP3B2,0.034764975,False,0
AP3S1,0.18488334,False,-1
AP4S1,0.17289838,False,-1
APBA1,0.18247293,False,-1
APBB1IP,0.054423604,False,-1
APCDD1,0.084920794,False,-1
APEX2,0.09490384,False,0
APLF,0.055198826,False,-1
APOE,0.05625209,False,-1
APP,0.023079026,False,-1
AQP1,0.060088404,True,0
AQP4,0.041303813,False,-1
AR,0.10571698,False,0
ARFGAP1,0.051617894,False,-1
ARHGAP10,0.07662356,False,-1
ARHGAP12,0.16124408,False,0
ARHGAP15,0.060445298,False,-1
ARHGAP18,0.043712575,False,0
ARHGAP20,0.08097391,False,-1
ARHGAP22,0.08403887,False,0
ARHGAP24,0.017290523,False,0
ARHGAP25,0.047898464,False,-1
ARHGAP26,0.0787518,False,-1
ARHGAP29,0.085123435,False,-1
ARHGAP42,0.07574793,False,-1
ARHGAP6,0.061500162,False,-1
ARHGEF11,0.05398593,False,-1
ARHGEF28,0.09419375,False,-1
ARHGEF3,0.132027,True,0
ARHGEF6,0.06898925,False,-1
ARHGEF9,0.051459644,False,-1
ARID1B,0.03785918,False,-1
ARID3A,0.15466203,False,-1
ARID5A,0.07421804,False,-1
ARID5B,0.06723741,True,0
ARL15,0.07997129,False,-1
ARL6,0.19023807,False,0
ARL6IP6,0.06767506,False,-1
ARMC2,0.10414524,False,-1
ARMC9,0.16145925,False,-1
ARMCX4,0.049305756,False,-1
ARNT2,0.10803769,False,1
ARNTL,0.14983132,False,-1
ARNTL2,0.06468491,False,-1
ARPP19,0.050614353,False,0
ARPP21,0.15818536,False,1
ARRB1,0.055330932,False,-1
ARRDC4,0.1299207,False,-1
ARSB,0.06102424,False,-1
ARSI,0.10875263,False,-1
ARX,0.032540582,False,-1
ASAP1,0.12179265,False,-1
ASAP2,0.05856827,False,-1
ASB1,0.13959415,False,-1
ASB14,0.074333675,False,-1
ASB7,0.17476867,False,-1
ASCC1,0.06203773,False,-1
ASCC3,0.056080595,False,-1
ASCL1,0.011319537,False,-1
ASH2L,0.048753735,False,-1
ASIC2,0.0899954,False,-1
ASPH,0.093279,False,-1
ASPSCR1,0.050179046,False,-1
ASTN1,0.16738747,False,-1
ASXL3,0.18875061,False,-1
ATAD5,0.057219714,False,0
ATCAY,0.07159041,False,-1
ATE1,0.0733806,False,-1
ATF2,0.1860339,False,-1
ATF3,0.060711812,False,0
ATF4,0.049739633,False,-1
ATF6B,0.050698,False,0
ATF7,0.20008257,False,-1
ATG10,0.18499696,False,-1
ATG5,0.1130883,False,-1
