_BACKGROUND,5p,10p,15p
ELOVL6,ELOVL6,ELOVL6,ELOVL6
NFIA,NFIA,NFIA,NFIA
L3MBTL4,L3MBTL4,L3MBTL4,L3MBTL4
ZNF148,ZNF148,ZNF148,ZNF148
BTBD10,BTBD10,BTBD10,BTBD10
TMCC1,TMCC1,TMCC1,TMCC1
AP3S1,AP3S1,AP3S1,AP3S1
SMAD2,SMAD2,SMAD2,SMAD2
RHBDD1,RHBDD1,RHBDD1,RHBDD1
SLC38A9,SLC38A9,SLC38A9,SLC38A9
THOC2,THOC2,THOC2,THOC2
ELF2,ELF2,ELF2,ELF2
LINC01135,LINC01135,LINC01135,LINC01135
HBP1,HBP1,HBP1,HBP1
LMO7,LMO7,LMO7,LMO7
CEP112,CEP112,CEP112,CEP112
TXNDC16,TXNDC16,TXNDC16,TXNDC16
TTTY14,TTTY14,TTTY14,TTTY14
CDH11,CDH11,CDH11,CDH11
RYR2,RYR2,RYR2,RYR2
IRF2,IRF2,IRF2,IRF2
STAT5B,STAT5B,STAT5B,STAT5B
NRF1,NRF1,NRF1,NRF1
ORC4,ORC4,ORC4,ORC4
PTPN4,PTPN4,PTPN4,PTPN4
NLGN4Y,NLGN4Y,NLGN4Y,NLGN4Y
ITSN1,ITSN1,ITSN1,ITSN1
SLC39A10,SLC39A10,SLC39A10,SLC39A10
FBN1,FBN1,FBN1,FBN1
SFMBT2,SFMBT2,SFMBT2,SFMBT2
HNRNPH3,HNRNPH3,HNRNPH3,HNRNPH3
ZNF462,ZNF462,ZNF462,ZNF462
TAPT1-AS1,TAPT1-AS1,TAPT1-AS1,TAPT1-AS1
DSE,DSE,DSE,DSE
ZNF652,ZNF652,ZNF652,ZNF652
LRP12,LRP12,LRP12,LRP12
SYT14,SYT14,SYT14,SYT14
NOS1AP,NOS1AP,NOS1AP,NOS1AP
MAGI1,MAGI1,MAGI1,MAGI1
FRMD6,FRMD6,FRMD6,FRMD6
CNTNAP2,CNTNAP2,CNTNAP2,CNTNAP2
KANSL1L,KANSL1L,KANSL1L,KANSL1L
CNOT4,CNOT4,CNOT4,CNOT4
RABGAP1L,RABGAP1L,RABGAP1L,RABGAP1L
SHOC2,SHOC2,SHOC2,SHOC2
ZBTB25,ZBTB25,ZBTB25,ZBTB25
SPATS2,SPATS2,SPATS2,SPATS2
NBEA,NBEA,NBEA,NBEA
PPM1L,PPM1L,PPM1L,PPM1L
SMG7,SMG7,SMG7,SMG7
CDKL5,CDKL5,CDKL5,CDKL5
