_BACKGROUND,5p,10p,15p
SMAD3,SMAD3,SMAD3,SMAD3
NET1,NET1,NET1,NET1
ADCY2,ADCY2,ADCY2,ADCY2
CELF4,CELF4,CELF4,CELF4
NRGN,NRGN,NRGN,NRGN
KCNJ3,KCNJ3,KCNJ3,KCNJ3
PARM1,PARM1,PARM1,PARM1
EPHA7,EPHA7,EPHA7,EPHA7
LMO4,LMO4,LMO4,LMO4
PHYHIP,PHYHIP,PHYHIP,PHYHIP
MAP1B,MAP1B,MAP1B,MAP1B
CPLX2,CPLX2,CPLX2,CPLX2
ZMAT4,ZMAT4,ZMAT4,ZMAT4
SNX10,SNX10,SNX10,SNX10
LRGUK,LRGUK,LRGUK,LRGUK
ATP1A3,ATP1A3,ATP1A3,ATP1A3
KIAA1549L,KIAA1549L,KIAA1549L,KIAA1549L
ST8SIA3,ST8SIA3,ST8SIA3,ST8SIA3
RGS4,RGS4,RGS4,RGS4
CEP112,CEP112,CEP112,CEP112
PURA,PURA,PURA,PURA
NELFA,NELFA,NELFA,NELFA
TRPM2,TRPM2,TRPM2,TRPM2
CABP1,CABP1,CABP1,CABP1
ADGRA3,ADGRA3,ADGRA3,ADGRA3
PCSK1,PCSK1,PCSK1,PCSK1
DCLK1,DCLK1,DCLK1,DCLK1
PAK3,PAK3,PAK3,PAK3
RTP4,RTP4,RTP4,RTP4
STXBP1,STXBP1,STXBP1,STXBP1
TRHDE,TRHDE,TRHDE,TRHDE
MIR4500HG,MIR4500HG,MIR4500HG,MIR4500HG
ANXA1,ANXA1,ANXA1,ANXA1
CALM3,CALM3,CALM3,CALM3
PLXNA4,PLXNA4,PLXNA4,PLXNA4
FZD6,FZD6,FZD6,FZD6
FRMD6,FRMD6,FRMD6,FRMD6
TMCC1,TMCC1,TMCC1,TMCC1
SMS,SMS,SMS,SMS
SLC38A9,SLC38A9,SLC38A9,SLC38A9
CAP2,CAP2,CAP2,CAP2
THY1,THY1,THY1,THY1
ENTPD3,ENTPD3,ENTPD3,ENTPD3
NRIP3,NRIP3,NRIP3,NRIP3
RPH3A,RPH3A,RPH3A,RPH3A
ANO3,ANO3,ANO3,ANO3
DYRK1A,DYRK1A,DYRK1A,DYRK1A
SMAD9,SMAD9,SMAD9,SMAD9
MERTK,MERTK,MERTK,MERTK
TMEM130,TMEM130,TMEM130,TMEM130
LY6H,LY6H,LY6H,LY6H
ETV1,ETV1,ETV1,ETV1
GABRB2,GABRB2,GABRB2,GABRB2
SLC14A1,SLC14A1,SLC14A1,SLC14A1
NEFM,NEFM,NEFM,NEFM
C2orf73,C2orf73,C2orf73,C2orf73
SLC30A1,SLC30A1,SLC30A1,SLC30A1
ANK3,ANK3,ANK3,ANK3
RFX4,RFX4,RFX4,RFX4
TRPC6,TRPC6,TRPC6,TRPC6
ABCG2,ABCG2,ABCG2,ABCG2
SYT1,SYT1,SYT1,SYT1
ADGRL2,ADGRL2,ADGRL2,ADGRL2
STAT6,STAT6,STAT6,STAT6
ADAMTS6,ADAMTS6,ADAMTS6,ADAMTS6
NFIA,NFIA,NFIA,NFIA
NEUROD2,NEUROD2,NEUROD2,NEUROD2
JARID2,JARID2,JARID2,JARID2
CABLES1,CABLES1,CABLES1,CABLES1
DKK2,DKK2,DKK2,DKK2
RAPGEF4,RAPGEF4,RAPGEF4,RAPGEF4
L3MBTL4,L3MBTL4,L3MBTL4,L3MBTL4
MEI4,MEI4,MEI4,MEI4
GRIN2B,GRIN2B,GRIN2B,GRIN2B
E2F3,E2F3,E2F3,E2F3
SCN2A,SCN2A,SCN2A,SCN2A
KIAA1671,KIAA1671,KIAA1671,KIAA1671
NOTCH2,NOTCH2,NOTCH2,NOTCH2
ZNF652,ZNF652,ZNF652,ZNF652
CACNA1C,CACNA1C,CACNA1C,CACNA1C
E4F1,E4F1,E4F1,E4F1
TRIL,TRIL,TRIL,TRIL
ELAVL4,ELAVL4,ELAVL4,ELAVL4
RBPJ,RBPJ,RBPJ,RBPJ
ANXA4,ANXA4,ANXA4,ANXA4
FBN1,FBN1,FBN1,FBN1
NTNG1,NTNG1,NTNG1,NTNG1
LINC01135,LINC01135,LINC01135,LINC01135
GRM8,GRM8,GRM8,GRM8
TNFRSF1B,TNFRSF1B,TNFRSF1B,TNFRSF1B
MSC-AS1,MSC-AS1,MSC-AS1,MSC-AS1
GRIK2,GRIK2,GRIK2,GRIK2
LMO7,LMO7,LMO7,LMO7
PEG3,PEG3,PEG3,PEG3
RYR2,RYR2,RYR2,RYR2
ZDHHC22,ZDHHC22,ZDHHC22,ZDHHC22
UNC80,UNC80,UNC80,UNC80
EMCN,EMCN,EMCN,EMCN
OLFM3,OLFM3,OLFM3,OLFM3
ELOVL6,ELOVL6,ELOVL6,ELOVL6
MATN3,MATN3,MATN3,MATN3
SGPP2,SGPP2,SGPP2,SGPP2
PCAT19,PCAT19,PCAT19,PCAT19
RGS22,RGS22,RGS22,RGS22
HBP1,HBP1,HBP1,HBP1
PARP14,PARP14,PARP14,PARP14
CD163L1,CD163L1,CD163L1,CD163L1
RBPMS,RBPMS,RBPMS,RBPMS
RNF144B,RNF144B,RNF144B,RNF144B
PLPPR4,PLPPR4,PLPPR4,PLPPR4
AHNAK,AHNAK,AHNAK,AHNAK
GABRG2,GABRG2,GABRG2,GABRG2
AP3S1,AP3S1,AP3S1,AP3S1
ORC4,ORC4,ORC4,ORC4
TGFBR3L,TGFBR3L,TGFBR3L,TGFBR3L
LINC00836,LINC00836,LINC00836,LINC00836
BTBD10,BTBD10,BTBD10,BTBD10
PALLD,PALLD,PALLD,PALLD
PPM1L,PPM1L,PPM1L,PPM1L
ANXA2,ANXA2,ANXA2,ANXA2
DOK6,DOK6,DOK6,DOK6
NEDD9,NEDD9,NEDD9,NEDD9
RHBDD1,RHBDD1,RHBDD1,RHBDD1
ELF2,ELF2,ELF2,ELF2
ZHX1,ZHX1,ZHX1,ZHX1
CCDC126,CCDC126,CCDC126,CCDC126
CDH11,CDH11,CDH11,CDH11
SLC24A1,SLC24A1,SLC24A1,SLC24A1
ARHGAP20,ARHGAP20,ARHGAP20,ARHGAP20
SPRED2,SPRED2,SPRED2,SPRED2
EPHA5,EPHA5,EPHA5,EPHA5
TRANK1,TRANK1,TRANK1,TRANK1
PPP1R2,PPP1R2,PPP1R2,PPP1R2
THOC2,THOC2,THOC2,THOC2
RBFOX3,RBFOX3,RBFOX3,RBFOX3
GATA3,GATA3,GATA3,GATA3
KDM7A,KDM7A,KDM7A,KDM7A
ZNF148,ZNF148,ZNF148,ZNF148
ST6GALNAC5,ST6GALNAC5,ST6GALNAC5,ST6GALNAC5
TXNDC16,TXNDC16,TXNDC16,TXNDC16
DMRTA2,DMRTA2,DMRTA2,DMRTA2
SMAD2,SMAD2,SMAD2,SMAD2
CAMK2B,CAMK2B,CAMK2B,CAMK2B
FAXC,FAXC,FAXC,FAXC
ZNF45,ZNF45,ZNF45,ZNF45
IKZF4,IKZF4,IKZF4,IKZF4
NCEH1,NCEH1,NCEH1,NCEH1
PALMD,PALMD,PALMD,PALMD
GJA1,GJA1,GJA1,GJA1
RERG,RERG,RERG,RERG
RGMB,RGMB,RGMB,RGMB
ACTA2,ACTA2,ACTA2,ACTA2
TSPAN7,TSPAN7,TSPAN7,TSPAN7
SATB1,SATB1,SATB1,SATB1
TSHZ2,TSHZ2,TSHZ2,TSHZ2
IL1R1,IL1R1,IL1R1,IL1R1
NLGN4Y,NLGN4Y,NLGN4Y,NLGN4Y
AP4S1,AP4S1,AP4S1,AP4S1
RUSC2,RUSC2,RUSC2,RUSC2
ZBTB25,ZBTB25,ZBTB25,ZBTB25
BMPR1A,BMPR1A,BMPR1A,BMPR1A
ATP2B2,,ATP2B2,ATP2B2
KCNT2,,KCNT2,KCNT2
NRF1,,NRF1,NRF1
ST5,,ST5,ST5
