gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.027622979400000004,0.017686218196569747,0.028604807,0.027910264,0.05602216,0.014120276,0.01145739,True,False,False,False,False
A2ML1,0,0.04145746460000001,0.03214387507552806,0.02352979,0.043775566,0.09643874,0.023788244,0.019754983,False,False,False,False,True
AADACL2-AS1,0,0.0230471476,0.013182739421072703,0.04622651,0.020497246,0.017629873,0.013666024,0.017216085,True,False,False,False,False
AAMDC,0,0.051920604999999995,0.0252989550503553,0.043430984,0.05388847,0.018254675,0.055532906,0.08849599,True,False,False,False,False
AATF,0,0.023992092320000002,0.01775056863399153,0.05149378,0.02170449,0.0073745186,0.029328696,0.010058977,True,False,False,False,False
ABCA8,0,0.024218588800000003,0.008764458520590374,0.03538278,0.029168218,0.012536612,0.01957,0.024435334,False,False,True,False,False
ABCB11,0,0.022324753699999998,0.010921070557620023,0.014905447,0.03615142,0.018153017,0.03147714,0.0109367445,False,True,False,False,False
ABCB4,0,0.0250461014,0.015627305112999115,0.014480697,0.033116814,0.048887555,0.012988983,0.015756458,True,False,False,False,False
ABCC11,0,0.02009517714,0.013363407341600407,0.016850583,0.0003384807,0.037235703,0.02190836,0.024142759,False,False,False,False,True
ABCC4,0,0.0223413299,0.015389488777969456,0.021407053,0.025858067,0.04640545,0.009057721,0.0089783585,False,False,True,False,False
ABCF2,0,0.0338847276,0.016393663542369756,0.01848586,0.060824823,0.036716893,0.027329132,0.02606693,True,False,False,False,False
ABCG2,0,0.0284503106,0.006888471091012745,0.03190638,0.029237477,0.035622075,0.028249841,0.01723578,False,False,False,False,True
ABCG4,0,0.0303058882,0.01312011124049513,0.015509087,0.02617498,0.035818484,0.049900807,0.024126083,False,False,True,False,False
ABHD17B,0,0.0378784626,0.012558138657101151,0.029422129,0.04193476,0.035927925,0.024946379,0.05716112,False,False,False,False,True
ABHD17C,0,0.029146271599999996,0.01343422385554338,0.033466704,0.03786399,0.012405066,0.04403859,0.017957008,False,True,False,False,False
ABHD18,0,0.0363157978,0.007005942024229803,0.036699697,0.035964683,0.047503997,0.028713925,0.032696687,False,True,False,False,False
ABHD5,0,0.022000497799999998,0.012594065021393456,0.029306838,0.039307036,0.009477572,0.021036657,0.010874386,False,True,False,False,False
ABI3BP,0,0.001144625833031072,0.0007738295629246786,6.515536e-11,0.0006990026,0.0015106393,0.0017170046,0.0017964826,False,True,False,False,False
ABL1,0,0.046098766599999993,0.006534285286545178,0.042569336,0.05234009,0.036937535,0.046616834,0.052030038,False,False,False,False,True
ABLIM1,1,0.029708498,0.01860894705026805,0.016020011,0.018742733,0.03038786,0.061566647,0.021825239,False,False,False,False,True
ABLIM2,0,0.02636925502,0.014872489902670715,0.039096978,0.024758542,0.0024625221,0.03854573,0.026982503,False,False,False,True,False
ABTB2,0,0.035786955599999996,0.007357759199194706,0.03506004,0.032569904,0.040432792,0.025848567,0.045023475,False,False,False,True,False
ACAN,0,0.045233312000000005,0.01663890818902112,0.028780656,0.040412586,0.03380891,0.052968428,0.07019598,False,True,False,False,False
