,Cell Type,Fold,AUPRC,Validation AUPRC
0,astro,0,0.05205936329230573,0.047385313052667515
1,astro,1,0.062233442670453165,0.03680946150434534
2,astro,2,0.04661902480370958,0.08333159482547034
3,astro,3,0.05109618342088584,0.04197976236383952
4,astro,4,0.04480359222614567,0.060594474974447865
5,endo,0,0.03170812874224753,0.09513005758749912
6,endo,1,0.039421928633341166,0.037585114919330656
7,endo,2,0.039058523078817756,0.025353081875080057
8,endo,3,0.04984368609309903,0.02348197591830861
9,endo,4,0.047704282176193505,0.03031632741981779
10,excitatory,0,0.07223764575877772,0.06848660647147131
11,excitatory,1,0.057406967920000745,0.10470621506226097
12,excitatory,2,0.07059392364977377,0.09712647157816033
13,excitatory,3,0.06518704142980675,0.07535658494758406
14,excitatory,4,0.07251002825197006,0.02804571697576362
15,inhibitory,0,0.07293887098828035,0.059913685849810085
16,inhibitory,1,0.055683497563762424,0.06443368687609288
17,inhibitory,2,0.06307353330444473,0.05673231676628999
18,inhibitory,3,0.0655704144638158,0.04794666493098244
19,inhibitory,4,0.0596543324588755,0.0453356327198237
20,micro,0,0.08569365925800936,0.10868387014111358
21,micro,1,0.12152100274996121,0.05939209875473904
22,micro,2,0.07496914454268418,0.04178808799145704
23,micro,3,0.06962387298154292,0.06303724747320369
24,micro,4,0.058189577555778825,0.05938925502249802
25,oligo,0,0.06495548408969168,0.03276514441865423
26,oligo,1,0.06042765425916426,0.06423551051127381
27,oligo,2,0.04541004528364231,0.046751367142414596
28,oligo,3,0.05733493720038739,0.04880955373502444
29,oligo,4,0.06109831577061161,0.04766610705590811
30,opc,0,0.04860901205650023,0.03200623364130467
31,opc,1,0.045344889763509436,0.046237598301088784
32,opc,2,0.042695209488249494,0.027062730449531072
33,opc,3,0.05449320391175675,0.04381444355718436
34,opc,4,0.036737243983221805,0.031918044107956234
35,vlmc,0,0.03683632536763625,0.0390023190640833
36,vlmc,1,0.046507919225041855,0.03116056068822467
37,vlmc,2,0.04770450328118173,0.03105394834037398
38,vlmc,3,0.039201667255925145,0.030595918391163192
39,vlmc,4,0.055638438834801365,0.025686306334235357
