gene,score,validation,label
A2M,0.17563349,False,-1
A4GALT,0.038229033,False,-1
AAAS,0.045369588,False,-1
AAR2,0.019594932,False,-1
AATK,0.016441636,False,-1
ABCA2,0.105514884,False,-1
ABCA3,0.05170947,False,-1
ABCA5,0.010178263,False,-1
ABCA6,0.086683854,False,-1
ABCB1,0.09299436,False,-1
ABCB9,0.048378807,False,-1
ABCC4,0.024541179,False,-1
ABCE1,0.11418534,False,-1
ABCF2,0.017856574,False,-1
ABCG1,0.053612027,False,-1
ABCG2,0.059636887,False,-1
ABHD12,0.14259824,False,-1
ABHD13,0.08693297,False,-1
ABHD17B,0.03709982,False,0
ABHD4,0.12602094,False,-1
ABHD5,0.06387279,False,-1
ABI1,0.059851456,False,-1
ABI2,0.011030635,False,-1
ABL1,0.0421955,False,-1
ABLIM3,0.066804744,False,-1
ABO,0.031958163,False,-1
ABRACL,0.13648811,False,-1
ACER2,0.036151752,False,-1
ACER3,0.012726794,False,0
ACIN1,0.016428195,False,-1
ACO1,0.050522175,False,-1
ACSS2,0.03731212,False,-1
ACTA2,0.092285916,False,-1
ACTB,0.058628514,False,0
ACTG2,0.10264088,False,-1
ACTN2,0.028618569,False,0
ACTR10,0.017723186,False,-1
ACTR1B,0.072919786,False,-1
ACTR2,0.15074526,False,-1
ACTR3,0.14964665,False,-1
ACTR3B,0.08182914,False,-1
ACTR5,0.04776133,False,-1
ACTR8,0.013950147,False,-1
ACVR1,0.10771302,False,-1
ACVR2A,0.021063667,False,-1
ACVRL1,0.040908307,False,-1
ADAM10,0.066720344,False,-1
ADAM12,0.010049167,False,-1
ADAM22,0.158972,False,-1
ADAM28,0.019101925,False,-1
ADAM32,0.010805764,False,0
ADAMTS12,0.054736834,False,-1
ADAMTS15,8.936442e-05,False,-1
ADAMTS16,0.07237472,False,-1
ADAMTS17,0.03061237,False,0
ADAMTS3,0.029062526,False,-1
ADAMTS5,0.025975337,False,-1
ADAMTS6,0.05536198,False,-1
ADAMTS7,0.05148501,False,-1
ADAMTS9,0.032276466,False,-1
ADAMTSL1,0.008508676,False,-1
ADAMTSL3,0.011748055,True,0
ADAP1,0.08356289,False,0
ADARB1,0.029062608,False,-1
ADARB2,0.014402026,False,0
ADAT2,0.024758967,False,-1
ADCY2,0.057043962,False,1
ADCY6,0.017435646,False,0
ADCY7,0.062281813,False,-1
ADCY8,0.07896406,False,-1
ADCY9,0.010047402,False,-1
ADD2,0.09533437,False,0
ADD3,0.018360432,False,1
ADD3-AS1,0.080475666,False,-1
ADGRB3,0.03798826,False,-1
ADGRD1,0.06786429,False,-1
ADGRE5,0.042055395,False,-1
ADGRF5,0.06937654,False,-1
ADGRL2,0.006822029,False,-1
ADGRL3,0.07885123,False,-1
ADGRL4,0.031790625,False,-1
ADGRV1,0.012926386,False,-1
ADH1B,0.04482942,False,-1
ADH1C,0.056619845,False,0
ADH4,0.07060316,False,-1
ADI1,0.08228026,False,-1
ADIPOR1,0.06268391,False,-1
ADNP,0.09726339,False,-1
ADNP2,0.07702547,False,-1
ADPGK,0.003326068,False,-1
ADRM1,0.10593732,False,-1
ADTRP,0.04254372,False,0
AEBP2,0.061773628,False,-1
AFAP1L2,0.02811373,False,-1
AFF2,0.122741535,False,-1
AFF3,0.019027691,False,-1
AFF4,0.062257864,False,-1
AGAP1,0.0109539125,False,-1
AGBL4,0.07322419,False,-1
AGFG2,0.0063395044,False,-1
AGGF1,0.057209633,False,-1
AGL,0.08982972,False,-1
AGMO,0.0018846976,False,0
AGO1,0.05065265,False,0
AGO3,0.010740207,False,-1
AGPAT1,0.07454913,False,-1
AGPAT2,0.024283666,False,-1
AGTPBP1,0.039552093,False,-1
AGTRAP,0.024591463,False,-1
AHCTF1,0.0057301815,False,0
AHDC1,0.07125927,True,0
AHR,0.02854771,False,-1
AHRR,0.026828386,False,-1
AIG1,0.03116814,False,0
AIP,0.010344055,False,-1
AIRE,0.05975718,False,-1
AJAP1,0.09840325,False,-1
AK5,0.0653576,False,-1
AKAP12,0.014037535,False,-1
AKAP13,0.11124715,False,-1
AKAP6,0.06309789,False,-1
AKAP8L,0.06463965,False,-1
AKR1B1,0.07280617,False,-1
AKR1C3,0.10780335,False,-1
ALAD,0.026563406,False,-1
ALDH1A2,0.07324419,False,-1
ALG5,0.06088758,False,-1
ALG6,0.071859755,False,0
ALK,0.15770474,False,-1
ALOX12-AS1,0.009657425,False,-1
ALS2,0.0504915,False,-1
ALX3,0.08240129,False,-1
ALX4,0.048632827,True,0
AMD1,0.068283685,True,0
AMMECR1,0.02904376,False,-1
AMMECR1L,0.14425807,False,-1
AMOT,0.022341456,False,0
AMOTL1,0.009548786,False,-1
AMOTL2,0.026348861,False,-1
AMPD2,0.05141551,False,-1
AMPH,0.012122208,False,-1
AMY2B,0.028669808,False,-1
ANAPC1,0.0033761198,False,0
ANAPC10,0.13680896,False,-1
ANAPC4,0.07123573,False,0
ANGPT1,0.019348998,False,-1
ANGPTL2,0.1321333,False,-1
ANK2,0.06346678,False,-1
ANK3,0.033190306,False,1
ANKEF1,0.018744646,False,-1
ANKH,0.020861233,True,0
ANKIB1,0.018663304,False,-1
ANKLE2,0.004599663,False,-1
ANKMY2,0.13480517,False,-1
ANKRD13A,0.122079596,False,-1
ANKRD16,0.016117357,False,-1
ANKRD17,0.19988883,False,-1
ANKRD22,0.012772745,False,-1
ANKRD24,0.07984905,False,-1
ANKRD30BL,0.118667096,False,-1
ANKRD31,0.06058659,False,-1
ANKRD34C-AS1,0.10118243,False,-1
ANKRD36B,0.042231992,False,-1
ANKRD36C,0.05951217,False,-1
ANKRD40,0.06308825,False,-1
ANKRD42,0.17295502,False,-1
ANKRD44,0.06240614,False,-1
ANKRD44-IT1,0.06427962,False,0
ANKRD50,0.089572005,False,-1
ANKRD53,0.043986816,False,-1
ANKS1B,0.051243465,False,-1
ANKS3,0.030951522,False,-1
ANLN,0.06166229,False,-1
ANO10,0.051397726,False,-1
ANO3,0.017640958,False,-1
ANO4,0.010307547,False,-1
ANO5,0.084262215,False,-1
ANO6,0.110803895,False,-1
ANP32B,0.07453733,False,-1
ANTXR2,0.029892258,False,-1
ANXA1,0.034745395,False,-1
ANXA11,0.045635678,False,-1
ANXA4,0.042496126,False,-1
ANXA7,0.060043015,False,-1
AOAH,0.0562862,False,0
AOX1,0.032655705,False,-1
AP1AR,0.050322153,False,-1
AP1M1,0.037758637,False,-1
AP1S2,0.08157782,False,0
AP3M1,0.00626446,False,-1
AP4M1,0.013761522,False,-1
AP4S1,0.0044939704,False,-1
APBA1,0.08238027,True,0
APBB1IP,0.009599759,False,0
APC,0.007618095,False,0
APEH,0.05597441,False,0
APLF,0.008796296,False,-1
APMAP,0.007010222,False,0
APOD,0.0119306035,False,0
APOE,0.061355613,False,-1
APOL2,0.025683507,False,-1
APOLD1,0.058527935,False,-1
APPBP2,0.037708204,False,-1
AQP4,0.026494058,False,-1
AQP4-AS1,0.052323703,False,-1
AR,0.006781548,False,-1
ARAP2,0.06585303,False,0
ARAP3,0.028483266,False,-1
ARFGAP1,0.023316396,False,-1
ARFGAP3,0.028283078,False,-1
ARFGEF2,0.091646135,False,-1
ARFGEF3,0.04942284,False,-1
ARHGAP11B,0.11456247,False,-1
ARHGAP18,0.040975124,False,-1
ARHGAP20,0.11467135,False,-1
ARHGAP21,0.02097644,False,-1
ARHGAP22,0.09965609,True,0
ARHGAP24,0.027879896,False,-1
ARHGAP31,0.034373563,False,-1
ARHGAP35,0.02529423,False,-1
ARHGAP44,0.039289735,False,-1
ARHGAP5,0.053061634,False,-1
ARHGAP6,0.093523465,False,-1
ARHGDIA,0.057606418,False,-1
ARHGEF11,0.013128294,False,-1
ARHGEF18,0.086966686,False,-1
ARHGEF25,0.070713684,False,-1
