_BACKGROUND,5p,10p,15p
FOS,FOS,FOS,FOS
RHOBTB2,RHOBTB2,RHOBTB2,RHOBTB2
MAFF,MAFF,MAFF,MAFF
SPECC1,SPECC1,SPECC1,SPECC1
ZNF350,ZNF350,ZNF350,ZNF350
TTC30A,TTC30A,TTC30A,TTC30A
ZNF12,ZNF12,ZNF12,ZNF12
XKR4,XKR4,XKR4,XKR4
PPM1L,PPM1L,PPM1L,PPM1L
CEBPB,CEBPB,CEBPB,CEBPB
MYCN,MYCN,MYCN,MYCN
TMEM8A,TMEM8A,TMEM8A,TMEM8A
NCAM1,NCAM1,NCAM1,NCAM1
MTHFD1,MTHFD1,MTHFD1,MTHFD1
DMRT1,DMRT1,DMRT1,DMRT1
TOR3A,TOR3A,TOR3A,TOR3A
ST8SIA1,ST8SIA1,ST8SIA1,ST8SIA1
FGFR3,FGFR3,FGFR3,FGFR3
ARX,ARX,ARX,ARX
CNTN4,CNTN4,CNTN4,CNTN4
LRRFIP1,LRRFIP1,LRRFIP1,LRRFIP1
TMC3-AS1,TMC3-AS1,TMC3-AS1,TMC3-AS1
CNDP2,CNDP2,CNDP2,CNDP2
GDPD1,GDPD1,GDPD1,GDPD1
SRSF3,SRSF3,SRSF3,SRSF3
DCUN1D4,DCUN1D4,DCUN1D4,DCUN1D4
NECTIN1,NECTIN1,NECTIN1,NECTIN1
ANAPC10,ANAPC10,ANAPC10,ANAPC10
H1FX,H1FX,H1FX,H1FX
ZC3H12A,ZC3H12A,ZC3H12A,ZC3H12A
ZNF573,ZNF573,ZNF573,ZNF573
ZSWIM6,ZSWIM6,ZSWIM6,ZSWIM6
IL4R,IL4R,IL4R,IL4R
STPG2,STPG2,STPG2,STPG2
CCND1,CCND1,CCND1,CCND1
POU3F2,POU3F2,POU3F2,POU3F2
ZNF714,ZNF714,ZNF714,ZNF714
ZNF28,ZNF28,ZNF28,ZNF28
NMUR2,NMUR2,NMUR2,NMUR2
ZNRF1,ZNRF1,ZNRF1,ZNRF1
NPNT,NPNT,NPNT,NPNT
DRAM1,DRAM1,DRAM1,DRAM1
SOX6,SOX6,SOX6,SOX6
GOLIM4,GOLIM4,GOLIM4,GOLIM4
CTTNBP2NL,CTTNBP2NL,CTTNBP2NL,CTTNBP2NL
FERMT1,FERMT1,FERMT1,FERMT1
