gene,score,validation,label
A2M,0.0111835655,False,0
A3GALT2,3.045876e-07,False,0
ABCA1,0.047401298,False,0
ABCA12,0.017900128,False,0
ABCA3,0.02460886,False,0
ABCA4,0.017840967,True,0
ABCA5,0.030974539,False,0
ABCB1,0.024377998,False,0
ABCB4,0.013124717,True,0
ABCC4,0.0113453,False,0
ABCC9,0.037147883,False,0
ABCF2,0.030846389,False,0
ABCG1,0.01734299,False,0
ABCG2,0.04133394,False,0
ABHD13,0.020390265,False,0
ABHD17B,0.012552247,False,0
ABHD17C,0.013537802,False,0
ABI3BP,0.02220258,False,0
ABL1,0.033514887,False,0
ABLIM3,0.019472664,False,0
ABRACL,0.021616114,False,0
ACAT2,0.008948403,False,0
ACBD6,0.007876744,False,0
ACBD7,0.011322649,False,0
ACER3,0.015288764,False,0
ACHE,0.022261947,True,0
ACKR3,0.011641357,False,0
ACOT12,0.014861003,False,0
ACSL3,0.0024123199,False,0
ACSL4,0.023447266,False,1
ACSL5,0.012129011,False,0
ACTA2,0.038875736,True,0
ACTB,0.002014996,False,0
ACTG1,0.012391957,False,0
ACTL6B,0.058234297,False,0
ACTN1,0.032826416,True,0
ACTN2,0.015173315,True,0
ACTR2,0.012469514,False,0
ACTR3,0.018314017,True,0
ACVR1,0.042258948,False,0
ACVR1C,0.06073395,False,0
ACVR2A,0.01871967,True,0
ADA,0.013662875,False,0
ADAM19,0.004989854,False,0
ADAM23,0.054627784,False,0
ADAM28,0.029994648,False,0
ADAM9,0.032211,False,0
ADAMTS1,0.00044478805,False,0
ADAMTS12,0.020218136,True,0
ADAMTS16,0.037011225,False,0
ADAMTS3,0.07919012,False,0
ADAMTS5,0.12217845,False,0
ADAMTS6,0.0010515803,False,1
ADAMTS9,0.016902985,False,0
ADAMTSL1,2.017377e-06,False,0
ADARB1,0.003879815,False,0
ADARB2,0.01727622,False,0
ADCY1,0.02573599,False,0
ADCY7,0.013879642,False,1
ADCY8,0.030987851,False,0
ADD2,0.018423792,False,0
ADD3,0.0092009595,False,0
ADD3-AS1,0.026110673,False,0
ADGRA2,0.0072462186,False,0
ADGRB3,0.027771005,True,0
ADGRD1,0.016017757,False,0
ADGRE2,0.073366314,False,0
ADGRE5,0.019411543,True,0
ADGRF5,0.0107511515,False,0
ADGRG6,0.012989275,False,0
ADGRL2,5.241961e-05,False,0
ADGRL3,0.031000737,False,0
ADGRL4,0.020368349,False,0
ADK,0.037892897,False,0
ADNP,0.0016146424,False,0
ADNP-AS1,0.0099110585,False,0
ADNP2,0.035632093,False,0
ADORA3,0.013452857,False,0
ADPGK-AS1,0.01837244,False,0
ADRM1,0.0444525,True,0
ADTRP,0.014990902,False,0
AEBP1,0.01732898,False,0
AEBP2,0.015451441,True,0
AFF2,0.003387815,True,0
AFF3,0.04869234,False,0
AFF4,0.02014354,False,0
AGAP2,0.00032985164,False,0
AGGF1,0.063139245,False,0
AGL,0.0021122543,False,0
AGT,0.009683707,False,0
AGTPBP1,0.046378363,True,0
AGTR1,0.023657907,False,0
AHCTF1,0.00817796,False,0
AHCYL2,0.07714735,False,0
AHDC1,0.01925873,False,1
AHR,0.023007603,False,0
