gene,score,validation,label
A4GALT,0.022315891,True,0
ABCA1,0.011747247,False,0
ABCA10,0.00840547,False,0
ABCA13,0.031427022,False,1
ABCA3,0.0055416436,False,0
ABCA4,0.019075027,False,0
ABCA5,0.02692525,False,0
ABCA6,0.013203201,False,0
ABCA8,0.023460206,False,0
ABCB1,0.009611612,True,0
ABCC3,0.017649729,False,1
ABCC4,0.025093304,False,0
ABCC5,0.026060242,False,0
ABCC9,0.018649327,False,0
ABCF2,0.0321804,False,0
ABCG1,0.037666153,True,0
ABCG2,0.010003426,False,0
ABHD17B,0.010734377,False,0
ABHD17C,0.028107822,False,0
ABHD3,0.008452777,False,0
ABI3BP,0.023387149,False,0
ABL1,0.039466728,False,0
ABL2,0.02422973,False,0
ABLIM2,0.019355899,False,0
ABLIM3,0.018305106,False,0
ABO,0.049894266,False,0
ABRACL,0.054692376,False,0
ABTB2,0.0008553006,False,0
ACBD6,0.012771171,False,0
ACER2,0.018185869,False,0
ACKR1,0.014413218,True,0
ACKR3,0.032772686,False,0
ACO1,0.030293124,False,0
ACPP,0.019016452,False,0
ACSL3,0.010116244,False,0
ACSL4,0.015717447,True,1
ACSL5,0.03129944,False,0
ACTA2,0.009864842,False,0
ACTB,0.035991777,False,0
ACTG1,0.023001758,False,0
ACTL6A,0.0035676719,False,0
ACTN1,0.026320212,False,0
ACTN2,0.013880699,False,0
ACTN4,0.042651173,False,0
ACTR2,0.049115818,True,0
ACTR3,0.028687626,False,0
ACVR1C,0.017455867,False,0
ACVR2A,0.015414648,False,0
ACYP2,0.050187536,True,0
ADAM15,0.026882967,False,0
ADAM17,0.0042458004,False,0
ADAM19,0.02980992,True,0
ADAM23,0.025046322,False,0
ADAM32,0.013594019,False,0
ADAMTS1,0.026677523,False,0
ADAMTS10,0.020873966,False,0
ADAMTS12,0.026348814,False,0
ADAMTS15,0.027997086,False,0
ADAMTS16,0.021576995,False,0
ADAMTS17,0.032214087,False,0
ADAMTS18,0.0250059,False,0
ADAMTS3,0.017705413,False,0
ADAMTS5,0.07395573,True,0
ADAMTS6,0.041361965,False,1
ADAMTS7,0.01577754,True,0
ADAMTS8,0.006824585,True,0
ADAMTS9,0.058722716,False,0
ADAMTS9-AS2,0.029210242,False,0
ADAMTSL1,0.0739413,True,0
ADAMTSL2,0.015584591,False,0
ADAMTSL4-AS1,0.010355277,False,0
ADARB1,0.012996893,False,0
ADARB2,0.02925866,True,0
ADCY1,0.00021831531,False,0
ADCY2,0.040736403,False,0
ADCY3,0.045817073,False,0
ADCY4,0.010883159,False,0
ADCY5,0.0070138336,False,0
ADCY6,0.0287311,False,0
ADCYAP1,0.07127871,True,0
ADCYAP1R1,0.01744886,False,0
ADD2,0.04122413,False,0
ADD3,0.0075532612,False,0
ADD3-AS1,0.030471988,False,0
ADGRA1,0.0022006165,False,0
ADGRA3,0.03869208,False,0
ADGRB3,0.021878941,True,0
ADGRD1,0.005230799,False,0
ADGRL2,0.019937664,False,0
ADGRL3,0.014920928,False,0
ADGRL4,0.032066446,False,0
ADH1B,0.020765757,False,0
ADH6,0.026565237,False,0
ADIPOR1,0.02102309,True,0
ADIRF,0.023553787,False,0
ADK,0.028796667,False,0
ADM,0.016650902,False,0
ADM5,0.008457366,False,0
ADNP,0.0025293757,False,0
ADNP-AS1,0.045435254,False,0
ADNP2,0.033159688,False,0
ADORA1,0.023206983,False,0
ADORA2A,0.023742188,False,0
ADORA3,0.035171535,True,0
ADPRHL1,0.020860206,True,0
ADRA1A,0.018320028,True,0
ADRA2A,0.038824886,False,0
ADRB1,0.032156132,False,0
ADTRP,0.034331307,False,0
AFAP1-AS1,0.043360535,True,0
AFF3,0.024550205,False,0
AFF4,0.0079930825,True,0
AGAP2,0.031093318,False,0
AGAP3,0.028170004,False,0
AGBL3,0.012850227,False,0
AGGF1,0.026743323,False,0
AGL,0.03014278,False,0
AGMO,0.0119240135,False,0
AGRN,0.004477213,False,0
AGTR1,0.022542894,False,0
AHCTF1,0.0028733076,False,0
AHCYL2,0.022605984,False,0
AHDC1,0.03733492,False,1
AHI1,0.001940119,False,0
AHNAK,0.00615415,False,0
AHNAK2,0.04698096,False,1
AHR,0.00575362,False,0
AHRR,0.023181424,False,0
AIM2,0.060459487,False,0
AIRE,0.04898093,False,0
AJAP1,0.042288426,False,0
AK5,0.051543377,False,0
AKAP12,0.03308351,False,0
AKAP13,0.031272665,False,0
AKR1A1,0.046325263,False,0
AKR1C1,0.023246542,False,0
AKR1C2,0.021089306,False,0
AKR1C3,0.0033270132,False,0
AKR1C8P,0.036350917,True,0
AKT1S1,0.008606348,False,0
ALCAM,0.013085284,True,1
ALDH1A2,0.07832187,False,0
ALDH8A1,0.03338215,False,0
ALOX12,0.017872635,False,0
ALOX5,0.028916514,False,0
ALPL,0.033274386,False,0
ALX1,0.055492893,False,0
ALX3,0.037338838,True,0
ALX4,0.030712724,True,0
AMH,0.02755792,False,0
AMOTL1,0.010031127,False,0
AMPD3,0.017116455,True,0
AMPH,0.027169535,False,0
ANGEL1,0.06705019,False,0
ANGPT1,0.017208485,True,0
ANGPT2,0.01234901,False,0
ANGPT4,0.012478524,False,0
ANK1,0.02962539,False,0
ANK2,0.029195031,False,0
ANK3,0.010382875,False,0
ANKDD1A,0.010655631,True,0
ANKEF1,0.055167142,False,0
ANKH,0.040518023,True,0
ANKRD10,0.03631427,False,0
ANKRD30BL,0.0015483084,False,0
ANKRD33B,0.0051535517,True,0
ANKRD34A,0.017000908,False,0
ANKRD37,0.019374216,True,0
ANKRD45,0.016771827,False,0
ANKRD46,0.020125054,True,0
ANKRD49,0.014333918,False,0
ANKRD50,0.0044336873,False,0
ANKRD55,0.014954824,False,0
ANKRD7,0.00782009,False,0
ANKS1B,0.032332484,False,0
ANO10,0.001385478,False,0
ANO2,0.011644079,False,0
ANO3,0.0050092074,False,0
ANO4,0.0044318126,False,0
ANO6,0.0044244104,False,0
ANOS1,0.03610507,False,0
ANTXR1,0.0154534,True,0
ANTXR2,0.0132665895,False,0
ANXA1,0.018330596,False,0
ANXA11,0.029719641,False,0
ANXA2,0.027275288,False,0
ANXA4,0.009911072,False,0
ANXA5,0.037147246,False,0
AOAH,0.006155912,False,0
AP1S2,0.007259526,False,0
AP1S3,0.028564867,False,0
AP3B2,0.011078437,False,0
AP3M1,0.014152699,True,0
AP4B1-AS1,0.029565936,False,0
APAF1,0.017624076,False,0
APBB1IP,0.0144624915,False,0
APC2,0.010727792,True,0
APELA,0.025634255,True,0
APEX2,0.0096003665,False,0
APLF,0.027251627,True,0
APLN,0.01936388,False,0
APLNR,0.03552939,False,0
APMAP,0.026669664,True,0
APOBEC3G,0.018911391,True,0
APOL6,0.019309608,True,0
APOLD1,0.040265813,True,0
APRT,0.019722247,False,0
AQP4-AS1,0.034939285,False,0
AR,0.024342101,False,0
ARF6,0.03518295,False,0
ARFGAP1,0.04074464,True,0
ARFGAP3,0.056118343,False,0
ARFIP1,0.016983176,False,0
ARG1,0.019577269,False,0
ARHGAP10,0.040428795,False,0
ARHGAP11A,0.011981426,False,1
ARHGAP12,0.008518758,False,0
ARHGAP15,0.010155536,False,0
ARHGAP20,0.002941176,False,0
ARHGAP22,0.0329109,True,0
ARHGAP24,0.0142879365,False,0
ARHGAP29,0.026305158,False,0
ARHGAP30,0.02778748,False,0
ARHGAP42,0.027719228,False,0
ARHGAP44,0.016811606,True,0
ARHGAP6,0.024848383,False,0
ARHGEF11,0.0063073975,True,0
ARHGEF16,0.051384617,False,0
ARHGEF17,0.022925574,False,0
ARHGEF26,0.015770461,False,0
ARHGEF3,0.0073798927,False,0
ARHGEF4,0.014412594,False,0
ARHGEF7,0.024744894,False,0
ARHGEF9,0.0072575468,False,0
ARID2,0.001351521,False,1
ARID3A,0.0052276836,False,0
ARID3B,0.017855996,False,0
ARID5A,0.025450153,False,0
ARID5B,0.012370844,True,0
ARL2BP,0.021313928,False,0
