gene,score,validation,label
A4GALT,0.9997012,False,-1
ABCA1,1.0,False,-1
ABCA10,0.99999845,False,-1
ABCA13,1.0,False,-1
ABCA3,0.99999666,False,-1
ABCA4,0.99999213,False,-1
ABCA5,0.99993134,False,-1
ABCA6,0.9999968,False,-1
ABCA8,1.0,False,-1
ABCB1,1.0,False,-1
ABCC3,0.9999951,False,-1
ABCC4,0.99998987,False,-1
ABCC5,1.0,False,-1
ABCC9,0.9999993,False,-1
ABCF2,0.9999578,False,-1
ABCG1,0.9999927,False,-1
ABCG2,1.0,False,-1
ABHD17B,0.9999907,False,-1
ABHD17C,0.99999976,False,-1
ABHD3,1.0,False,-1
ABI3BP,0.9999993,False,-1
ABL1,0.9999999,False,-1
ABL2,0.9999994,False,-1
ABLIM2,1.0,False,-1
ABLIM3,0.99959904,False,-1
ABRACL,0.99999595,False,-1
ABTB2,0.9999993,False,-1
ACBD6,0.99999964,False,-1
ACER2,0.9900351,False,-1
ACKR1,0.99998045,False,-1
ACKR3,0.9999994,False,-1
ACO1,1.0,False,-1
ACPP,0.9990495,False,-1
ACSL3,0.9999833,False,-1
ACSL4,0.99999356,False,-1
ACSL5,0.99999094,False,-1
ACTA2,1.0,False,-1
ACTB,0.99999213,False,-1
ACTG1,0.99999964,False,-1
ACTL6A,0.99998,False,-1
ACTN1,0.9999995,False,-1
ACTN2,1.0,False,-1
ACTR2,0.99999964,False,-1
ACTR3,0.99925727,False,-1
ACVR1C,0.9999807,False,-1
ACVR2A,1.0,False,-1
ACYP2,0.99999595,False,-1
ADAM17,1.0,False,-1
ADAM19,0.9999993,False,-1
ADAM23,0.9999982,False,-1
ADAM32,0.99999714,False,-1
ADAMTS1,0.9999255,False,-1
ADAMTS10,0.99999,False,-1
ADAMTS12,1.0,False,-1
ADAMTS16,1.0,False,-1
ADAMTS17,1.0,False,-1
ADAMTS18,0.99993634,False,-1
ADAMTS3,0.9999999,False,1
ADAMTS5,0.9999981,False,-1
ADAMTS6,1.0,False,-1
ADAMTS7,0.9999924,False,-1
ADAMTS8,0.99995744,False,-1
ADAMTS9,0.9999393,False,-1
ADAMTSL1,0.99987173,False,-1
ADAMTSL2,1.0,False,-1
ADAMTSL4-AS1,1.0,False,-1
ADARB1,1.0,False,-1
ADARB2,1.0,False,-1
ADCY1,1.0,False,-1
ADCY2,1.0,False,-1
ADCY3,1.0,False,-1
ADCY4,0.9999999,False,-1
ADCY5,0.9999691,False,-1
ADCY6,0.99998176,False,-1
ADCYAP1,0.9999975,False,-1
ADCYAP1R1,0.99999976,False,-1
ADD2,0.9999964,False,-1
ADD3,1.0,False,-1
ADD3-AS1,1.0,False,-1
ADGRA1,1.0,False,-1
ADGRA3,0.9998871,False,-1
ADGRB3,1.0,False,-1
ADGRD1,0.9999896,False,-1
ADGRL2,0.9999974,False,-1
ADGRL3,1.0,False,-1
ADGRL4,0.99992216,False,-1
ADH1B,0.9999994,False,-1
ADH6,0.9999993,False,-1
ADIPOR1,0.9999975,False,-1
ADK,0.99998677,False,-1
ADM,0.9998828,False,-1
ADM5,1.0,False,-1
ADNP,1.0,False,-1
ADNP-AS1,0.99996984,False,-1
ADNP2,0.99994373,False,-1
ADORA1,0.99999976,False,-1
ADORA2A,1.0,False,-1
ADORA3,0.9999888,False,-1
ADPRHL1,0.99975365,False,-1
ADRA1A,0.9999999,False,-1
ADRA2A,0.99999964,False,-1
ADRB1,0.99999976,False,-1
ADTRP,1.0,False,-1
AFAP1-AS1,0.98935527,False,-1
AFF3,1.0,False,-1
AFF4,0.99999976,False,-1
AGAP2,0.9999931,False,-1
AGAP3,0.9999913,False,-1
AGBL3,1.0,False,-1
AGGF1,0.99999595,False,-1
AGL,0.99999607,False,-1
AGMO,0.9999845,False,-1
AGRN,0.99999976,False,-1
AGTR1,0.99999785,False,-1
AHCTF1,0.9999999,False,-1
AHCYL2,0.9999045,False,-1
AHDC1,0.99751544,False,-1
AHI1,0.9999993,True,1
AHNAK2,0.9999912,False,-1
AHR,1.0,False,-1
AHRR,0.99999595,False,-1
AIM2,1.0,False,-1
AIRE,0.99999714,False,-1
AJAP1,0.9999982,False,-1
AK5,0.9999988,False,-1
AKAP12,0.99998915,False,-1
AKAP13,0.99999976,False,-1
AKR1A1,0.9999999,False,-1
AKR1C1,1.0,False,-1
AKR1C2,0.9999796,False,-1
AKR1C3,1.0,False,-1
AKR1C8P,1.0,False,-1
AKT1S1,0.9999969,False,-1
ALCAM,0.9999877,False,-1
ALDH1A2,0.99998724,False,-1
ALDH8A1,1.0,False,-1
ALOX12,1.0,False,-1
ALOX5,1.0,False,-1
ALX1,0.99995816,False,-1
ALX3,0.9999883,False,-1
ALX4,1.0,False,-1
AMH,0.99999213,False,-1
AMOTL1,0.999806,False,-1
AMPD3,0.9999993,False,-1
AMPH,0.9999106,False,-1
ANGEL1,0.99998987,False,-1
ANGPT1,0.99999785,False,-1
ANGPT2,0.9999924,False,-1
ANGPT4,0.9999999,False,-1
ANK1,0.9999999,False,-1
ANK2,0.9999995,False,-1
ANK3,0.99999976,False,-1
ANKDD1A,0.9999672,False,-1
ANKEF1,0.99999964,False,-1
ANKH,0.99011856,False,-1
ANKRD30BL,1.0,False,-1
ANKRD33B,1.0,False,-1
ANKRD34A,0.99999547,False,-1
ANKRD37,0.9999392,False,-1
ANKRD45,0.9999989,False,-1
ANKRD46,1.0,False,-1
ANKRD49,0.9999161,False,-1
ANKRD50,1.0,False,-1
ANKRD55,1.0,False,-1
ANKRD7,0.99999845,False,-1
ANKS1B,0.9999976,False,-1
ANO10,1.0,False,-1
ANO3,0.99999905,False,-1
ANO4,1.0,False,-1
ANO6,1.0,False,-1
ANOS1,1.0,False,-1
ANTXR1,0.9999838,False,-1
ANTXR2,1.0,False,-1
ANXA1,0.99999344,False,-1
ANXA11,0.99986243,False,-1
ANXA2,0.9998273,False,-1
ANXA4,0.9999962,False,-1
ANXA5,1.0,False,-1
AOAH,1.0,False,-1
AP1S2,1.0,False,-1
AP1S3,0.9999989,False,-1
AP3B2,0.99823195,False,-1
AP3M1,1.0,False,-1
AP4B1-AS1,0.9999838,False,-1
APAF1,1.0,False,-1
APBB1IP,1.0,False,-1
APC2,0.9999999,False,-1
APELA,0.99999905,False,-1
APEX2,0.99999285,False,-1
APLF,0.999995,False,-1
APLN,0.9999999,False,-1
APLNR,1.0,False,-1
APMAP,0.99999917,False,-1
APOBEC3G,0.99998534,False,-1
APOL6,0.9999858,False,-1
APOLD1,1.0,False,-1
APRT,0.9999974,False,-1
AQP4-AS1,0.9999964,False,-1
AR,0.99995995,False,-1
ARFGAP1,0.99992883,False,-1
ARFGAP3,0.9999944,False,-1
ARFIP1,0.9999999,False,-1
ARG1,1.0,False,-1
ARHGAP10,1.0,False,-1
ARHGAP11A,0.999998,False,-1
ARHGAP12,1.0,False,-1
ARHGAP15,0.9999999,False,-1
ARHGAP20,1.0,False,-1
ARHGAP22,0.9999995,False,-1
ARHGAP24,0.9999939,False,-1
ARHGAP29,0.9999956,False,-1
ARHGAP30,0.999969,False,-1
ARHGAP42,0.9999987,False,-1
ARHGAP44,0.99986994,False,-1
ARHGAP6,1.0,False,-1
ARHGEF11,1.0,False,-1
ARHGEF16,0.9998154,False,-1
ARHGEF17,0.99999714,False,-1
ARHGEF26,0.99999964,False,-1
ARHGEF3,0.9999999,False,-1
ARHGEF4,1.0,False,-1
ARHGEF7,1.0,False,-1
ARHGEF9,0.99999964,False,-1
ARID2,1.0,False,-1
ARID3A,1.0,False,-1
ARID3B,1.0,False,-1
ARID5A,0.99984753,False,-1
ARID5B,0.99999976,False,-1
ARL5B,0.99968636,False,-1
ARL6IP5,0.9999995,False,-1
ARMC2,0.9999838,False,-1
ARMC4,1.0,False,-1
ARMC9,1.0,False,-1
ARNT,1.0,False,-1
ARNT2,1.0,False,-1
ARNTL,1.0,False,-1
ARNTL2,0.9999994,False,-1
ARPC1A,0.99996436,False,-1
ARPC1B,0.99938047,False,-1
ARPP21,1.0,False,-1
ARRB1,0.9996551,False,-1
ARRDC2,0.99999726,False,-1
