gene,score,validation,label
A2M,0.9999995,False,-1
ABCF2,1.0,False,-1
ABCG2,0.99999654,False,-1
ABL1,1.0,False,-1
ACKR3,1.0,False,-1
ACSBG1,1.0,False,-1
ACTA2,0.9999995,False,-1
ACTC1,1.0,False,-1
ACVR1,1.0,False,-1
ADAM12,1.0,False,-1
ADAM28,0.9999999,False,-1
ADAMTS1,0.99988306,False,-1
ADAMTS18,0.9999999,False,-1
ADAMTS3,1.0,False,1
ADARB1,1.0,False,-1
ADCYAP1,0.99999464,False,-1
ADD3,0.9999999,False,-1
ADGRD1,0.99999964,False,-1
ADGRF5,0.999995,False,-1
ADGRG5,0.9999993,False,-1
ADGRL2,1.0,False,-1
ADGRV1,0.99999964,False,-1
ADM,0.99999404,False,-1
ADNP,1.0,False,-1
ADNP2,1.0,False,-1
ADRA1A,1.0,False,-1
ADRA2A,0.9999932,False,-1
AFAP1L1,0.9997979,False,-1
AFF1,0.9999987,False,-1
AFF3,1.0,False,-1
AFF4,1.0,False,-1
AGAP2,0.99999356,False,-1
AGBL3,0.99999964,False,-1
AHCTF1,1.0,False,-1
AHDC1,1.0,False,-1
AHR,1.0,False,-1
AHRR,1.0,False,-1
AIF1L,1.0,False,-1
AK5,0.99999976,False,-1
AKAP12,0.9999901,False,-1
AKAP13,0.9999987,False,-1
ALK,0.9999893,False,-1
ALOX5,1.0,False,-1
ALX1,0.9999945,False,-1
ANGPTL8,0.99999464,False,-1
ANKRD30B,1.0,False,-1
ANKRD30BL,0.9999987,False,-1
ANKRD37,0.9998392,False,-1
ANKRD44,1.0,False,-1
ANKRD55,1.0,False,-1
ANKRD6,1.0,False,-1
ANO6,0.9999981,False,-1
ANTXR1,0.9999993,False,-1
AP1S2,0.99999976,False,-1
APBB1IP,1.0,False,-1
APCDD1,0.99999845,False,-1
APOE,0.99999976,True,1
APOLD1,0.99999845,False,-1
ARC,0.9999912,False,-1
AREG,1.0,False,-1
ARHGAP12,1.0,False,-1
ARHGAP20,1.0,False,-1
ARHGAP24,0.9999964,False,-1
ARHGAP26,0.99999964,False,-1
ARHGEF26,0.9999999,False,-1
ARHGEF28,1.0,False,-1
ARHGEF6,0.9999999,False,-1
ARID3A,1.0,False,-1
ARID3B,0.99999654,False,-1
ARID5A,0.9999989,False,-1
ARID5B,1.0,False,-1
ARL4D,0.9999057,False,-1
ARL5B,0.9999943,False,-1
ARL6,0.99998975,False,-1
ARMC3,0.9999987,False,-1
ARNTL,0.9999999,False,-1
ARSB,0.99999964,False,-1
ASAP1,0.9999945,False,-1
ASAP2,0.99999976,False,-1
ASB2,0.9998386,False,-1
ASCC1,0.9999999,False,-1
ASCL1,0.99999917,False,-1
ASIC2,0.9999999,False,-1
ATF1,1.0,False,-1
ATF2,1.0,False,-1
ATF3,0.999995,False,-1
ATF7,0.9999999,False,-1
ATF7IP2,0.99999964,False,-1
ATOH8,0.9999889,False,-1
ATP10A,0.99999905,False,-1
ATP1A2,0.9999646,False,-1
ATP1B3,0.99992085,False,-1
ATP2C2,1.0,False,-1
ATP8B1,1.0,False,-1
B3GAT2,1.0,False,-1
B3GNT2,0.99999225,False,-1
BACE2,1.0,False,-1
BACH1,1.0,False,-1
BACH2,1.0,False,-1
BARX2,1.0,False,-1
BAZ1A,0.99998343,False,-1
BBS9,0.99999404,False,-1
BBX,1.0,False,-1
BCAS2,0.99999964,False,-1
BCHE,0.9999968,False,-1
BCL11A,0.9999999,False,-1
BCL11B,1.0,False,-1
BCL3,0.9999995,False,-1
BCL6,0.9999924,False,-1
BCLAF1,1.0,False,-1
BDNF,0.99999714,False,1
BEND4,0.9999883,False,-1
BEND6,0.99999964,False,-1
BEST3,1.0,False,-1
BHLHE22,0.9999976,False,-1
BHLHE40,0.9999999,False,-1
BHLHE41,1.0,False,-1
BICC1,0.99997187,False,-1
BLNK,0.99999976,False,-1
BMP2K,0.9999976,False,-1
BMP3,1.0,False,-1
BMP6,1.0,False,-1
BMPER,1.0,False,-1
BNC2,0.9999974,False,-1
BOC,0.9999912,False,-1
BPTF,1.0,False,-1
BRF1,1.0,False,-1
BRINP3,0.9999999,False,-1
BST1,0.9999975,False,-1
BTG2,0.99983287,False,-1
BTNL8,0.99999726,False,-1
BVES,1.0,False,-1
C11orf96,0.99969196,False,-1
C1QL3,0.9999999,False,-1
C1QTNF1,0.99997616,False,-1
C21orf91,0.999997,False,-1
C2orf27A,1.0,False,-1
C2orf88,1.0,False,-1
C3,1.0,False,-1
C3orf67,1.0,False,-1
C3orf70,1.0,False,-1
C5orf30,1.0,False,-1
C8orf34-AS1,1.0,False,-1
CA10,0.9999999,False,-1
CA3,0.9999999,False,-1
CACHD1,1.0,False,-1
CACNA2D3,0.9999759,False,-1
CACNA2D4,0.9994723,False,-1
CACNB2,0.99999964,False,-1
CADM1,1.0,False,-1
CADPS,1.0,False,-1
CADPS2,1.0,False,-1
CAMK2D,0.9999994,False,-1
CARF,1.0,False,-1
CARTPT,0.999982,False,-1
CASC18,0.99999964,False,-1
CASC2,0.9999989,False,-1
CAST,1.0,False,-1
CBLN2,1.0,False,-1
CCDC160,0.99999964,False,-1
CCDC178,1.0,False,-1
CCDC3,1.0,False,-1
CCDC85A,0.99999976,False,-1
CCDC88C,1.0,False,-1
CCER1,0.9999993,False,-1
CCK,0.99997914,False,-1
CCNG2,0.9999999,False,-1
CD163,0.9999945,False,-1
CD22,0.9999994,False,-1
CD24,1.0,False,-1
CD34,1.0,False,-1
CD44,0.9999999,False,-1
CD74,1.0,False,-1
CD86,0.99999666,False,-1
CDC14B,0.99999976,False,-1
CDC37L1,0.9999473,False,-1
CDC42EP5,1.0,False,-1
CDC5L,0.99999857,False,-1
CDH18,0.9999994,False,-1
CDH2,1.0,False,-1
CDH20,0.9999999,False,-1
CDH22,1.0,False,-1
CDH4,1.0,False,-1
CDH5,1.0,False,-1
CDH8,1.0,False,-1
CDK14,1.0,False,-1
CDK6,1.0,False,-1
CDK8,0.9999994,False,-1
CDS1,1.0,False,-1
CDX4,1.0,False,-1
CDYL2,1.0,False,-1
CEBPB,0.9999999,False,-1
CEBPD,0.9999912,False,-1
CEBPG,1.0,False,-1
CEBPZ,1.0,False,-1
CELF5,1.0,False,-1
CEP112,1.0,False,-1
CEP152,1.0,False,-1
CERS6,1.0,False,-1
CFAP70,0.9999926,False,-1
CGNL1,0.9999932,False,-1
CH25H,1.0,False,-1
CHAMP1,1.0,False,-1
CHD1,1.0,False,-1
CHD7,1.0,False,-1
CHGB,0.9999331,False,-1
CHI3L1,0.99999475,True,1
CHODL,0.99999535,False,-1
CHRDL1,1.0,False,-1
CHRM2,1.0,False,-1
CHRNA2,0.9999994,False,-1
CHST3,0.9999918,False,-1
CHST8,0.9999807,False,-1
CHST9,1.0,False,-1
CITED1,0.9999883,False,-1
CKS2,0.99989617,False,-1
CLDN11,1.0,False,-1
CLEC2B,1.0,False,-1
CLEC7A,0.9999813,False,-1
CLIC4,0.999998,False,-1
CLK1,1.0,False,-1
CLMP,0.999997,False,-1
CLOCK,1.0,False,-1
CMTM8,0.9998846,False,-1
CNDP1,1.0,False,-1
CNIH3,0.9999999,False,-1
CNKSR3,0.99999774,False,-1
CNOT4,1.0,False,-1
CNR1,1.0,False,1
CNTN4,1.0,False,-1
CNTNAP3,0.9999999,False,-1
CNTNAP3B,0.9999988,False,-1
CNTNAP5,0.9999969,False,-1
COL13A1,1.0,False,-1
COL15A1,1.0,False,-1
COL18A1,0.9999198,False,-1
COL1A2,0.99999416,False,-1
COL22A1,0.99999833,False,-1
COL23A1,0.99999964,False,-1
COL24A1,1.0,False,-1
COL4A5,1.0,False,-1
COL6A6,1.0,False,-1
COLGALT2,1.0,False,-1
CPA3,0.999967,False,-1
CPE,1.0,False,-1
CPEB1,0.99999976,False,-1
CPEB2,1.0,False,-1
CPED1,1.0,False,-1
CPNE8,0.9999994,False,-1
CPQ,0.9999999,False,-1
CREB1,1.0,False,-1
CREBL2,1.0,False,-1
CREM,0.9999999,False,-1
CRH,0.99974364,False,-1
CRHR2,1.0,False,-1
CRIM1,1.0,False,-1
CRISPLD1,0.99999785,False,-1
CRNDE,0.999997,False,-1
CRYAB,1.0,False,-1
CSF1R,1.0,False,-1
CSPG4,1.0,False,-1
CTBP2,1.0,False,-1
CTH,0.9999951,False,-1
CTNNA2,1.0,False,-1
CTNNB1,1.0,False,-1
CTNND1,0.999897,False,-1
CUX1,1.0,False,-1
CUX2,1.0,False,-1
CX3CR1,0.99999976,False,-1
CXXC5,1.0,False,-1
CYP1B1,0.99999905,False,-1
DAB1,1.0,False,-1
DACH1,0.9999999,False,-1
DAP,1.0,False,-1
DAPK1,1.0,False,-1
DAPP1,1.0,False,-1
DCLK2,1.0,False,-1
DCN,1.0,False,-1
DENND2C,1.0,False,-1
DGKD,1.0,False,-1
DGKH,0.99999464,False,-1
DGUOK-AS1,0.99999976,False,-1
DHRS9,0.99999416,False,-1
DIAPH2,1.0,False,-1
DIDO1,0.9999989,False,-1
DIS3,0.9999995,False,-1
DISC1,0.99999917,False,1
DKK1,0.9991623,False,-1
DLEU2,0.99999976,False,-1
DLX4,0.9999989,False,-1
DLX6-AS1,1.0,False,-1
DMC1,0.9999995,False,-1
DMRT1,1.0,False,-1
DMRTA1,0.99999964,False,-1
DMRTA2,0.99999964,False,-1
DNAH14,1.0,False,-1
DNAH8,0.99999976,False,-1
DNAJC21,1.0,False,-1
DNAJC27,0.99999464,False,-1
DNM3,1.0,False,-1
DOCK1,0.99999404,False,-1
DOCK10,1.0,False,-1
DOCK4,0.9999999,False,-1
DOCK5,0.9999999,False,-1
DOCK8,0.9999999,False,-1
DOK5,1.0,False,-1
DOK6,1.0,False,-1
DPP10,1.0,False,-1
DPY19L3,1.0,False,-1
DPYD,1.0,True,1
DPYSL5,1.0,False,-1
DRAP1,1.0,False,-1
DRD2,0.9999962,True,1
DRGX,0.99999964,False,-1
DSCAS,0.9999999,False,-1
DUSP1,0.99998486,False,-1
DUSP14,0.9999907,False,-1
DUSP16,0.9999993,False,-1
DUSP2,0.99976474,False,-1
DUSP22,1.0,False,-1
DUSP26,0.99999964,False,-1
DUSP4,0.9997825,False,-1
DUSP5,0.999964,False,-1
DUSP6,0.99999,False,-1
DUXA,0.9999126,False,-1
E2F5,1.0,False,-1
EBF1,1.0,False,-1
EBF3,0.99999964,False,-1
EDA2R,0.9996146,False,-1
EDIL3,0.99999225,False,-1
EDNRB,0.9999474,False,-1
EFCAB2,1.0,False,-1
EFNA5,1.0,False,-1
EFNB2,1.0,False,-1
EFR3B,1.0,False,-1
EGFR,0.99999976,False,-1
EGR1,0.9999958,False,-1
EGR2,0.9999924,False,-1
EGR3,0.9999982,False,-1
EGR4,0.9999993,False,-1
EIF4A3,0.99998045,False,-1
ELAVL2,1.0,False,-1
ELAVL4,0.9999976,False,-1
ELF2,1.0,False,-1
ELF4,1.0,False,-1
ELF5,0.9999999,False,-1
ELK3,1.0,False,-1
ELK4,1.0,False,-1
ELN,0.9999993,False,-1
ELOVL5,0.9999752,False,-1
ELOVL7,1.0,False,-1
EML6,1.0,False,-1
EMX2,0.9999738,False,-1
ENAH,1.0,False,-1
ENC1,1.0,False,-1
ENOX1,0.999998,False,-1
ENPEP,0.9998037,False,-1
ENTPD1,1.0,False,-1
EPAS1,0.99997056,False,-1
EPB41,1.0,False,-1
EPHA3,0.9999987,False,-1
EPHA6,0.9999918,False,-1
EPM2A,1.0,False,-1
EPN2,1.0,False,-1
EPSTI1,0.9999908,False,-1
ERC2,1.0,False,-1
ERF,1.0,False,-1
ERG,0.9999999,False,-1
ERRFI1,0.9999269,False,-1
ESR2,1.0,False,-1
ESRP1,0.99998236,False,-1
ESRRA,0.9999993,False,-1
ESRRG,1.0,False,-1
ETS1,1.0,False,-1
ETV3,0.9999988,False,-1
ETV4,1.0,False,-1
ETV5,1.0,False,-1
ETV6,1.0,False,-1
