gene,score,validation,label
A2M,0.0021436275,False,0
AADACL2-AS1,0.0015381764,False,0
ABCC3,0.0071382895,False,1
ABCF2,0.015190532,False,0
ABCG2,0.030051889,False,0
ABL1,0.030702867,False,0
ACKR3,0.008435215,False,0
ACOT12,0.014839238,True,0
ACSBG1,0.009075165,False,0
ACTA2,0.015980605,False,0
ACTC1,0.012765989,False,0
ACVR1,0.02522025,False,0
ADAM12,0.004888135,False,0
ADAM28,0.016740913,False,0
ADAM29,0.005207201,True,0
ADAM32,0.005831034,False,0
ADAMTS1,0.030084558,True,0
ADAMTS16,0.031105703,False,0
ADAMTS18,0.020877821,False,0
ADAMTS2,0.035973422,False,0
ADAMTS3,0.005625054,False,0
ADAMTS9-AS1,0.00012308925,False,0
ADAMTSL1,0.024392847,True,0
ADARB1,0.0015971937,False,0
ADCY1,0.014457743,False,0
ADCYAP1,0.0018471444,True,0
ADCYAP1R1,0.021163687,False,0
ADD3,0.004322208,False,0
ADGB,0.07038225,False,0
ADGRD1,0.00075381174,False,0
ADGRF5,0.010536262,False,0
ADGRG5,0.014476736,False,0
ADGRL2,2.5393723e-05,True,0
ADGRV1,0.0028151306,True,1
ADM,0.015668789,False,0
ADNP,0.0035416584,False,0
ADNP2,0.03249885,False,0
ADRA1A,0.0034372364,True,0
ADRA1B,0.018354464,False,0
ADRA2A,0.027431475,False,0
AEBP2,0.033267017,False,0
AFAP1,0.030545037,True,0
AFAP1L1,0.0007994172,False,0
AFF1,0.022420537,True,0
AFF3,0.011491497,False,0
AFF4,0.001067291,False,0
AGAP2,0.012241626,False,0
AGBL1,0.016441552,True,0
AGBL3,0.0065294867,True,0
AHCTF1,0.00514623,True,0
AHDC1,0.030682536,False,1
AHR,0.0009495509,False,0
AHRR,0.012330258,True,0
AIF1L,0.018493155,False,0
AK5,0.0006107736,False,0
AKAP12,0.06824706,False,0
AKAP13,0.020441502,False,0
ALDH1A2,0.0017614698,False,0
ALK,0.015722794,False,0
ALLC,0.012673205,False,0
ALOX5,0.018017573,False,0
ALX1,0.020064706,True,0
ANGPTL8,0.009815966,False,0
ANKRD30A,0.015922328,False,0
ANKRD30B,0.022871371,False,0
ANKRD30BL,0.02159436,False,0
ANKRD33B,0.0105662355,False,0
ANKRD34C-AS1,0.02359116,False,0
ANKRD37,0.05430248,False,0
ANKRD44,0.016951425,False,1
ANKRD55,0.0007299748,False,0
