gene,score,validation,label
A2M,1.0,False,-1
ABCB1,1.0,False,-1
ABCC4,1.0,False,-1
ABCG2,0.99999225,False,-1
ABI3BP,0.99999833,False,-1
ABL1,1.0,False,-1
ACKR3,0.9999931,False,-1
ACSBG1,0.9999701,False,-1
ACSL5,1.0,False,-1
ACTA2,0.99999976,False,-1
ACTC1,1.0,False,-1
ACTN2,1.0,False,-1
ACVR1,1.0,False,-1
ADAM12,0.9999906,False,-1
ADAM28,0.9999993,False,-1
ADAM33,0.9999968,False,-1
ADAMTS12,1.0,False,-1
ADAMTS17,0.99999964,False,-1
ADAMTS3,0.9999995,True,1
ADAMTS5,0.9999995,False,-1
ADAMTS6,1.0,False,-1
ADAMTS9,1.0,False,-1
ADARB1,0.9999982,False,-1
ADARB2,0.99999964,False,-1
ADCY7,1.0,False,1
ADCY8,0.9999999,False,-1
ADCYAP1,0.99997115,False,-1
ADD3,1.0,False,-1
ADGRL2,1.0,False,-1
ADNP,1.0,False,-1
ADNP2,0.9999994,False,-1
ADRA1A,0.99998915,False,-1
ADRA2A,0.99998343,False,-1
ADTRP,1.0,False,-1
AFAP1L1,1.0,False,-1
AFF1,0.99999917,False,-1
AFF4,1.0,False,-1
AGBL3,1.0,False,-1
AHCTF1,0.99999905,False,-1
AHDC1,1.0,False,-1
AHR,1.0,False,-1
AHRR,1.0,False,-1
AIM2,0.999982,False,-1
AK5,0.99999833,False,-1
AKAIN1,0.9999821,False,-1
AKAP12,1.0,False,-1
AKAP13,1.0,False,-1
AKR1C2,0.9999999,False,-1
ALCAM,1.0,False,-1
ALK,0.9999938,False,-1
ALOX5,1.0,False,-1
ALX1,1.0,False,-1
ANK1,1.0,False,-1
ANKRD18A,1.0,False,-1
ANKRD30B,1.0,False,-1
ANKRD30BL,1.0,False,-1
ANKRD37,0.9999883,False,-1
ANKRD44,1.0,False,-1
ANKRD50,0.9999994,False,-1
ANKRD6,0.9999999,False,-1
ANO1,0.99999917,False,-1
ANO4,1.0,False,-1
ANO6,0.99999774,False,-1
ANOS1,0.9999976,False,-1
ANXA2,0.99999976,False,-1
ANXA4,0.99999976,False,-1
AP1S2,1.0,False,-1
APBB1IP,1.0,False,-1
APCDD1,1.0,False,-1
APOC2,1.0,False,-1
APOE,1.0,False,1
APOL6,0.9999856,False,-1
ARC,0.999997,False,-1
AREG,0.9999999,False,-1
ARFGAP1,0.99999976,False,-1
ARHGAP12,1.0,False,-1
ARHGAP18,1.0,False,-1
ARHGAP20,0.9999999,False,-1
ARHGAP24,1.0,False,-1
ARHGAP26,0.99999857,False,-1
ARHGAP29,0.99999964,False,-1
ARHGAP31,0.99998474,False,-1
ARHGAP42,1.0,False,-1
ARHGDIB,1.0,False,-1
ARHGEF28,1.0,False,-1
ARHGEF6,1.0,False,-1
ARID3A,1.0,False,-1
ARID3B,1.0,False,-1
ARID5A,0.99999976,False,-1
ARL4D,1.0,False,-1
ARL5B,0.99996257,False,-1
ARMC3,0.9999999,False,-1
ARNTL,0.99998796,False,-1
ARRDC3,1.0,False,-1
ARX,0.9999999,False,-1
ASAP1,1.0,False,-1
ASB2,0.9999218,False,-1
ASCL1,0.99998903,False,-1
ATF2,0.9999999,False,-1
ATF3,0.99999666,False,-1
ATF6,0.99999976,False,-1
ATF7IP2,1.0,False,-1
ATP10A,1.0,False,-1
ATP1A2,1.0,False,-1
ATP1B3,0.9999913,False,-1
ATP2B4,1.0,False,-1
ATP6V1C2,1.0,False,-1
ATP8B1,1.0,False,-1
AURKA,1.0,False,-1
AVPR1A,0.9999807,False,-1
B3GNT2,0.9999933,False,-1
BACH1,1.0,False,-1
BACH2,0.9999995,False,-1
BANP,1.0,False,-1
BATF,0.99999774,False,-1
BAZ1A,1.0,False,-1
BBX,1.0,False,-1
BCAR3,1.0,False,-1
BCAS2,0.99991846,False,-1
