gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.040966621999999994,0.019165548963423526,0.01749007,0.05708581,0.04459385,0.060694817,0.024968563,True,False,False,False,False
ABCB1,0,0.017528564400000002,0.013996141694684048,0.037484206,0.004392403,0.024476226,0.004739722,0.016550265,False,False,False,False,True
ABCC4,0,0.01640643714,0.015498636411234935,0.01501113,0.0037336727,0.022793904,0.039325386,0.001168093,False,True,False,False,False
ABCG2,0,0.00583213981,0.005707943608453564,0.00061144255,0.0067191375,3.4899515e-18,0.013795514,0.008034605,False,True,False,False,False
ABI3BP,0,0.017398957939999998,0.010126029764903505,0.02745732,0.02106765,0.011266743,0.0028994097,0.024303667,False,False,True,False,False
ABL1,0,0.005746230961400001,0.004842829800327684,0.0012856233,0.00996252,0.0069791656,4.9563907e-05,0.010454282,False,False,False,False,True
ACKR3,0,0.0302325118,0.01688757756004076,0.02451657,0.008882456,0.030222923,0.05572272,0.03181789,False,False,False,True,False
ACSBG1,0,0.011257852606000002,0.010031444018952354,0.00021921893,0.0046254396,0.023332214,0.0079231905,0.0201892,True,False,False,False,False
ACSL5,0,0.0208609252,0.01194744591101783,0.031824753,0.004783433,0.032174762,0.022506922,0.013014756,False,False,False,True,False
ACTA2,0,0.0200690476,0.008988754261017279,0.026630435,0.009457279,0.021132302,0.01256435,0.030560872,False,False,False,False,True
ACTC1,0,0.01818590674,0.011451326242917592,0.023586936,0.0039139907,0.034258213,0.016511792,0.012658602,False,False,True,False,False
ACTN2,0,0.013298512160000001,0.010486411733046402,0.0046714703,0.024398219,0.015872927,0.0002187925,0.021331152,False,True,False,False,False
ACVR1,0,0.010019410160200002,0.007707957990899354,0.011016157,0.021405546,9.412501e-06,0.0074191913,0.010246744,False,True,False,False,False
ADAM12,0,0.015708101704,0.01503580141039556,0.00040728552,0.012685782,0.006713144,0.03954073,0.019193567,False,False,True,False,False
ADAM28,0,0.022555381599999997,0.011649239854226725,0.042700905,0.020704158,0.018336782,0.012628694,0.018406369,True,False,False,False,False
ADAM33,0,0.0198476324,0.005398396271568372,0.01504338,0.02813903,0.014971383,0.020541692,0.020542677,False,False,False,True,False
ADAMTS12,0,0.01428534142,0.016040721292723832,0.003621152,0.025154097,0.0043651853,0.0010910128,0.03719526,True,False,False,False,False
ADAMTS17,0,0.0302680852,0.008413950785263823,0.044645414,0.02642979,0.022718001,0.029139327,0.028407894,False,False,False,False,True
ADAMTS3,0,0.02450702126,0.014479456389686507,0.02187845,0.0006037793,0.036184393,0.03454729,0.029321194,False,True,False,False,False
ADAMTS5,0,0.0212251106,0.01226234938952884,0.028234879,0.003554417,0.014076214,0.03402675,0.026233293,True,False,False,False,False
ADAMTS6,1,0.029262350700000002,0.012617989536258499,0.0149143115,0.039502144,0.024105616,0.045222312,0.02256737,False,False,True,False,False
ADAMTS9,0,0.0024585370364,0.002755410548037188,0.0039187637,0.0014736102,4.8104932e-05,0.00029686565,0.0065553407,False,False,False,False,True
ADAMTS9-AS2,0,0.0187673925,0.017079177438090887,0.009838919,0.0036276665,0.026955243,0.008476678,0.044938456,False,False,False,True,False
ADARB1,0,0.03710416554826,0.040608425095397964,0.104776606,0.041511044,0.021736199,3.9527413e-06,0.017493026,False,False,False,False,True
ADARB2,0,0.018211003999999996,0.007659004776232483,0.019038426,0.008652984,0.021872122,0.028372914,0.013118574,False,False,False,True,False
ADARB2-AS1,0,0.015506699659999998,0.014746254116822607,0.029726574,0.0062137856,0.03310244,0.0072452547,0.001245444,False,False,True,False,False
ADCY7,1,0.01727051554,0.013150357606740716,0.007763543,0.03220445,0.0187902,0.0005328547,0.02706153,True,False,False,False,False
ADCY8,0,0.022010676840000003,0.011130248853406879,0.02603675,0.0071133412,0.014132941,0.028257182,0.03451317,False,False,False,False,True
ADCYAP1,0,0.020663923679999998,0.00869902998723049,0.028221305,0.0074925814,0.025902871,0.016130343,0.025572518,True,False,False,False,False
ADCYAP1R1,0,0.024251558200000002,0.008078754032132443,0.019063974,0.018963723,0.03220104,0.0338754,0.017153654,False,False,False,False,True
ADD3,0,0.0162124084,0.0072100643610173345,0.02320183,0.005685255,0.015353227,0.022761872,0.014059858,False,True,False,False,False
ADGRL2,0,0.013737097640000001,0.012353063444554193,0.00895893,0.020010695,0.0068440144,0.0008455128,0.032026336,False,False,True,False,False
ADNP,0,0.01839272788,0.014873779678175719,0.0056849313,0.035997983,0.021733843,0.0007017041,0.027845178,False,False,True,False,False
ADNP2,0,0.00912592024,0.007721812072171159,0.015889226,0.0041346354,0.0018003448,0.018929975,0.00487542,False,False,False,False,True
ADRA1A,0,0.020708809,0.013809277918091082,0.03505213,0.005477124,0.015420946,0.012006775,0.03558707,True,False,False,False,False
ADRA2A,0,0.017905212855999997,0.013484387972689723,0.029229367,0.009343474,0.00014458128,0.01840926,0.032399382,False,False,False,False,True
ADTRP,0,0.027397993359999994,0.020359128716697057,0.02935747,0.05589018,0.0059586223,0.0098137185,0.035969976,False,False,False,True,False
AFAP1,0,0.011563891298000001,0.011072195972668269,0.027088108,0.0032624044,0.018154813,9.585009e-05,0.009218281,True,False,False,False,False
AFAP1L1,0,0.025840203569999998,0.017286953032010968,0.04552558,0.017397432,0.00089824485,0.03590104,0.029478721,False,False,True,False,False
AFF1,0,0.0203870668,0.01600497259488356,0.013942102,0.001387771,0.045151006,0.02280589,0.018648565,False,False,False,True,False
AFF2,0,0.020919949400000002,0.012610403052555232,0.029363276,0.010115828,0.030364735,0.004459463,0.030296445,False,True,False,False,False
AFF4,0,0.0228281135,0.022406447438331905,0.010791585,0.05429371,0.03865567,0.0044228085,0.005976794,False,False,True,False,False
AGBL3,0,0.024398163199999996,0.008179893869966816,0.032951772,0.023781795,0.03019393,0.011777971,0.023285348,False,True,False,False,False
AHCTF1,0,0.015554373900000001,0.012734188113245346,0.00839973,0.009735576,0.035256937,0.0034502675,0.020929359,False,False,False,True,False
AHDC1,1,0.016721223099999998,0.017448104395329973,0.012510118,0.0037566163,0.04614744,0.0038509252,0.017341016,False,False,False,True,False
AHR,0,0.0232065875,0.023814945814835384,0.06468507,0.0088114925,0.021968879,0.011925671,0.008641825,False,False,False,False,True
AHRR,0,0.01634226146,0.01653176787876605,0.019858023,0.005125793,0.04384457,0.0053015123,0.007581409,True,False,False,False,False
AIM2,0,0.02220139878,0.013522879103418688,0.030225514,0.0033702159,0.02379007,0.015246431,0.038374763,True,False,False,False,False
AK5,0,0.0138307986,0.004100394503007278,0.013768986,0.020207979,0.010591125,0.014675729,0.009910174,True,False,False,False,False
AKAIN1,0,0.028885781,0.01224404629942839,0.036063083,0.008006054,0.03582885,0.03680084,0.027730078,False,True,False,False,False
AKAP12,0,0.030174903999999995,0.017585757960154817,0.024145968,0.009151489,0.03116522,0.05766462,0.028747223,False,False,False,True,False
AKAP13,0,0.018773009139999998,0.007461345749046779,0.02432246,0.0070780707,0.022862053,0.01554189,0.024060572,False,False,False,False,True
AKR1C2,0,0.03069228794,0.0393285023149253,0.016859768,0.1002709,0.009229964,0.0062674517,0.020833356,False,False,True,False,False
ALCAM,1,0.02660383242,0.017546913476433754,0.0014704381,0.020423163,0.04435814,0.024593387,0.042174034,False,False,False,True,False
ALK,0,0.0355084118,0.013140131156181784,0.032926656,0.014831238,0.03657539,0.044475842,0.048732933,False,False,True,False,False
ALOX5,0,0.013107754999999999,0.006926773399801463,0.0069051785,0.015617274,0.016654681,0.0049783895,0.021383252,False,False,False,True,False
ALX1,0,0.0187292716,0.009034108346841225,0.030172113,0.010742097,0.011397512,0.02660281,0.014731826,False,False,True,False,False
ANK1,0,0.01159149198,0.009117926562850537,0.013510778,0.0008159439,0.009642154,0.02567098,0.008317604,True,False,False,False,False
ANKRD18A,0,0.01630065668,0.009920446451249289,0.028917784,0.021053307,0.0022595334,0.01677973,0.012492929,False,False,False,True,False
ANKRD30B,0,0.026965396399999998,0.012575864152850424,0.014957628,0.0421275,0.017749969,0.021185692,0.038806193,False,False,True,False,False
ANKRD30BL,0,0.0318291544,0.02493238343811769,0.015764218,0.012178313,0.07073958,0.042942714,0.017520947,False,False,False,False,True
ANKRD34C-AS1,0,0.019132482109999998,0.019826066758019376,0.05189565,0.02016741,0.0153063685,2.360105e-05,0.008269381,False,True,False,False,False
ANKRD37,0,0.027549390559999998,0.012521707786041189,0.040986523,0.0074098078,0.03364394,0.029210735,0.026495947,False,True,False,False,False
ANKRD44,1,0.0281535244,0.014409327957521869,0.0518363,0.014272498,0.021919219,0.030352784,0.022386821,False,True,False,False,False
ANKRD50,0,0.019797982040000002,0.016828892876109676,0.0008636272,0.047003232,0.019385202,0.017127048,0.014610801,False,False,False,True,False
ANKRD55,0,0.014476872459999998,0.012194233591591249,0.026259867,0.0042145033,0.004592741,0.029098261,0.00821899,False,False,False,True,False
ANKRD6,0,0.021297278200000096,0.013649353151121193,0.023778452,0.017045109,4.852777e-16,0.03364858,0.03201425,True,False,False,False,False
ANO1,0,0.0167604974,0.010375456935183136,0.007271564,0.005967424,0.022503339,0.03056446,0.0174957,False,False,False,True,False
ANO4,0,0.0230064674,0.007530348189056056,0.024335248,0.011518488,0.021196004,0.03200552,0.025977077,False,False,False,True,False
ANO6,0,0.0248788334,0.008998230988210839,0.037879903,0.02186738,0.022573136,0.02848464,0.013589108,True,False,False,False,False
ANOS1,0,0.0288021256,0.01008605599203263,0.031872366,0.013168964,0.02598119,0.032833263,0.040154845,False,False,False,True,False
ANXA2,0,0.0161477725,0.003642160566365451,0.015555356,0.014454738,0.016287442,0.022095205,0.0123461215,False,False,False,False,True
ANXA4,0,0.025380729400000003,0.01965467101804292,0.024678968,0.030172711,0.055624437,0.005240748,0.011186783,False,False,False,False,True
AP1S2,0,0.013455837600000001,0.006847671140877955,0.018645808,0.022140186,0.009752678,0.00522629,0.011514226,True,False,False,False,False
APBB1IP,0,0.01744586224,0.008280884926155042,0.02532632,0.0049796132,0.019540817,0.013726793,0.023655768,True,False,False,False,False
APCDD1,0,0.0157225528,0.006206790588540482,0.025034595,0.017726367,0.009970468,0.010220066,0.015661268,False,False,True,False,False
APOC2,0,0.018675639,0.01283230418969555,0.036171984,0.005311994,0.02708292,0.008894588,0.015916709,False,True,False,False,False
APOE,0,0.021288058000000006,0.005914947378847424,0.02136878,0.030747334,0.014458782,0.019659774,0.02020562,True,False,False,False,False
