gene,score,validation,label
A2M,0.021094346,False,0
AAMDC,0.027620532,False,0
AAR2,0.02391156,False,0
AATF,0.02490179,False,0
ABCA1,0.036947798,False,0
ABCA5,0.052484218,False,0
ABCC4,0.03241809,False,0
ABCC8,0.03278409,False,0
ABCG1,0.026422434,False,0
ABCG2,0.02076811,False,0
ABHD1,0.025261706,False,0
ABHD13,0.02041218,False,0
ABHD17B,0.021919005,False,0
ABHD3,0.016507262,True,0
ABHD5,0.021468492,False,0
ABI2,0.028913395,False,0
ABI3BP,0.022667382,False,0
ABL1,0.015738646,False,0
ABL2,0.052318122,False,0
ABLIM1,0.011753869,False,0
ABLIM3,6.8867637e-12,False,0
ACAP3,0.016667478,False,0
ACBD6,0.019703731,True,0
ACER2,0.023227988,False,0
ACER3,0.016492914,False,0
ACO1,0.016334198,False,0
ACOXL,0.029321877,True,0
ACPP,0.021083679,True,0
ACSL4,0.024458444,False,1
ACTA2,0.033573166,False,0
ACVR1,0.021184633,False,0
ACVR1C,0.0115140965,False,0
ACVRL1,0.016661258,True,0
ADAM23,0.031919274,False,0
ADAM9,0.01635162,False,0
ADAMTS12,0.022392796,False,0
ADAMTS17,0.022014905,False,0
ADAMTS2,0.018848792,True,0
ADAMTS20,0.02503329,True,0
ADAMTS3,0.028112188,False,0
ADAMTS6,0.035884153,False,1
ADARB1,0.024590403,False,0
ADARB2,9.801025e-13,False,0
ADARB2-AS1,0.0040017795,False,0
ADCY2,0.011923884,False,0
ADCY3,0.02326325,True,0
ADD3,0.0152832735,False,0
ADGRA1,0.029199338,False,0
ADGRB3,0.012345412,False,0
ADGRE1,0.042146064,False,1
ADGRE2,0.007518551,False,0
ADGRF5,0.021662781,False,0
ADGRG5,0.016778825,True,0
ADGRL2,0.019543113,False,0
ADGRL3,0.019485097,False,0
ADGRV1,0.07092604,False,1
ADIPOR2,0.03605582,True,0
ADK,0.017990248,False,0
ADNP,0.033790205,True,0
ADNP2,0.025105009,False,0
ADPRM,0.032657016,False,0
ADRA1A,0.030503273,False,0
ADRA2B,0.0868188,True,0
ADTRP,0.010817224,False,0
AEBP2,0.014891339,True,0
AFAP1,0.0152979195,False,0
AFAP1L2,0.048220158,False,0
AFF3,0.027597206,False,0
AFF4,0.027350988,False,0
AGAP1,0.027245352,False,0
AGAP3,0.024502512,False,0
AGL,0.024855815,False,0
AHCTF1,0.023166545,True,0
AHCYL2,0.036047805,True,0
AHDC1,0.030072661,False,1
