gene,score,validation,label
A1CF,0.027992673,False,0
ABCA1,0.032660075,True,0
ABCA5,0.030751597,False,0
ABCC2,0.004157957,False,0
ABCC4,0.0028163467,True,0
ABCF2,0.00090624276,False,0
ABCG2,0.013904248,False,0
ABHD12B,0.025458427,False,0
ABHD17C,0.038531166,True,0
ABHD2,0.024060529,False,0
ABHD3,0.013156896,False,0
ABHD5,0.031774,False,0
ABLIM1,0.004901583,True,0
ABLIM2,0.017634548,False,0
ABLIM3,0.0037782104,False,0
ABR,0.0017302023,False,0
ABTB2,0.033898726,True,0
ACER2,0.01301663,False,0
ACO1,0.015340205,False,0
ACOX2,0.024820762,True,0
ACSBG1,0.013358427,False,0
ACSL3,0.021262877,False,0
ACSL5,0.022387203,False,0
ACSM6,0.034949843,True,0
ACTA2,0.0046696174,False,0
ACTN1,0.0020288967,False,0
ACTR2,0.013744416,False,0
ACVR1,0.02430209,False,0
ACVR1C,0.033362694,False,0
ACVR2A,0.00937615,False,0
ACVRL1,0.0036485929,False,0
ACYP2,0.060690247,False,0
ADAM10,0.04737155,True,0
ADAM12,0.045828726,False,0
ADAM23,0.03318132,False,0
ADAM28,0.008585477,False,0
ADAM9,0.016289216,False,0
ADAMTS1,0.018612541,False,0
ADAMTS12,0.0261816,False,0
ADAMTS14,0.03495789,False,0
ADAMTS18,0.022140434,False,0
ADAMTS19-AS1,0.015905019,False,0
ADAMTS2,0.01920646,True,0
ADAMTS3,0.011313892,False,0
ADAMTS6,0.01864404,True,1
ADAMTS7,0.03474239,False,0
ADAMTS9,0.010240914,False,0
ADAMTS9-AS2,0.019317651,False,0
ADAMTSL1,0.02705066,True,0
ADARB1,0.0032422168,False,0
ADARB2,0.015416038,False,0
ADARB2-AS1,0.03764528,False,0
ADCY1,0.036994807,False,0
ADCY2,0.03106435,False,0
ADCY9,0.022530647,False,0
ADD3,0.0042389836,False,0
ADD3-AS1,0.009208552,False,0
ADGRA3,0.019500548,False,0
ADGRB3,0.020414643,False,0
ADGRF5,0.0010852143,False,0
ADGRL2,0.021181326,False,0
ADGRL3,0.021094238,False,0
ADGRV1,0.028517833,False,1
ADK,1.0015136e-05,False,0
ADNP,0.01833404,False,0
ADNP-AS1,0.018991243,False,0
ADNP2,0.027881553,False,0
AEBP1,0.024100408,False,0
AFAP1,0.019734828,False,0
AFF1,0.02871576,False,0
AFF3,0.034852404,False,0
AFF4,0.025572246,True,0
AGBL4,0.018545719,False,0
AGL,0.031129045,False,0
AGMO,0.012043613,False,0
AGTR1,0.025198886,False,0
AHCTF1,0.024794355,True,0
AHCYL2,0.03208584,False,0
AHDC1,0.022857532,False,1
AHI1,0.012913499,False,0
AHR,0.018339558,False,0
AKAP12,0.016298296,False,0
AKAP13,0.020575136,False,0
AKAP5,0.01268088,False,0
ALCAM,0.063404165,False,1
ALDH1A1,0.01930702,False,0
ALDH1A2,0.014047398,False,0
ALDH1A3,0.030559914,True,0
ALDH8A1,0.033829357,False,0
ALG14,0.013803795,False,0
ALG6,0.055431433,False,0
ALOX5,0.005392482,False,0
ALPK1,0.0103998985,False,0
ALX4,0.016794337,False,0
AMD1,0.035421107,False,0
AMMECR1,2.5623898e-05,False,0
AMOT,0.020220352,False,0
AMPH,0.006307284,False,0
ANGPT2,0.015701447,True,0
ANGPTL2,0.020189777,False,0
ANK2,0.019231137,False,0
ANK3,0.040007804,True,0
ANKDD1A,0.020749532,False,0
ANKH,0.024526583,True,0
ANKMY2,0.025392756,True,0
ANKRD18A,0.014921945,False,0
ANKRD29,0.008314104,True,0
ANKRD30BL,0.028399156,False,0
ANKRD42,0.018771866,False,0
ANKRD46,0.020001128,False,0
ANKRD50,0.027209295,False,0
ANO10,0.030071396,False,0
ANO2,0.017146451,False,0
ANO4,0.024071727,False,0
ANO5,0.014561572,False,0
ANP32E,0.015777577,False,0
ANXA1,0.023126269,False,0
ANXA11,0.0012702298,False,0
AOAH,0.032607548,True,0
AP3S1,0.031561695,False,0
AP4S1,0.028480858,False,0
APBA1,0.031247452,False,0
APBB1IP,0.025529223,False,0
APEX2,0.025285454,False,0
APLF,0.010726062,False,0
APOE,0.0019397406,False,0
APP,0.041490212,False,0
AQP11,0.019942395,False,0
AQP4,0.00011264357,False,0
AR,6.996875e-07,False,0
ARAP3,0.034745887,False,0
ARHGAP12,0.018577876,False,0
ARHGAP15,0.03711403,True,0
ARHGAP18,0.028524907,True,0
ARHGAP19,0.0024541356,False,0
ARHGAP20,0.022690663,False,0
ARHGAP22,0.034189366,False,0
ARHGAP24,0.015456753,False,0
ARHGAP25,0.02968545,False,0
ARHGAP26,0.025228392,True,0
ARHGAP29,0.007292239,False,0
ARHGAP39,0.004139382,True,0
ARHGAP42,0.025243435,False,0
ARHGAP44,0.04419063,True,0
ARHGAP6,0.04742014,False,0
ARHGEF26,0.019149752,False,0
ARHGEF28,0.01590424,False,0
ARHGEF3,0.018389655,False,0
ARHGEF4,0.005003813,False,0
ARHGEF6,5.9530163e-07,False,0
ARHGEF9,0.009957344,False,0
ARID1B,0.03256685,False,0
ARID3A,0.01600546,False,0
ARID3B,0.0016492357,False,0
ARID5B,0.037529357,True,0
ARL15,0.0131616285,False,0
ARL6IP6,0.008512825,False,0
