gene,score,validation,label
A1BG,0.048642557,False,0
A2M,0.0085224565,False,0
A3GALT2,0.016418949,False,0
ABCA1,0.08307453,False,0
ABCA4,0.014166264,False,0
ABCA5,0.042003896,False,0
ABCB1,0.044220034,False,0
ABCC3,0.015267622,False,0
ABCC4,0.030024393,False,0
ABCC9,0.031718668,False,0
ABCG2,0.02422485,False,0
ABHD13,0.04857721,False,0
ABHD17B,0.018395366,False,0
ABHD17C,0.016635904,False,0
ABL1,0.043474924,False,0
ABLIM3,0.03485714,False,0
ABRACL,0.019341739,False,0
ACAN,0.028757336,False,0
ACAT2,0.017101828,True,0
ACBD6,0.03966589,False,0
ACBD7,0.022476647,False,0
ACER1,0.02772491,True,0
ACER3,0.05044707,True,0
ACKR3,0.04566349,False,0
ACO1,0.019651163,False,0
ACSL3,0.007723934,False,0
ACSL4,0.038868893,True,0
ACTA2,0.015842924,False,0
ACTB,0.029662576,True,0
ACTN1,0.030802725,False,0
ACTN2,0.0020458426,True,0
ACTR2,0.039319858,True,0
ACVR1,0.01807977,False,0
ACVR1C,0.033370327,False,0
ACVR2A,0.014790161,False,0
ADAM12,0.01677991,False,0
ADAM19,0.048308913,True,0
ADAM22,0.068978064,False,0
ADAM23,0.03134154,False,0
ADAM28,0.03044311,True,0
ADAM32,0.0038655335,False,0
ADAMTS1,0.0498642,True,0
ADAMTS15,0.013648603,False,0
ADAMTS3,0.05026072,False,0
ADAMTS5,0.041535463,False,0
ADAMTS6,0.008147116,False,0
ADAMTS9,0.049542457,True,0
ADAMTSL1,0.025311273,False,0
ADARB1,0.03219089,False,0
ADARB2,0.042446904,False,0
ADCY1,0.0134857865,False,0
ADCY4,0.029796561,False,0
ADCY8,0.018808734,False,0
ADCYAP1,0.029193943,False,0
ADD2,0.009471718,False,0
ADD3-AS1,0.0066283657,False,0
ADGB,0.030086456,False,0
ADGRA1,0.038534097,False,0
ADGRA3,0.083965324,True,0
ADGRB3,0.05006689,True,1
ADGRE2,0.05424733,False,0
ADGRE5,0.039946396,True,0
ADGRF5,0.021823524,False,0
ADGRG6,0.038750578,False,0
ADGRL2,0.035383713,False,0
ADGRL3,0.04995649,False,0
ADGRL4,0.04242231,False,0
ADNP,0.020981923,False,0
ADNP-AS1,0.02510055,True,0
ADNP2,0.084378175,False,0
ADORA3,0.013155115,True,0
ADPGK-AS1,0.023382254,False,0
ADRA1A,0.07060194,True,0
ADRA1B,0.0074026003,False,0
ADTRP,0.023543624,False,1
AEBP1,0.008636058,False,0
AFAP1L2,0.021265933,True,0
AFF2,0.036631674,False,0
AFF3,0.06073582,False,0
AFF4,0.08961047,True,0
AGAP2,0.02482671,True,0
AGT,0.03243712,False,0
AGTPBP1,0.046954993,False,0
AHCTF1,0.036040805,True,0
AHCYL2,0.085001126,False,0
AHDC1,0.035704806,False,0
AHR,0.0339339,True,0
AHRR,0.016472936,False,0
AHSG,0.020639293,False,0
AIM2,0.01483344,False,0
AK5,0.021198869,False,0
AKAP12,0.11430203,False,1
AKAP13,0.04210807,False,0
AKAP5,0.041143503,True,0
AKAP6,0.057029992,False,0
AKAP7,0.032579068,False,0
AKNA,0.029702652,False,0
AKR1A1,0.021099605,False,0
ALCAM,0.018425154,False,0
ALDH1A1,0.071279034,True,0
ALDH1A2,0.026827892,False,0
