gene,score,validation,label
A4GALT,0.037082747,False,0
AAGAB,0.06382201,False,0
ABCA1,0.022143964,True,0
ABCA10,0.01277639,False,0
ABCA4,0.078304216,False,0
ABCA5,0.009480836,False,0
ABCB4,0.068701886,False,0
ABCC3,0.0093170125,False,0
ABCC4,0.014533203,True,0
ABCC9,0.01753729,False,0
ABCG1,0.02492641,False,0
ABCG2,0.0022792262,False,0
ABHD12,0.01402276,True,0
ABHD17B,0.008235074,False,0
ABHD17C,0.010635437,False,0
ABI2,0.025459822,False,0
ABL1,0.030275783,False,0
ABL2,0.01860374,False,0
ABLIM1,0.0051633962,True,1
ABLIM2,0.024141816,False,0
ABLIM3,0.02297777,False,0
ABO,0.07790624,False,0
ABRACL,0.015925614,False,0
ABTB2,0.050475035,False,0
ACBD6,0.029522127,False,0
ACE,0.021192087,False,0
ACER1,0.021285888,True,0
ACER2,0.017122747,False,0
ACKR1,0.043917406,True,0
ACP7,0.045266706,True,0
ACSBG1,0.027545849,False,0
ACSL3,0.013315184,False,0
ACSL4,0.019307263,True,0
ACSL5,0.013958677,False,0
ACTA2,0.03305571,True,0
ACTB,0.061551146,False,0
ACTG1,0.038685873,False,0
ACTL6A,0.040217675,True,0
ACTN1,0.038468737,False,0
ACTN2,0.058794994,True,0
ACTN4,0.013414983,False,0
ACTR2,0.03760009,False,0
ACTR3,0.02079741,False,0
ACTR6,0.030960508,False,0
ACVR1,0.025591837,True,0
ACVR1C,0.03631217,True,0
ACVR2A,0.034687564,False,0
ACYP2,0.027757818,False,0
ADAM15,0.021279281,True,0
ADAM17,0.014548207,False,0
ADAM19,0.021926766,True,0
ADAM20,0.02049611,False,0
ADAM23,0.042911563,False,0
ADAM28,0.036541574,False,0
ADAM32,0.024866726,False,0
ADAMTS1,0.05751159,False,0
ADAMTS10,0.022100054,False,0
ADAMTS15,0.00770531,False,0
ADAMTS16,0.041210447,False,0
ADAMTS17,0.017916748,False,0
ADAMTS18,0.017469374,False,0
ADAMTS3,0.030905792,True,0
ADAMTS5,0.016435698,True,0
ADAMTS6,0.016186683,False,0
ADAMTS7,0.050453532,False,0
ADAMTS9,0.03149442,True,0
ADAMTS9-AS2,0.061463278,False,0
ADAMTSL1,0.01309797,False,0
ADAMTSL4-AS1,0.020817138,False,0
ADARB1,0.026485091,False,0
ADARB2,0.013522934,False,0
ADCY1,0.021787154,False,0
ADCY2,0.025463443,False,1
ADCY3,0.012931729,False,0
ADCY5,0.104944825,True,0
ADCY7,0.04439187,True,0
ADCY9,0.06090332,True,0
ADCYAP1,0.008231406,False,0
ADD3,0.017544735,False,1
ADD3-AS1,0.07328589,True,0
ADGRA1,0.016932867,False,0
ADGRA3,0.026101891,True,0
ADGRB3,0.031066442,False,1
ADGRD1,0.020425472,True,0
ADGRE5,0.016123505,False,0
ADGRF3,0.008792788,False,0
ADGRF5,0.03776801,False,0
ADGRG5,0.018661905,True,0
ADGRG7,0.019772248,False,0
ADGRL2,0.04191657,False,0
ADGRL3,0.03339532,False,0
ADGRL4,0.025121583,False,0
ADGRV1,0.039208673,False,0
ADH1B,0.029252868,False,0
ADH5,0.013197572,False,0
ADH6,0.005994787,False,0
ADIRF,0.041465994,False,0
ADK,0.03515887,False,0
ADM,0.02153859,False,0
ADM5,0.04216162,True,0
ADNP,0.04962092,False,0
ADNP2,0.01780716,True,0
ADORA2A,0.018594876,False,0
ADORA2A-AS1,0.026096972,False,0
ADORA3,0.039013647,False,0
ADPRHL1,0.01328906,False,0
ADRA1A,0.024354726,False,0
ADRA2C,0.022178084,False,0
ADRB1,0.012458503,False,0
AFAP1,0.06639947,False,0
AFAP1-AS1,0.012113828,False,0
AFAP1L2,0.09566492,False,0
AFF3,0.0504719,False,0
AFF4,0.07436564,True,0
AGAP1,0.046424236,False,0
AGAP2,0.02155995,False,0
AGAP3,0.0180544,False,0
AGBL3,0.021813538,False,0
AGGF1,0.05559143,True,0
AGMO,0.020686774,False,0
AGRN,0.002197049,False,0
AGTR1,0.017053053,False,0
AHCTF1,0.0106430575,False,0
AHCYL2,0.008438913,False,0
AHDC1,0.036937494,False,0
AHI1,0.018419653,False,0
AHNAK,0.017962087,False,0
AHR,0.06488929,False,0
AHRR,0.051166497,True,0
AIG1,0.039791252,False,0
AIRE,0.020156903,False,0
AK5,0.036482427,False,0
AKAP12,0.05993922,False,1
AKNA,0.032728285,False,0
AKR1A1,0.01834985,False,0
AKR1C1,0.016095147,False,0
AKR1C2,0.026264245,False,0
AKR1C3,0.08786237,False,0
AKR1C8P,0.052527513,True,0
ALCAM,0.017989255,False,0
ALDH1A1,0.019739209,False,0
ALDH1A2,0.0561037,False,0
ALDH8A1,0.011474697,False,0
ALDOC,0.066868715,True,0
ALG8,0.012993348,False,0
ALK,0.12841998,True,0
ALOX5,0.021144759,False,0
ALPK2,0.02561455,False,0
ALPL,0.05270843,False,0
ALX1,0.060344726,True,0
ALX4,0.04575956,False,0
AMER2,0.020519393,True,0
AMMECR1,0.040581748,False,0
AMOTL1,0.006778131,False,0
AMPH,0.02721974,False,0
ANAPC10,0.04395105,False,0
ANGPT1,0.073435895,False,0
ANGPT2,0.044076413,False,0
ANGPT4,0.009906427,False,0
ANK3,0.034786798,True,1
ANKDD1A,0.025151305,True,0
ANKEF1,0.08443993,True,0
ANKH,0.009491414,False,0
ANKIB1,0.011176216,False,0
ANKMY1,0.04220779,False,0
ANKRD17,0.027967872,True,0
ANKRD24,0.035926837,False,0
ANKRD30B,0.015319238,False,0
ANKRD30BL,0.012837279,False,0
ANKRD34A,0.014177318,False,0
ANKRD37,0.0151844695,True,0
ANKRD44,0.020721674,False,0
ANKRD45,0.045668155,True,0
ANKRD46,0.008080752,False,0
ANKRD49,0.013748812,False,0
ANKRD50,0.016627403,False,0
ANKRD55,0.00525398,False,0
ANKRD6,0.04021192,True,0
ANKRD65,0.020588554,False,0
ANKRD7,0.013438144,False,0
ANKS1B,0.02237195,False,1
ANO1,0.05097959,True,0
ANO10,0.011513069,True,0
ANO2,0.016451571,False,0
ANO3,0.055189937,False,1
ANO4,0.010108359,False,0
ANO5,0.0015412259,False,0
ANO6,0.025739493,False,0
ANOS1,0.0768451,False,0
ANP32E,0.004526818,False,0
ANPEP,0.006676084,False,0
ANTXR1,0.014250746,False,0
ANTXR2,0.055267625,False,0
ANXA1,0.012820471,False,0
ANXA11,0.08544314,True,0
ANXA2,0.022306882,False,0
ANXA4,0.06540396,False,0
AOAH,0.043281984,True,0
AP1S2,0.05562207,True,0
AP3B2,0.018111156,False,0
AP4B1-AS1,0.014229334,False,0
APBA1,0.04308141,False,0
APBB1IP,0.037609033,False,0
APBB2,0.014716765,False,0
APCDD1,0.066581205,False,0
APELA,0.027632564,True,0
APEX2,0.02272085,False,0
APLF,0.023581836,False,0
APLN,0.04084567,False,0
APMAP,0.01762524,False,0
APOBEC3A,0.017778566,True,0
APOBEC3G,0.028160853,True,0
APOL2,0.032750793,False,0
APOL6,0.072430894,False,0
APOLD1,0.014206103,False,0
APRT,0.029111149,False,0
AQP1,0.0454732,True,0
AQP4,0.0214243,False,0
AQP4-AS1,0.030410687,False,0
AR,0.01244459,False,0
ARFGAP1,0.009946861,False,0
ARHGAP10,0.05058525,False,0
ARHGAP12,0.013988017,False,0
ARHGAP15,0.03520576,False,0
ARHGAP20,0.036020514,False,0
ARHGAP22,0.021118281,False,0
ARHGAP24,0.06727379,False,0
ARHGAP29,0.016457945,True,0
ARHGAP30,0.017560555,True,0
ARHGAP31-AS1,0.0443644,False,0
ARHGAP42,0.012559779,False,0
ARHGAP44,0.01893173,False,0
ARHGAP5,0.03868006,False,0
ARHGAP6,0.03902759,False,0
ARHGDIB,0.033671655,False,0
ARHGEF10L,0.024260752,False,0
ARHGEF11,0.026383383,False,0
ARHGEF12,0.026653865,False,0
ARHGEF16,0.01789235,False,0
ARHGEF17,0.025488352,True,0
ARHGEF26,0.042426594,True,0
ARHGEF28,0.012852914,True,0
ARHGEF4,0.04606479,False,0
ARHGEF40,0.014007558,False,0
ARHGEF6,0.012798566,False,0
ARHGEF7,0.03341511,True,0
ARHGEF9,0.018593572,False,0
ARID1A,0.010963909,False,0
ARID3A,0.050920654,False,0
ARID3B,0.016916284,False,0
ARID5A,0.054831427,False,0
ARID5B,0.06477982,False,0
ARL17B,0.04329702,False,0
ARL5B,0.017343787,False,0
ARMC2,0.02664647,True,0
ARMC4,0.03683918,True,0
ARMC9,0.022400523,False,0
ARNT,0.023370178,False,0
ARNT2,0.046643287,False,0
ARNTL,0.07145749,False,0
ARNTL2,0.02311543,True,0
ARPC1A,0.026527045,False,0
ARPIN,0.024022594,False,0
ARPP21,0.022166189,False,0
ARRB1,0.017382244,False,0
ARRDC2,0.013183396,False,0
ARRDC3,0.024378022,True,0
ARRDC3-AS1,0.015759807,False,0
ARRDC4,0.039423637,True,0
ARSE,0.0020415871,True,0
ARSJ,0.014790119,False,0
ART3,0.01901471,False,0
ASAP2,0.032420002,True,1
ASAP3,0.015643047,False,0
ASB1,0.02490296,True,0
ASB6,0.019661842,False,0
ASCC1,0.049100883,False,0
ASCL1,0.027404424,False,0
ASH2L,0.07518117,False,0
ASPH,0.010350504,False,0
ASPN,0.06511718,True,0
ASPSCR1,0.05369368,False,0
ASRGL1,0.0049564894,False,0
ASTE1,0.028882233,False,0
ASTN1,0.024365991,False,0
ASTN2,0.018860929,False,0
ASXL3,0.029919017,False,0
ATAD2,0.027527845,True,0
ATCAY,0.030038366,False,0
ATF1,0.03811895,False,0
ATF2,0.0154966535,False,0
ATF3,0.01538011,False,0
ATF4,0.054799903,True,0
ATF5,0.014837719,False,0
ATF6B,0.021425895,False,0
ATF7,0.011111021,False,0
ATF7IP,0.02393734,False,0
ATG10,0.051869307,False,0
ATG7,0.038568683,False,0
ATL1,0.027948873,False,0
ATL3,0.0146731995,False,0
ATM,0.026558679,False,0
ATOH7,0.013164651,False,0
