gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A4GALT,0,0.032882723600000004,0.006239394204062707,0.024227185,0.037082747,0.035136346,0.03925902,0.02870832,False,False,False,False,True
AAGAB,0,0.0424388022,0.019036823987987627,0.023944933,0.06382201,0.06187128,0.034711912,0.027843876,True,False,False,False,False
ABCA1,0,0.0254712508,0.00782804545957493,0.022870246,0.022143964,0.03607066,0.030347487,0.015923897,False,True,False,False,False
ABCA10,0,0.017641336,0.0062526530053698395,0.016326759,0.01277639,0.028468933,0.014103274,0.016531324,True,False,False,False,False
ABCA4,0,0.0491878988,0.017375850927335696,0.033923022,0.078304216,0.050891463,0.042639863,0.04018093,False,False,False,False,True
ABCA5,0,0.018922366,0.011841796473393892,0.028857112,0.009480836,0.030146096,0.003617852,0.022509934,False,False,False,False,True
ABCB4,0,0.0487101776,0.014588934615935098,0.029055635,0.068701886,0.054815713,0.04357221,0.047405444,False,False,False,False,True
ABCC3,0,0.023168565300000003,0.008067460544988334,0.028576193,0.0093170125,0.026385922,0.023023423,0.028540276,False,False,False,False,True
ABCC4,0,0.022317544,0.005686502201553826,0.024462188,0.014533203,0.022774432,0.029934397,0.0198835,False,True,False,False,False
ABCC9,0,0.032633923200000005,0.014565624835382148,0.025636936,0.01753729,0.03720958,0.02729703,0.05548878,True,False,False,False,False
ABCG1,0,0.027143150800000005,0.012799334825713627,0.017340634,0.02492641,0.03890499,0.041692585,0.012851135,True,False,False,False,False
ABCG2,0,0.00456312434,0.0023905057802775494,0.0022385165,0.0022792262,0.007863348,0.004721886,0.005712645,True,False,False,False,False
ABHD12,0,0.026559466599999998,0.008348968230014221,0.028199667,0.01402276,0.02988303,0.03664042,0.024051456,False,True,False,False,False
ABHD17B,0,0.022736452,0.021012386615225448,0.008926709,0.008235074,0.033797193,0.007974094,0.05474919,False,False,False,True,False
ABHD17C,0,0.0114277174,0.005296356400932749,0.00819238,0.010635437,0.011961065,0.02005675,0.006292955,True,False,False,False,False
ABI2,0,0.036055356999999996,0.00711481215804813,0.03881611,0.025459822,0.035244085,0.045098543,0.035658225,True,False,False,False,False
ABL1,0,0.0293596496,0.0175288179339878,0.023874806,0.030275783,0.021405395,0.058604088,0.012638176,False,False,False,True,False
ABL2,0,0.025673589200000003,0.004854348316811352,0.03160554,0.01860374,0.025885642,0.02406113,0.028211894,False,False,False,True,False
ABLIM1,1,0.00797778094,0.0025318965095468588,0.009247055,0.0051633962,0.007627708,0.011589183,0.0062615625,False,True,False,False,False
ABLIM2,0,0.01845977106,0.00856402734144376,0.019180965,0.024141816,0.02694309,0.0047797863,0.017253198,False,False,False,True,False
ABLIM3,0,0.015452148939999999,0.006118960266449833,0.0070226467,0.02297777,0.018380217,0.012047048,0.016833063,False,False,False,True,False
ABO,0,0.0575180316,0.015507224019184248,0.03538196,0.07790624,0.056466304,0.063976794,0.05385886,False,False,False,False,True
ABRACL,0,0.0312125286,0.009341794791758529,0.028872505,0.015925614,0.03775199,0.03844156,0.035070974,True,False,False,False,False
ABTB2,0,0.025847435600000003,0.016893820878064746,0.030123487,0.050475035,0.02752943,0.005746728,0.015362498,False,False,False,True,False
ACBD6,0,0.0371511738,0.017490041115009985,0.029506003,0.029522127,0.042384837,0.06485578,0.019487122,False,False,False,False,True
ACE,0,0.044381692,0.0282206608544309,0.08925236,0.021192087,0.03461853,0.053722262,0.023123221,False,False,True,False,False
ACER1,0,0.0188075051,0.009466350867563266,0.010794863,0.021285888,0.021498032,0.03199415,0.0084645925,False,True,False,False,False
ACER2,0,0.015498785800000001,0.005117550007192475,0.021570457,0.017122747,0.007774248,0.013842022,0.017184455,False,False,False,True,False
ACKR1,0,0.0340417124,0.011955815027239122,0.025381042,0.043917406,0.020551914,0.04860287,0.03175533,False,True,False,False,False
ACP7,0,0.046130741399999994,0.006038858457988132,0.039794177,0.045266706,0.053400192,0.040991154,0.051201478,False,True,False,False,False
ACSBG1,0,0.030896291600000004,0.006793186718057351,0.021821361,0.027545849,0.038387455,0.029993013,0.03673378,False,False,False,False,True
ACSL3,0,0.0211277832,0.008195830468817647,0.029513868,0.013315184,0.01774784,0.014722001,0.030340023,False,False,False,True,False
ACSL4,0,0.026157797,0.017535395259589658,0.028181221,0.019307263,0.011892789,0.015789146,0.055618566,False,True,False,False,False
ACSL5,0,0.0226055668,0.00528116498986272,0.022085043,0.013958677,0.023337306,0.02637206,0.027274748,False,False,False,False,True
