gene,score,validation,label
A2M,0.047923956,False,0
ABCA8,0.024295863,False,0
ABCB1,0.049869586,False,0
ABCC4,0.017660283,False,0
ABCG2,0.0528724,True,0
ABI3BP,0.041634575,False,0
ABL1,0.039241828,True,0
ACKR3,0.017083555,True,0
ACSBG1,0.0071484693,False,0
ACSL5,0.02134688,False,0
ACTA2,0.07181744,False,0
ACTC1,0.060194533,False,0
ACVR1,0.030106477,False,0
ADAM12,0.046798322,False,0
ADAM28,0.039409645,False,0
ADAM33,0.002589793,False,0
ADAMTS16,0.08960743,False,0
ADAMTS17,0.058545187,False,0
ADAMTS20,0.046418987,False,0
ADAMTS3,0.10408369,False,0
ADAMTS6,0.042374156,False,0
ADAMTS9-AS2,0.0140511505,False,0
ADARB1,0.10967807,False,0
ADARB2,0.057700414,False,0
ADARB2-AS1,0.040543374,False,0
ADCY8,0.05878629,False,0
ADCYAP1R1,0.042029154,False,0
ADD3,0.10074423,False,1
ADGRF5,0.0935734,False,0
ADGRL2,0.095142305,False,0
ADNP,0.07094649,False,0
ADNP2,0.060944337,False,0
ADRA1A,0.045103576,False,0
AFAP1,0.015544567,False,0
AFAP1L1,0.029937379,True,0
AFF1,0.118363455,False,0
AFF2,0.019954208,False,0
AFF4,0.06901072,False,0
AGBL3,0.044021353,False,0
AHCTF1,0.0850878,False,0
AHDC1,0.043286327,False,0
AHR,0.10243921,True,0
AHRR,0.041052103,False,0
AIM2,0.008550158,False,0
AK5,0.036304094,False,0
AKAIN1,0.001558669,False,0
AKAP13,0.03876496,True,0
AKR1C2,0.004699342,True,0
ALCAM,0.009152539,False,0
ALK,0.03530518,True,0
ALOX5,0.040739004,False,0
AMZ1,0.028827803,False,0
ANK1,0.027310658,False,0
ANKFN1,0.027262552,False,1
ANKRD18A,0.013244977,False,0
ANKRD22,0.010513419,False,0
ANKRD30B,0.075881235,False,0
ANKRD30BL,0.069192275,True,0
ANKRD34C-AS1,0.038904767,True,0
ANKRD37,0.008820308,True,0
ANKRD44,0.039270077,True,0
ANKRD50,0.043355744,False,0
ANKRD55,0.014966391,False,0
ANKRD6,0.027589727,False,0
ANKRD62P1-PARP4P3,0.012036279,False,0
ANO1,0.051596746,False,0
ANO3,0.09115556,True,1
ANO6,0.034461573,False,0
ANOS1,0.055138618,False,0
ANTXR1,0.0007251629,False,0
ANXA2,0.10065915,False,0
ANXA4,0.007827849,False,0
AP1S2,0.07135465,False,0
APBB1IP,0.044271465,False,0
APCDD1,0.0367431,False,0
APLN,0.032001812,False,0
APOC2,0.02531623,True,0
APOE,0.0013989413,False,0
APOL6,0.0029521976,False,0
AREG,0.009651092,False,0
ARFGAP1,0.0009593236,False,0
ARHGAP12,0.08897994,False,0
ARHGAP18,0.0017642069,False,0
ARHGAP20,0.06210373,False,0
ARHGAP24,0.068175375,True,0
ARHGAP26,0.014716979,False,0
ARHGAP29,0.014470548,False,0
ARHGAP31,0.04090653,True,0
ARHGAP42,0.09081343,False,0
ARHGEF26,0.007958211,False,0
ARHGEF28,0.04581872,False,0
ARHGEF40,0.074293375,False,0
ARHGEF6,0.07899288,True,0
ARID3A,0.016678765,False,0
ARID3B,0.05450206,False,0
ARID5B,0.07596614,True,0
ARMC4,0.050267763,False,0
ARNT2,0.064778075,True,0
ARNTL,0.040910084,False,0
ARSI,0.0039862837,True,0
ARSJ,0.028592676,True,0
ARX,0.025834206,False,0
ASAP1,0.07107813,False,0
ASB5,0.020715237,False,0
ASCL1,0.009117522,False,0
ASCL2,0.0075976034,True,0
ASPA,0.02284509,False,0
ASS1,0.0010318682,False,0
ATF2,0.044020224,False,0
ATF3,0.11062081,False,0
ATF6,0.034024272,False,0
ATF7,0.023084322,False,0
ATF7IP2,0.034025572,False,0
ATP10A,0.026176415,False,0
ATP10B,0.0050274143,True,0
ATP1A2,0.043372262,False,0
ATP1B3,0.098270275,False,0
ATP2B4,0.013606204,False,0
ATP8B1,0.0021207784,False,0
ATXN1,0.079848714,True,1
AURKA,0.020631908,False,0
AUTS2,0.0964009,False,1
AVPR1A,0.02174737,True,0
BACH1,0.016318757,False,0
BACH2,0.00019337908,False,0
BAZ1A,0.04304344,False,0
BBX,0.081571326,False,0
BCAR3,0.017828204,False,0
BCAS2,0.012030895,False,0
BCL11A,0.042918377,False,0
BCL11B,0.031682063,False,0
BCL3,0.006943588,False,0
BCL6,0.0774958,False,0
BCL6B,0.044112604,False,0
BCLAF1,0.06582077,False,0
BDNF,0.016580421,False,0
BEND4,0.051020056,True,0
BEND6,0.07663189,False,0
BEST3,0.0006645056,False,0
BHLHE40-AS1,0.03620677,False,0
BHLHE41,0.029404359,False,0
BICC1,0.009847035,False,0
BLNK,0.04343803,False,0
BMP2K,0.041832726,False,0
BMP7,0.03444984,False,0
BMPER,0.07024369,False,0
BMPR1B,0.019780824,False,0
BNC2,0.00948881,True,1
BOC,0.036886036,True,0
BOK-AS1,0.054676477,False,0
BOLL,0.041079983,False,0
BPTF,0.0014092065,False,0
BRCA1,0.045514487,False,0
BRCA2,0.022599852,False,0
BRF1,0.12854473,False,0
BRINP3,0.076024756,False,0
BST1,0.013465386,False,0
BTBD11,0.07213028,False,0
BTG2,0.006056689,False,0
BTG4,0.024815941,False,0
BTNL9,0.072172344,False,0
BVES,0.043788306,False,0
BVES-AS1,0.0059766294,True,0
C10orf90,0.004349876,False,0
C11orf53,0.03316968,False,0
C16orf95,0.077189416,False,0
C17orf100,0.019258283,False,0
C1QL1,0.06622422,True,0
C1QTNF1,0.015728714,False,0
C21orf91,0.048660677,False,0
C3,0.035855565,False,0
C3orf67,0.08553048,False,0
C3orf67-AS1,0.058286846,False,0
C3orf70,0.018352456,False,0
C5orf30,0.06981808,False,0
C5orf47,0.035484985,False,0
C6orf141,0.025032056,False,0
C7,0.017057033,False,0
C8A,0.06106317,False,0
C8orf34,0.008413996,False,0
C8orf34-AS1,0.01863132,False,0
CA13,0.0031310471,False,0
CA2,0.01593122,False,0
CA3,0.04955538,False,0
CA3-AS1,0.00885923,True,0
CA8,0.01490572,False,0
CACHD1,0.10731326,False,0
CACNA1E,0.04640067,False,0
CACNA2D2,0.110553466,False,0
CACNA2D3,0.009058294,False,1
CACNB2,0.0006971326,False,0
CACNG3,0.077197306,False,0
CACNG4,0.046238735,False,0
CADM1,0.033164263,True,0
CADPS,0.0590323,False,0
CADPS2,0.050107922,True,0
CALB1,0.010606616,False,0
CALB2,0.05447236,False,0
CAMK2A,0.06806478,False,0
CAMK2D,0.05987718,False,0
CAPN6,0.015767163,True,0
CARF,0.021510595,False,0
CARMN,0.01940361,False,0
CASC15,0.030572679,True,0
CASC2,0.019179918,False,0
CASP4,0.034665786,False,0
CAST,0.031051148,False,0
CBFA2T2,0.0708197,False,0
CBLB,0.03348276,False,0
CBLN2,0.094332196,False,0
CCDC13-AS1,0.067464314,False,0
CCDC169,0.019256597,False,0
CCDC170,0.09196026,False,0
CCDC178,0.083324954,True,0
CCDC3,0.07289792,False,0
CCDC68,0.07501552,False,0
CCDC85A,0.0011350412,True,0
CCDC88C,0.0086572915,True,0
CCND1,0.014282713,False,0
CCNG2,0.09883891,True,0
CCNH,0.005951419,False,0
CCNJL,0.055394977,True,0
CD2,0.06456836,False,0
CD22,0.02410267,False,0
CD34,0.0024987722,True,0
CD36,0.031927112,False,0
CD44,0.045497708,True,0
CD55,0.080988266,False,0
CD74,0.057421938,False,0
CD86,0.0349855,False,0
CD9,0.021989666,False,0
CDC14B,0.09431771,False,0
CDC42EP1,0.0008320798,False,0
CDH11,0.020108243,False,0
CDH18,0.001539932,False,1
CDH2,0.050482195,False,0
CDH20,0.13801028,False,0
CDH5,0.012000559,False,0
CDH7,0.025824951,False,0
CDH8,0.12007798,False,0
CDHR1,0.026462244,False,0
CDK2AP1,0.07210364,False,0
CDK6,0.032057162,False,0
CDK8,0.005442062,False,0
CDKN2A,0.048617706,False,0
CDKN2B-AS1,0.031703655,True,0
CDYL2,0.07955741,False,0
CEACAM21,0.0035663128,False,0
CEBPG,0.05454741,False,0
CEBPZ,0.0014746218,True,0
CELF4,0.009574988,False,0
CELF5,0.0070454944,False,0
CELF6,0.057886172,True,0
CEMIP,0.03931908,False,0
CENPBD1,0.0020809043,False,0
CENPF,0.05669822,True,0
CEP112,0.0863386,False,0
CEP152,0.02651394,False,1
CEP85L,0.08226903,True,0
CFAP206,0.023510782,False,0
CFAP47,0.02085668,True,0
