gene,score,validation,label
A2M,0.11473424,False,0
A4GALT,0.027827488,False,0
AAAS,0.0142662,True,0
AAR2,0.028307378,False,0
AATK,0.01487741,True,0
ABCA2,0.05173474,False,0
ABCA3,0.020963488,False,0
ABCA5,0.023088349,False,0
ABCA6,0.026305495,False,0
ABCB1,0.020070316,True,0
ABCB9,0.042939402,True,0
ABCC4,0.02610414,False,0
ABCE1,0.03791515,False,0
ABCF2,0.005316006,False,0
ABCG1,0.012917225,False,0
ABCG2,0.023983585,False,0
ABHD12,0.04682632,False,0
ABHD13,0.030699717,True,0
ABHD17B,0.04504362,False,0
ABHD4,0.012440717,True,0
ABHD5,0.033536125,False,0
ABI1,0.02101745,True,0
ABI2,0.011873736,True,0
ABL1,0.03796076,False,0
ABLIM3,0.047844943,False,0
ABO,0.015948208,False,0
ABRACL,0.049214065,False,0
ACER2,0.0029267026,False,0
ACER3,0.017106887,False,0
ACIN1,0.014952444,True,0
ACO1,0.01640014,False,0
ACSS2,0.024691971,True,0
ACTA2,0.029660355,False,0
ACTB,0.03297493,False,0
ACTG2,0.012465417,True,0
ACTN2,0.028898742,False,0
ACTR10,0.007050603,False,0
ACTR1B,0.009828205,False,0
ACTR2,0.079544,True,0
ACTR3,0.037794292,False,0
ACTR3B,0.021692986,False,0
ACTR5,0.024551028,False,0
ACTR8,0.021473102,False,0
ACVR1,0.038118105,False,0
ACVR2A,0.014466632,True,0
ACVRL1,0.030714652,False,0
ADAM10,0.011469959,True,0
ADAM12,0.006127324,False,0
ADAM22,0.060774192,False,0
ADAM28,0.0136513505,False,0
ADAM32,0.020487318,True,0
ADAMTS12,0.023452094,False,1
ADAMTS15,0.000113397,False,0
ADAMTS16,0.017512634,False,0
ADAMTS17,0.022890128,False,0
ADAMTS3,0.03307643,False,0
ADAMTS5,0.029952545,False,0
ADAMTS6,0.025094448,False,0
ADAMTS7,0.0052826395,False,0
ADAMTS9,0.0080956975,False,0
ADAMTSL1,0.0024100556,False,0
ADAMTSL3,0.02694493,False,0
ADAP1,0.020391196,False,0
ADARB1,0.011051561,False,0
ADARB2,0.022591759,False,0
ADAT2,0.021038665,False,0
ADCY2,0.04994739,False,1
ADCY6,0.034988854,False,0
ADCY7,0.008148025,False,0
ADCY8,0.021646272,False,0
ADCY9,0.019693336,False,0
ADD2,0.1004099,False,0
ADD3,0.026249193,False,1
ADD3-AS1,0.020524304,False,0
ADGRA2,0.026067294,False,0
ADGRB3,0.022244252,False,1
ADGRD1,0.02892508,False,0
ADGRE5,0.035837624,False,0
ADGRF5,0.029561967,False,0
