gene,score,validation,label
A2ML1,0.03488027,False,0
AACS,0.024000887,False,0
AATF,0.007868737,True,0
ABCA1,0.016921487,False,0
ABCA13,0.0063438797,False,1
ABCA2,0.03819691,False,0
ABCA3,0.016627597,False,0
ABCA5,0.060851593,False,0
ABCB9,0.0061524003,False,0
ABCC3,0.009357098,False,1
ABCC4,0.015907062,False,0
ABCC5-AS1,0.014952198,False,0
ABCC9,0.014222593,False,0
ABCF2,0.043915644,False,0
ABCG2,0.00940891,False,0
ABHD17A,0.0148532,False,0
ABHD17B,0.004717467,False,0
ABHD2,0.024075894,True,0
ABHD3,0.013972163,False,0
ABHD5,0.012988358,False,0
ABHD8,0.006834744,True,0
ABI2,0.015997328,False,0
ABI3BP,0.017950686,False,0
ABL1,0.03572366,False,0
ABL2,0.025389513,True,0
ABLIM1,0.029808763,False,0
ABLIM2,0.008934298,False,0
ABLIM3,0.012021602,False,0
ABR,0.04970131,False,0
ABRACL,0.019269416,False,0
ACAP2,0.017342221,False,0
ACBD6,0.00975657,False,0
ACE2,0.010035186,False,0
ACER1,0.0032426189,True,0
ACER2,0.023682822,False,0
ACKR1,0.01637212,True,0
ACKR3,0.020547768,False,0
ACKR4,0.00868008,False,0
ACO1,0.011317723,False,0
ACOX1,0.015373799,False,0
ACOXL,0.015797278,False,0
ACSL4,0.022163378,False,1
ACSM6,0.038037244,True,0
ACTB,0.030844543,False,0
ACTG1,0.022234062,True,0
ACTN1,0.009669573,True,0
ACTN2,0.013552711,False,0
ACVR1C,0.023524925,False,0
ACVR2A,0.003125636,False,0
ACVRL1,0.057024676,False,0
ADAM22,0.027249623,True,0
ADAM23,0.054271773,False,0
ADAM28,0.044656035,False,0
ADAM32,0.025349554,False,0
ADAMTS1,0.009787927,False,0
ADAMTS17,0.018534534,True,0
ADAMTS19,0.01443196,False,0
ADAMTS3,0.026109146,False,0
ADAMTS9-AS1,0.0013099893,True,0
ADAMTS9-AS2,0.0149020925,False,0
ADAMTSL1,0.0037429393,False,0
ADAMTSL3,0.028845042,False,0
ADARB1,0.001073768,False,0
ADARB2,0.022173358,False,0
ADCY1,0.011024717,False,0
ADCY2,0.030131117,False,0
ADCY4,0.012147347,True,0
ADCY9,0.004894887,False,0
ADD2,0.034594994,False,0
ADD3,0.0025582805,False,0
ADD3-AS1,0.030519767,False,0
ADGRA1,0.021628272,False,0
ADGRB1,0.023305563,True,0
ADGRB2,0.036604572,False,0
ADGRB3,0.023260206,False,0
ADGRG5,0.008868086,False,0
ADGRL1,0.006694639,False,0
ADGRL2,0.022023883,True,0
ADGRL3,0.024877472,True,0
ADGRV1,0.013718571,False,1
ADIRF,0.0069548814,False,0
ADM,0.025312334,False,0
ADNP,0.009041548,False,0
ADNP2,0.016107408,False,0
ADPRH,0.014796415,False,0
ADRA2C,0.011953183,True,0
ADRB1,0.016930573,False,0
ADSSL1,0.020084346,False,0
ADTRP,0.012702366,False,0
AEBP2,0.01065874,False,0
AFAP1,0.021182163,False,0
AFF2,0.0020241886,False,0
AFF3,0.025679344,False,0
AFF4,0.0056515685,False,0
AFMID,0.01987905,False,0
AGA,0.028464772,False,0
AGAP2,0.02431032,False,0
AGBL3,0.02171054,False,0
AGGF1,0.022422122,False,0
AGL,0.022723382,False,0
AGMO,0.0152188055,False,0
AGTPBP1,0.009270303,False,0
AHCTF1,0.025052004,True,0
AHCYL2,0.013217242,False,0
AHDC1,0.0008411526,False,1
AHI1,0.026139911,True,0
AHR,0.009733557,False,0
AHRR,0.03957291,False,0
AHSA1,0.0061039813,True,0
AIF1L,0.01731208,False,0
AIM2,0.010921307,True,0
AJAP1,0.020732863,False,0
AK5,0.054831997,False,0
AKAP12,0.024080379,True,0
AKAP13,0.012961673,False,0
AKAP5,0.0070270607,False,0
AKAP6,0.0066023883,False,0
AKAP7,0.005933634,False,0
AKR1B1,0.0105194235,False,0
AKR7A3,0.03782126,False,0
ALCAM,0.027144477,True,1
ALDH1A1,0.024849959,True,0
ALDH1A2,0.0060359025,False,0
ALG1L,0.0067247665,False,0
ALG5,0.021045463,True,0
ALK,0.010282709,False,0
ALPL,0.008631202,False,0
ALX3,0.041202392,False,0
AMD1,0.05028177,False,0
AMDHD1,0.00608328,True,0
AMIGO1,0.023468953,False,0
AMMECR1,0.009661699,False,0
AMMECR1L,0.018883822,False,0
AMN1,0.01294733,False,0
AMPD3,0.0019953118,False,0
AMPH,0.0049461387,False,0
ANAPC4,0.011339364,False,0
ANGEL1,0.007712696,False,0
ANGPT1,0.0059969355,True,0
ANGPT2,0.008925376,False,0
ANK2,0.014032355,False,0
ANK3,0.019236827,True,0
ANKH,0.014847396,False,0
ANKRD11,0.029038476,True,0
ANKRD13D,0.018413303,False,0
ANKRD20A4,0.016110666,True,0
ANKRD27,0.019800058,False,0
ANKRD28,0.0114434585,True,0
ANKRD30BL,0.021380413,False,0
ANKRD34A,0.013514464,False,0
ANKRD34B,0.03703426,False,0
ANKRD36C,0.05930022,False,0
ANKRD37,0.016701164,True,0
ANKRD53,0.0018756142,False,0
ANKRD54,0.037205413,False,0
ANKRD6,0.0010323678,False,0
ANKRD60,0.012757031,False,0
ANKRD61,0.0088732885,False,0
ANKRD65,0.053517785,True,0
ANKS1B,0.0034927423,False,0
ANKS6,0.017104834,False,0
ANO4,0.008073324,False,0
ANO6,0.013597037,True,0
ANP32A,0.02065272,False,0
ANTXR1,0.015327787,False,0
ANXA1,0.016918093,False,0
ANXA11,0.013121209,False,0
ANXA2,0.008312154,False,0
AP1AR,0.0065459474,False,0
AP1S3,0.011554065,False,0
AP3D1,0.020562174,False,0
APBA1,0.04632352,False,0
APBA2,0.0145158125,False,0
APBB1,0.014381464,True,0
APBB1IP,0.042573,True,0
APC2,0.018406752,True,0
APCDD1,0.019499587,False,0
APEX2,0.0085919,False,0
APOA1,0.0042846957,False,0
APOC2,0.00071604335,True,0
APOD,0.006005659,False,0
APOE,0.006482291,False,0
APTR,0.014393215,False,0
AQP4,0.01922879,False,0
AQP4-AS1,0.00878847,False,0
AR,0.019211877,False,0
ARAP1,0.028836073,False,1
ARAP2,0.01730895,False,0
AREG,0.015619127,False,0
ARFGAP1,0.051466312,True,0
ARFGEF3,0.037573323,False,0
ARHGAP10,0.01270325,False,0
ARHGAP20,0.034321416,False,0
ARHGAP22,0.02419325,False,0
ARHGAP24,0.002682932,False,0
ARHGAP25,0.009767407,True,0
ARHGAP26,0.0066037774,False,0
ARHGAP31,0.05351917,True,0
ARHGAP4,0.00061186316,True,0
ARHGAP42,0.021001229,True,0
ARHGAP44,0.034738302,False,0
ARHGAP6,0.0195676,False,0
ARHGEF10L,0.005313493,True,0
ARHGEF16,0.010525072,False,0
ARHGEF28,0.041444868,False,0
ARHGEF3,0.026667282,False,0
ARHGEF4,0.007020247,False,0
ARHGEF7,0.037588015,False,0
