_BACKGROUND,5p,10p,15p
VPS53,VPS53,VPS53,VPS53
ZNF530,ZNF530,ZNF530,ZNF530
GRIK4,GRIK4,GRIK4,GRIK4
SLC22A23,SLC22A23,SLC22A23,SLC22A23
GREB1L,GREB1L,GREB1L,GREB1L
FLRT2,FLRT2,FLRT2,FLRT2
SCD,SCD,SCD,SCD
PTPRN2,PTPRN2,PTPRN2,PTPRN2
PCDH9,PCDH9,PCDH9,PCDH9
SRRM4,SRRM4,SRRM4,SRRM4
LINGO2,LINGO2,LINGO2,LINGO2
FGF14,FGF14,FGF14,FGF14
SYP,SYP,SYP,SYP
GRID2,GRID2,GRID2,GRID2
GRIN2B,GRIN2B,GRIN2B,GRIN2B
SYT11,SYT11,SYT11,SYT11
EPHA5,EPHA5,EPHA5,EPHA5
FAM153B,FAM153B,FAM153B,FAM153B
OLFM1,OLFM1,OLFM1,OLFM1
NELL1,NELL1,NELL1,NELL1
KCNJ3,KCNJ3,KCNJ3,KCNJ3
GNAO1,GNAO1,GNAO1,GNAO1
PAK1,PAK1,PAK1,PAK1
ADCY2,ADCY2,ADCY2,ADCY2
VAMP2,VAMP2,VAMP2,VAMP2
KIAA1217,KIAA1217,KIAA1217,KIAA1217
HTR4,HTR4,HTR4,HTR4
CALM1,CALM1,CALM1,CALM1
CYFIP2,CYFIP2,CYFIP2,CYFIP2
GABRA4,GABRA4,GABRA4,GABRA4
STXBP1,STXBP1,STXBP1,STXBP1
MAP1B,MAP1B,MAP1B,MAP1B
CNKSR2,CNKSR2,CNKSR2,CNKSR2
ZDHHC2,ZDHHC2,ZDHHC2,ZDHHC2
GUCY1A2,GUCY1A2,GUCY1A2,GUCY1A2
MAPRE3,MAPRE3,MAPRE3,MAPRE3
CNTNAP2,CNTNAP2,CNTNAP2,CNTNAP2
DLGAP2,DLGAP2,DLGAP2,DLGAP2
MARK1,MARK1,MARK1,MARK1
GRIA4,GRIA4,GRIA4,GRIA4
PTPRF,PTPRF,PTPRF,PTPRF
NETO1,NETO1,NETO1,NETO1
ROBO2,ROBO2,ROBO2,ROBO2
FZD3,FZD3,FZD3,FZD3
ATP8A1,ATP8A1,ATP8A1,ATP8A1
ZSWIM6,ZSWIM6,ZSWIM6,ZSWIM6
IRS2,IRS2,IRS2,IRS2
CBLN2,CBLN2,CBLN2,CBLN2
XPO7,XPO7,XPO7,XPO7
STXBP5L,STXBP5L,STXBP5L,STXBP5L
FN3KRP,FN3KRP,FN3KRP,FN3KRP
ARFGEF3,ARFGEF3,ARFGEF3,ARFGEF3
ANKRD36C,ANKRD36C,ANKRD36C,ANKRD36C
CDKL5,CDKL5,CDKL5,CDKL5
UNC13A,UNC13A,UNC13A,UNC13A
PHACTR3,PHACTR3,PHACTR3,PHACTR3
PTPRS,PTPRS,PTPRS,PTPRS
PRICKLE1,PRICKLE1,PRICKLE1,PRICKLE1
MAP2,MAP2,MAP2,MAP2
