gene,score,validation,label
A2M,0.07499937,False,-1
A2ML1,0.10022499,False,-1
AAMDC,0.11077217,False,-1
AAMP,0.024293864,False,0
AATF,0.19144695,False,-1
AATK,0.29650864,False,-1
ABCA1,0.021437002,True,0
ABCA10,0.071760036,False,-1
ABCA2,0.03308088,False,-1
ABCA3,0.57220644,False,-1
ABCA6,0.047626898,False,0
ABCA8,0.04179072,False,-1
ABCB9,0.020354373,False,-1
ABCC3,0.10108416,False,-1
ABCG4,0.10382669,False,-1
ABHD12,0.1386045,False,-1
ABHD12B,0.21074393,False,-1
ABHD17B,0.07864795,False,-1
ABHD17C,0.56331974,False,-1
ABHD2,0.0038080993,False,-1
ABHD3,0.03510783,False,-1
ABHD5,0.098062076,False,-1
ABI2,0.0031214312,False,-1
ABI3,0.20079368,False,-1
ABL1,0.037041664,False,0
ABL2,0.1790459,False,-1
ABLIM1,0.152135,False,-1
ABLIM2,0.044680912,False,-1
ABLIM3,0.07764188,False,-1
ACAP3,0.046040796,False,-1
ACER3,0.0067708762,False,-1
ACO1,0.028273735,False,-1
ACSL4,0.022940563,False,-1
ACSL5,0.071849115,False,-1
ACTA2-AS1,0.016905751,False,-1
ACTB,0.04421241,False,-1
ACTG1,0.028027792,False,0
ACTN1,0.04538261,False,-1
ACTN2,0.079908356,False,-1
ACTN4,0.017565984,False,-1
ACVR1,0.012953609,False,-1
ACVR1B,0.035981495,False,-1
ACVR1C,0.054849148,False,-1
ACVR2A,0.06598916,False,-1
ACY3,0.016398204,False,-1
ACYP2,0.097671956,False,-1
ADAM12,0.34032133,False,-1
ADAM22,0.082888566,False,-1
ADAM23,0.183771,False,-1
ADAMDEC1,0.11519126,False,-1
ADAMTS15,0.039619584,False,0
ADAMTS17,0.07076789,False,-1
ADAMTS18,0.10869245,False,-1
ADAMTS20,0.0490804,False,-1
ADAMTS3,0.19510368,False,1
ADAMTS6,0.042843405,False,-1
ADAMTS9-AS1,0.029314829,False,0
ADAMTSL1,0.09969841,False,-1
ADAMTSL2,0.043765295,False,-1
ADAMTSL4-AS1,0.004075569,False,-1
ADARB2,0.09099969,False,-1
ADCY1,0.17017035,False,-1
ADCY2,0.905813,False,-1
ADCY3,0.06282554,False,-1
ADCY9,0.006465245,False,-1
ADCYAP1,0.026854796,False,-1
ADD2,0.101595305,False,-1
ADD3,0.6346866,False,-1
ADGRA1-AS1,0.14407824,False,-1
ADGRB1,0.1323887,False,-1
ADGRB2,0.07836266,False,-1
ADGRB3,0.5865583,False,-1
ADGRD1,0.03255753,False,-1
ADGRE1,0.01600792,False,-1
ADGRE2,0.08708805,False,-1
ADGRE5,0.018925091,False,-1
ADGRG2,0.24064647,False,-1
ADGRG5,0.02451832,False,-1
ADGRL2,0.5868071,False,-1
ADGRL3,0.09272159,False,-1
ADGRL4,0.01534115,False,-1
ADGRV1,0.13138963,False,-1
ADM5,0.24693315,False,-1
ADNP,0.017453749,False,-1
ADNP2,0.056545217,False,-1
ADRB2,0.041759092,False,-1
ADRB3,0.017646777,False,-1
ADSS,0.1887522,False,-1
AEBP2,0.1064809,False,-1
AFF3,0.09482419,False,-1
AFF4,0.027965045,False,-1
AGAP1,0.01223988,False,-1
AGAP2,0.18743816,False,-1
AGBL4,0.09976447,False,-1
AGFG1,0.051199168,False,-1
AHCTF1,0.033550955,False,-1
AHCYL2,0.12668055,False,-1
AHDC1,0.08605075,False,-1
AHI1,0.8925039,False,1
AHR,0.012516976,True,0
AHRR,0.07731741,False,-1
AIDA,0.13300666,False,-1
