_BACKGROUND,5p,10p,15p
PPM1E,PPM1E,PPM1E,PPM1E
MED12L,MED12L,MED12L,MED12L
KCNIP1,KCNIP1,KCNIP1,KCNIP1
ZFHX3,ZFHX3,ZFHX3,ZFHX3
MAGI1,MAGI1,MAGI1,MAGI1
OR2AG2,OR2AG2,OR2AG2,OR2AG2
RGS7,RGS7,RGS7,RGS7
PLCB1,PLCB1,PLCB1,PLCB1
FMN1,FMN1,FMN1,FMN1
ANKRD18B,ANKRD18B,ANKRD18B,ANKRD18B
TBC1D4,TBC1D4,TBC1D4,TBC1D4
NAALADL2,NAALADL2,NAALADL2,NAALADL2
ZC3H12B,ZC3H12B,ZC3H12B,ZC3H12B
ZNF783,ZNF783,ZNF783,ZNF783
MLF1,MLF1,MLF1,MLF1
SNX32,SNX32,SNX32,SNX32
KCNK12,KCNK12,KCNK12,KCNK12
USP2,USP2,USP2,USP2
MAP3K13,MAP3K13,MAP3K13,MAP3K13
FRY,FRY,FRY,FRY
SLC24A3,SLC24A3,SLC24A3,SLC24A3
ZNF358,ZNF358,ZNF358,ZNF358
AJAP1,AJAP1,AJAP1,AJAP1
GLUL,GLUL,GLUL,GLUL
HS2ST1,HS2ST1,HS2ST1,HS2ST1
STRBP,STRBP,STRBP,STRBP
SRGAP3,SRGAP3,SRGAP3,SRGAP3
KLHL29,KLHL29,KLHL29,KLHL29
LIN28B,LIN28B,LIN28B,LIN28B
GTF2B,GTF2B,GTF2B,GTF2B
ZFP90,ZFP90,ZFP90,ZFP90
KEL,KEL,KEL,KEL
ZNF608,ZNF608,ZNF608,ZNF608
SCAI,SCAI,SCAI,SCAI
CCDC81,CCDC81,CCDC81,CCDC81
MIR34AHG,MIR34AHG,MIR34AHG,MIR34AHG
JAM3,JAM3,JAM3,JAM3
UGT3A2,UGT3A2,UGT3A2,UGT3A2
UNC5C,UNC5C,UNC5C,UNC5C
MARCH4,MARCH4,MARCH4,MARCH4
SLC38A4,SLC38A4,SLC38A4,SLC38A4
FSTL4,FSTL4,FSTL4,FSTL4
EPB41L5,EPB41L5,EPB41L5,EPB41L5
SYTL3,SYTL3,SYTL3,SYTL3
VPS37D,VPS37D,VPS37D,VPS37D
ETNK1,ETNK1,ETNK1,ETNK1
LIN28A,LIN28A,LIN28A,LIN28A
LRP12,LRP12,LRP12,LRP12
ENPP1,ENPP1,ENPP1,ENPP1
NR3C2,NR3C2,NR3C2,NR3C2
TMEFF1,TMEFF1,TMEFF1,TMEFF1
SYNDIG1,SYNDIG1,SYNDIG1,SYNDIG1
DIAPH1,DIAPH1,DIAPH1,DIAPH1
FMNL2,FMNL2,FMNL2,FMNL2
TRHDE,TRHDE,TRHDE,TRHDE
LINC00845,LINC00845,LINC00845,LINC00845
ADAMTSL1,ADAMTSL1,ADAMTSL1,ADAMTSL1
GSE1,GSE1,GSE1,GSE1
WWOX,WWOX,WWOX,WWOX
STXBP5-AS1,STXBP5-AS1,STXBP5-AS1,STXBP5-AS1
DCDC2C,DCDC2C,DCDC2C,DCDC2C
VWC2L,VWC2L,VWC2L,VWC2L
NPNT,NPNT,NPNT,NPNT
DCC,DCC,DCC,DCC
GRAMD1B,GRAMD1B,GRAMD1B,GRAMD1B
KLHL13,KLHL13,KLHL13,KLHL13
FAM135B,FAM135B,FAM135B,FAM135B
DLG3,DLG3,DLG3,DLG3
BOLL,BOLL,BOLL,BOLL
NDRG1,NDRG1,NDRG1,NDRG1
SHANK2,SHANK2,SHANK2,SHANK2
B4GALNT3,B4GALNT3,B4GALNT3,B4GALNT3
TRAF3IP1,TRAF3IP1,TRAF3IP1,TRAF3IP1
ZFYVE28,ZFYVE28,ZFYVE28,ZFYVE28
SMARCA1,SMARCA1,SMARCA1,SMARCA1
RORB,RORB,RORB,RORB
MIR31HG,MIR31HG,MIR31HG,MIR31HG
FNIP2,FNIP2,FNIP2,FNIP2
RTN3,RTN3,RTN3,RTN3
FDFT1,FDFT1,FDFT1,FDFT1
NFAT5,NFAT5,NFAT5,NFAT5
ABHD5,ABHD5,ABHD5,ABHD5
GADL1,GADL1,GADL1,GADL1
CNKSR3,CNKSR3,CNKSR3,CNKSR3
EP300,EP300,EP300,EP300
ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5
USH1C,USH1C,USH1C,USH1C
E2F4,E2F4,E2F4,E2F4
POU3F3,POU3F3,POU3F3,POU3F3
NKX2-2,NKX2-2,NKX2-2,NKX2-2
TIRAP,TIRAP,TIRAP,TIRAP
ANXA11,ANXA11,ANXA11,ANXA11
FAM81A,FAM81A,FAM81A,FAM81A
DIRC3,DIRC3,DIRC3,DIRC3
MX1,MX1,MX1,MX1
MYO1E,MYO1E,MYO1E,MYO1E
GXYLT2,GXYLT2,GXYLT2,GXYLT2
GALNT2,GALNT2,GALNT2,GALNT2
TSPAN12,TSPAN12,TSPAN12,TSPAN12
GPR158-AS1,GPR158-AS1,GPR158-AS1,GPR158-AS1
GAS2,GAS2,GAS2,GAS2
PHF21A,PHF21A,PHF21A,PHF21A
RAD51B,RAD51B,RAD51B,RAD51B
PITPNC1,PITPNC1,PITPNC1,PITPNC1
NF1,NF1,NF1,NF1
ERF,ERF,ERF,ERF
CLK1,CLK1,CLK1,CLK1
ATF7,ATF7,ATF7,ATF7
SKAP2,SKAP2,SKAP2,SKAP2
TRAF3IP3,TRAF3IP3,TRAF3IP3,TRAF3IP3
ZNF326,ZNF326,ZNF326,ZNF326
PCOLCE2,PCOLCE2,PCOLCE2,PCOLCE2
PCED1B,PCED1B,PCED1B,PCED1B
LEF1,LEF1,LEF1,LEF1
ERN1,ERN1,ERN1,ERN1
DYNC1I1,DYNC1I1,DYNC1I1,DYNC1I1
FARSA,FARSA,FARSA,FARSA
CDYL2,CDYL2,CDYL2,CDYL2
EVL,EVL,EVL,EVL
SLC26A4-AS1,SLC26A4-AS1,SLC26A4-AS1,SLC26A4-AS1
EYS,EYS,EYS,EYS
MTSS1,MTSS1,MTSS1,MTSS1
ADAMTS19-AS1,ADAMTS19-AS1,ADAMTS19-AS1,ADAMTS19-AS1
CCDC152,CCDC152,CCDC152,CCDC152
KCTD9,KCTD9,KCTD9,KCTD9
ANO2,ANO2,ANO2,ANO2
DPP10-AS1,DPP10-AS1,DPP10-AS1,DPP10-AS1
SLC47A1,SLC47A1,SLC47A1,SLC47A1
SLC8A3,SLC8A3,SLC8A3,SLC8A3
CRADD,CRADD,CRADD,CRADD
PIK3R3,PIK3R3,PIK3R3,PIK3R3
MIDN,MIDN,MIDN,MIDN
AFAP1L1,AFAP1L1,AFAP1L1,AFAP1L1
KIT,KIT,KIT,KIT
MEG8,MEG8,MEG8,MEG8
RP1,RP1,RP1,RP1
PIGK,PIGK,PIGK,PIGK
ADPRHL1,ADPRHL1,ADPRHL1,ADPRHL1
SIX5,SIX5,SIX5,SIX5
PHTF2,PHTF2,PHTF2,PHTF2
SULT4A1,SULT4A1,SULT4A1,SULT4A1
INSIG1,INSIG1,INSIG1,INSIG1
DGKH,DGKH,DGKH,DGKH
ASTN2,ASTN2,ASTN2,ASTN2
CCDC88C,CCDC88C,CCDC88C,CCDC88C
RASAL2,RASAL2,RASAL2,RASAL2
AGTPBP1,AGTPBP1,AGTPBP1,AGTPBP1
CLVS2,CLVS2,CLVS2,CLVS2
ZNF385B,ZNF385B,ZNF385B,ZNF385B
VRK2,VRK2,VRK2,VRK2
ARNT,ARNT,ARNT,ARNT
SNRPN,SNRPN,SNRPN,SNRPN
FOXF2,FOXF2,FOXF2,FOXF2
PURG,PURG,PURG,PURG
ASCC1,ASCC1,ASCC1,ASCC1
TIGD2,TIGD2,TIGD2,TIGD2
PDGFRL,PDGFRL,PDGFRL,PDGFRL
FKBP2,FKBP2,FKBP2,FKBP2
STOX2,STOX2,STOX2,STOX2
GALNT11,GALNT11,GALNT11,GALNT11
SPTLC3,SPTLC3,SPTLC3,SPTLC3
ADAM32,ADAM32,ADAM32,ADAM32
MBNL2,MBNL2,MBNL2,MBNL2
KLHL32,KLHL32,KLHL32,KLHL32
KLF7,KLF7,KLF7,KLF7
BRINP2,BRINP2,BRINP2,BRINP2
SGCG,SGCG,SGCG,SGCG
GCLM,GCLM,GCLM,GCLM
TSHZ3,TSHZ3,TSHZ3,TSHZ3
ZNF354C,ZNF354C,ZNF354C,ZNF354C
NR2E3,NR2E3,NR2E3,NR2E3
ITGA1,ITGA1,ITGA1,ITGA1
KCNH7,KCNH7,KCNH7,KCNH7
SLC16A12,SLC16A12,SLC16A12,SLC16A12
ZNF580,ZNF580,ZNF580,ZNF580
FKBP5,FKBP5,FKBP5,FKBP5
DHX36,DHX36,DHX36,DHX36
SNAI2,SNAI2,SNAI2,SNAI2
TOX,TOX,TOX,TOX
TTTY14,TTTY14,TTTY14,TTTY14
SNTG2,SNTG2,SNTG2,SNTG2
SPDYA,SPDYA,SPDYA,SPDYA
KDM2A,KDM2A,KDM2A,KDM2A
LARP1,LARP1,LARP1,LARP1
MSH2,MSH2,MSH2,MSH2
POU6F2,POU6F2,POU6F2,POU6F2
EMX2OS,EMX2OS,EMX2OS,EMX2OS
TCF7L2,TCF7L2,TCF7L2,TCF7L2
SIRT6,SIRT6,SIRT6,SIRT6
DDX20,DDX20,DDX20,DDX20
ZSCAN12,ZSCAN12,ZSCAN12,ZSCAN12
ZNF727,ZNF727,ZNF727,ZNF727
TRIM9,TRIM9,TRIM9,TRIM9
ASXL3,ASXL3,ASXL3,ASXL3
PRRX2,PRRX2,PRRX2,PRRX2
ABHD12,ABHD12,ABHD12,ABHD12
SH3GL2,SH3GL2,SH3GL2,SH3GL2
MTF2,MTF2,MTF2,MTF2
COLEC12,COLEC12,COLEC12,COLEC12
SIPA1L1,SIPA1L1,SIPA1L1,SIPA1L1
PAX7,PAX7,PAX7,PAX7
EDNRB,EDNRB,EDNRB,EDNRB
CACNB2,CACNB2,CACNB2,CACNB2
ARHGEF28,ARHGEF28,ARHGEF28,ARHGEF28
NMD3,NMD3,NMD3,NMD3
CHSY1,CHSY1,CHSY1,CHSY1
PLAGL1,PLAGL1,PLAGL1,PLAGL1
SLC19A3,SLC19A3,SLC19A3,SLC19A3
IGFBP5,IGFBP5,IGFBP5,IGFBP5
SLC35B4,SLC35B4,SLC35B4,SLC35B4
COL5A2,COL5A2,COL5A2,COL5A2
RAB7A,RAB7A,RAB7A,RAB7A
ZNF286A,ZNF286A,ZNF286A,ZNF286A
GABRB2,GABRB2,GABRB2,GABRB2
GTF2I,GTF2I,GTF2I,GTF2I
SCN2A,SCN2A,SCN2A,SCN2A
RBFOX2,RBFOX2,RBFOX2,RBFOX2
KIAA0319,KIAA0319,KIAA0319,KIAA0319
MYO16,MYO16,MYO16,MYO16
ZIC1,ZIC1,ZIC1,ZIC1
SMAD9,SMAD9,SMAD9,SMAD9
ZNF213,,ZNF213,ZNF213
RPL29,,RPL29,RPL29
DIRAS2,,DIRAS2,DIRAS2
SGPP2,,SGPP2,SGPP2
OVCH1-AS1,,OVCH1-AS1,OVCH1-AS1
NWD2,,NWD2,NWD2
HSF5,,HSF5,HSF5
CHURC1,,CHURC1,CHURC1
EYA1,,EYA1,EYA1
TRPM3,,TRPM3,TRPM3
INPP5D,,INPP5D,INPP5D
PQBP1,,PQBP1,PQBP1
OSMR,,OSMR,OSMR
SNED1,,SNED1,SNED1
ATRNL1,,ATRNL1,ATRNL1
DKK2,,DKK2,DKK2
ZNF697,,ZNF697,ZNF697
GLIS3,,GLIS3,GLIS3
RNF220,,RNF220,RNF220
FAM217A,,FAM217A,FAM217A
GSAP,,GSAP,GSAP
NPDC1,,NPDC1,NPDC1
LINC01229,,LINC01229,LINC01229
NSMCE1,,NSMCE1,NSMCE1
UNC13A,,UNC13A,UNC13A
ADNP2,,ADNP2,ADNP2
HMGXB4,,HMGXB4,HMGXB4
MBOAT1,,MBOAT1,MBOAT1
DZIP1L,,DZIP1L,DZIP1L
NEK2,,NEK2,NEK2
ARNT2,,ARNT2,ARNT2
HDAC2,,HDAC2,HDAC2
PLCL2,,PLCL2,PLCL2
SLC45A4,,SLC45A4,SLC45A4
ELF4,,ELF4,ELF4
ALKBH5,,ALKBH5,ALKBH5
LEPR,,LEPR,LEPR
PLEKHF1,,PLEKHF1,PLEKHF1
HSPB1,,HSPB1,HSPB1
OLFM2,,OLFM2,OLFM2
GPR158,,GPR158,GPR158
APOD,,APOD,APOD
PLPP3,,PLPP3,PLPP3
ZNF92,,ZNF92,ZNF92
KITLG,,KITLG,KITLG
ZNF219,,ZNF219,ZNF219
PAQR5,,PAQR5,PAQR5
LARP4,,LARP4,LARP4
PHACTR2,,PHACTR2,PHACTR2
LARP1B,,LARP1B,LARP1B
GEM,,GEM,GEM
SLC26A7,,SLC26A7,SLC26A7
SLC7A11,,SLC7A11,SLC7A11
ADGRD1,,ADGRD1,ADGRD1
RNFT2,,RNFT2,RNFT2
ZFAT,,ZFAT,ZFAT
C12orf60,,C12orf60,C12orf60
CYS1,,CYS1,CYS1
FOXD1,,FOXD1,FOXD1
PPARG,,PPARG,PPARG
RDH16,,RDH16,RDH16
NIM1K,,NIM1K,NIM1K
JAM2,,JAM2,JAM2
KLF15,,KLF15,KLF15
TCF12,,TCF12,TCF12
ZSWIM6,,ZSWIM6,ZSWIM6
CEP57,,CEP57,CEP57
GATAD2A,,GATAD2A,GATAD2A
CSGALNACT1,,CSGALNACT1,CSGALNACT1
PTGDR,,PTGDR,PTGDR
