_BACKGROUND,5p,10p,15p
CELF5,CELF5,CELF5,CELF5
SMARCC2,SMARCC2,SMARCC2,SMARCC2
TRERF1,TRERF1,TRERF1,TRERF1
MIAT,MIAT,MIAT,MIAT
ZNF430,ZNF430,ZNF430,ZNF430
EML6,EML6,EML6,EML6
CA10,CA10,CA10,CA10
NRG3,NRG3,NRG3,NRG3
SCN1A,SCN1A,SCN1A,SCN1A
DLX4,DLX4,DLX4,DLX4
DNMT3B,DNMT3B,DNMT3B,DNMT3B
ADTRP,ADTRP,ADTRP,ADTRP
CUX2,CUX2,CUX2,CUX2
PLXNA2,PLXNA2,PLXNA2,PLXNA2
CORO2B,CORO2B,CORO2B,CORO2B
ANKRD13B,ANKRD13B,ANKRD13B,ANKRD13B
HMOX1,HMOX1,HMOX1,HMOX1
DBF4,DBF4,DBF4,DBF4
STXBP5L,STXBP5L,STXBP5L,STXBP5L
KIAA1211L,KIAA1211L,KIAA1211L,KIAA1211L
CPNE4,CPNE4,CPNE4,CPNE4
LINC00461,LINC00461,LINC00461,LINC00461
PTPRD,PTPRD,PTPRD,PTPRD
CHST11,CHST11,CHST11,CHST11
CFAP77,CFAP77,CFAP77,CFAP77
SEMA5B,SEMA5B,SEMA5B,SEMA5B
SNTG1,SNTG1,SNTG1,SNTG1
USP43,USP43,USP43,USP43
SYNPR,SYNPR,SYNPR,SYNPR
MLXIPL,MLXIPL,MLXIPL,MLXIPL
SAMD3,SAMD3,SAMD3,SAMD3
PCSK2,PCSK2,PCSK2,PCSK2
SPATS2,SPATS2,SPATS2,SPATS2
SLC35F3,SLC35F3,SLC35F3,SLC35F3
GRB14,GRB14,GRB14,GRB14
NRXN3,NRXN3,NRXN3,NRXN3
CACNA1C,CACNA1C,CACNA1C,CACNA1C
NRXN1,NRXN1,NRXN1,NRXN1
RBFOX1,RBFOX1,RBFOX1,RBFOX1
PRDM10,PRDM10,PRDM10,PRDM10
ZHX3,ZHX3,ZHX3,ZHX3
CLEC2L,CLEC2L,CLEC2L,CLEC2L
CCNE2,CCNE2,CCNE2,CCNE2
BICDL1,BICDL1,BICDL1,BICDL1
MTUS2,MTUS2,MTUS2,MTUS2
CNTNAP5,CNTNAP5,CNTNAP5,CNTNAP5
CDH12,CDH12,CDH12,CDH12
MARCH4,MARCH4,MARCH4,MARCH4
DCC,DCC,DCC,DCC
CHL1,CHL1,CHL1,CHL1
PHACTR3,PHACTR3,PHACTR3,PHACTR3
FAM135B,FAM135B,FAM135B,FAM135B
DUS3L,DUS3L,DUS3L,DUS3L
NCOR2,NCOR2,NCOR2,NCOR2
RTN1,RTN1,RTN1,RTN1
CACNA1D,CACNA1D,CACNA1D,CACNA1D
SNAP91,SNAP91,SNAP91,SNAP91
ZNF385B,ZNF385B,ZNF385B,ZNF385B
ZFYVE28,ZFYVE28,ZFYVE28,ZFYVE28
PCED1B,PCED1B,PCED1B,PCED1B
OPRM1,OPRM1,OPRM1,OPRM1
PBX1,PBX1,PBX1,PBX1
KCNK12,KCNK12,KCNK12,KCNK12
KCNJ6,KCNJ6,KCNJ6,KCNJ6
PGAP1,PGAP1,PGAP1,PGAP1
BRINP2,BRINP2,BRINP2,BRINP2
TMEM132D,TMEM132D,TMEM132D,TMEM132D
PRKCB,PRKCB,PRKCB,PRKCB
GALNT13,GALNT13,GALNT13,GALNT13
MYH10,MYH10,MYH10,MYH10
DCLK1,DCLK1,DCLK1,DCLK1
FRMD4A,FRMD4A,FRMD4A,FRMD4A
HIST1H2AC,HIST1H2AC,HIST1H2AC,HIST1H2AC
MLF1,MLF1,MLF1,MLF1
ZNF546,ZNF546,ZNF546,ZNF546
KCNQ5,KCNQ5,KCNQ5,KCNQ5
GPM6A,GPM6A,GPM6A,GPM6A
FBN1,FBN1,FBN1,FBN1
KCNH5,KCNH5,KCNH5,KCNH5
ANKS1B,ANKS1B,ANKS1B,ANKS1B
LRRC4,LRRC4,LRRC4,LRRC4
MIR31HG,MIR31HG,MIR31HG,MIR31HG
ADGRB3,ADGRB3,ADGRB3,ADGRB3
HDAC9,HDAC9,HDAC9,HDAC9
CBFA2T2,CBFA2T2,CBFA2T2,CBFA2T2
RIMS2,RIMS2,RIMS2,RIMS2
RCAN3,RCAN3,RCAN3,RCAN3
GABRA5,GABRA5,GABRA5,GABRA5
RORB,RORB,RORB,RORB
LRRK1,LRRK1,LRRK1,LRRK1
OAZ1,OAZ1,OAZ1,OAZ1
FZD3,FZD3,FZD3,FZD3
PTPRN2,PTPRN2,PTPRN2,PTPRN2
MCHR2,MCHR2,MCHR2,MCHR2
NDST3,NDST3,NDST3,NDST3
HDAC8,HDAC8,HDAC8,HDAC8
ANKRD18B,ANKRD18B,ANKRD18B,ANKRD18B
CHN1,CHN1,CHN1,CHN1
STMN2,STMN2,STMN2,STMN2
MYT1L,MYT1L,MYT1L,MYT1L
NWD2,NWD2,NWD2,NWD2
PRUNE2,PRUNE2,PRUNE2,PRUNE2
ADGRL1,ADGRL1,ADGRL1,ADGRL1
KCNH7,KCNH7,KCNH7,KCNH7
CKAP2,CKAP2,CKAP2,CKAP2
RGS7,RGS7,RGS7,RGS7
NLGN1,NLGN1,NLGN1,NLGN1
HMBOX1,HMBOX1,HMBOX1,HMBOX1
KHDRBS2,KHDRBS2,KHDRBS2,KHDRBS2
GRIN2B,GRIN2B,GRIN2B,GRIN2B
PKN2-AS1,PKN2-AS1,PKN2-AS1,PKN2-AS1
GPR158-AS1,GPR158-AS1,GPR158-AS1,GPR158-AS1
KLHL13,KLHL13,KLHL13,KLHL13
SLC26A4-AS1,SLC26A4-AS1,SLC26A4-AS1,SLC26A4-AS1
PPM1E,PPM1E,PPM1E,PPM1E
CACNG4,CACNG4,CACNG4,CACNG4
TCERG1L,TCERG1L,TCERG1L,TCERG1L
DPP10-AS1,DPP10-AS1,DPP10-AS1,DPP10-AS1
SGCG,SGCG,SGCG,SGCG
TRHDE,TRHDE,TRHDE,TRHDE
SLC8A3,SLC8A3,SLC8A3,SLC8A3
SMIM1,SMIM1,SMIM1,SMIM1
SLC2A13,SLC2A13,SLC2A13,SLC2A13
KCNIP4,KCNIP4,KCNIP4,KCNIP4
NLGN4X,NLGN4X,NLGN4X,NLGN4X
KCNQ3,KCNQ3,KCNQ3,KCNQ3
SNX32,SNX32,SNX32,SNX32
CNKSR3,CNKSR3,CNKSR3,CNKSR3
CACNG2,CACNG2,CACNG2,CACNG2
CLEC4A,CLEC4A,CLEC4A,CLEC4A
FMN1,FMN1,FMN1,FMN1
PEX5L,PEX5L,PEX5L,PEX5L
MIR4500HG,MIR4500HG,MIR4500HG,MIR4500HG
FBLN7,FBLN7,FBLN7,FBLN7
SLC4A10,SLC4A10,SLC4A10,SLC4A10
MEG3,MEG3,MEG3,MEG3
TRIM9,TRIM9,TRIM9,TRIM9
GPR158,GPR158,GPR158,GPR158
CDH18,CDH18,CDH18,CDH18
CADM2,CADM2,CADM2,CADM2
EPHB6,EPHB6,EPHB6,EPHB6
CDH8,CDH8,CDH8,CDH8
HECW1,HECW1,HECW1,HECW1
PTPRO,PTPRO,PTPRO,PTPRO
FEZF2,FEZF2,FEZF2,FEZF2
PHF12,PHF12,PHF12,PHF12
KLHL29,KLHL29,KLHL29,KLHL29
ZNF670,ZNF670,ZNF670,ZNF670
AJAP1,AJAP1,AJAP1,AJAP1
NEK10,NEK10,NEK10,NEK10
FAM81A,FAM81A,FAM81A,FAM81A
GABRB3,GABRB3,GABRB3,GABRB3
ERC2,ERC2,ERC2,ERC2
AGRN,AGRN,AGRN,AGRN
MED12L,MED12L,MED12L,MED12L
DYNC1I1,DYNC1I1,DYNC1I1,DYNC1I1
WDR24,WDR24,WDR24,WDR24
CRHR2,CRHR2,CRHR2,CRHR2
RBAK,RBAK,RBAK,RBAK
CREM,CREM,CREM,CREM
ZNF251,ZNF251,ZNF251,ZNF251
GRM5,GRM5,GRM5,GRM5
KEL,KEL,KEL,KEL
ICA1,ICA1,ICA1,ICA1
TOX,TOX,TOX,TOX
LIN28B,LIN28B,LIN28B,LIN28B
STXBP5-AS1,STXBP5-AS1,STXBP5-AS1,STXBP5-AS1
MEF2C,MEF2C,MEF2C,MEF2C
GAS2,GAS2,GAS2,GAS2
DNAJB5,DNAJB5,DNAJB5,DNAJB5
KNDC1,KNDC1,KNDC1,KNDC1
HS6ST3,HS6ST3,HS6ST3,HS6ST3
UNC80,UNC80,UNC80,UNC80
GATA5,GATA5,GATA5,GATA5
HDX,HDX,HDX,HDX
CCDC170,CCDC170,CCDC170,CCDC170
RGS6,RGS6,RGS6,RGS6
CNNM1,CNNM1,CNNM1,CNNM1
PLCB1,PLCB1,PLCB1,PLCB1
EMILIN1,EMILIN1,EMILIN1,EMILIN1
TMEFF1,TMEFF1,TMEFF1,TMEFF1
TMEM97,TMEM97,TMEM97,TMEM97
SORBS2,SORBS2,SORBS2,SORBS2
VSNL1,VSNL1,VSNL1,VSNL1
B3GAT1,B3GAT1,B3GAT1,B3GAT1
SLC38A11,SLC38A11,SLC38A11,SLC38A11
ANKRD30BL,ANKRD30BL,ANKRD30BL,ANKRD30BL
DUSP26,DUSP26,DUSP26,DUSP26
KCTD8,KCTD8,KCTD8,KCTD8
GRIA2,GRIA2,GRIA2,GRIA2
UNC5D,UNC5D,UNC5D,UNC5D
SCN8A,SCN8A,SCN8A,SCN8A
ARAP2,ARAP2,ARAP2,ARAP2
CSMD1,CSMD1,CSMD1,CSMD1
PCDH9,PCDH9,PCDH9,PCDH9
FRY,FRY,FRY,FRY
PDE4DIP,PDE4DIP,PDE4DIP,PDE4DIP
FAM155A,FAM155A,FAM155A,FAM155A
KSR2,KSR2,KSR2,KSR2
ADGRL2,ADGRL2,ADGRL2,ADGRL2
MTSS1,MTSS1,MTSS1,MTSS1
LRRC8B,LRRC8B,LRRC8B,LRRC8B
PRNP,PRNP,PRNP,PRNP
LRRC8D,LRRC8D,LRRC8D,LRRC8D
IRF7,IRF7,IRF7,IRF7
CBLN2,CBLN2,CBLN2,CBLN2
SNRPN,SNRPN,SNRPN,SNRPN
NIM1K,NIM1K,NIM1K,NIM1K
KIRREL3,KIRREL3,KIRREL3,KIRREL3
TNFAIP6,TNFAIP6,TNFAIP6,TNFAIP6
GALNT18,GALNT18,GALNT18,GALNT18
R3HDM1,R3HDM1,R3HDM1,R3HDM1
CLDN7,CLDN7,CLDN7,CLDN7
E4F1,E4F1,E4F1,E4F1
GPR22,GPR22,GPR22,GPR22
FTCD,FTCD,FTCD,FTCD
ZNF343,ZNF343,ZNF343,ZNF343
HNRNPC,HNRNPC,HNRNPC,HNRNPC
CSRNP3,CSRNP3,CSRNP3,CSRNP3
LHX2,LHX2,LHX2,LHX2
SRCIN1,SRCIN1,SRCIN1,SRCIN1
RALYL,,RALYL,RALYL
RASGRF1,,RASGRF1,RASGRF1
ADCY8,,ADCY8,ADCY8
TMEFF2,,TMEFF2,TMEFF2
OLFM3,,OLFM3,OLFM3
HTR1E,,HTR1E,HTR1E
KCNK1,,KCNK1,KCNK1
B4GALT6,,B4GALT6,B4GALT6
SYT7,,SYT7,SYT7
KIT,,KIT,KIT
MCF2L,,MCF2L,MCF2L
DPP10,,DPP10,DPP10
CTNNA2,,CTNNA2,CTNNA2
LZTS1,,LZTS1,LZTS1
FRMPD4,,FRMPD4,FRMPD4
MEF2C-AS1,,MEF2C-AS1,MEF2C-AS1
PPM1L,,PPM1L,PPM1L
FAM49A,,FAM49A,FAM49A
CDYL2,,CDYL2,CDYL2
LRRC9,,LRRC9,LRRC9
CNTNAP2,,CNTNAP2,CNTNAP2
RYR2,,RYR2,RYR2
ST8SIA4,,ST8SIA4,ST8SIA4
KCNH3,,KCNH3,KCNH3
BANP,,BANP,BANP
SH3GL2,,SH3GL2,SH3GL2
DGKI,,DGKI,DGKI
GRIA1,,GRIA1,GRIA1
PEG3,,PEG3,PEG3
PSAT1,,PSAT1,PSAT1
NLK,,NLK,NLK
IGSF21,,IGSF21,IGSF21
SGCZ,,SGCZ,SGCZ
BTBD8,,BTBD8,BTBD8
CLSTN1,,CLSTN1,CLSTN1
C1GALT1,,C1GALT1,C1GALT1
COL4A6,,COL4A6,COL4A6
EAPP,,EAPP,EAPP
SV2A,,SV2A,SV2A
OXSR1,,OXSR1,OXSR1
GRIN3A,,GRIN3A,GRIN3A
CLVS2,,CLVS2,CLVS2
MAP1A,,MAP1A,MAP1A
DGKH,,DGKH,DGKH
UBTF,,UBTF,UBTF
CHEK1,,CHEK1,CHEK1
ARPP21,,ARPP21,ARPP21
BRINP1,,BRINP1,BRINP1
SLC19A3,,SLC19A3,SLC19A3
OR2AG2,,OR2AG2,OR2AG2
GRWD1,,GRWD1,GRWD1
NAALADL2,,NAALADL2,NAALADL2
MAPT,,MAPT,MAPT
NECAB2,,NECAB2,NECAB2
DLGAP1,,DLGAP1,DLGAP1
GABRB1,,GABRB1,GABRB1
USF2,,USF2,USF2
HCN1,,HCN1,HCN1
RAB11A,,RAB11A,RAB11A
TESPA1,,TESPA1,TESPA1
GFAP,,GFAP,GFAP
KCNJ3,,KCNJ3,KCNJ3
AQP4-AS1,,AQP4-AS1,AQP4-AS1
NTNG1,,NTNG1,NTNG1
CNTFR,,CNTFR,CNTFR
JPH4,,JPH4,JPH4
IKZF1,,IKZF1,IKZF1
CASC6,,CASC6,CASC6
LNX1,,LNX1,LNX1
CNR1,,CNR1,CNR1
GABBR2,,GABBR2,GABBR2
TTTY14,,TTTY14,TTTY14
CTNND2,,CTNND2,CTNND2
ZNF365,,ZNF365,ZNF365
MARCH1,,MARCH1,MARCH1
PCDH7,,PCDH7,PCDH7
KHDRBS3,,KHDRBS3,KHDRBS3
