gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,0,0.038295372,0.020502536486669803,0.061975013,0.025295442,0.05521365,0.036426168,0.012566587,False,False,True,False,False
A2M,0,0.0772469392,0.03853788455525307,0.027661406,0.09434296,0.07351448,0.05986336,0.13085249,False,False,False,True,False
A4GALT,0,0.037610347,0.014818853311552097,0.033833317,0.019530011,0.034476228,0.039734993,0.060477186,False,False,True,False,False
AACS,0,0.0656736004,0.041891860845100076,0.13918968,0.050087117,0.05910926,0.037769005,0.04221294,False,False,False,True,False
ABCA1,0,0.11884808,0.03446905714985615,0.10588739,0.0984956,0.17643318,0.12344014,0.08998409,False,False,False,False,True
ABCB1,0,0.051747897999999994,0.025796069716859184,0.08042909,0.03525279,0.074482955,0.049126863,0.019447792,False,True,False,False,False
ABCC4,0,0.056028988599999996,0.023677389534242765,0.07483728,0.08436537,0.042772237,0.05204334,0.026126716,False,True,False,False,False
ABCF2,0,0.1104723742,0.037559748671296356,0.103810236,0.083929755,0.08431923,0.17513973,0.10516292,False,False,False,True,False
ABCG2,0,0.026247575599999996,0.012785643925631484,0.036398098,0.016910015,0.04154516,0.025259009,0.011125596,False,False,False,True,False
ABHD17C,0,0.1309378108,0.02314145786379357,0.10730924,0.118001804,0.16055001,0.11836083,0.15046717,False,False,False,False,True
ABTB2,0,0.0746317426,0.04923560588401679,0.16251794,0.049543567,0.055387653,0.056345608,0.049363945,False,False,False,True,False
ACO1,0,0.1205514308,0.019802556877801497,0.11529702,0.109249264,0.14062472,0.14119951,0.09638664,True,False,False,False,False
ACSL3,0,0.127429258,0.02065307975648596,0.15795311,0.12679131,0.11549641,0.1337912,0.10311426,False,True,False,False,False
ACSL5,0,0.034719488519999994,0.023110054430853625,0.06675578,0.021360382,0.04495191,0.0059656706,0.0345637,False,False,False,False,True
ACTA2,0,0.07684625279999999,0.03855090101788256,0.051162884,0.07104509,0.06273887,0.05484785,0.14443657,False,False,True,False,False
ACTB,1,0.1054784742,0.05918921033625507,0.103966065,0.1898604,0.11800952,0.09081751,0.024738876,False,False,False,False,True
ACTG1,0,0.0867952836,0.04051356649751466,0.120501585,0.057527408,0.137417,0.043544125,0.0749863,False,True,False,False,False
