gene,score,validation,label
ABCC3,0.03068445,False,0
ABCC4,0.016777607,False,0
ABCF2,0.05687037,False,0
ABI3BP,0.050622135,False,0
ABL1,0.06877629,False,0
ABLIM1,0.06575586,False,1
ABTB2,0.019789308,False,0
ACO1,0.0109725995,True,0
ACTA2,0.036888476,True,0
ACTB,0.0071080057,False,0
ACTG1,0.01442755,True,0
ACVR1,0.056249257,False,0
ACVR1C,0.026931303,False,0
ADAM28,0.07284794,False,0
ADAM29,0.054658834,False,0
ADAM32,0.091213815,False,0
ADAMTS16,0.0074137053,False,0
ADAMTS2,0.008132621,True,1
ADAMTS20,0.06871807,True,0
ADAMTS3,0.06349362,True,0
ADAMTS6,0.021039704,False,0
ADAMTS9,0.009150537,False,0
ADAMTS9-AS1,0.03338532,False,0
ADAMTSL1,0.009416005,True,0
ADARB1,0.07582518,False,0
ADCY4,0.026956184,False,0
ADCYAP1,0.038581066,False,0
ADD3,0.06783834,True,1
ADD3-AS1,0.010580538,False,0
ADGRL2,0.10710604,True,0
ADGRL3,0.065210626,False,0
ADNP,0.059779346,False,0
ADNP2,0.066673644,False,0
ADTRP,0.0343723,False,1
AEBP2,0.08404927,False,0
AFAP1,0.05843345,False,0
AFF4,0.06850018,False,0
AGAP2,0.0525019,False,0
AGBL1,0.076982215,False,1
AGR2,0.011016361,False,0
AGR3,0.014553144,False,0
AHCTF1,0.07163406,False,0
AHDC1,0.019674694,False,0
AHNAK2,0.02116613,False,0
AHR,0.036242075,False,0
AIG1,0.07154408,False,0
AK5,0.05653084,False,0
ALDH1A2,0.03009731,False,0
ALOX5,0.017076263,True,0
ALOX5AP,0.036015477,False,0
ALPK1,0.0030012995,False,0
ANKRD24,0.06005935,False,0
ANKRD30A,0.05748721,False,0
ANKRD30B,0.075127274,False,0
ANKRD30BL,0.06308043,False,0
ANKRD33B,0.05377441,True,0
ANKRD34C-AS1,0.015982555,False,0
ANKRD44,0.037264705,True,0
ANKRD6,0.0401865,False,0
ANKRD62,0.018558584,False,0
ANKRD7,0.03515874,True,0
ANO10,0.08064962,False,0
ANO2,0.02966508,True,0
ANO3,0.119385675,False,1
ANO6,0.03080235,True,0
ANOS1,0.01345185,True,0
ANXA11,0.016181504,False,0
ANXA4,0.055464327,False,0
AP1S1,0.004916488,False,0
AP2M1,0.02101174,False,0
APBA2,0.06684699,False,0
APBB1IP,0.07579327,False,0
APCDD1,0.0064911353,True,0
APLP1,0.0039701364,True,0
APOC2,0.021996025,False,0
APOE,0.07923804,True,0
AQP4-AS1,0.117182516,False,0
AQP9,0.031663306,True,0
ARC,0.01327305,False,0
ARF1,0.0038483653,True,0
ARG1,0.102534406,False,0
ARHGAP10,0.0327363,False,0
ARHGAP20,0.07633005,True,0
ARHGAP24,0.074703634,False,0
ARHGAP26,0.06706503,False,0
ARHGAP31,0.01693123,False,0
ARHGAP42,0.024521189,False,0
ARHGAP6,0.026023066,False,0
ARHGDIG,0.006016127,False,0
ARHGEF10,0.015112855,False,0
ARHGEF26,0.06541466,False,0
ARHGEF28,0.040906925,False,0
ARHGEF40,0.043279305,False,0
ARID3A,0.043125466,False,0
ARID5B,0.11699142,False,0
ARL4C,0.0059780343,False,0
ARLNC1,0.035298787,False,0
ARNT2,0.045497667,True,0
ARNTL,0.08574575,False,0
ARNTL2,0.077657096,True,0
ART3,0.029507585,False,0
