_BACKGROUND,5p,10p,15p
CADPS2,CADPS2,CADPS2,CADPS2
PTPRQ,PTPRQ,PTPRQ,PTPRQ
CERS6,CERS6,CERS6,CERS6
KCNC2,KCNC2,KCNC2,KCNC2
MRPS30-DT,MRPS30-DT,MRPS30-DT,MRPS30-DT
UNC5D,UNC5D,UNC5D,UNC5D
CNTN3,CNTN3,CNTN3,CNTN3
KCTD16,KCTD16,KCTD16,KCTD16
ZCCHC17,ZCCHC17,ZCCHC17,ZCCHC17
GAP43,GAP43,GAP43,GAP43
GRIA3,GRIA3,GRIA3,GRIA3
DLGAP1-AS4,DLGAP1-AS4,DLGAP1-AS4,DLGAP1-AS4
STARD4-AS1,STARD4-AS1,STARD4-AS1,STARD4-AS1
PPP1R14C,PPP1R14C,PPP1R14C,PPP1R14C
TLN2,TLN2,TLN2,TLN2
MCTP1,MCTP1,MCTP1,MCTP1
AQP4-AS1,AQP4-AS1,AQP4-AS1,AQP4-AS1
PTPRO,PTPRO,PTPRO,PTPRO
CCDC85A,CCDC85A,CCDC85A,CCDC85A
ATF7IP2,ATF7IP2,ATF7IP2,ATF7IP2
GAS2,GAS2,GAS2,GAS2
POU6F2,POU6F2,POU6F2,POU6F2
CCDC175,CCDC175,CCDC175,CCDC175
TOM1L1,TOM1L1,TOM1L1,TOM1L1
BRINP2,BRINP2,BRINP2,BRINP2
SATB2,SATB2,SATB2,SATB2
GCNT4,GCNT4,GCNT4,GCNT4
ZNF697,ZNF697,ZNF697,ZNF697
NFE2L2,NFE2L2,NFE2L2,NFE2L2
SYCP2,SYCP2,SYCP2,SYCP2
LAMB1,LAMB1,LAMB1,LAMB1
FRMD6,FRMD6,FRMD6,FRMD6
TMEM132D,TMEM132D,TMEM132D,TMEM132D
RTKN2,RTKN2,RTKN2,RTKN2
FAT3,FAT3,FAT3,FAT3
TMEM108,TMEM108,TMEM108,TMEM108
PKNOX2,PKNOX2,PKNOX2,PKNOX2
ZMIZ1-AS1,ZMIZ1-AS1,ZMIZ1-AS1,ZMIZ1-AS1
CDH18,CDH18,CDH18,CDH18
ZFPM2,ZFPM2,ZFPM2,ZFPM2
PTPN3,PTPN3,PTPN3,PTPN3
ZBTB43,ZBTB43,ZBTB43,ZBTB43
CA10,CA10,CA10,CA10
ADGRL2,ADGRL2,ADGRL2,ADGRL2
EPB41L5,EPB41L5,EPB41L5,EPB41L5
LINC00535,LINC00535,LINC00535,LINC00535
ITGA9,ITGA9,ITGA9,ITGA9
ANO3,ANO3,ANO3,ANO3
GNG2,GNG2,GNG2,GNG2
LDB2,LDB2,LDB2,LDB2
LINC01476,LINC01476,LINC01476,LINC01476
ST8SIA5,ST8SIA5,ST8SIA5,ST8SIA5
MCHR2,MCHR2,MCHR2,MCHR2
KDM4A,KDM4A,KDM4A,KDM4A
WWP1,WWP1,WWP1,WWP1
ANO10,ANO10,ANO10,ANO10
RMDN2,RMDN2,RMDN2,RMDN2
FHOD3,FHOD3,FHOD3,FHOD3
