gene,score,validation,label
A1CF,0.026624113,False,0
AADACL2-AS1,0.034979504,True,0
ABCC12,2.5614345e-05,False,0
ABCC3,0.0063005686,False,1
ABCF2,0.021207634,False,0
ABHD14A,0.019220253,False,0
ABL1,0.025873853,False,0
ABLIM3,0.0126255555,False,0
ABRA,0.0049347132,False,0
ACER1,0.034370527,False,0
ACER2,0.06365041,False,0
ACMSD,0.021992875,False,0
ACSM6,0.03998391,False,0
ACTA2,0.02301581,True,0
ACTB,0.025536627,False,0
ACTG1,0.02733878,False,0
ACTN2,0.018222168,False,0
ACTR3C,9.7619384e-05,False,0
ACVR1,0.01029292,False,0
ADAM29,0.036895305,False,0
ADAM32,0.042957302,False,0
ADAMTS16,0.044936135,False,0
ADAMTS19,0.04562164,True,0
ADAMTS2,0.005512091,False,0
ADAMTS3,0.017774945,False,0
ADAMTS9-AS1,0.0031538159,False,0
ADAMTSL1,0.021678898,False,0
ADAMTSL3,0.006992045,False,0
ADARB1,0.010514581,False,0
ADCY2,0.03605057,True,0
ADCYAP1,0.048131768,False,0
ADD3,0.017022643,False,0
ADD3-AS1,0.041061483,False,0
ADGRB2,0.038914926,False,0
ADGRF2,0.00011301712,False,0
ADGRF5,0.032740522,False,0
ADGRG7,0.002557364,False,0
ADGRL2,0.036223985,False,0
ADGRL3,0.03964274,False,0
ADNP,0.031146677,False,0
ADNP2,0.036675237,False,0
ADRA1B,0.004039624,False,0
ADRA1D,0.044843372,False,0
ADSL,0.021362197,False,0
ADTRP,0.0020084728,False,0
AEBP2,0.0044379937,True,0
AFF1,0.001129003,False,0
AFF3,0.02446994,False,0
AFF4,0.0133475335,False,0
AGAP2,0.016797926,False,0
AGBL1,0.024462895,False,0
AGBL3,0.014210857,True,0
AGBL4,0.012629242,False,0
AGGF1,0.016757624,False,0
AHCTF1,0.03266438,False,0
AHDC1,0.043744426,False,1
AHNAK,0.0013091442,True,0
AHR,0.024040235,False,0
AHRR,0.019766854,False,0
AKAP12,0.00011646102,True,0
AKAP13,0.021473533,False,0
AKAP5,0.01617081,True,0
AKR1C3,0.0063910456,False,0
ALCAM,0.045620974,False,1
ALDH1A2,0.040440172,False,0
ALX1,0.008052708,False,0
AMIGO2,0.013558489,False,0
ANAPC10,0.0028109297,False,0
ANKMY2,0.018732805,False,0
ANKRD30A,0.006686137,False,0
ANKRD30B,0.04830989,False,0
ANKRD30BL,0.024321746,True,0
ANKRD33B,1.0727923e-05,False,0
ANKRD44,0.013647229,False,1
ANKRD62,0.0012842354,False,0
ANKRD7,0.017484745,False,0
ANKS1A,0.00021086055,True,0
ANO10,0.020077942,True,0
ANO3,0.0025896686,False,0
ANO6,0.0016155636,False,0
ANXA11,0.021668116,False,0
ANXA4,0.02900865,False,0
AP1S1,0.030514965,True,0
AP1S2,0.05735302,False,0
AP2A2,0.07839024,False,1
AP2S1,0.06247783,False,0
APBA1,0.03421658,False,0
APBA2,0.0059872502,False,0
APBB2,0.025261546,True,0
APEX2,0.0068849223,False,0
APLF,0.00976277,False,0
APLP2,0.028927766,False,0
APOL1,0.015281026,False,0
AQP4-AS1,0.016525116,False,0
AQP9,0.017320355,True,0
ARAP2,0.037964202,False,0
ARC,0.00016857912,True,0
ARF3,0.019299023,False,0
ARFGAP1,0.027273608,False,0
ARG1,0.005402614,False,0
ARHGAP11B,0.0017032867,False,0
ARHGAP20,0.021982899,False,0
ARHGAP22,0.000356924,False,0
ARHGAP26,0.009888157,False,0
ARHGAP26-AS1,0.009601133,False,0
ARHGAP6,0.026676109,False,0
ARHGAP8,0.0055869096,False,0
ARHGDIG,0.021618923,False,0
ARHGEF10,0.011407336,True,0
ARHGEF16,0.024477415,True,0
ARHGEF28,0.06591228,False,0
ARHGEF6,0.02793207,False,0
ARID5B,0.009631579,True,0
ARL4D,0.016422894,False,0
ARL5C,8.60534e-05,False,0
ARL6,0.018740915,True,0
ARL6IP4,0.019086184,False,0
ARMC3,0.01603041,False,0
ARNT,0.03816249,True,0
ARNT2,0.042027585,False,1
ARNTL,0.0020714535,False,0
ARNTL2,0.011766715,False,0
ARPC5L,0.029152814,False,0
ARPP19,0.025521956,False,0
ARRB1,0.033065528,True,0
ARSB,0.016076611,True,0
ARSJ,0.046778705,False,0
ART3,0.0018429803,True,0
ASAP2,0.03658038,False,0
ASB18,0.023694092,False,0
ASB5,0.007289381,False,0
ASB7,0.012634403,True,0
ASCC1,0.026355365,True,0
ASCL1,0.0067566657,True,0
ASH2L,0.022497516,False,0
ASIC2,0.01772142,False,0
ASPSCR1,0.00113685,False,0
ASXL2,0.01627746,False,0
ASXL3,0.0325499,False,0
ATF2,0.00913815,False,0
ATF3,0.0010802016,False,0
ATF7,0.063672155,False,0
ATG10,0.02275305,False,0
ATG5,0.0193691,False,0
ATOH7,0.0071621174,False,0
ATOH8,0.046246577,False,0
ATP11B,0.032254443,False,0
ATP1A1,0.015329715,False,0
ATP1A1-AS1,0.014665597,False,0
ATP1A2,0.014542233,True,0
ATP1B3,0.011565327,False,0
ATP6V0B,0.028110031,True,0
ATP6V0C,0.008627645,False,0
ATP6V0D1,0.044251073,False,0
ATP6V1B2,0.0159152,True,0
ATP6V1E1,0.026317751,False,0
ATP6V1G1,0.040293574,False,0
ATP8B1,0.02330622,False,0
ATP8B4,0.014760263,False,0
ATRNL1,0.000648043,True,0
AUTS2,0.025317894,False,1
AVEN,0.03173646,False,1
B3GALNT2,0.04708962,True,0
B3GLCT,0.02237436,False,0
B3GNT2,0.028174195,False,0
B4GALT6,0.029666914,False,0
B4GAT1,0.016609704,True,0
BAALC,0.0453017,True,0
BACE2,0.021703685,False,0
BACH1,0.039237652,False,0
BACH2,0.025236666,False,0
BAIAP3,0.010686335,True,0
BASP1,0.0019028743,False,0
BATF3,0.024228549,False,0
BAZ1A,0.04135097,True,0
BBOX1-AS1,0.014137552,False,0
BBX,0.016844833,False,0
BCAP29,0.038567685,False,0
BCAR3,0.027983308,False,0
BCL11A,0.014714269,True,0
BCL11B,0.020803083,False,0
BCL6,0.022682203,False,0
BCLAF1,0.017151887,False,0
BDNF,0.00019433338,True,0
BDP1,0.024051515,True,0
BEGAIN,0.04347435,False,0
BEND4,0.0043394384,False,0
BEND6,0.02746664,False,0
BEND7,0.033402037,False,0
BEX1,0.00843687,False,0
BEX2,0.025947291,True,0
BEX3,0.035665575,False,0
BEX4,0.044450503,False,0
BHLHA15,6.205836e-05,False,0
BHLHE22,0.01889902,True,0
BHLHE40-AS1,0.026926594,False,0
BICC1,0.028680313,False,0
BICDL1,0.011444123,False,0
BLCAP,0.036428504,False,0
BMP2K,0.025364393,False,0
BMP8A,0.021169383,False,0
BMPER,0.008066732,False,0
BOC,0.011142133,False,0
BPTF,0.05745998,False,0
BRF1,0.013268836,True,0
BRF2,0.021461515,False,0
BRINP1,0.049707804,False,0
BRINP2,0.0054864143,False,0
BRINP3,0.03267494,True,0
BRIP1,0.023469847,False,0
BRK1,0.023654591,False,0
BSCL2,0.015683755,True,0
BSN,0.015712608,True,1
BSX,0.0043875035,False,0
BTC,0.02176185,False,0
BVES-AS1,0.01092852,False,0
C11orf40,0.0048709684,False,0
C11orf87,0.012275472,False,0
C12orf40,0.03995564,True,0
C12orf42,0.00036563358,False,0
C12orf75,0.019114533,True,0
C14orf132,0.025754193,True,0
C14orf39,0.023766268,True,0
C16orf95,0.015376195,False,0
C1QL3,0.021876624,True,0
C1QTNF4,0.03657667,True,0
C1orf115,0.014724851,False,0
C1orf216,0.0061356463,False,0
C2-AS1,4.119377e-05,False,0
C2orf73,0.0036319382,False,0
C2orf88,0.03719826,True,0
C3orf52,1.1186569e-05,False,0
C3orf67,0.017429153,False,0
C3orf67-AS1,0.029762449,False,0
C3orf70,0.00586471,True,0
C3orf80,0.014827977,False,0
C4orf45,0.026535364,False,0
C5orf47,0.020817615,False,0
C6,0.012466661,False,0
C6orf99,2.9231369e-05,False,0
C7orf50,0.06175918,False,0
C8orf87,0.010340697,True,0
C9orf16,0.019629175,False,0
CA10,0.00652594,True,0
CA3,0.017558547,False,0
CA4,0.036718003,False,0
CABCOCO1,0.022444999,False,0
CABP7,0.022690048,False,0
CACHD1,0.006929155,False,0
CACNA1C,0.04999486,False,0
CACNA1D,0.024035133,False,0
CACNA1E,0.0051303543,False,0
CACNA2D3,0.0076432806,False,0
CACNA2D3-AS1,0.018060282,True,0
CACNA2D4,0.05556304,False,0
CACNG3,0.011539696,False,0
CACYBP,0.03943457,False,0
CADM1,0.034046467,False,0
CADM2,0.01961371,False,0
CADPS,0.008924841,False,0
CADPS2,0.0006648454,False,0
CALB1,0.022357386,False,0
CALM1,0.0041217306,True,0
CALM3,0.00693758,False,0
CALN1,0.0105793085,True,0
CALY,0.027883878,False,0
CAMK2D,0.025486803,False,0
CAMK2N1,0.003965258,False,0
CAMK2N2,0.010896005,False,0
CAMKV,0.012623428,True,0
CAPN3,0.02128674,True,0
CAPN9,0.036860477,True,1
CAPS2,0.0011713064,False,0
CARF,0.032813657,False,0
CARMIL3,0.03765887,False,0
CARTPT,0.034350086,False,0
CASC15,0.018873157,False,0
CASC2,0.0023567036,True,0
CAST,0.027183287,False,0
CATSPERB,0.056252923,False,0
CAV2,0.031244634,False,0
CAV3,0.019402359,False,0
CBFA2T2,0.022380337,False,0
CBFA2T3,0.033834726,True,0
CBLN1,0.04944874,False,0
CBLN2,0.009564801,False,0
CBLN4,0.019756105,True,0
CBX6,0.031513143,True,0
CBX7,0.012820381,False,0
CCBE1,0.034697026,False,0
CCDC113,0.023824625,False,0
CCDC144NL,0.04621542,False,0
CCDC148,0.02026922,False,0
CCDC158,0.00027456094,False,0
CCDC170,0.020327438,False,0
CCDC175,0.018131688,False,0
CCDC178,0.0301336,False,0
CCDC184,0.04303626,False,0
CCDC192,0.0010193615,False,0
CCDC196,0.07949865,False,0
CCDC25,0.016156731,True,0
CCDC3,0.021479717,False,0
CCDC39,0.0239236,False,1
CCDC6,0.031061566,False,0
CCDC65,0.014100848,False,0
CCDC85A,0.015691714,True,0
CCK,0.04094299,True,0
CCNJL,0.074040525,False,0
CCNT2,0.015605014,True,0
CCNT2-AS1,0.01943668,False,0
CCNYL1,0.019262694,True,0
CCSER1,0.026684934,False,0
CD109,0.0029855883,True,0
CD163L1,0.017578252,True,0
CD36,0.012654514,False,0
CD40,7.8047364e-05,False,0
CD55,0.008861475,False,0
CD59,0.020629806,False,0
CDC14A,0.0058568367,False,0
CDC14B,0.002096681,True,0
CDH10,0.046597205,True,0
CDH11,0.022322197,True,0
CDH12,0.023504384,False,0
CDH18,0.008449949,True,0
CDH2,0.024780223,False,0
CDH20,0.0006592378,False,0
CDH22,0.007706193,False,0
CDH6,0.026384369,False,0
CDH7,0.042151503,False,0
CDH8,0.0005939247,False,0
CDH9,0.022985145,True,0
CDK14,0.041282985,False,0
CDK19,0.0023290396,False,0
CDK5R1,0.013370852,False,0
CDK6,0.051275156,False,0
CDK8,0.018287582,False,0
CDKN1A,0.007655037,False,0
CDO1,0.010796193,False,0
CDON,0.028127525,True,0
CDR2,0.045970958,False,0
CDYL,0.00050313456,False,0
CDYL2,0.014688339,False,0
CEBPA,0.0014556977,True,0
CEBPB,0.013508324,False,0
CEBPD,0.032682102,True,0
CEBPG,0.05179543,True,0
CELA2B,0.0006553159,False,0
CELF2-AS2,0.009978688,True,0
CELF4,0.013692588,False,0
CELF5,0.025010588,False,1
CELF6,0.021066131,False,0
CEMIP,0.022951212,False,0
CEMIP2,0.008211798,True,0
CEND1,0.015583003,True,0
CENPP,0.0554794,True,0
CEP126,0.00013811361,False,0
CEP85L,0.020548556,False,0
CERKL,0.013030053,False,0
CERS5,0.019455183,False,0
CERS6,0.0013143171,True,0
CES4A,0.02292669,False,0
CFAP161,0.017834041,True,1
CFAP299,0.019338962,False,0
CFAP54,0.021745505,True,0
CFAP58,0.02560794,False,0
CFAP73,0.0017690556,False,0
CHAMP1,0.0097579835,True,0
CHD1,0.027153747,False,0
CHD2,0.061214563,False,0
CHGA,0.006193918,False,0
CHGB,0.0024676905,False,0
CHL1,0.0015750097,True,0
CHN1,0.00094721606,False,0
CHRM2,0.051416546,False,0
CHRM3-AS2,0.029561648,True,0
CHRM5,0.0007889674,False,0
CHST8,1.341043e-07,False,0
CHSY1,0.026034618,False,0
CHSY3,0.002517901,True,0
CIC,0.029349538,True,0
CKB,0.01196,False,0
CLDN16,0.026457852,False,0
CLEC2L,0.0062382612,False,0
CLEC4D,0.0012852093,False,0
CLIC2,0.010258843,False,0
CLMP,1.5054725e-05,False,0
CLOCK,0.019417759,False,0
CLPSL1,0.057587612,False,0
CLSTN2,0.019324526,False,0
CLTB,0.022795325,False,0
CLVS2,0.023939652,False,0
CMAS,0.029184505,True,0
CMTM8,0.03870141,False,0
CNIH2,0.017568175,True,0
CNIH3,0.023814192,False,0
CNKSR3,0.0072099073,False,0
CNOT4,0.019575054,False,0
CNP,0.013557971,False,0
CNR1,0.017069286,True,0
CNTN3,0.0028971762,False,0
CNTN4,0.009568777,False,0
CNTN5,0.025957342,False,0
CNTN6,0.019904189,False,0
CNTNAP2,0.03307443,False,0
CNTNAP3B,0.04201982,False,0
CNTNAP5,0.0491252,True,0
COL12A1,0.01722807,False,0
COL19A1,0.056427773,False,0
COL21A1,0.0054692384,False,0
COL23A1,0.021157548,False,0
COL24A1,0.007290955,False,0
COL26A1,0.031012995,False,0
COL27A1,0.008927094,False,0
COL4A5,0.0014964254,False,0
COL5A2,0.022241568,False,0
COL6A1,0.010964063,False,0
COL8A1,0.009642291,False,0
COLEC10,0.0023584375,False,0
COLEC11,0.03965792,False,0
COMMD10,0.010740411,False,0
CORO2B,0.0043687928,True,0
COX10-AS1,0.0017446124,False,0
CPE,0.016045203,True,0
CPEB1,0.018849641,False,0
CPEB2,0.048791785,False,0
CPEB4,0.00049662567,False,0
CPLX1,0.06380959,False,0
CPNE4,0.021859184,False,0
CPNE5,0.06933593,False,0
CPNE6,0.022669172,False,0
CPNE7,0.021183072,True,0
CPNE8,0.000596501,False,0
CPXM2,0.012903967,False,0
CRADD,0.027661363,False,0
CRB1,0.0004652736,True,0
CREB1,0.020081788,True,0
CREB3,0.033641074,False,0
CREBL2,0.0034285414,False,0
CREG2,0.029927794,False,0
CREM,0.031481475,False,0
CRHR2,0.04167577,False,0
CRIM1,0.048083425,False,0
CRISPLD1,0.01311666,False,0
CRLF1,0.00012597795,True,0
CRYAB,0.00010225713,False,0
CRYBG3,0.010105669,True,1
CRYM,0.018907329,False,0
CSGALNACT1,0.026589911,False,0
CSMD2,0.031884722,False,1
CSMD3,0.019155726,False,0
CSRNP1,0.04406117,False,0
CST3,0.05805929,False,0
CSTF2,0.008364167,True,0
CTBP1,0.029346386,True,0
CTBP2,0.021978715,False,0
CTCF,0.026495129,False,0
CTCFL,0.00574285,False,0
CTNNA2,0.033861414,True,1
CTNNA3,0.018974738,False,0
CTNNB1,0.022627639,False,0
CTNNBIP1,0.0023829024,True,0
CTNND2,0.024562074,True,0
CTXN1,0.037433915,False,0
CTXN3,0.018422546,False,0
CUX1,0.016257284,False,0
CUX2,0.013223606,False,0
CXCL17,0.022557855,False,0
CXXC1,0.03905665,True,0
CXXC5,0.048227083,False,0
CYP1B1,0.028794805,False,0
CYP1B1-AS1,0.018534143,False,0
CYP26B1,0.034116033,False,0
DAB1,0.023515604,False,0
DACH1,0.019144682,False,0
DAND5,0.037507817,False,0
DAPK1,0.006560065,False,1
DAW1,0.035078127,False,0
DBP,0.011500633,False,0
DCBLD1,0.0093314685,False,0
DCDC1,0.02445169,False,0
DCDC2,0.0154762855,False,0
DCDC2C,0.008740842,False,0
DCHS2,0.023815727,False,0
DCLK1,0.025653347,False,0
DCLK3,0.007945937,True,0
DDT,0.0028892043,False,0
DDX20,0.018764779,False,1
DDX24,0.0019211236,False,0
DENND1B,0.027909271,True,0
DEPDC1B,0.01458994,False,0
DGCR8,0.034534335,False,0
DGKB,0.003922352,True,0
DGKD,0.002138774,False,0
DGKH,0.031027226,False,0
DGKI,0.0190513,False,0
DHDH,1.6937462e-05,False,0
DHX36,0.010729563,False,0
DIAPH2,0.018480603,False,0
DIDO1,0.0003121905,False,0
DIRAS2,0.019255886,False,0
DIRC3,0.0432133,False,0
DISP1,0.003908371,False,0
DKK2,0.046471674,False,0
DKK3,0.032087024,False,0
DLEU2,0.019728865,False,0
DLGAP1-AS5,0.05070021,False,0
DLX3,0.007675994,False,0
DLX4,0.0002854888,False,0
DMRT1,0.0274577,False,0
DMRTA2,0.021560643,False,0
DNAH14,0.024758141,False,0
DNAH5,0.020424547,False,0
DNAH6,0.0030708064,False,0
DNAJA4,0.024224399,True,0
DNAJB1,0.0029866928,False,0
DNAJC21,0.027502429,False,0
DNM1,0.024540678,False,0
DNMT1,0.017378986,True,0
DNMT3A,0.06439476,False,0
DNTTIP1,0.023041788,True,0
DOC2B,0.058849696,False,0
DOK6,0.026463699,False,0
DPF1,0.014396767,False,0
DPF2,0.030125447,False,0
DPF3,0.0002591617,False,0
DPH6,0.016962267,False,0
DPP4,0.0047596386,False,0
DPP6,0.034731038,True,0
DPY19L1,0.038279433,True,0
DPY19L3,0.014920304,False,0
DPYD,0.03486495,False,1
DPYD-AS1,0.0054313415,False,0
DPYS,0.019544432,False,0
DPYSL3,1.07246706e-07,False,0
DR1,0.02598382,False,0
DRAIC,0.02091461,False,0
DRD2,0.0077945073,True,0
DRGX,0.024135053,False,0
DSCAM,0.007039166,True,1
DSCAS,0.024992732,True,0
DSTN,0.0125062475,False,0
DTD1,0.00068464066,False,0
DTNA,0.022631377,False,0
DUS3L,0.021752343,False,0
DUSP1,0.019332515,False,0
DUSP2,0.005148481,False,0
DUSP22,0.037997976,False,0
DUSP26,0.017290417,False,0
DUSP5,0.002604597,False,0
DUSP6,0.004216665,False,0
DYNLL1,0.017365344,False,0
DYRK3,0.020572422,False,1
DYSF,0.019034732,False,0
E2F3,0.01618353,False,0
E2F4,0.008686159,False,0
E2F5,0.017681496,True,0
E2F6,0.00096185977,False,0
EDIL3,0.05283767,False,0
EEF1A2,0.01945269,False,0
EEF1B2,0.06679422,True,0
EFCAB2,0.030389603,False,0
EFCAB3,0.024039868,False,0
