gene,score,validation,label
AAGAB,3.2372955e-05,False,0
AATF,0.0014472007,False,0
ABCA1,2.5266518e-05,False,0
ABCA3,0.0064777355,False,0
ABCA4,0.0005100916,False,0
ABHD17B,0.018601805,False,0
ABHD5,0.015903706,True,0
ABL1,0.030870559,False,0
ACOXL,0.032350417,True,0
ACTB,0.00043386404,False,0
ACTG1,0.0023878147,True,0
ACTN2,9.2584225e-05,False,0
ACVR1,0.017475186,False,0
ACVR1C,0.040793814,False,0
ADAM23,0.07986351,True,0
ADAMTS3,0.04801379,False,0
ADARB1,0.018072234,False,0
ADARB2,0.011638279,True,0
ADCY8,0.052673474,False,0
ADD3,0.009417272,False,0
ADD3-AS1,0.019610101,True,0
ADGRG7,0.000708266,False,0
ADGRL2,0.03546585,False,0
ADGRL3,0.03266857,False,0
ADNP,0.0008765849,False,0
ADNP2,0.062885694,False,0
AFF4,0.00020915912,True,0
AHCTF1,0.03453845,False,0
AHDC1,0.06183066,False,1
AHR,0.018370772,False,0
AJAP1,0.04940788,False,0
AK5,0.053151086,False,0
AKAIN1,0.05733326,False,0
AKAP13,0.014634188,True,0
ALCAM,0.024085123,False,1
ALDH1A2,0.06571389,True,0
ALK,0.06570256,False,0
ALOXE3,0.010318185,False,0
AMMECR1,0.041212264,False,0
ANAPC13,0.0033124732,False,0
ANAPC15,0.12560245,True,0
ANK1,0.04640409,False,0
ANKRD30B,0.020328065,False,0
ANKRD34B,1.436152e-07,False,0
ANKRD50,0.00950159,False,0
ANKRD55,0.014462389,False,0
ANO6,0.009489118,False,0
ANTXR1,6.32552e-06,False,0
ANXA11,0.029976966,True,0
ANXA4,0.016799977,False,0
AOAH,0.0037102588,False,0
AP1S2,0.0151193645,False,0
APBB1IP,0.025693152,True,0
APBB2,0.0016145948,False,0
APLF,0.0014956965,False,0
APLP2,2.365792e-06,False,0
ARAP2,0.037663154,False,0
ARC,0.0041136704,False,0
ARHGAP10,0.00016824286,False,0
ARHGAP15,0.04873101,False,0
ARHGAP24,0.029837707,False,0
ARHGAP42,0.06280605,False,0
ARHGAP6,0.013397355,False,0
ARHGEF28,0.0034620874,False,0
ARHGEF37,0.025962977,False,0
ARHGEF6,0.038217638,False,0
ARID3A,0.06271688,False,0
ARID3B,0.018583758,False,0
ARID5B,0.060675707,False,0
ARL4C,0.0013247756,False,0
ARL5C,0.00030231208,False,0
ARL6,0.042888302,False,0
ARL6IP1,0.0021406543,False,0
ARMC2,0.06917569,False,0
ARNT2,0.015736563,False,1
ARNTL,0.034908284,False,0
ARNTL2,0.061218962,False,0
ARPP21,0.0007329925,False,0
ARSB,0.00010654279,False,0
ARSG,0.055705637,True,0
ARX,0.0022328638,False,0
ASAP1,0.025287706,False,0
ASCL1,0.01535846,True,0
ASIC4,1.2296556e-05,False,0
ASXL3,0.02543642,False,0
ATF2,0.0051442333,True,0
ATF3,0.00026334325,False,0
ATG10,0.027347872,False,0
ATP1B3,0.015445313,False,0
ATP2B4,0.055804033,False,1
ATP6V1D,0.0039246497,False,0
ATP6V1E2,0.007187286,False,0
ATP6V1G1,1.2828178e-06,False,0
ATP8B1,0.0028429627,False,0
ATRNL1,0.044139165,True,0
ATXN7L3B,0.00416737,False,0
AZIN1-AS1,0.08235879,False,0
B3GLCT,0.05710174,False,0
B4GALT6,0.016934091,False,0
BACH1,0.051406205,False,0
BACH2,0.00017333511,False,0
BASP1,0.004191602,False,0
BAZ1A,0.04571984,True,0
BBX,0.01657477,False,0
BCL11A,0.009668924,False,0
BCL11B,0.014250243,True,0
BCL6,0.030104347,True,0
BCLAF1,0.00062461285,False,0
BEX2,0.007686858,True,0
BEX3,0.0030106653,False,0
BEX4,0.00034735524,False,0
BEX5,1.0759593e-05,False,0
BHLHE40,0.007858457,False,0
BHLHE41,0.010451146,False,0
BMPER,0.08275292,True,0
BPTF,0.048305023,False,0
BRF1,0.0061854054,False,0
BRINP2,0.008613222,False,0
BRINP3,0.0026527226,False,0
BRK1,0.008674235,False,0
BTBD16,6.091161e-07,False,0
BTBD9,0.04354877,False,0
BUB1,2.0708525e-08,False,0
BUB1B,0.01742895,False,0
C11orf52,1.6983464e-05,False,0
C11orf65,0.02467096,False,0
C16orf95,0.098196834,False,0
C19orf25,0.0025139137,True,0
C2CD2,0.039358858,False,0
C4orf51,0.010762685,False,0
C6,0.0016068415,False,0
CA2,0.0021853652,False,0
CA3,0.0019270866,False,0
CACHD1,0.010056251,True,0
CACNA1D,0.0006902441,False,0
CACNA1E,0.05050999,False,0
CACNA2D1,0.04165372,False,0
CACNG4,0.028532645,True,0
CADM1,0.0100801755,True,0
CADPS,0.0006918141,False,0
CADPS2,0.000941817,False,0
CALB1,0.042534735,False,0
CALM1,0.003754659,False,0
CALN1,0.027762525,False,0
CALY,0.0016980198,False,0
CAMK2D,0.0047212094,False,0
CAMK2N1,0.0008688114,False,0
CAMK2N2,4.475609e-05,False,0
CASC15,0.002740229,False,0
CAST,0.048385542,False,0
CBFA2T2,0.019100593,False,0
CBFA2T3,1.8017647e-05,False,0
CBLN2,0.01715932,False,0
CCBE1,0.029699394,True,0
CCDC184,0.013272688,False,0
CCDC25,0.08893793,False,0
CCK,0.0021672002,False,0
CCNG2,2.5015038e-13,False,0
CCNI,0.0029224465,True,0
CCNT2,0.022922523,True,0
CCSER1,0.00013263254,False,0
CD163L1,0.010939442,False,0
CD24,0.04287507,False,0
CD59,0.002047676,True,0
CD81,0.0017013362,False,0
CD8A,0.03607968,False,0
CD9,6.499928e-05,True,0
CDC14B,0.00074754545,True,0
CDC5L,0.011878968,False,0
CDH11,0.0035378877,False,0
CDH2,0.027308604,False,0
CDH20,0.0024140726,False,0
CDH4,0.043878563,False,0
CDH7,0.052178454,False,0
CDH8,0.0007657286,False,0
CDK14,0.0008891607,False,0
CDK6,9.5695095e-06,False,0
CDKL1,0.09241133,False,0
CDKN2B-AS1,0.03763846,False,0
CEBPA,3.4647373e-06,False,0
CEBPB,0.0005362383,False,0
CELF2,0.06542667,True,1
CELF4,0.007415474,False,0
CELF5,0.088422686,True,1
CEMIP,0.05901401,True,0
CERS2,0.00087892555,False,0
CERS3,0.0327058,False,0
CFAP46,0.0024484545,False,0
CFL2,5.3403102e-05,False,0
CHAMP1,0.00083047507,True,0
CHD1,0.0029796467,True,0
CHGA,0.0002016909,False,0
CHGB,0.0025592027,False,0
CHL1,0.0018385288,False,0
CHN1,0.021274026,False,0
CHRM2,0.03190304,True,0
CHRM5,0.0642808,False,0
CHST9,0.051349156,True,0
CHSY3,0.053474363,False,0
CHURC1,1.1425744e-05,False,0
CIB1,0.03227968,True,0
CLEC11A,0.04178606,True,0
CLEC19A,0.0011858287,True,0
CLIC4,0.032271583,False,0
CLOCK,0.005025745,False,0
CLTB,0.026084285,True,0
CLU,0.0044787265,False,0
CMTM8,0.05090406,False,0
CNKSR2,0.0062091085,False,0
CNOT3,1.8529734e-06,False,0
CNOT4,0.0008150665,False,0
CNR1,0.0009107061,False,0
CNTN4,0.05212072,False,0
CNTN4-AS2,0.02213372,True,0
CNTNAP3,0.0028181109,False,0
CNTNAP3B,0.016744036,False,0
COBLL1,0.048459627,True,0
COL19A1,0.0018449577,True,0
COL23A1,0.001420424,False,0
COL4A5,0.008390837,False,0
COL9A1,0.0007525998,False,0
CPE,0.0019102806,False,0
CPED1,0.0027449632,False,0
CPM,0.0869067,False,0
CPNE2,0.05125636,True,0
CPNE7,0.03544262,False,0
CPQ,0.05500224,False,0
CPXM2,0.00017694663,False,0
CREB1,0.034967855,False,0
CREB5,2.7187765e-05,False,0
CREBL2,7.931537e-05,False,0
CREG2,0.0021006481,True,0
CREM,0.069160886,False,0
CRIM1,0.054219734,False,0
CRISPLD1,0.05071294,False,0
CRTAC1,0.022727668,False,0
CRYBG3,0.001644768,False,1
CSF1R,0.00033686848,False,0
CSGALNACT1,0.022154901,True,0
CSMD1,0.063076116,False,0
CSTF2,0.037179638,False,0
CTBP2,0.00038229098,False,0
CTCF,0.035800647,False,0
CTNNA2,0.049923036,False,1
CTNNB1,0.003089965,False,0
CTNND2,0.013104417,False,0
CTSC,0.04725988,False,0
CTSS,0.011822408,False,0
CUX1,0.0010976687,False,0
CUX2,0.042611957,True,0
CXCL14,0.052937936,True,0
CXXC5,0.0007459127,False,0
DAB1,0.06000988,False,0
DACH1,0.03498242,False,0
DAPK1,0.04141055,False,1
DBNDD2,0.01767758,False,0
DBP,0.02278301,False,0
DBX2,0.006430878,False,0
DCBLD2,0.108234175,False,0
DCHS2,0.0007350056,False,0
DCN,0.00040969186,False,0
DCX,0.0659284,False,0
DDIT3,0.06471281,True,0
DDR2,6.512714e-06,False,0
DDT,0.000111195564,False,0
DEK,0.0015458182,True,0
DENND2C,0.06497738,True,0
DGKH,0.012617213,False,0
DLEU2,0.021863058,False,0
DLG1,0.050154176,False,1
DLGAP2,1.6568089e-06,False,0
DLX1,0.0006528685,False,0
DLX2,0.07240249,False,0
DLX5,2.9194649e-05,False,0
DLX6,0.00043116332,False,0
DLX6-AS1,0.01905721,True,0
DNAH14,0.023456454,True,0
DNAH17,0.022187931,False,0
DNAJC21,1.5533466e-05,False,0
DNAJC8,0.009444847,True,0
DNM3,0.0041680685,False,0
DNTTIP1,0.0067566056,True,0
DOC2B,0.0020367769,False,0
DOCK9,0.00027263246,False,0
DOK3,0.006829839,False,0
DOK6,0.026230723,False,0
DPH6,0.06033325,False,0
DPP10,0.050031178,True,0
DPP10-AS1,0.092630774,False,0
DPP6,4.2455533e-05,True,0
DPY19L1,0.03207365,False,0
DPYD,0.01094308,False,1
DPYSL5,0.0068087378,False,0
DR1,0.015634017,False,0
DRD3,5.444598e-06,False,0
DRGX,0.00504432,False,0
DSE,0.032111723,True,0
DSEL,0.09683226,False,0
DSP,0.07251654,True,0
DTNA,5.9850016e-05,True,0
DUSP1,0.001152331,False,0
DUSP16,0.0379274,True,0
DUSP4,0.0023932185,False,0
E2F4,0.020438394,True,0
E2F5,0.018433703,False,0
E2F8,6.6672066e-05,False,0
EBF1,0.04781809,False,0
ECE2,0.015593876,False,0
EDIL3,0.029470881,False,0
EDNRA,0.0016934115,False,0
EEF1A1,0.0029456315,False,0
EEF1A2,0.005099642,False,0
EFCAB2,0.010049333,False,0
EFHC2,7.012021e-05,True,0
EFNA5,0.055894285,False,0
EFNB2,0.00063876604,False,0
EGR1,0.00012214662,False,0
EGR3,0.0012004441,False,0
EID1,0.0031833735,False,0
EID2B,0.037359387,False,0
EIF1,0.016455112,True,0
EIF1AX,0.00063730334,False,0
EIF4A2,0.004207295,False,0
EIF4G2,0.023788098,False,0
ELAVL2,6.9095254e-06,False,0
ELAVL4,0.003213555,False,0
ELF2,0.0010206705,True,0
ELF5,0.027808085,False,0
ELFN1,0.033904027,False,0
ELK4,0.07027905,False,0
ELOVL6,0.022653852,False,0
ELOVL7,0.0012471974,False,0
EMB,0.02251411,False,0
ENC1,0.031721186,False,0
ENOSF1,0.02099546,True,0
ENOX1,0.00032654597,False,0
ENPEP,0.04648139,False,0
ENPP3,0.035204414,False,0
EPAS1,7.0346716e-05,False,0
EPB41,0.047460306,False,1
EPB41L4A,0.087043546,False,0
EPHA4,0.077122204,False,0
EPHA5,0.08285845,False,0
EPHA6,0.049825795,False,0
EPHA7,0.026309518,False,0
EPHB1,0.029331082,False,0
EPHB6,0.0027839085,False,0
EPS8,0.0009964359,False,0
ERBB3,0.00050921424,True,0
ERG,0.02012151,False,0
ERMN,4.667108e-06,False,0
ESR2,0.038836602,True,1
ESRP1,0.029392716,False,0
ESRRA,0.047201008,False,0
ESRRG,0.041648563,False,0
ESYT3,0.0009358806,False,0
ETS2,0.010808059,False,0
ETV3,0.01281938,False,0
ETV5,0.0014645777,False,0
EVC,0.0044937716,False,0
EXO1,0.010487394,False,0
EZH2,0.0035602464,False,0
EZR,0.033359427,False,0
FAM102B,0.00942182,False,0
FAM107B,0.006465621,False,0
FAM110B,0.09199876,False,0
FAM114A1,0.00046925826,False,0
FAM126A,0.01141898,False,0
FAM135B,0.06951518,False,0
FAM153A,0.045950048,False,0
FAM153B,0.0027195157,False,0
FAM160A1,0.010569691,False,0
FAM162B,0.012521857,False,0
FAM167A,0.029966816,False,0
FAM189A1,0.022095777,False,0
FAM189A2,0.050620418,False,1
FAM222A,0.0039562457,False,0
FAM230C,0.025001995,False,0
FAM78B,0.006010341,False,0
FANK1,0.019863024,True,0
FAR2,0.002013629,False,0
FAT1,0.01656391,False,0
FAT4,0.06611319,False,0
FAU,0.0012322413,False,0
FAXDC2,0.0018917359,False,0
FBLN2,0.010117595,False,0
FBN2,0.032305524,False,0
FBN3,0.00010112425,False,0
FBXL7,0.0007557599,False,0
FBXO32,0.001268522,False,0
FBXO5,0.012859456,False,0
FBXO8,0.019426102,False,0
FBXW7,0.0072489562,False,0
FEZ1,0.000776438,False,0
FGD3,0.0026739696,False,0
FGF1,0.053213652,True,0
FGF2,1.13426175e-08,False,0
FGFR2,7.881879e-05,False,0
FHL1,0.004840377,False,0
FIGN,0.056994762,True,0
FILIP1L,0.003767126,False,0
FKBP5,0.059917435,False,0
FLI1,6.359647e-06,False,0
FLRT2,0.032380193,True,0
FLRT3,0.04144098,True,0
FMN1,0.0004825127,False,0
FNDC3A,0.0054014353,False,0
FNDC3B,0.055510014,False,0
FOS,0.0004454398,True,0
FOSB,0.0001310308,True,0
FOSL1,0.02040982,False,0
FOXE3,0.0058084168,True,0
