gene,score,validation,label
A1CF,0.09751538,False,-1
A2ML1,0.6459434,False,-1
AACS,0.40782163,False,-1
ABCA3,0.40730938,False,-1
ABCA5,0.30850634,False,-1
ABCB1,0.18042801,True,0
ABCC3,0.8765067,False,-1
ABCF2,0.14898446,False,-1
ABCG2,0.09842603,False,0
ABHD12B,0.08278101,False,-1
ABHD17B,0.11489395,False,-1
ABHD17C,0.578827,False,-1
ABHD2,0.45360622,False,-1
ABI2,0.4239396,False,0
ABL1,0.3509295,False,-1
ABLIM1,0.30189997,False,-1
ABLIM3,0.9996146,False,-1
ACAN,0.20903471,False,-1
ACAP3,0.22912262,False,-1
ACKR3,0.35128856,False,-1
ACSBG1,0.1847502,False,-1
ACTA2,0.5715184,False,-1
ACTG1,0.078829154,False,-1
ACTN1,0.14660238,False,-1
ACTN2,0.37384742,False,-1
ACTN4,0.11933304,False,-1
ACTR3B,0.16147397,False,-1
ACVR1B,0.21514869,False,-1
ACVR1C,0.3671485,False,0
ADA,0.35778096,False,-1
ADAM11,0.27453083,False,-1
ADAM22,0.158288,False,-1
ADAM23,0.31259823,False,0
ADAM32,0.29574785,False,-1
ADAMTS1,0.1715193,False,-1
ADAMTS12,0.2526509,False,-1
ADAMTS17,0.8378384,False,-1
ADAMTS18,0.36610413,False,-1
ADAMTS20,0.24640532,False,-1
ADAMTS3,0.23564123,False,-1
ADAMTS5,0.13411094,False,-1
ADAMTS6,0.09634518,False,-1
ADAMTS9-AS2,0.24453147,False,-1
ADAMTSL3,0.2560554,False,-1
ADAMTSL4-AS1,0.055916015,False,-1
ADARB1,0.45141935,False,-1
ADCY1,0.294769,False,0
ADCY2,0.39599276,False,-1
ADCY3,0.17243077,False,-1
ADCY5,0.13010891,False,-1
ADCY8,0.5036122,False,-1
ADCY9,0.35151526,False,-1
ADD2,0.22737212,False,-1
ADD3,0.08859317,False,0
ADD3-AS1,0.15263057,False,0
ADGRA1,0.41606018,False,-1
ADGRA2,0.29869547,False,-1
ADGRA3,0.25392988,False,-1
ADGRB2,0.1303117,False,-1
ADGRB3,0.46725744,False,-1
ADGRE2,0.18963663,False,-1
ADGRF5,0.22013466,False,0
ADGRG3,0.23397647,False,-1
ADGRL1,0.17148043,True,1
ADGRL2,0.46837863,False,-1
ADGRL3,0.3149936,False,0
ADGRV1,0.1015471,True,0
ADNP,0.9725902,False,1
ADNP2,0.19640343,False,-1
ADRA1A,0.2601174,False,0
ADTRP,0.72771096,False,-1
AFAP1L2,0.24772167,False,-1
AFF2,0.37906852,True,1
AFF3,0.4166399,False,-1
AFF4,0.34297192,False,-1
AGAP1,0.099385634,False,-1
AGAP2,0.04765257,False,-1
AGBL3,0.29270253,False,-1
AGGF1,0.04307837,False,-1
AGPAT1,0.076552466,False,-1
AGRN,0.26921552,False,-1
AGTPBP1,0.03703657,False,-1
AHCTF1,0.99448544,False,-1
AHCYL2,0.3105011,False,-1
AHDC1,0.3523261,True,1
AHI1,0.24998352,False,1
AHR,0.24802814,False,0
AHRR,0.35156012,False,-1
AIG1,0.14360295,False,-1
AIRE,0.08834293,False,-1
AK5,0.4462467,False,0
AKAP12,0.64175165,False,-1
AKAP5,0.08327514,False,-1
AKR1A1,0.04652324,False,-1
AKT3,0.3401671,False,-1
ALCAM,0.3704041,False,-1
ALDH1A2,0.27881724,False,-1
ALK,0.22517213,False,-1
ALLC,0.13776805,False,-1
ALPL,0.5377946,False,-1
ALS2,0.34239525,False,-1
ALX3,0.15365429,False,0
ALX4,0.03239628,False,-1
AMER2,0.51615334,False,-1
AMIGO1,0.09248359,False,-1
AMIGO2,0.089370586,False,-1
AMMECR1,0.23359941,False,0
