gene,score,validation,label
A2M,0.0055369656,False,0
ABCA8,0.018752942,False,-1
ABCB1,0.020541282,False,0
ABCC4,0.002117347,False,-1
ABCG2,0.023295298,True,0
ABI3BP,0.004266757,False,-1
ABL1,0.29616395,False,-1
ACKR3,6.0433456e-05,False,-1
ACSBG1,0.015550099,False,-1
ACSL5,0.20387551,False,-1
ACTA2,0.2056585,False,-1
ACTC1,0.03516771,False,-1
ACVR1,0.08413154,False,-1
ADAM12,0.05221153,False,-1
ADAM28,0.004740433,False,0
ADAM33,0.000961485,False,-1
ADAMTS16,0.059009187,False,-1
ADAMTS17,0.003052108,False,0
ADAMTS20,0.005541962,False,0
ADAMTS3,0.045765612,False,0
ADAMTS6,0.012521987,False,0
ADAMTS9-AS2,0.05079424,False,-1
ADARB1,0.24610087,False,-1
ADARB2,0.0003647357,False,0
ADARB2-AS1,0.013682964,False,-1
ADCY8,0.01651324,False,-1
ADCYAP1R1,0.019748794,False,-1
ADD3,0.04149196,False,1
ADGRF5,0.10308028,False,-1
ADGRL2,0.14906546,False,-1
ADNP,0.018626563,False,-1
ADNP2,0.17690241,False,-1
ADRA1A,0.05962031,False,-1
AFAP1,3.1723674e-05,False,-1
AFAP1L1,0.18711853,False,-1
AFF1,0.16161753,False,-1
AFF2,0.00094495626,False,-1
AFF4,0.053620934,False,0
AGBL3,0.025860207,False,-1
AHCTF1,0.066026464,False,-1
AHDC1,0.0007766548,False,-1
AHR,0.089657284,True,0
AHRR,0.15678294,False,-1
AIM2,0.0063103507,False,-1
AK5,0.07334898,False,-1
AKAIN1,0.0068458687,False,-1
AKAP13,0.064606376,False,-1
AKR1C2,0.0036310204,False,-1
ALCAM,0.010089591,False,-1
ALK,0.0010810868,False,-1
ALOX5,0.03389673,False,-1
AMZ1,0.00021198881,False,-1
ANK1,0.00023014612,False,-1
ANKFN1,0.05238699,False,-1
ANKRD18A,0.011593723,False,-1
ANKRD22,0.045328494,False,0
ANKRD30B,0.09235344,False,-1
ANKRD30BL,0.040851556,False,-1
ANKRD34C-AS1,0.00083442446,False,-1
ANKRD37,0.26912373,False,-1
ANKRD44,0.20399308,False,-1
ANKRD50,0.09991164,False,-1
ANKRD55,0.09384203,False,-1
ANKRD6,0.1095246,False,-1
ANKRD62P1-PARP4P3,0.15213463,False,-1
ANO1,0.0008709245,False,-1
ANO3,0.044029586,False,-1
ANO6,0.14092751,False,-1
ANOS1,0.0017996999,False,-1
ANTXR1,0.2882936,False,-1
ANXA2,0.002343128,False,-1
ANXA4,0.021771085,False,-1
AP1S2,0.010770607,False,-1
APBB1IP,0.0027277365,False,0
APCDD1,0.005051076,False,-1
APLN,0.14920205,False,0
APOC2,0.08198346,False,-1
APOE,0.002300316,False,-1
APOL6,0.0016804041,False,-1
AREG,0.008034727,False,-1
ARFGAP1,0.00012052109,False,-1
ARHGAP12,0.05630766,False,0
ARHGAP18,0.002052411,False,-1
ARHGAP20,0.17962119,False,-1
ARHGAP24,0.008303565,True,0
ARHGAP26,0.05302677,False,-1
ARHGAP29,0.10237335,False,-1
ARHGAP31,0.018706422,False,-1
ARHGAP42,0.00871068,False,-1
ARHGEF26,0.17358373,False,-1
ARHGEF28,0.2417288,False,-1
ARHGEF40,0.004872797,False,0
ARHGEF6,0.10443962,False,-1
ARID3A,0.00031677104,False,-1
ARID3B,0.14268196,False,-1
ARID5B,0.12877809,False,-1
ARMC4,0.02818702,False,-1
ARNT2,0.13139246,False,-1
ARNTL,0.090785466,False,-1
ARSI,1.8032224e-05,False,-1
ARSJ,0.0009854827,True,0
ARX,0.0038833641,False,0
ASAP1,0.045712788,False,-1
ASB5,0.010960963,False,0
ASCL1,0.25456974,False,-1
ASCL2,0.0052683717,False,-1
ASPA,0.015520535,False,-1
ASS1,1.2691268e-07,False,-1
ATF2,0.0028523293,False,-1
ATF3,5.4149867e-05,False,-1
ATF6,0.033488944,False,-1
ATF7,0.09048724,False,-1
ATF7IP2,0.0009302576,False,-1
ATP10A,0.0036667557,False,0
ATP10B,0.00032361105,False,-1
ATP1A2,7.629846e-05,False,-1
ATP1B3,0.20480613,False,-1
ATP2B4,0.03428083,False,-1
ATP8B1,0.0058535724,False,-1
ATXN1,0.1772449,False,-1
AURKA,0.011905129,False,-1
AUTS2,0.12449948,False,-1
AVPR1A,1.2309768e-05,False,-1
BACH1,0.20584323,False,-1
BACH2,0.0044185314,False,-1
BAZ1A,0.07499139,False,-1
BBX,0.015540007,False,-1
BCAR3,0.2633917,False,-1
BCAS2,0.021242678,False,-1
BCL11A,0.009864205,False,-1
BCL11B,0.09092086,False,-1
BCL3,0.004490213,False,-1
BCL6,0.30590844,False,-1
BCL6B,0.0024281533,False,0
BCLAF1,0.07921151,False,0
BDNF,0.3754974,False,1
BEND4,0.044922046,False,-1
BEND6,0.027404461,False,0
BEST3,0.0005414598,False,-1
BHLHE40-AS1,0.014451349,False,-1
BHLHE41,7.2012726e-06,False,-1
BICC1,0.020819204,False,-1
BLNK,0.014392958,False,0
BMP2K,0.1447484,False,-1
BMP7,0.04217835,False,-1
BMPER,0.15898973,False,-1
BMPR1B,0.05389562,False,-1
BNC2,0.00058290944,True,0
BOC,0.058951557,False,-1
BOK-AS1,0.0056747734,False,-1
BOLL,0.04363674,False,-1
BPTF,0.015447395,False,-1
BRCA1,0.06545233,False,-1
BRCA2,0.06981254,False,-1
BRF1,0.09696172,False,-1
BRINP3,0.17419599,False,-1
BST1,0.00013503691,False,-1
BTBD11,0.004172358,False,0
BTG2,2.8483802e-05,False,-1
BTG4,0.021957448,False,-1
BTNL9,0.1568642,False,-1
BVES,0.07952567,False,-1
BVES-AS1,0.0034686723,False,-1
C10orf90,0.0014784449,False,-1
C11orf53,0.065313734,False,-1
C16orf95,0.000115543466,False,-1
C17orf100,0.045322306,False,-1
C1QL1,0.00029143813,False,-1
C1QTNF1,0.022737818,False,-1
C21orf91,0.041581534,False,-1
C3,0.002392993,False,0
C3orf67,0.18760759,False,-1
C3orf67-AS1,0.24143668,False,-1
C3orf70,0.026001303,False,-1
C5orf30,0.042542968,False,-1
C5orf47,0.09482164,False,-1
C6orf141,0.027382711,False,-1
C7,0.20126277,False,-1
C8A,0.18916816,False,-1
C8orf34,0.010817326,False,-1
C8orf34-AS1,0.32809862,False,-1
CA13,0.0008234955,False,-1
CA2,9.7305536e-05,False,-1
CA3,0.09336219,False,-1
CA3-AS1,0.009806826,False,-1
CA8,1.6048336e-05,False,-1
CACHD1,0.049019486,False,0
CACNA1E,0.24851082,False,-1
CACNA2D2,0.003195518,False,-1
CACNA2D3,0.005612548,False,-1
CACNB2,0.010272927,False,-1
CACNG3,0.2297752,False,-1
CACNG4,0.027723793,False,0
CADM1,0.0030886144,True,0
CADPS,0.0443819,False,-1
CADPS2,0.09450112,False,-1
CALB1,0.0031896345,False,-1
CALB2,0.0012338173,False,-1
CAMK2A,0.023336662,False,-1
CAMK2D,0.00017019438,False,-1
CAPN6,0.0010965943,False,-1
CARF,0.17927024,False,-1
CARMN,0.0001422904,False,-1
