gene,score,validation,label
A2M,0.0020624136,False,-1
A2ML1,0.014295392,False,0
AADACL2-AS1,0.020673495,False,-1
AAMDC,0.16666988,False,-1
AATF,0.0022707745,False,-1
ABCA8,0.16266273,False,-1
ABCB11,0.05015663,False,-1
ABCB4,0.0040265378,False,-1
ABCC11,0.059629835,False,0
ABCC4,0.0006094113,False,-1
ABCF2,0.14467482,False,-1
ABCG2,0.018979972,False,-1
ABCG4,0.14669034,False,-1
ABHD17B,0.006338543,False,0
ABHD17C,0.086902305,False,-1
ABHD18,0.009336006,False,-1
ABHD5,0.04784971,False,-1
ABI3BP,0.004373856,True,0
ABL1,0.029364076,False,0
ABLIM1,0.06946962,False,-1
ABLIM2,0.085366465,False,-1
ABTB2,0.19537666,False,-1
ACAN,0.020138334,False,-1
ACAT2,0.0070184786,True,0
ACER2,0.043584097,False,-1
ACKR3,0.011797467,False,-1
ACKR4,0.07732686,False,-1
ACSL3,0.0041723717,False,-1
ACSL4,0.051048033,False,-1
ACTA2,0.028943833,False,-1
ACTB,0.057073284,False,-1
ACTL6A,0.048707448,True,0
ACTN1,0.0013994443,False,-1
ACTN2,0.08443691,False,0
ACTR2,0.010920257,False,-1
ACTR3,0.007457021,False,-1
ACTR3C,0.08102131,False,-1
ACTR5,0.015460597,False,-1
ACVR1,0.03785552,False,0
ACVR1B,0.027245004,False,-1
ACVR1C,0.060197752,False,-1
ACYP2,0.025803132,False,-1
ADAM12,0.020494163,False,-1
ADAM23,0.016086133,False,0
ADAM28,0.0051807645,False,-1
ADAMTS1,0.080833696,False,-1
ADAMTS12,0.06371305,False,-1
ADAMTS17,1.31985835e-05,False,-1
ADAMTS20,0.16972052,False,-1
ADAMTS3,0.03160952,False,0
ADAMTS5,0.014200802,False,-1
ADAMTS9,0.0604008,False,0
ADAMTSL1,0.044473868,False,-1
ADARB1,0.020009423,False,-1
ADARB2,0.0005240614,False,-1
ADCY1,0.119781636,False,-1
ADCY2,0.08614801,False,1
ADCY9,0.07661816,False,-1
ADCYAP1R1,0.14229624,False,-1
ADD2,0.1260225,False,-1
ADD3,0.0052614487,True,1
ADD3-AS1,0.07979371,False,-1
ADGB,0.11005177,False,-1
ADGRF1,0.01868902,False,-1
ADGRG7,0.025505034,False,-1
ADGRL2,0.017103024,False,-1
ADGRL3,0.046355605,False,-1
ADGRV1,0.035022464,False,-1
ADIPOR2,0.050626904,False,-1
ADK,0.015372053,True,0
ADNP,0.091290504,False,-1
ADNP2,0.0011713621,False,-1
ADO,0.015238722,False,-1
ADRA1A,0.035108924,False,-1
AEBP2,0.009159759,False,-1
AFAP1,0.03514557,False,-1
AFAP1L2,0.02621572,False,-1
AFF3,0.05146483,False,-1
AFF4,0.023361597,False,-1
AGAP1,1.4107756e-05,False,-1
AGAP2,0.009946924,False,-1
AGBL1,0.016520437,False,-1
AGBL4,0.022946315,False,-1
AGR2,0.042548776,False,-1
AHCTF1,0.006553325,False,-1
AHR,0.13200802,False,-1
AHRR,0.0018924898,False,-1
AIF1L,0.0900936,False,-1
AIG1,0.14433056,False,-1
AK5,0.010740299,False,-1
AKAP12,0.078134544,False,-1
AKAP5,0.011146189,False,-1
AKR1C2,0.045017563,False,-1
ALCAM,0.015600765,False,-1
ALDH1A1,0.0060697324,False,-1
ALDH1A2,0.009906414,False,-1
ALK,0.15385514,False,0
ALOX5,0.001196892,False,-1
ALS2,0.05145939,False,0
AMD1,0.04426053,False,-1
AMH,0.07166019,False,-1
AMMECR1,0.020685239,False,-1
AMOT,0.038852375,False,-1
AMPD3,0.03152453,False,-1
AMPH,0.02115477,False,0
ANGPT2,0.0050050006,False,-1
ANGPTL2,0.054460697,False,-1
ANGPTL4,0.0081563955,False,-1
ANHX,5.581956e-07,False,-1
ANK1,0.013870011,False,-1
ANKRD29,0.036805827,False,-1
ANKRD30B,0.051887583,False,-1
ANKRD30BL,0.02406216,False,0
ANKRD34B,0.055765793,False,-1
ANKRD46,0.02750817,False,-1
ANKRD50,0.14552706,True,0
ANKRD6,0.19274867,False,-1
ANKRD7,0.01814922,False,-1
ANKS6,0.1769181,False,-1
ANKUB1,0.03860311,False,-1
ANLN,0.025327591,False,0
ANO10,0.05446875,False,-1
ANO2,0.050293084,False,-1
ANO4,0.09641109,False,-1
ANO5,0.0018009021,False,-1
ANO6,0.05608636,False,0
ANOS1,0.038847707,False,-1
ANTXR2,0.10264761,False,-1
ANXA1,0.06242605,False,-1
ANXA11,0.05489653,False,-1
ANXA4,0.006245931,False,-1
AOAH,0.0030634606,False,-1
AP1B1,0.0020303396,False,-1
AP1S2,0.058665153,False,-1
AP3S1,0.008208211,False,-1
AP3S2,0.05432372,False,0
APAF1,0.005398102,False,0
APBA1,1.3781242e-05,False,-1
APBB1IP,0.0067426004,False,-1
APEX2,0.09633487,False,-1
APOL2,0.0015651264,False,0
APOL3,0.07503639,False,-1
APOL6,0.02461176,False,0
APOLD1,0.02033945,False,0
APP,0.05399264,False,-1
AQP4,0.118467934,False,-1
AR,0.0553443,False,-1
ARAP2,2.05011e-05,False,-1
ARC,0.069140755,False,-1
ARF3,0.014550969,False,-1
ARFGAP1,5.5136992e-05,False,0
ARHGAP10,0.04223994,False,-1
ARHGAP11A,0.017849615,False,-1
ARHGAP11B,0.03255856,False,0
ARHGAP15,0.00028264808,False,-1
ARHGAP20,0.16553082,False,-1
ARHGAP24,0.019468583,False,-1
ARHGAP25,0.009511706,False,-1
ARHGAP26,0.13834,False,-1
ARHGAP29,0.036136743,False,-1
ARHGAP31,2.3938435e-05,False,-1
ARHGAP42,0.013515431,False,-1
ARHGAP5,0.019251905,False,-1
ARHGAP5-AS1,0.019382063,False,0
ARHGAP6,0.018597497,False,-1
ARHGEF11,0.013067279,False,-1
ARHGEF25,0.02297718,False,-1
ARHGEF26,0.047975477,False,-1
ARHGEF28,0.020675559,True,0
ARHGEF3,0.0027566548,False,-1
ARHGEF37,0.07575837,False,-1
ARHGEF38,0.013102229,False,-1
ARHGEF6,0.020965425,False,-1
ARID3A,0.06564692,False,0
ARID3B,0.01219453,False,-1
ARID5A,0.07047477,False,-1
ARID5B,0.021243483,False,0
ARL15,0.01569715,False,-1
ARL6,0.1759083,False,-1
ARMC4,0.09021327,False,-1
ARNT2,0.05007228,True,0
ARNTL,0.11269088,False,-1
ARNTL2,0.034017567,False,0
ARRDC3,0.038825944,False,-1
ARRDC4,0.039338194,False,-1
ARSB,0.056794025,False,-1
ARSG,0.094589986,False,-1
ARSJ,0.010609009,False,-1
ARX,0.010808028,False,-1
ASAH2B,0.010702494,False,-1
ASAP2,0.1041892,False,-1
ASB2,0.14298727,False,-1
ASB7,0.120270394,False,-1
ASCC1,0.05231124,False,-1
ASCL1,0.0586947,False,0
ASH2L,0.025013994,False,-1
ASPA,0.06481432,False,0
ASPHD2,0.14895074,False,-1
ASPM,0.03462254,False,0
ASTL,0.12535977,False,-1
ASXL3,0.07018487,False,-1
ATAD2,0.041777495,False,-1
ATAD5,0.03089575,False,-1
ATF2,0.054558713,False,-1
ATF3,0.042003434,False,-1
ATF4,0.034798823,False,-1
ATF5,0.010257071,False,-1
ATF7,0.020102575,False,-1
ATF7IP2,0.035680857,False,-1
ATG10,0.09394431,False,-1
ATG101,0.0034560696,False,-1
ATG5,0.13014685,False,-1
ATOH8,0.0006633173,False,-1
ATP10A,0.0038045994,False,0
ATP13A4,0.016964504,False,-1
ATP13A5,0.0062299953,False,-1
ATP1A3,0.023410194,False,-1
ATP1B1,0.043882884,False,-1
ATP2C2,0.048718538,False,-1
ATP6V0A4,0.13249457,False,-1
ATP6V1C2,0.037497614,False,-1
ATP6V1E2,0.093234226,False,-1
ATP8B4,0.03925923,False,0
ATR,0.0048653204,True,0
ATRNL1,5.0512904e-06,False,-1
ATXN1,0.059734732,False,-1
ATXN7L1,0.08468758,False,-1
ATXN8OS,0.18274802,False,-1
AUNIP,0.023226533,False,-1
AURKB,0.04353646,False,-1
AUTS2,0.0826868,False,-1
