gene,score,validation,label
A2M,0.0686804,False,-1
A4GALT,0.014402627,False,-1
AAAS,0.032916937,False,-1
AAR2,0.09874942,False,-1
AATK,0.05718459,False,-1
ABCA2,0.04099327,False,-1
ABCA3,0.0059677577,False,-1
ABCA5,0.024907738,False,-1
ABCA6,0.03144084,False,-1
ABCB1,0.061059706,False,-1
ABCB9,0.073309116,False,-1
ABCC4,0.018271256,False,-1
ABCE1,0.11150387,False,-1
ABCF2,0.008924781,False,-1
ABCG1,0.044614524,False,-1
ABCG2,0.016362362,False,-1
ABHD12,0.098316215,False,-1
ABHD13,0.03140879,False,-1
ABHD17B,0.032506723,False,0
ABHD4,0.03689756,False,-1
ABHD5,0.103928424,False,-1
ABI1,0.02342054,False,-1
ABI2,0.049260065,False,-1
ABL1,0.03149706,False,-1
ABLIM3,0.07802165,False,-1
ABO,0.0878593,False,-1
ABRACL,0.09763492,False,-1
ACER2,0.044362344,False,-1
ACER3,0.00694223,False,0
ACIN1,0.079517275,False,-1
ACO1,0.039428797,False,-1
ACSS2,0.04625253,False,-1
ACTA2,0.03847486,False,-1
ACTB,0.09115605,False,0
ACTG2,0.064813614,False,-1
ACTN2,0.04146232,False,0
ACTR10,0.12920555,False,-1
ACTR1B,0.021982139,False,-1
ACTR2,0.056107827,False,-1
ACTR3,0.043161057,False,-1
ACTR3B,0.021622837,False,-1
ACTR5,0.059445016,False,-1
ACTR8,0.10906965,False,-1
ACVR1,0.041105323,False,-1
ACVR2A,0.030243674,False,-1
ACVRL1,0.022754014,False,-1
ADAM10,0.055897657,False,-1
ADAM12,0.039767716,False,-1
ADAM22,0.04806305,False,-1
ADAM28,0.06143842,False,-1
ADAM32,0.012832301,False,0
ADAMTS12,0.03739725,False,-1
ADAMTS15,0.008155389,False,-1
ADAMTS16,0.07249108,False,-1
ADAMTS17,0.0129444925,False,0
ADAMTS3,0.02597853,False,-1
ADAMTS5,0.012359368,False,-1
ADAMTS6,0.037715543,False,-1
ADAMTS7,0.023652935,False,-1
ADAMTS9,0.060246844,False,-1
ADAMTSL1,0.06819431,False,-1
ADAMTSL3,0.08216663,True,0
ADAP1,0.10732538,False,0
ADARB1,0.048770968,False,-1
ADARB2,0.041847907,True,0
ADAT2,0.060911953,False,-1
ADCY2,0.03951642,False,1
ADCY6,0.039389007,True,0
ADCY7,0.030109541,False,-1
ADCY8,0.047004983,False,-1
ADCY9,0.05516858,False,-1
ADD2,0.041125163,True,0
ADD3,0.028122555,False,1
ADD3-AS1,0.060790606,False,-1
ADGRA2,0.022042971,False,-1
ADGRB3,0.007050073,False,-1
ADGRD1,0.02736627,False,-1
ADGRE5,0.017157497,False,-1
ADGRF5,0.04713854,False,-1
ADGRL2,0.07853133,False,-1
ADGRL3,0.007943996,False,-1
ADGRL4,0.063984364,False,-1
ADGRV1,0.0460693,False,-1
ADH1B,0.032260638,False,-1
ADH1C,0.021660581,True,0
ADH4,0.049698647,False,-1
ADI1,0.043591462,False,-1
ADIPOR1,0.034097742,False,-1
ADM,0.05093873,False,-1
ADNP,0.008951523,False,-1
ADNP2,0.053916615,False,-1
ADPGK,0.09713434,False,-1
ADRM1,0.08926261,False,-1
ADTRP,0.020316495,False,0
AEBP2,0.029628173,False,-1
AFAP1L1,0.09431555,False,-1
AFAP1L2,0.08047002,False,-1
AFF2,0.06121635,False,-1
AFF3,0.033975266,False,-1
AFF4,0.03810775,False,-1
AGAP1,0.06563998,False,-1
AGBL4,0.08119011,False,-1
AGFG2,0.0312194,False,-1
AGGF1,0.06240611,False,-1
AGL,0.039653145,False,-1
AGMO,0.10324866,False,0
AGO1,0.06585327,False,0
AGO3,0.066943586,False,-1
AGPAT1,0.027585972,False,-1
AGPAT2,0.05086141,False,-1
AGTPBP1,0.03942938,False,-1
AGTRAP,0.048996057,False,-1
AHCTF1,0.06603019,False,0
AHDC1,0.0130149145,False,0
AHR,0.09326499,False,-1
AHRR,0.06981908,False,-1
AIG1,0.060422536,False,0
AIP,0.015546778,False,-1
AIRE,0.016537348,False,-1
AJAP1,0.08289588,False,-1
AK5,0.053484257,False,-1
AKAP12,0.01692124,False,-1
AKAP13,0.03059158,False,-1
AKAP6,0.048949312,False,-1
AKAP8L,0.038053017,False,-1
AKR1B1,0.028238019,False,-1
AKR1C3,0.028413106,False,-1
ALAD,0.07532413,False,-1
ALDH1A2,0.05602908,False,-1
ALG5,0.033242427,False,-1
ALG6,0.012037488,False,0
ALK,0.08049171,False,-1
ALOX12-AS1,0.0680153,False,-1
ALPL,0.09945917,False,-1
ALS2,0.048823755,False,-1
ALX3,0.015643546,False,-1
ALX4,0.01783187,True,0
AMD1,0.076176226,False,0
AMMECR1,0.04529456,False,-1
AMMECR1L,0.095633425,False,-1
AMOT,0.08450597,False,0
AMOTL1,0.019637791,False,-1
AMOTL2,0.04476419,False,-1
AMPD2,0.058991786,False,-1
AMPH,0.06361829,False,-1
AMY2B,0.031283163,False,-1
ANAPC1,0.02210805,True,0
ANAPC10,0.109799325,False,-1
ANAPC4,0.014101656,True,0
ANGPT1,0.021469388,False,-1
ANGPTL2,0.041247413,False,-1
ANK2,0.048450485,False,-1
ANK3,0.058471903,False,1
ANKEF1,0.06723178,False,-1
ANKH,0.058723573,False,0
ANKIB1,0.07422688,False,-1
ANKLE2,0.0978506,False,-1
ANKMY2,0.04032137,False,-1
ANKRD13A,0.075860724,False,-1
ANKRD16,0.03197106,False,-1
ANKRD17,0.021102373,False,-1
ANKRD22,0.11139241,False,-1
ANKRD24,0.17854184,False,-1
ANKRD30BL,0.026063027,False,-1
ANKRD31,0.039567284,False,-1
ANKRD34C-AS1,0.045560848,False,-1
ANKRD36B,0.031254783,False,-1
ANKRD36C,0.05966553,False,-1
ANKRD40,0.11182128,False,-1
ANKRD42,0.051018786,False,-1
ANKRD44,0.024043536,False,-1
ANKRD44-IT1,0.037512872,False,0
ANKRD50,0.097981825,False,-1
ANKRD53,0.036387406,False,-1
ANKS1B,0.026481044,False,-1
ANKS3,0.04736792,False,-1
ANLN,0.02838221,False,-1
ANO10,0.06663141,False,-1
ANO2,0.08234984,False,-1
ANO3,0.035739597,False,-1
ANO4,0.030340802,False,-1
ANO5,0.0127205225,False,-1
ANO6,0.1449914,False,-1
ANP32B,0.14284629,False,-1
ANTXR2,0.05255968,False,-1
ANXA1,0.08385737,False,-1
ANXA11,0.030678155,False,-1
ANXA4,0.043217324,False,-1
ANXA7,0.019117285,False,-1
AOAH,0.08448862,True,0
AOX1,0.03688122,False,-1
AP1AR,0.06744597,False,-1
AP1M1,0.05444022,False,-1
AP1S2,0.055328544,True,0
AP3M1,0.022543868,False,-1
AP4M1,0.020487798,False,-1
AP4S1,0.055631828,False,-1
APBA1,0.06307709,False,0
APBB1IP,0.07434434,False,0
APC,0.01655615,False,0
APEH,0.0323651,True,0
APLF,0.001820696,False,-1
APMAP,0.057402678,False,0
APOD,0.012791363,False,0
APOE,0.056181174,False,-1
APOL1,0.08493519,False,-1
APOL2,0.073138766,False,-1
APOLD1,0.05851326,False,-1
APPBP2,0.008927444,False,-1
AQP4,0.21430454,False,-1
AQP4-AS1,0.04495522,False,-1
AR,0.08032026,False,-1
ARAP2,0.03973865,False,0
ARAP3,0.12848148,False,-1
ARFGAP1,0.071218625,False,-1
ARFGAP3,0.030540094,False,-1
ARFGEF2,0.07519967,False,-1
ARFGEF3,0.04781579,False,-1
ARHGAP11B,0.029866917,False,-1
ARHGAP18,0.045314547,False,-1
ARHGAP20,0.04143255,False,-1
ARHGAP21,0.08534551,False,-1
ARHGAP22,0.05979747,False,0
ARHGAP24,0.0561446,False,-1
ARHGAP31,0.036538184,False,-1
ARHGAP35,0.0949017,False,-1
ARHGAP42,0.051770557,False,-1
ARHGAP44,0.081937596,False,-1
ARHGAP5,0.049285285,False,-1
ARHGAP6,0.11789278,False,-1
ARHGDIA,0.0327223,False,-1
ARHGEF11,0.039420236,False,-1
ARHGEF18,0.09566011,False,-1
ARHGEF25,0.043577243,False,-1
ARHGEF26,0.07996046,False,-1
ARHGEF28,0.06317763,False,-1
ARHGEF3,0.042873017,False,-1
ARHGEF7,0.06246212,False,-1
ARID1A,0.101310946,False,-1
ARID3A,0.042633146,False,-1
ARID3B,0.0033425305,False,-1
ARID4A,0.046773024,False,-1
ARID5A,0.041650873,False,0
ARID5B,0.008169043,False,-1
ARIH2OS,0.072675645,False,0
ARL15,0.045439262,False,-1
ARL2BP,0.058704212,False,-1
ARL4A,0.123516664,False,-1
ARL5A,0.03484879,False,-1
ARMC2,0.012827002,True,0
ARMC4,0.00755545,False,-1
ARMC5,0.16764997,False,-1
ARMC6,0.04165073,False,-1
ARNT,0.038320057,False,-1
ARNT2,0.03149385,False,-1
ARNTL,0.035499185,False,-1
ARNTL2,0.04902173,False,-1
ARPC1B,0.04128283,False,-1
ARPC5,0.056123704,False,-1
ARPP21,0.0012465199,False,-1
ARRDC2,0.0688735,False,-1
ARRDC3,0.009344464,False,-1
ARRDC3-AS1,0.015806822,False,-1
ARRDC4,0.054992944,False,-1
ARSJ,0.04834732,False,0
ARX,0.011468234,False,-1
ASAP1,0.029165996,False,-1
ASB13,0.06461238,False,-1
ASB16-AS1,0.047696006,False,-1
ASB6,0.077481456,False,0
ASCC1,0.02122095,False,-1
ASH2L,0.025074292,False,-1
ASIC2,0.16963866,False,-1
ASPA,0.0285386,False,-1
ASPHD1,0.017892586,False,-1
ASPN,0.02360019,False,-1
ASPSCR1,0.03401369,False,-1
ASXL2,0.053332027,False,-1
ATAD2,0.023859493,False,-1
ATE1,0.042790014,False,-1
ATF1,0.020236867,False,0
ATF2,0.076168805,False,-1
ATF3,0.0004554077,False,-1
ATF4,0.049354162,False,-1
ATF5,0.015152223,True,0
ATF6,0.047972936,False,-1
ATF6B,0.019172736,False,0
ATF7,0.040206496,False,-1
