gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,-1,0.9999518999999999,0.00010471981665377473,0.9997646,1.0,1.0,0.9999956,0.9999993,False,False,False,False,False
A3GALT2,-1,0.9999995,7.874007874202983e-07,0.9999993,0.9999982,1.0,1.0,1.0,False,False,False,False,False
ABCA1,-1,0.999952678,5.32566260666414e-05,0.99996984,0.99993396,0.9999943,0.99999654,0.99986875,False,False,False,False,False
ABCA12,-1,0.9999866220000001,2.1323670415779206e-05,0.9999838,0.9999505,1.0,0.99999976,0.99999905,False,False,False,False,False
ABCA3,-1,0.9999712879999999,4.8251318323945656e-05,0.9999981,0.9999933,0.9999846,0.999995,0.99988544,False,False,False,False,False
ABCA4,-1,0.999996548,7.075628593973465e-06,0.9999999,0.99999964,0.9999839,0.9999993,1.0,False,False,False,False,False
ABCA5,-1,0.9999551419999999,5.432885347586132e-05,0.99999285,0.9999037,0.9999943,0.99999666,0.9998882,False,False,False,False,False
ABCB1,-1,0.9997178680000001,0.0006009461025083887,0.9986436,0.9999993,0.9999989,0.9999479,0.99999964,False,False,False,False,False
ABCB4,-1,0.99993818,0.000133725061226387,0.999699,1.0,0.9999999,0.9999944,0.9999976,False,False,False,False,False
ABCC4,-1,0.99719601,0.0062686545271294185,1.0,0.9859823,0.99999785,0.9999999,1.0,False,False,False,False,False
ABCC9,-1,0.9999713400000001,5.358548544149084e-05,0.9999999,0.99998605,0.99999535,0.9999994,0.999876,False,False,False,False,False
ABCF2,-1,0.996414608,0.00801580506875761,0.9820755,0.9999993,0.9999999,0.99999964,0.9999987,False,False,False,False,False
ABCG1,-1,0.9993375200000001,0.001470972802943705,0.9967062,1.0,0.9999999,0.999982,0.9999995,False,False,False,False,False
ABCG2,-1,0.9999741099999999,2.6422064643005286e-05,0.9999633,1.0,0.99999535,0.9999348,0.9999771,False,False,False,False,False
ABHD13,-1,0.995036586,0.011069985987953206,0.97523403,1.0,0.9999502,1.0,0.9999987,False,False,False,False,False
ABHD17B,-1,0.9997310180000001,0.000600601390874164,0.99865663,1.0,1.0,0.99999976,0.9999987,False,False,False,False,False
ABHD17C,-1,0.9999990000000001,2.2360679775144385e-06,1.0,0.999995,1.0,1.0,1.0,False,False,False,False,False
ABI3BP,-1,0.9999566,7.61862192262924e-05,0.999962,0.9999982,0.9998234,1.0,0.9999994,False,False,False,False,False
ABL1,-1,0.999970102,3.8492643712795615e-05,0.9999962,0.99994504,0.99999607,0.9999989,0.9999143,False,False,False,False,False
ABLIM3,-1,0.995196906,0.01073652319718448,0.97599083,0.9999999,0.9999999,1.0,0.9999939,False,False,False,False,False
ABRACL,-1,0.99998606,2.3971295334211552e-05,0.9999989,0.9999443,0.9999871,1.0,1.0,False,False,False,False,False
ACAT2,-1,0.9999928280000001,6.963614004260464e-06,0.9999918,0.999987,1.0,1.0,0.99998534,False,False,False,False,False
ACBD6,-1,0.9992332300000001,0.0010565870956764528,0.99993145,0.99854255,0.997703,1.0,0.99998915,False,False,False,False,False
ACBD7,-1,0.99099538,0.020133153595053112,0.9999988,0.9549801,0.999998,1.0,1.0,False,False,False,False,False
ACER3,-1,0.99797466,0.004528127126969825,1.0,0.9898745,1.0,1.0,0.9999988,False,False,False,False,False
ACHE,-1,0.999989938,9.018687265887286e-06,1.0,0.99999475,0.9999839,0.99999344,0.9999776,False,False,False,False,False
ACKR3,-1,0.998670068,0.0029735612132794696,0.9933508,1.0,1.0,0.99999964,0.9999999,False,False,False,False,False
ACOT12,-1,0.9998277059999999,0.00037681952600684434,0.99915373,1.0,0.9999999,0.999985,0.9999999,False,False,False,False,False
ACSL3,-1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False
ACSL4,-1,0.9999869140000002,1.88863913970128e-05,0.9999999,0.99995744,0.99999976,0.99999917,0.9999783,False,False,False,False,False
ACSL5,-1,0.9999858100000001,3.0787080082386626e-05,0.99993074,1.0,0.9999995,0.99999976,0.99999905,False,False,False,False,False
ACTA2,-1,0.999916056,0.00015572171791372846,0.99963963,0.9999999,0.9999987,0.99995255,0.9999895,False,False,False,False,False
ACTB,-1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False
ACTG1,-1,0.99999956,6.024948132426032e-07,1.0,0.9999989,1.0,1.0,0.9999989,False,False,False,False,False
ACTL6B,-1,0.999946478,0.0001017928775504594,0.99999964,0.99976605,0.9999995,0.9999994,0.9999678,False,False,False,False,False
ACTN1,-1,0.9998324479999999,0.0003256407173097192,0.99999917,0.99993086,0.99998486,0.99999535,0.999252,False,False,False,False,False
ACTN2,-1,0.9999404759999999,0.0001323618868103808,0.9997037,0.99999964,0.9999995,0.99999964,0.9999999,False,False,False,False,False
ACTR2,-1,0.99988285,0.00017303249694785433,1.0,0.9996008,0.9998305,1.0,0.99998295,False,False,False,False,False
ACTR3,-1,0.999983,3.657533321791572e-05,1.0,0.9999176,0.9999999,1.0,0.9999975,False,False,False,False,False
ACVR1,-1,0.9999739599999999,3.731936561626776e-05,0.99997675,0.99998724,0.99999785,0.9999988,0.99990916,False,False,False,False,False
ACVR1C,-1,0.999947498,4.940272381156981e-05,0.9999839,0.99996483,0.99999726,0.9999081,0.9998834,False,False,False,False,False
ACVR2A,-1,0.9998591600000001,0.00023787226782454894,0.99986994,0.9994448,0.99999976,0.9999813,1.0,False,False,False,False,False
ADA,-1,0.999993248,8.458044691326578e-06,0.999979,0.9999939,0.99999404,0.9999994,0.9999999,False,False,False,False,False
ADAM19,-1,0.9999992799999999,1.6099689437964938e-06,1.0,1.0,1.0,1.0,0.9999964,False,False,False,False,False
ADAM23,-1,0.999874528,0.0001382518821571872,0.99995434,0.9997534,0.999982,0.9999858,0.9996971,False,False,False,False,False
ADAM28,-1,0.99999921,9.655568341446074e-07,1.0,0.99999964,0.99999976,0.99999905,0.9999976,False,False,False,False,False
ADAM9,-1,0.999931868,0.00011921055372741035,0.9999701,0.99972004,0.9999989,0.9999982,0.9999721,False,False,False,False,False
ADAMTS1,-1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False
ADAMTS12,-1,0.999997688,4.635463299373128e-06,0.9999894,0.99999964,1.0,0.99999964,0.99999976,False,False,False,False,False
ADAMTS16,-1,0.9998605600000001,0.0002825624051426301,1.0,0.9993568,0.99999964,1.0,0.99994636,False,False,False,False,False
ADAMTS3,1,0.9998159400000001,0.0004005389344371051,0.9990996,1.0,1.0,0.9999801,1.0,True,False,False,False,False
ADAMTS5,-1,0.9988441960000001,0.00172200539233479,0.99999976,0.99588037,0.9999124,0.9996184,0.99881005,False,False,False,False,False
ADAMTS6,-1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,False
