gene,score,validation,label
A4GALT,0.00028094876,False,0
ABCA1,0.005897976,False,0
ABCA10,0.022340389,False,0
ABCA13,0.0287861,False,1
ABCA3,0.011881589,False,0
ABCA4,0.04465098,False,0
ABCA5,0.05749757,True,0
ABCA6,0.05201299,False,0
ABCA8,0.006093801,False,0
ABCB1,0.0059681535,False,0
ABCC3,0.05123059,False,1
ABCC4,0.02581898,False,0
ABCC5,0.0151293855,False,0
ABCC9,0.013859241,False,0
ABCF2,0.025055405,False,0
ABCG1,0.012789773,False,0
ABCG2,0.012323638,False,0
ABHD17B,0.015713071,False,0
ABHD17C,0.033791885,False,0
ABHD3,0.0005791603,False,0
ABI3BP,0.02603923,False,0
ABL1,0.007901174,False,0
ABL2,0.014374489,False,0
ABLIM2,0.0044291876,True,0
ABLIM3,0.010446948,False,0
ABO,0.038017318,False,0
ABRACL,0.04051771,False,0
ABTB2,0.019083926,False,0
ACBD6,0.039875455,False,0
ACER2,0.07604349,True,0
ACKR1,0.030731779,False,0
ACKR3,0.020814331,False,0
ACO1,0.029962111,False,0
ACPP,0.041955605,False,0
ACSL3,0.03298757,False,0
ACSL4,0.028999958,False,1
ACSL5,0.0121187195,False,0
ACTA2,0.0054274737,False,0
ACTB,0.021231433,False,0
ACTG1,0.045132436,True,0
ACTL6A,0.016195979,False,0
ACTN1,0.04666018,True,0
ACTN2,0.00842611,False,0
ACTN4,0.030337589,False,0
ACTR2,0.00051344896,False,0
ACTR3,0.010620066,False,0
ACVR1C,0.048469715,False,0
ACVR2A,0.0030384737,False,0
ACYP2,0.07349011,False,0
ADAM15,0.04136023,True,0
ADAM17,0.0013939409,False,0
ADAM19,0.010162461,False,0
ADAM23,0.0029610305,False,0
ADAM32,0.040391505,False,0
ADAMTS1,0.00015069926,False,0
ADAMTS10,0.041204963,False,0
ADAMTS12,0.0029370817,False,0
ADAMTS15,0.01780538,False,0
ADAMTS16,0.0071700285,True,0
ADAMTS17,0.007641812,True,0
ADAMTS18,0.02195751,False,0
ADAMTS3,0.035466168,False,0
ADAMTS5,0.00853473,False,0
ADAMTS6,0.04740666,False,1
ADAMTS7,0.009366516,False,0
ADAMTS8,0.064566106,False,0
ADAMTS9,0.013997886,False,0
ADAMTS9-AS2,0.026386026,True,0
ADAMTSL1,0.015417036,False,0
ADAMTSL2,0.013324057,False,0
ADAMTSL4-AS1,0.026900228,True,0
ADARB1,0.03585194,False,0
ADARB2,0.0124265645,False,0
ADCY1,0.031043002,False,0
ADCY2,0.011781306,False,0
ADCY3,0.015841667,False,0
ADCY4,0.02348711,False,0
ADCY5,0.014162762,False,0
ADCY6,0.07698807,True,0
ADCYAP1,0.0044925455,False,0
ADCYAP1R1,0.009939647,True,0
ADD2,0.018371375,True,0
ADD3,0.0052711833,False,0
ADD3-AS1,0.010136131,False,0
ADGRA1,4.0689843e-05,False,0
ADGRA3,0.029978843,False,0
ADGRB3,0.0075814165,False,0
ADGRD1,0.01742743,False,0
ADGRL2,0.017602732,False,0
ADGRL3,0.027172772,False,0
ADGRL4,0.0013589445,False,0
ADH1B,0.035543755,True,0
ADH6,0.02130565,True,0
ADIPOR1,0.010744272,False,0
ADIRF,0.027532887,False,0
ADK,0.07155082,True,0
ADM,0.00050282414,False,0
ADM5,0.035962977,True,0
ADNP,0.0030030608,False,0
ADNP-AS1,0.026963254,False,0
ADNP2,0.044905867,False,0
ADORA1,0.009553456,False,0
ADORA2A,0.007787924,True,0
ADORA3,0.0574917,False,0
ADPRHL1,0.015809188,False,0
ADRA1A,0.008363977,False,0
ADRA2A,0.0031100742,False,0
ADRB1,0.017223476,False,0
ADTRP,0.02155114,False,0
AFAP1-AS1,0.0005321943,False,0
AFF3,0.013795541,False,0
AFF4,0.02052899,False,0
AGAP2,0.04723008,False,0
AGAP3,0.01886851,True,0
AGBL3,0.0036676233,False,0
AGGF1,0.014756526,False,0
AGL,0.045478556,False,0
AGMO,0.010428037,False,0
