gene,score,validation,label
A2M,0.9999999,False,-1
AAMDC,0.9999999,False,-1
AAR2,1.0,False,-1
AATF,1.0,False,-1
ABCA1,0.9999839,False,-1
ABCA5,0.9999993,False,-1
ABCC4,0.9999422,False,-1
ABCC8,0.9999256,False,-1
ABCG1,0.9999993,False,-1
ABCG2,0.9998981,False,-1
ABHD1,0.9999999,False,-1
ABHD13,1.0,False,-1
ABHD17B,1.0,False,-1
ABHD3,1.0,False,-1
ABHD5,0.9999987,False,-1
ABI2,0.9999114,False,-1
ABI3BP,0.99999213,False,-1
ABL1,0.99999833,False,-1
ABL2,0.9999807,False,-1
ABLIM1,1.0,False,-1
ABLIM3,0.99999964,False,-1
ACAP3,0.9999963,False,-1
ACBD6,0.9999999,False,-1
ACER2,0.99999404,False,-1
ACER3,0.9999999,False,-1
ACO1,1.0,False,-1
ACOXL,0.9999995,False,-1
ACPP,0.99972945,False,-1
ACSL4,0.9999993,False,-1
ACTA2,0.999954,False,-1
ACVR1,0.99999845,False,-1
ACVR1C,1.0,False,-1
ACVRL1,0.99999225,False,-1
ADAM23,0.99999976,False,-1
ADAM9,0.9999856,False,-1
ADAMTS12,1.0,False,-1
ADAMTS17,1.0,False,-1
ADAMTS2,1.0,False,-1
ADAMTS20,0.9999927,False,-1
ADAMTS3,1.0,False,1
ADAMTS6,0.99999976,False,-1
ADARB1,0.99999976,False,-1
ADARB2,1.0,False,-1
ADARB2-AS1,1.0,False,-1
ADCY2,1.0,False,-1
ADCY3,0.99999857,False,-1
ADD3,1.0,False,-1
ADGRA1,1.0,False,-1
ADGRB3,1.0,False,-1
ADGRE1,0.99999714,False,-1
ADGRE2,0.99999964,False,-1
ADGRF5,0.9999993,False,-1
ADGRG5,1.0,False,-1
ADGRL2,1.0,False,-1
ADGRL3,1.0,False,-1
ADGRV1,0.99999046,False,-1
ADIPOR2,0.99999976,False,-1
ADK,1.0,False,-1
ADNP,0.99998116,False,-1
ADNP2,0.9999999,False,-1
ADPRM,0.9999987,False,-1
ADRA1A,0.99999285,False,-1
ADRA2B,0.99999726,False,-1
ADTRP,1.0,False,-1
AEBP2,1.0,False,-1
AFAP1,0.9999907,False,-1
AFAP1L2,0.99999046,False,-1
AFF3,0.9999999,False,-1
