fname,fold,epochs,loss,acc,bal_acc,auprc,auroc,val_loss,val_acc,val_bal_acc,val_auprc,val_auroc
UCLA - ASD - astro,0,221,0.11720579117536545,0.9805825352668762,0.9880952380952381,0.9945983379501382,0.9987468671679198,1.6716487407684326,0.6153846383094788,0.5490196078431372,0.5385351095496023,0.5620915032679739
UCLA - ASD - astro,1,213,0.1085110604763031,0.9902912378311157,0.9772727272727273,0.9999999999999998,1.0,0.8571943640708923,0.5769230723381042,0.6083333333333334,0.33323677956030895,0.6333333333333333
UCLA - ASD - astro,2,626,0.1885399967432022,0.9708737730979919,0.9423076923076923,0.9972527472527472,0.999000999000999,0.615056037902832,0.692307710647583,0.6041666666666667,0.22549019607843135,0.6458333333333333
UCLA - ASD - astro,3,215,0.14785495400428772,0.9805825352668762,0.9523809523809523,0.9978354978354982,0.9994192799070848,0.7091565728187561,0.692307710647583,0.6541353383458646,0.5397959183673469,0.7067669172932332
UCLA - ASD - astro,4,209,0.14590740203857422,0.9711538553237915,0.9520833333333334,0.9883333333333333,0.9958333333333333,0.9219879508018494,0.7599999904632568,0.6547619047619048,0.3059523809523809,0.6071428571428572
UCLA - ASD - endo,0,298,0.49003949761390686,0.8009708523750305,0.8422304986550797,0.5283980375576962,0.9001267328781295,0.6950430274009705,0.7053139805793762,0.5908791208791209,0.20296031037272227,0.6136263736263736
UCLA - ASD - endo,1,300,0.4925677478313446,0.8082524538040161,0.835366939183545,0.4940213496933209,0.9005381865987429,0.7266288995742798,0.6811594367027283,0.594375,0.2507461839345654,0.6071428571428572
UCLA - ASD - endo,2,248,0.5122395753860474,0.780339777469635,0.8155716832187421,0.4854759424745026,0.8881334351922587,0.7721512317657471,0.7101449370384216,0.6277173913043479,0.21608741608452592,0.5581285444234405
UCLA - ASD - endo,3,209,0.4928729832172394,0.7754854559898376,0.811840471756673,0.47576884442133,0.8862637078419201,0.8661985397338867,0.7004830837249756,0.5881318681318681,0.20904690786208413,0.6268131868131868
UCLA - ASD - endo,4,335,0.5087672472000122,0.7765700221061707,0.8232167555819008,0.479797161421606,0.8832378317855496,0.6921323537826538,0.6798029541969299,0.5442857142857143,0.34562961770885653,0.6157142857142857
UCLA - ASD - excitatory,0,219,0.4554979205131531,0.7956989407539368,0.8206018518518519,0.48319193864908716,0.8819444444444444,0.936229407787323,0.6236559152603149,0.49404761904761907,0.21987766297869957,0.5740740740740741
UCLA - ASD - excitatory,1,416,0.51948481798172,0.7446236610412598,0.7780835881753313,0.37560160871991166,0.837444784233775,0.5108118653297424,0.6666666865348816,0.7376543209876543,0.5612543593717528,0.8425925925925926
UCLA - ASD - excitatory,2,227,0.4669261574745178,0.7849462628364563,0.801019367991845,0.5338999755339456,0.8797825348284064,0.9239141941070557,0.6881720423698425,0.5725308641975309,0.28568225972704453,0.5257201646090535
UCLA - ASD - excitatory,3,310,0.513945460319519,0.7822580933570862,0.7454937442567329,0.46204565230911016,0.856577366226055,0.6825941801071167,0.6881720423698425,0.610759493670886,0.29979215956382854,0.6654611211573237
UCLA - ASD - excitatory,4,210,0.5010124444961548,0.725806474685669,0.7611783960720131,0.47134638798912254,0.849165302782324,0.8715894222259521,0.6559139490127563,0.5873493975903614,0.14164597687509253,0.5012048192771084
